text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
big wet smooshy kisses to you!!! i love u dear!!,2020-02-28 19:46:02+00:00,,,1233478483939971072,,https://twitter.com/1baldchick/status/1233478483939971072,0,0,amarcadia,
"list of meds and check it for drug interactions. it keeps up w/new info on the drug from the gov and from studies, and it has a great app to keep your med list on your phone",2020-02-28 19:45:26+00:00,,,1233478333511479299,,https://twitter.com/1baldchick/status/1233478333511479299,1,0,1baldchick,
gab has loads of side effects. i always try to educate myself on each drug before hand but this company 4 the shot has gone out of there way to keep side effects under wraps. u can’t find anything. it’s weird. i use a site called http://drugs.com u can even put n your...,2020-02-28 19:44:18+00:00,,,1233478047212408834,,https://twitter.com/1baldchick/status/1233478047212408834,1,0,PajamaDaze,http://drugs.com
happy friday to u good sir!! and to your little ones.,2020-02-28 19:42:32+00:00,,,1233477603866050560,,https://twitter.com/1baldchick/status/1233477603866050560,0,0,ChronicPainDad,
this song says it all!,2020-02-28 08:34:04+00:00,,,1233309379497283584,,https://twitter.com/1baldchick/status/1233309379497283584,0,0,halsey,https://twitter.com/halsey/status/1233261713815785472
"it has constipation actually listed, cuz emgality lists nothing. 0. except injection site reaction. i just don’t buy that. i’ll tell u what though, it sure hurts.",2020-02-28 08:17:38+00:00,,,1233305242604908545,,https://twitter.com/1baldchick/status/1233305242604908545,0,0,PLoker,
"oh i don’t know. it has a grimace of pain, a wee bit of confusion, a tiny bit of an attempt at a smile, & the look of some1 really needing 2 find the bathroom or a bed to lie down on. that hits about all our symptoms right there. or u could say we r n a perpetual hangover state ",2020-02-28 08:16:07+00:00,,,1233304863494283264,,https://twitter.com/1baldchick/status/1233304863494283264,0,0,Fibromania1,
oh great. i’ve been having the worst time lately & i had just gotten my tummy straightened out. i’d been wondering what was up...or not up as the case may be. ,2020-02-28 08:13:47+00:00,,,1233304276581130247,,https://twitter.com/1baldchick/status/1233304276581130247,0,0,PLoker,
oh dear. glad i reminded u. i hope if u take oral b12 u take methylcobalamin. it’s what is more easily broken down & used by the body. tad more expensive but worth it. love u!,2020-02-28 08:08:12+00:00,,,1233302870365233152,,https://twitter.com/1baldchick/status/1233302870365233152,1,0,amarcadia,
thought u might like this article.  i need to get me some black tourmaline 2 go w/my selenite &amp; carnelian &amp; rhodochrosite 2 get my creativity flowing again.,2020-02-28 08:05:52+00:00,,,1233302281094934529,@bogeykat,https://twitter.com/1baldchick/status/1233302281094934529,0,0,,https://www.energymuse.com/blog/crystal-couples
i prefer the emoji . i think it says it all.,2020-02-28 00:33:46+00:00,,,1233188508761829377,,https://twitter.com/1baldchick/status/1233188508761829377,1,0,Fibromania1,
lovely!!!,2020-02-28 00:31:41+00:00,,,1233187981965615104,,https://twitter.com/1baldchick/status/1233187981965615104,0,0,1wiccangirl,
u r fabulous! very handsome i have a friend who would love u. hey  check out chuck!!!,2020-02-28 00:14:55+00:00,,,1233183764714532866,@1wiccangirl,https://twitter.com/1baldchick/status/1233183764714532866,1,0,Nora_Buddy,
so this is what he does with his time. i see he’s making plans to deal with the vir... oh! i can’t even finish typing that sentence.,2020-02-28 00:08:54+00:00,,,1233182250856058880,,https://twitter.com/1baldchick/status/1233182250856058880,0,0,jdawsey1,https://twitter.com/jdawsey1/status/1233162513908404225
oh karen carpenter had a gorgeous alto voice. deep and rich. what a loss. i loved the song superstar.,2020-02-28 00:01:29+00:00,,,1233180385514786816,,https://twitter.com/1baldchick/status/1233180385514786816,0,0,barrydsmith1966,
