text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"7 assessed, 5 given naloxone at downtown clinic amid reports of 'tainted drug supply' | cbc news",2020-02-27 07:09:35+00:00,,,1232925730419331072,,https://twitter.com/AddictionAMS/status/1232925730419331072,0,4,,https://www.cbc.ca/news/canada/toronto/toronto-police-several-people-hospital-downtown-precaution-1.5477611?__vfz=medium%3Dsharebar
she thought her daughter was in good hands. then she died of an overdose | cbc news,2020-02-27 07:04:38+00:00,,,1232924483167481861,,https://twitter.com/AddictionAMS/status/1232924483167481861,0,0,,https://www.cbc.ca/news/canada/british-columbia/she-thought-her-daughter-was-in-good-hands-then-she-died-of-an-overdose-1.5477106?__vfz=medium%3Dsharebar
"speaking truth to power, downtown eastside advocate karen ward pleads for people to listen https://theprovince.com/news/local-news/speaking-truth-to-power-downtown-eastside-advocate-karen-ward-pleads-for-people-to-listen/wcm/7268a072-a6d2-4a38-a52e-69ceaba0dd2f/",2020-02-25 02:05:10+00:00,,,1232124347608788992,,https://twitter.com/AddictionAMS/status/1232124347608788992,0,0,,https://theprovince.com/news/local-news/speaking-truth-to-power-downtown-eastside-advocate-karen-ward-pleads-for-people-to-listen/wcm/7268a072-a6d2-4a38-a52e-69ceaba0dd2f/
overdose deaths decrease in b.c. but officials say safer drug supply needed,2020-02-25 02:04:20+00:00,,,1232124136563986436,,https://twitter.com/AddictionAMS/status/1232124136563986436,0,0,,https://theprovince.com/news/local-news/overdose-deaths-decrease-in-b-c-but-officials-say-safer-drug-supply-needed/wcm/09a87cf4-f337-4dd7-8b1c-83aa13be30ec/
overdose deaths decrease in b.c. but officials say safer drug supply needed | cbc news,2020-02-24 20:58:31+00:00,,,1232047174835326976,,https://twitter.com/AddictionAMS/status/1232047174835326976,0,0,,https://www.cbc.ca/news/canada/british-columbia/overdose-deaths-decrease-b-c-1.5474116?__vfz=medium%3Dsharebar
how 'managed alcohol programs' are helping treat alcoholism with moderation,2020-02-23 06:19:23+00:00,,,1231463544975052800,,https://twitter.com/AddictionAMS/status/1231463544975052800,1,7,,http://ctv.news/iFyuHpi
mobile medical clinic rolls out to serve edmonton's homeless population | cbc news,2020-02-23 06:17:04+00:00,,,1231462964906954753,,https://twitter.com/AddictionAMS/status/1231462964906954753,0,0,,https://www.cbc.ca/news/canada/edmonton/health-mobile-unit-boyle-mccauley-edmonton-1.5436646?__vfz=medium%3Dsharebar
overdose tracking gives real-time glimpses into ravages of opioid-fuelled drug crisis | cbc news,2020-02-22 23:50:16+00:00,,,1231365622161756167,,https://twitter.com/AddictionAMS/status/1231365622161756167,0,0,,https://www.cbc.ca/news/health/opioid-overdose-tracking-usa-1.5406958?__vfz=medium%3Dsharebar
governor general says multiple solutions needed for 'complicated' overdose issue | cbc news,2020-02-22 23:49:30+00:00,,,1231365429378945024,,https://twitter.com/AddictionAMS/status/1231365429378945024,0,0,,https://www.cbc.ca/news/canada/british-columbia/governor-general-says-multiple-solutions-needed-for-complicated-overdose-issue-1.5472815?__vfz=medium%3Dsharebar
calls for culturally-specific care amidst concerns over mental health issues in black communities | cbc news,2020-02-21 21:41:35+00:00,,,1230970847453577217,,https://twitter.com/AddictionAMS/status/1230970847453577217,0,1,,https://www.cbc.ca/news/canada/saskatoon/black-mental-health-1.5469117?__vfz=medium%3Dsharebar
