text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
ty. hurts. amoxicillin will help.,2020-02-28 21:42:26+00:00,,,1233507779593342977,,https://twitter.com/Addictivist/status/1233507779593342977,1,0,ChrisBzchris,
"ty. it's gotta happen, but gods. whimpering pain. dentist was like 'come on you are tough' ha...",2020-02-28 21:22:34+00:00,,,1233502776950448128,,https://twitter.com/Addictivist/status/1233502776950448128,0,0,olderandcuter,
stretchy and bendy ,2020-02-28 21:18:40+00:00,,,1233501796376682504,,https://twitter.com/Addictivist/status/1233501796376682504,1,0,peaceful614,
"i used to be with the crowd hoping it would. any reason, and none. ",2020-02-28 21:12:43+00:00,,,1233500298968256512,,https://twitter.com/Addictivist/status/1233500298968256512,0,0,MicheleWMiller_,
this underground teen activist battle shit is creepyaf.,2020-02-28 21:08:34+00:00,,,1233499257115750401,,https://twitter.com/Addictivist/status/1233499257115750401,0,0,Netmeetme,
"thank you. i so hoped they could have pulled it, but the infection made novacaine not work right. i will hopefully be infection free next week. on amoxicillin. i just thought i would black out from the pain. got to feel it all. screamed even. that was just... bad.",2020-02-28 21:03:33+00:00,,,1233497992960913408,,https://twitter.com/Addictivist/status/1233497992960913408,1,0,PattiHarada,
,2020-02-28 20:50:11+00:00,,,1233494630332817411,,https://twitter.com/Addictivist/status/1233494630332817411,0,0,travisakers,
i have never felt such pain. there is reason to fear dentistry.,2020-02-28 20:48:58+00:00,,,1233494321841811456,,https://twitter.com/Addictivist/status/1233494321841811456,6,0,,
dental infection. the work they deferred because i was sick. the pain is unfortunate. $1000 cash only for iv sedation treatment. beyond my reach.,2020-02-28 19:11:54+00:00,,,1233469893611315200,,https://twitter.com/Addictivist/status/1233469893611315200,0,0,,
"i've been sorting through this. i don't know. i just do. i talk. i complain to the heavens themselves, but they just want it in triplicate onwards!",2020-02-28 16:01:18+00:00,,,1233421927450107904,,https://twitter.com/Addictivist/status/1233421927450107904,1,0,singlemumlife20,
