text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
,2020-02-28 17:59:22+00:00,,,1233451641191489542,,https://twitter.com/BMore_Healthy/status/1233451641191489542,0,0,,
"name of facility: moravia mart address: 5016 sinclair lane, 21206",2020-02-28 14:31:23+00:00,,,1233399303143612416,,https://twitter.com/BMore_Healthy/status/1233399303143612416,0,1,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"name of facility: buena mexican grill address: 5016 sinclair lane, 21206 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-28 14:31:02+00:00,,,1233399212399824897,,https://twitter.com/BMore_Healthy/status/1233399212399824897,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"check out our ""statistics and data"" webpage, for our most recent presentation on the latest numbers related to the opioid epidemic. we will be rolling out more data and presentations in the days and weeks to come. https://health.baltimorecity.gov/stats-and-data publichealth opioidcrisis baltimore",2020-02-25 16:25:13+00:00,,#publichealth #opioidcrisis #Baltimore,1232340786152431618,,https://twitter.com/BMore_Healthy/status/1232340786152431618,0,2,,https://health.baltimorecity.gov/stats-and-data
health commissioner dr. letitia dzirasa has issued a code blue extreme cold weather alert for this evening into tomorrow morning,2020-02-20 15:32:25+00:00,,,1230515559684608003,,https://twitter.com/BMore_Healthy/status/1230515559684608003,0,1,,https://health.baltimorecity.gov/news/bmore-healthy-blog/2020-02-20-health-commissioner-declares-code-blue-extreme-cold-alert
"name of facility: wing stop address: 7611 harford road, 21234 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-19 19:18:57+00:00,,,1230210179196735489,,https://twitter.com/BMore_Healthy/status/1230210179196735489,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"name of facility: foodways market/carryout address: 1000 dundalk ave., 21224 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-18 15:03:46+00:00,,,1229783573651185671,,https://twitter.com/BMore_Healthy/status/1229783573651185671,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"name of facility: sullivan’s steakhouse address: 1 e. pratt st., suite 102, 21202 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-18 15:02:55+00:00,,,1229783358563135490,,https://twitter.com/BMore_Healthy/status/1229783358563135490,0,2,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"currently,  is presenting before the health committee on the topic of opioids in baltimore city. bmorehealthy – at baltimore city hall",2020-02-12 22:37:52+00:00,,#bmorehealthy,1227723523185160193,@DrTishCommish,https://twitter.com/BMore_Healthy/status/1227723523185160193,0,3,,
"name of facility: friend’s deli & grocery address: 3442 wilkens ave., 21229 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-10 20:49:40+00:00,,,1226971515805106179,,https://twitter.com/BMore_Healthy/status/1226971515805106179,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"every friday at the health department we dance to celebrate our successes for the week, get some exercise in, and to let loose! today is wearredday so we're also dancing to promote cardiovascular health for women! goredmd goredforwomen publichealth baltimore ",2020-02-07 22:38:52+00:00,,#WearRedDay #GoRedMD #GoRedForWomen #publichealth #baltimore,1225911834143838208,@heartmaryland,https://twitter.com/BMore_Healthy/status/1225911834143838208,0,1,,
"today is national black hiv/aids awareness day, and we’re in this together! nbhaad is observed annually on feb 7 to increase hiv education, prevention, testing, and treatment among black communities. learn more: http://bit.ly/cdc-nbhaad stophivtogether",2020-02-07 18:03:04+00:00,,#NBHAAD #HIV #StopHIVTogether,1225842428738985984,,https://twitter.com/BMore_Healthy/status/1225842428738985984,0,2,,http://bit.ly/CDC-NBHAAD
"thanks for bringing this to our attention! if this is the wendy's located at 3620 washington blvd, it falls in anne arundel county's jurisdiction. paging  for further investigation.",2020-02-07 16:35:57+00:00,,,1225820505254637576,@AAHealth,https://twitter.com/BMore_Healthy/status/1225820505254637576,1,0,hightop_shane,
"name of facility: family dollar address: 3432 frederick rd., 21229 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-06 21:49:47+00:00,,,1225537093008609280,,https://twitter.com/BMore_Healthy/status/1225537093008609280,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
,2020-02-06 20:42:26+00:00,,,1225520144497225732,,https://twitter.com/BMore_Healthy/status/1225520144497225732,0,0,,
"the john booth senior center on 2601 e. baltimore is closed today due to heating maintenance. if you have questions or need assistance, please call community services at 410-396-1337",2020-02-06 15:59:21+00:00,,,1225448903551717376,,https://twitter.com/BMore_Healthy/status/1225448903551717376,0,0,,
"name of facility: k & s gomez grocery address: 1301 n. luzerne ave., 21213 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-05 19:34:58+00:00,,,1225140778613248010,,https://twitter.com/BMore_Healthy/status/1225140778613248010,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
in downtown baltimore? right now were here at  with    discussing the impact the opioidcrisis has had on baltimore. join us! – at red emma’s,2020-02-05 16:28:52+00:00,,#Baltimore #opioidcrisis,1225093944649887751,@redemmas @RavenParis_ @President_Davo @AaronMMaybin,https://twitter.com/BMore_Healthy/status/1225093944649887751,0,4,,
"name of facility: cafe lorraine address: 2300 garrison blvd., 21216 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-04 17:30:15+00:00,,,1224747003982352385,,https://twitter.com/BMore_Healthy/status/1224747003982352385,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"name of facility: mama johns address: 2650 w. patapsco ave., 21230 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-02-03 21:08:35+00:00,,,1224439561431867392,,https://twitter.com/BMore_Healthy/status/1224439561431867392,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"name of facility: dakari soul food address: 3720 s. hanover st., 21225",2020-02-03 15:43:39+00:00,,,1224357789994274818,,https://twitter.com/BMore_Healthy/status/1224357789994274818,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"the baltimore city health department has been closely monitoring the outbreak of 2019 novel coronavirus (2019-ncov). to date, there have been no confirmed cases in baltimore city. for more information about the coronavirus, please visit our website https://health.baltimorecity.gov/novel-coronavirus-2019-ncov",2020-01-31 22:50:09+00:00,,,1223377957626007555,,https://twitter.com/BMore_Healthy/status/1223377957626007555,0,3,,https://health.baltimorecity.gov/novel-coronavirus-2019-ncov
name of facility: extasis address: 3927 lombard st. 21224 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures,2020-01-31 20:04:33+00:00,,,1223336284795686912,,https://twitter.com/BMore_Healthy/status/1223336284795686912,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
 event alert! join    on feb 5th for this important conversation! rsvp at https://eventbrite.com/e/92037132541 baltimore publichealth bchd,2020-01-31 16:42:53+00:00,,#baltimore #publichealth #bchd,1223285535692742658,@RavenParis_ @AaronMMaybin @President_Davo,https://twitter.com/BMore_Healthy/status/1223285535692742658,0,5,,https://eventbrite.com/e/92037132541
 event alert! join    on feb 5th for this important conversation! rsvp at https://eventbrite.com/e/92037132541 baltimore publichealth bchd,2020-01-30 20:38:47+00:00,,#baltimore #publichealth #bchd,1222982510587654147,@RavenParis_ @AaronMMaybin @President_Davo,https://twitter.com/BMore_Healthy/status/1222982510587654147,0,3,,https://eventbrite.com/e/92037132541
 event alert! join    on feb 5th for this important conversation! rsvp at https://www.eventbrite.com/e/92037132541 baltimore publichealth bchd,2020-01-30 18:33:38+00:00,,#baltimore #publichealth #bchd,1222951016703963141,@RavenParis_ @AaronMMaybin @President_Davo,https://twitter.com/BMore_Healthy/status/1222951016703963141,1,5,,https://www.eventbrite.com/e/92037132541
"name of facility: yama sushi address: 1030 west 41st st., 21211 https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures",2020-01-28 20:23:40+00:00,,,1222253932027752448,,https://twitter.com/BMore_Healthy/status/1222253932027752448,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
