text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
   american civil liberties union (aclu) where r u..yrs since the cdc's 2016 misguideline killed american medical care? why r u not fighting for millions of pain pts' rights to rx opioids? why r u not defending mds vs dea/doj oxymorons? https://twitter.com/aclu/status/1233503808136896514,2020-02-28 23:50:43+00:00,,,1233540060580065282,@Talkeetna101 @Tootwisted40 @StephenGeez,https://twitter.com/Borelmedwriter/status/1233540060580065282,0,4,,https://twitter.com/ACLU/status/1233503808136896514
 these facts are exposed in depth in my book.,2020-02-28 23:19:13+00:00,,,1233532134310195200,@fightpaindaily,https://twitter.com/Borelmedwriter/status/1233532134310195200,1,1,BlessingBox4u,https://twitter.com/BlessingBox4u/status/1233397362174955520
"""studies""! what's needed is treatment, not endless, nonsensical studies. who in the world can fully assess the pain of another? treat the damn (excusez-moi) pain with the efficacy of opioids, already! stop with the defensive talk, studies, blah, blah,blah. restore opioid scripts https://twitter.com/tootwisted40/status/1233502242046726146",2020-02-28 23:12:39+00:00,,,1233530483193020418,,https://twitter.com/Borelmedwriter/status/1233530483193020418,0,3,,https://twitter.com/Tootwisted40/status/1233502242046726146
"read american agony: the opioid war against patients in pain. it's all in there. everything, the pain pts, their mds, the gov't oxymorons cdc,va,doj,dea; the impropagenda, ""the suboxone hoax,"" ""the wrong arms of the law"" the latter about state attorneys-gen'l & doj/dea crimes... https://twitter.com/end_jrn/status/1233286449677684736",2020-02-28 22:26:54+00:00,,,1233518967010004993,,https://twitter.com/Borelmedwriter/status/1233518967010004993,0,1,,https://twitter.com/END_JRN/status/1233286449677684736
"it's all in my bk. they can: 1. quote from american agony 2. interview me..i've studied the subj for a concentrated 6 months (research/writing apr-oct 2019) 3. & as rn, once recovery rm (icu) head nurse + many other specialties, psychotherapist, medical writer, i've the creds.",2020-02-28 22:05:44+00:00,,,1233513643238662144,,https://twitter.com/Borelmedwriter/status/1233513643238662144,0,0,whoswise,https://twitter.com/whoswise/status/1233511248777695233
"it's o.k. to give this info to jama, bmj, et al. needed->a bk review &/or article on this other side of the opioid story. pls consider this, doctor. thx. i wrote 4 medical world news (i introduced positron-emission transaxial tomography decades ago)..copywriter on medicine avenue",2020-02-28 21:59:42+00:00,,,1233512124237914115,,https://twitter.com/Borelmedwriter/status/1233512124237914115,0,0,Borelmedwriter,https://twitter.com/Borelmedwriter/status/1233509912753385472
" hi, doc. thx for like. we truly need a courageous journalist(if there r any more left) to tell the real story about suffering pain pts, suiciding cold-turkeyed pain pts &amp; wrongfully-imprisoned opioid-prescribing mds. all specified in easy-to-read, well-quoted chapters",2020-02-28 21:50:55+00:00,,,1233509912753385472,@whoswise,https://twitter.com/Borelmedwriter/status/1233509912753385472,1,1,Borelmedwriter,https://twitter.com/Borelmedwriter/status/1233505847323615232
"agreed, dr. ahmed. setting up entrapment types of ""experiments"" provides for that foregone conclusion of ""study results"". ""these are the conclusions upon which my facts are based."" helen borel,rn,mfa,phd",2020-02-28 21:43:17+00:00,,,1233507990856138752,,https://twitter.com/Borelmedwriter/status/1233507990856138752,0,0,DrAhmedKazmi,https://twitter.com/DrAhmedKazmi/status/1233461994294071296
"is there a ""journalist,"" anywhere in america, with enuf courage to tell the other side of the opioid story to americans? if you r the one, your expert source is helen borel,rn,mfa,phd in american agony: the opioid war against patients in pain 2-min video https://youtu.be/mw-pmcab4zu",2020-02-28 21:34:46+00:00,,,1233505847323615232,,https://twitter.com/Borelmedwriter/status/1233505847323615232,0,0,,https://youtu.be/MW-pmcAb4ZU
"tylenol is not an appropriate medication postoperatively, for any operation! helen borel,rn,phd",2020-02-28 21:06:56+00:00,,,1233498845268660224,,https://twitter.com/Borelmedwriter/status/1233498845268660224,1,1,Canada_NV,
"investigative reporters - journalists, freelancers, cub reporters..a well-researched, clearly-presented article - even a series - demonstrating the many vital issues in ""the other side of the opioid story"" could be pulitzer prize material. 2-min. video https://youtu.be/mw-pmcab4zu",2020-02-28 21:04:21+00:00,,,1233498194761388034,,https://twitter.com/Borelmedwriter/status/1233498194761388034,0,2,,https://youtu.be/MW-pmcAb4ZU
" thx4like&amp;rt, fiza. the crisis pts in pain &amp; their paincare mds r suffering is directly attributable to horrible anti-medical policies by the pee-pees of gov't: pee 1 = dea gestapo-policing tactics pee 2 = doj kangaroo court prosecutions of opioid-prescribing mds.",2020-02-28 21:02:23+00:00,,,1233497700567523329,@FizaPathan,https://twitter.com/Borelmedwriter/status/1233497700567523329,0,2,,
"investigative reporters - journalists, freelancers, cub reporters...a well-researched, clearly-presented article - even a series - demonstrating the many vital issues in ""the other side of the opioid story"" could be pulitzer prize material. 2-min. video https://youtu.be/mw-pmcab4zu",2020-02-28 19:09:41+00:00,,,1233469337006231557,,https://twitter.com/Borelmedwriter/status/1233469337006231557,0,2,,https://youtu.be/MW-pmcAb4ZU
"that's medical malpractice! receptionist majored in medicine in secretarial schl? american healthcare has become a sham bec government goons run the profession of medicine! the physician must inform pt of condition, treatment plan, followup, etc. an rn can interpret. sec'y not! https://twitter.com/kaake_rn/status/1233422604658147328",2020-02-28 18:43:05+00:00,,,1233462644729884674,,https://twitter.com/Borelmedwriter/status/1233462644729884674,1,0,,https://twitter.com/kaake_rn/status/1233422604658147328
"get the dregs egregious a--holes (dea) out of medical practice. what've police to do with rx meds? american agony tells gov't to dissolve dea; chg from drug enforcemt admin'n to idea illicits drug enforcement agency only interdiction, dealer jailings, addicts to detox.period! https://twitter.com/lpray18/status/1233231962086760449",2020-02-28 05:22:16+00:00,,,1233261112256290816,,https://twitter.com/Borelmedwriter/status/1233261112256290816,0,1,,https://twitter.com/lpray18/status/1233231962086760449
"every pain pt in america, go here->https://seekingjusticeforpainpatients.com/ . fill out the class action form not only can u get ur opioid rxs restored, you'll get money damages as well! . such legal actions will scare dea &amp; med'l bds out of victimizing paincare mds soon saving all opioid scripts",2020-02-27 22:32:26+00:00,,,1233157974874521601,,https://twitter.com/Borelmedwriter/status/1233157974874521601,0,0,KittyTigerlily1,"https://seekingjusticeforpainpatients.com/,https://twitter.com/KittyTigerlily1/status/1233149223996153858"
"didn't i retweet a tweet the other day re some lawyer (?in texas) taking on a related case? by the way, my tweeple: in doctors' notes & nurses' notes shorthand, at least bef the emrs/ehrs invasion, these abbreviations were common: dx = diagnosis tx = treatment pt = patient",2020-02-27 22:13:30+00:00,,,1233153207716794369,,https://twitter.com/Borelmedwriter/status/1233153207716794369,1,0,KittyTigerlily1,https://twitter.com/KittyTigerlily1/status/1233134268383219712
