text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
maybe they can find a building where the addicts actually are! this is the future of harm reduction. just do it already!,2020-02-28 21:56:22+00:00,,,1233511284177432576,,https://twitter.com/CContrarus/status/1233511284177432576,0,0,painadvocateAR,
have only listened to a book or audible when driving across nebraska! they do make a 10-hour drive go so much faster!,2020-02-28 21:52:51+00:00,,,1233510398286008320,,https://twitter.com/CContrarus/status/1233510398286008320,0,0,KittyTigerlily1,
"well, we've seen that already w/ suboxone. what a spectacular failure.",2020-02-28 21:45:24+00:00,,,1233508524216475656,,https://twitter.com/CContrarus/status/1233508524216475656,0,1,RogueWolf2001,
please! don't anyone take on any more guilt bc you are being treated? every one that is being treated makes an excellent case for the rest of pps that should be getting their medicine!,2020-02-28 21:30:22+00:00,,,1233504741679697920,,https://twitter.com/CContrarus/status/1233504741679697920,4,5,Rosesdaughter61,
i can't imagine what he deals with! was hoping that site would open for addicts in kensington! thought it was going to open in kensington! why on earth ask an addict to cop their drugs in kensington-then travel to inject them? no 1 is going to take that second step!,2020-02-28 21:26:09+00:00,,,1233503681796083713,,https://twitter.com/CContrarus/status/1233503681796083713,0,0,TeriCottone,
no one should have ever called it a war. if it is a war it' a war on our own people! war implies that this will all end someday.,2020-02-28 21:14:42+00:00,,,1233500799021572097,,https://twitter.com/CContrarus/status/1233500799021572097,5,0,Kpascuch,
audible books are just the best during long drives. and when your vision is failing. they're a godsend for older folks.,2020-02-28 21:04:29+00:00,,,1233498230035337216,,https://twitter.com/CContrarus/status/1233498230035337216,0,1,RogueWolf2001,
i'm so sorry liz.,2020-02-28 20:52:09+00:00,,,1233495125059391488,,https://twitter.com/CContrarus/status/1233495125059391488,1,0,younginpain,
when will psychiatrists & psychologists simply admit that physical pain has little to do with behavioral health? so tired of the implication that physical illnesses are somehow a mental health issue.,2020-02-28 20:46:42+00:00,,,1233493752502636544,,https://twitter.com/CContrarus/status/1233493752502636544,1,6,reversechapter,
"kensington is where the addicts are. this could move the epicenter to a residential hood! ""the decision to locate the first site of its kind in residential south philadelphia, & not the kensington neighborhood north of the city’s downtown area has taken many by surprise.""",2020-02-28 20:39:26+00:00,,,1233491925581402114,,https://twitter.com/CContrarus/status/1233491925581402114,2,0,keesaroo,
they've already presented an insane bioweapon conspiracy that a worldwide pandemic was created to discredit trump. so no.,2020-02-27 17:12:27+00:00,,,1233077449119813632,,https://twitter.com/CContrarus/status/1233077449119813632,0,0,NoraBrup,
etta james!,2020-02-27 16:57:00+00:00,,,1233073559209050112,,https://twitter.com/CContrarus/status/1233073559209050112,0,0,SpicyPurritos,
good grief! did he think there was a cure for addiction? of course it's chronic. oh wait- he actully listened to kolodny tell him suboxone was a cure? who doesn't know that addiction is chronic?don't these people ever open a scientific publication?,2020-02-27 16:22:59+00:00,,,1233064997384704000,,https://twitter.com/CContrarus/status/1233064997384704000,1,2,painadvocateAR,
for those of us that don't know how a judge ruled 19 hours ago. yeah- thanks rick,2020-02-27 15:52:10+00:00,,,1233057241315414018,,https://twitter.com/CContrarus/status/1233057241315414018,0,1,TheRickWilson,https://www.reuters.com/article/us-google-lawsuit-censorship/google-defeats-conservative-nonprofits-youtube-censorship-appeal-idUSKCN20K33L
why do they continue to harp on rx medicine rather than on illicit street drugs? this is the best reason i can find. $( but not the way you probably think) & campaign donations! 2014 art. so the use of private attorneys has grown!,2020-02-27 01:53:08+00:00,,,1232846094071058432,,https://twitter.com/CContrarus/status/1232846094071058432,0,1,,https://www.nytimes.com/2014/12/19/us/politics/lawyers-create-big-paydays-by-coaxing-attorneys-general-to-sue-.html
nope- it's that someone somewhere might feel good!,2020-02-26 23:53:39+00:00,,,1232816025592221696,,https://twitter.com/CContrarus/status/1232816025592221696,0,0,drpammys,
lol,2020-02-26 23:52:37+00:00,,,1232815766006747137,,https://twitter.com/CContrarus/status/1232815766006747137,0,0,Bill_Maxwell_,
only the safety of the american people is important? then why was the cdc budget cut by 80% to give the top 1% a tax break. i hope they can say thanks from their sickbeds!,2020-02-26 23:50:50+00:00,,,1232815314703773696,,https://twitter.com/CContrarus/status/1232815314703773696,0,2,,
safe this- it saves so much time.,2020-02-26 23:47:48+00:00,,,1232814550174461952,,https://twitter.com/CContrarus/status/1232814550174461952,1,0,PhxWilliamD,
you do know democrats can play that game too?,2020-02-26 23:38:48+00:00,,,1232812287544586242,,https://twitter.com/CContrarus/status/1232812287544586242,0,0,PolitiKiss1600,
let's rt this!,2020-02-26 22:09:48+00:00,,,1232789888816205824,,https://twitter.com/CContrarus/status/1232789888816205824,1,3,KMorrison729,https://twitter.com/KMorrison729/status/1229662131215388672
"""wow, we'll save so much money in tax breaks!"" said only the top 1 %. who get sick as often as everyone else. a ship of fools w/o a rudder.",2020-02-26 21:43:44+00:00,,,1232783330149425152,,https://twitter.com/CContrarus/status/1232783330149425152,0,0,SenSchumer,
"this observation, delivered w/o emotion, holds my sanity together in x's of honest to god bizarre happenings. my motto? idk. it's simply the normalcy of the remark that helps. ""well, this can't be good."" after watching a bf regress & call me ""mommy"". wait for it- during sex! ",2020-02-26 21:37:15+00:00,,,1232781696224727042,,https://twitter.com/CContrarus/status/1232781696224727042,0,0,,
ty patti- rest up & back to the salt mines tomorrow?,2020-02-26 21:15:15+00:00,,,1232776161823846400,,https://twitter.com/CContrarus/status/1232776161823846400,1,0,Angelsgal02,
tired of pain. covered w/ a sheen of sweat that also brings on chills as breezes blow-by. no 1 is coming to save me from this. no longer go out of the house. recycling fills a room an nyer would pay rent for! for the first x idk how i accept this level of dysfunction. ,2020-02-26 21:02:59+00:00,,,1232773072840642560,,https://twitter.com/CContrarus/status/1232773072840642560,12,5,,
o my! call an upholsterer!,2020-02-26 18:36:04+00:00,,,1232736101040680960,,https://twitter.com/CContrarus/status/1232736101040680960,0,0,ViacomCBS,
"detest him also. yet, i would never wish another person sick. well, it's very tempting to dream about it though!",2020-02-26 18:12:07+00:00,,,1232730075205734401,,https://twitter.com/CContrarus/status/1232730075205734401,0,0,Trump_Detester,
ffs.,2020-02-26 18:08:36+00:00,,,1232729189083598848,,https://twitter.com/CContrarus/status/1232729189083598848,1,0,woutgorge,
"well, the day is young?",2020-02-26 18:02:25+00:00,,,1232727635131654144,,https://twitter.com/CContrarus/status/1232727635131654144,0,0,joanwalsh,
that is mixing up 2 different problems. just bec someone is snagging grandma's pills doesn't mean they'll become an addict. only people that take legal meds have a .02% addiction rate? no. that is the entire addiction rate for legal & illegal use. although they do have a thief.,2020-02-26 17:58:56+00:00,,,1232726756429185024,,https://twitter.com/CContrarus/status/1232726756429185024,3,1,PokerFaceJess,
that 1 stumped me too. i think warren got it right. her's wasn't personal-it was biblical. fine.,2020-02-26 17:43:49+00:00,,,1232722952124157952,,https://twitter.com/CContrarus/status/1232722952124157952,0,0,woutgorge,
how can people do this to their animals? mine is 11 & would be so lost if this happened to him! breaks my heart.,2020-02-26 17:41:10+00:00,,,1232722286844624897,,https://twitter.com/CContrarus/status/1232722286844624897,1,0,Berti_and_Ernie,
