text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"we are so grateful to have such great partners in consumer protection in connecticut, connecticut office of the , the , and so many more! ncpw2020 consumerprotection nationalconsumerprotectionweek",2020-02-28 19:19:21+00:00,,#NCPW2020 #ConsumerProtection #NationalConsumerProtectionWeek,1233471769308278785,@AGWilliamTong @ctbbb,https://twitter.com/CTDCP/status/1233471769308278785,0,1,,
check out today's release with more details:,2020-02-28 19:18:44+00:00,,,1233471615784116227,,https://twitter.com/CTDCP/status/1233471615784116227,1,0,,https://portal.ct.gov/DCP/News-Releases-from-the-Department-of-Consumer-Protection/2020-News-Releases/Consumers-Encouraged-to-Participate-in-National-Consumer-Protection-Week
" check your credit report for free. . if you donate to charity, make an annual giving plan. . visit connecticut’s 2020 census site, connecticut counts 2020. . organize contact information for your utility companies, and government agencies you work with.",2020-02-28 19:18:16+00:00,,,1233471499392212993,,https://twitter.com/CTDCP/status/1233471499392212993,1,0,,
next week is national consumer protection week! consumers can take a few easy steps during this time to protect themselves all year. here’s what we recommend --->,2020-02-28 19:18:02+00:00,,,1233471440072200194,,https://twitter.com/CTDCP/status/1233471440072200194,1,1,,
it was an honor to participate in the state’s blackheritagemonth celebration today. big thanks to the  for organizing the event and having us again this year! bhm,2020-02-28 02:21:19+00:00,,#BlackHeritageMonth #BHM #BHM,1233215572810313733,@ConnDAS,https://twitter.com/CTDCP/status/1233215572810313733,0,0,,
"thanks to principal damon pearce, civics teacher evelyn hudyma, new britain mayor , and  for having us!",2020-02-27 18:38:11+00:00,,,1233099023302766593,@erinstewartct @AGWilliamTong,https://twitter.com/CTDCP/status/1233099023302766593,0,0,,
"we had a great time talking with students at new britain high school about juul, vaping, and misleading advertising. it’s always helpful to get insight about what we can do to improve public health and safety from the people our decisions affect most.",2020-02-27 18:36:38+00:00,,,1233098632804651009,,https://twitter.com/CTDCP/status/1233098632804651009,1,1,,
"thank you to our partners at , the department of agriculture, and the  for having us! more info about our part in the program can be found at http://portal.ct.gov/hempmfg",2020-02-26 21:39:06+00:00,,,1232782165118717953,@UConnExtension @CTFarmBureau,https://twitter.com/CTDCP/status/1232782165118717953,0,1,,http://portal.ct.gov/hempmfg
"we oversee manufacturing of hemp consumables, meaning things like food and lotions containing hemp made in the state of connecticut. we also work to ensure lab testing of products is thorough in order to ensure public health and safety.",2020-02-26 21:35:04+00:00,,,1232781150252359685,,https://twitter.com/CTDCP/status/1232781150252359685,1,0,,
"we had a great time today at the connecticut 2020 hemp conference and trade show talking with businesses owners about their experiences. at dcp, we have a small, but important part of ct’s hemp pilot program.",2020-02-26 21:33:14+00:00,,,1232780688656564235,,https://twitter.com/CTDCP/status/1232780688656564235,1,0,,
