text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this is the link for the actual updated information for pui definition. your links sent me around the block to get there. https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-criteria.html?cdc_aa_refval=https%3a%2f%2fwww.cdc.gov%2fcoronavirus%2f2019-ncov%2fclinical-criteria.html,2020-02-28 22:02:10+00:00,,,1233512744432947204,,https://twitter.com/CandaceWinstea1/status/1233512744432947204,0,0,CDCgov,https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-criteria.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fclinical-criteria.html
"good luck! i tried to give a practice presentation after supper the other week, and when they are mobile, they just get up and leave the table! gotta up the entertainment for teen boys!! ",2020-02-28 14:52:44+00:00,,,1233404674595704832,,https://twitter.com/CandaceWinstea1/status/1233404674595704832,1,0,DrStellaYi,
"i wondered! it was hilarious, and the students loved it....so good learning? and really, how many amorphous different colored blobs and pac men can you put into a signal transduction pathway- gotta spice it up somehow! ",2020-02-27 23:01:07+00:00,,,1233165190868258817,,https://twitter.com/CandaceWinstea1/status/1233165190868258817,0,0,snakeymama,
"sooooo funny. immunology class, tcr signal transduction pathway: show animation from janeway text to class to get ready to draw out. someone did not ask teen boys when they designed the shapes of the molecules! slp-76 is excited to be a part of it! ",2020-02-27 17:41:59+00:00,,,1233084879690092544,,https://twitter.com/CandaceWinstea1/status/1233084879690092544,2,0,,
"uggh! like our students are not stressed enough? there are faculty that also say they have to have a publication to get in. i mean, yes, helpful to have all as & research pubs, but by no means required! do well, be well rounded, be compassionate & show you care in words and deeds",2020-02-25 04:22:50+00:00,,,1232158989430845441,,https://twitter.com/CandaceWinstea1/status/1232158989430845441,1,0,clairezagorski,
"my guy played a master class for jonah kim yesterday, as part of festival mozaic, & i can't stop thinking about what a brave musician and human he is!! he's an introverted perfectionist (kinda like his mamma) so it's tough to put himself out there, but he was amazing! ",2020-02-24 01:24:56+00:00,,,1231751833732833286,,https://twitter.com/CandaceWinstea1/status/1231751833732833286,1,0,,
sending the strength of beautiful mountains... best wishes your way!!,2020-02-20 22:25:36+00:00,,,1230619538384801793,,https://twitter.com/CandaceWinstea1/status/1230619538384801793,0,0,robingnelson,
"barrier alert!! md will only allow psych techs & np to dispense naloxone- so the person doing the trainings (100s of them at this point) often has to refer folks to another place/time to get their naloxone kit. we found an underground work around, but ridiculous shitty policy.",2020-02-19 21:27:30+00:00,,,1230242528093360129,,https://twitter.com/CandaceWinstea1/status/1230242528093360129,0,1,,
"i talked to my immunology class about ""be the match"" and bone marrow/stem cell donation. several students said they would sign up!",2020-02-19 04:08:20+00:00,,,1229981013243088896,,https://twitter.com/CandaceWinstea1/status/1229981013243088896,1,0,abgutman,
this kind of shit is what keeps me up at night....ugh- so ignorant.,2020-02-19 01:39:09+00:00,,,1229943472221589505,,https://twitter.com/CandaceWinstea1/status/1229943472221589505,0,0,tlupick,
"i know!!! so cute! and also, i'm so glad to be home getting comfy and ready to snuggle up with my guys. everyone has their fantasy dates! :-)",2020-02-15 03:56:11+00:00,,,1228528403969540097,,https://twitter.com/CandaceWinstea1/status/1228528403969540097,1,0,clairezagorski,
"i was just at pre vd happy hour with friends, and there was a young woman in a full red gown. never have i ever made that much effort for a date....impressive and sweet!",2020-02-15 03:52:48+00:00,,,1228527554400669696,,https://twitter.com/CandaceWinstea1/status/1228527554400669696,1,0,clairezagorski,
and one student included this at the bottom of her notes from the talk- happy to be bringing awareness (and more naloxone) out in the world!,2020-02-14 00:16:43+00:00,,,1228110788411310080,,https://twitter.com/CandaceWinstea1/status/1228110788411310080,0,0,,
someone did take a dose of nasal naloxone out of one of the kits we passed around (hopefully b/c they needed it!) - and also hope folks got message that we can provide a kit to anyone who wants it! just let us know!,2020-02-14 00:15:01+00:00,,,1228110357928890369,,https://twitter.com/CandaceWinstea1/status/1228110357928890369,1,0,,
"co-presentation at calpolyteachin on our overdose prevention/naloxone distribution program in the county jail. students excited to hear from jail md, but highlight was hearing from other student and alumni volunteers who do the trainings!",2020-02-14 00:13:10+00:00,,#CalPolyTeachIn,1228109895582408706,,https://twitter.com/CandaceWinstea1/status/1228109895582408706,1,1,,
"so many times. weekly. living up to the scattered prof stereotype. weirdly, in our dept every faculty has ""master"" key that unlocks all of our offices. so i can ask a different colleague each week. handy! front desk person hands me keys before i even open my mouth. embarrassing.",2020-02-10 20:59:44+00:00,,,1226974051605852160,,https://twitter.com/CandaceWinstea1/status/1226974051605852160,0,0,thePhDandMe,
"what company do you use? is the price comparable? i hope we are done waaaay ahead of time, but you know how it goes! ",2020-02-07 23:01:01+00:00,,,1225917408319139840,,https://twitter.com/CandaceWinstea1/status/1225917408319139840,2,0,stanyoshinobu,
fabric posters for conference presentation?? did i hallucinate this ? did you like them? i have students traveling to nm for a conference next month and was curious! would love to avoid the poster tube....,2020-02-07 22:32:41+00:00,,,1225910281122934784,@snakeymama,https://twitter.com/CandaceWinstea1/status/1225910281122934784,2,0,,
preach.,2020-02-06 17:18:12+00:00,,,1225468750746439680,,https://twitter.com/CandaceWinstea1/status/1225468750746439680,0,0,coreysdavis,https://twitter.com/coreysdavis/status/1225439728301854720
thanks! so helpful!,2020-02-05 15:02:51+00:00,,,1225072298505297921,,https://twitter.com/CandaceWinstea1/status/1225072298505297921,0,0,dlbernson,https://twitter.com/dlbernson/status/1225043896012627969
"thanks! i have a couple of student/volunteer/data wranglers doing just that (at least the numbers part). but unless i stay on top of it w/reminders, we get behind. just too many fires to put out, you know? it does make me appreciate funders who give more/ask less & trust us. ",2020-02-04 05:29:17+00:00,,,1224565566414807040,,https://twitter.com/CandaceWinstea1/status/1224565566414807040,0,0,SotheranL,
"so much this. and i wish i had it in me to totally blow it off, or just completely copy/paste it. ugh. i highly doubt anyone looks at it. but they did bother to send me a e mail reminder 2 days before it was due....so.",2020-02-04 05:01:44+00:00,,,1224558634178232321,,https://twitter.com/CandaceWinstea1/status/1224558634178232321,1,0,mattcurtisnyc,
"i'm writing a mid-year report for an $1800 grant for the sep. they also (of course) also require an end of the year report. i am trying (unsuccessfully) to not feel resentful about this. we need every dollar, but jeez this is a ridiculous amount of busy work for the payout. ",2020-02-04 04:23:48+00:00,,,1224549087627792385,,https://twitter.com/CandaceWinstea1/status/1224549087627792385,2,0,,
"for me, the year before- trying to get paper submitted, write grants, prep class & care for young kids. we sacrificed $to hire nanny, then she quit (preggo) & my husband & i came as close as ever have to divorce. sorry not more positive-it's been better since!",2020-02-01 21:13:13+00:00,,,1223715951574544384,,https://twitter.com/CandaceWinstea1/status/1223715951574544384,0,0,thePhDandMe,
"not necessary for abstract, usually not enough words to spare anyway, if you're like me! :-)",2020-01-30 02:02:48+00:00,,,1222701667524571136,,https://twitter.com/CandaceWinstea1/status/1222701667524571136,1,0,clairezagorski,
"at a cafe reading about health care access for my service learning class, waiting for youth symphony rehearsal to finish. two older ladies are *loudly* arguing about whether yoga promotes the devil...& i can't stop listening. (i need sound blocking headphones!) help!",2020-01-28 02:46:34+00:00,,,1221987903884021761,,https://twitter.com/CandaceWinstea1/status/1221987903884021761,0,0,,
"yep. and folks who really *should* know better perpetuate it. mds, ph folks etc. this one, and the touch/inhale fentanyl and you od myth are everywhere, and they do real harm. ugh. go forth and debunk good people. ",2020-01-27 17:24:44+00:00,,,1221846513669697553,,https://twitter.com/CandaceWinstea1/status/1221846513669697553,0,0,veruka2,
"ugh. this particular myth is so pervasive.... folks in my county all congratulating (themselves, mostly) about prescription rates going down, wondering why overdoses continue.....and increase. thanks for your work!",2020-01-27 16:03:36+00:00,,,1221826094514311169,,https://twitter.com/CandaceWinstea1/status/1221826094514311169,1,0,veruka2,
played cello in vivaldi’s 4 seasons w slo chamber orchestra today and this random handsome dude was playing in the bass section!! super fun! families that play music together....get great snacks on the way home!,2020-01-27 02:30:16+00:00,,,1221621413997531137,,https://twitter.com/CandaceWinstea1/status/1221621413997531137,1,0,,
"my community orchestra is playing all four of vivaldi's four seasons tomorrow! come join us for the lovely music, and yummy (performer provided) snacks at intermission! ",2020-01-25 20:59:36+00:00,,,1221175813581594624,,https://twitter.com/CandaceWinstea1/status/1221175813581594624,0,0,,
super shero! i am taking care of past tuesday me on fri. afternoon....and past me can eff off. ,2020-01-25 00:14:35+00:00,,,1220862491900571648,,https://twitter.com/CandaceWinstea1/status/1220862491900571648,0,0,robingnelson,
"listening to my 12yo practice allegro appassionato getting ready for a master class next month. hard work, not easy.... i'm proud of him!!",2020-01-21 03:10:59+00:00,,,1219457332368703493,,https://twitter.com/CandaceWinstea1/status/1219457332368703493,0,0,,
"""it’s 2020. be bold or get the hell out of the way"" needed this today! especially for academia- ""the harmfulness of our propensity to intellectualize is only matched by our delusion that we’re making progress through intellectualization"".",2020-01-20 15:40:05+00:00,,,1219283461883621377,,https://twitter.com/CandaceWinstea1/status/1219283461883621377,0,1,,https://nonprofitaf.com/2020/01/its-2020-be-bold-or-get-the-hell-out-of-the-way/
"some of our peeps at the sep love those- they don't carry many, but easy to stash! i want some of those rainbow stickers!! so cute!",2020-01-19 06:48:53+00:00,,,1218787393345445888,,https://twitter.com/CandaceWinstea1/status/1218787393345445888,0,0,ampeckham,
"ugh- that weird stupid guilt anxiety is so messed up! being with your new baby & partner, bonding & giving care are so important!! our priorities in this country are ass backwards, and i hope we can change in my lifetime! congrats and enjoy the snuggles....",2020-01-19 06:39:47+00:00,,,1218785104794804224,,https://twitter.com/CandaceWinstea1/status/1218785104794804224,0,0,mattcurtisnyc,
amazing people and inspiring messages....wmslo womensmarch2020,2020-01-19 00:18:43+00:00,,#wmslo #WomensMarch2020,1218689207213780993,,https://twitter.com/CandaceWinstea1/status/1218689207213780993,0,1,,
sexism/misogyny seems to be everywhere based on national politics. though it is a bit shocking to hear your small-ish town mayor interviewed by scott simon! makes me angry-but i think there are more of us than there are of them. at least- i'm going to the women's march today!,2020-01-18 14:45:57+00:00,,,1218545065947066368,,https://twitter.com/CandaceWinstea1/status/1218545065947066368,0,0,svdaedalus,
