text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"very worrisome. it seems they truly are attempting to rid the world of the ""useless eaters"".",2020-02-28 22:05:48+00:00,,,1233513660049391618,,https://twitter.com/Chronic_FLKeys/status/1233513660049391618,1,0,Jennife90117914,
"don't feel bad, y'all. i, for one, am happy you're still being treated!! it shows there really are physicians who care & that legal medication isn't the problem. ",2020-02-28 22:01:39+00:00,,,1233512615726452736,,https://twitter.com/Chronic_FLKeys/status/1233512615726452736,2,1,BostonBubbalooo,
"funny how rich they are, especially when you consider the whole ""camel through the eye of a needle"" thing. so corrupt.",2020-02-28 21:59:24+00:00,,,1233512046316212228,,https://twitter.com/Chronic_FLKeys/status/1233512046316212228,0,0,ldyhawkel,
"facing 250 sex abuse lawsuits, diocese of buffalo declares bankruptcy",2020-02-28 15:50:24+00:00,,,1233419187877482497,,https://twitter.com/Chronic_FLKeys/status/1233419187877482497,3,4,,https://www.wkbw.com/news/i-team/facing-250-sex-abuse-lawsuits-diocese-of-buffalo-declares-bankruptcy
indeed,2020-02-28 14:29:28+00:00,,,1233398818781175813,,https://twitter.com/Chronic_FLKeys/status/1233398818781175813,0,0,StarvinLarry,
people skipping medically necessary drugs because they cost too much,2020-02-28 05:39:36+00:00,,,1233265474722553856,,https://twitter.com/Chronic_FLKeys/status/1233265474722553856,5,22,,https://www.cnbc.com/2020/02/26/people-skipping-medically-necessary-drugs-because-they-cost-too-much.html
,2020-02-28 05:37:51+00:00,,,1233265032819023873,,https://twitter.com/Chronic_FLKeys/status/1233265032819023873,3,3,,https://thehill.com/regulation/court-battles/484995-justice-department-investigating-whether-dea-agent-killed-by-drug
reckitt benckiser takes $6.5 billion charge over formula deal,2020-02-28 05:36:40+00:00,,,1233264735509995520,,https://twitter.com/Chronic_FLKeys/status/1233264735509995520,1,1,,https://www.bloomberg.com/news/articles/2020-02-27/reckitt-benckiser-takes-6-5-billion-charge-over-formula-deal
"thank you so much for sharing, brian! ",2020-02-28 03:14:24+00:00,,,1233228933564370945,,https://twitter.com/Chronic_FLKeys/status/1233228933564370945,0,0,Tootwisted40,
i found many lies on just the 1st 5 pages of my hospital records i obtained a few weeks ago.,2020-02-27 19:11:46+00:00,,,1233107473277603840,,https://twitter.com/Chronic_FLKeys/status/1233107473277603840,0,1,CIAAG_Lauren,
"please continue sharing my fundraiser, & thank you so much for all your help!! https://www.gofundme.com/f/help-my-children-have-a-mother-a-little-longer?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=p_na+share-sheet&amp;pc_code=tw_co_dashboard_a&amp;rcid=aed78f81a07441edbcbf922770b26a73 ",2020-02-27 19:09:03+00:00,,,1233106790981787651,@gofundme,https://twitter.com/Chronic_FLKeys/status/1233106790981787651,0,1,,https://www.gofundme.com/f/help-my-children-have-a-mother-a-little-longer?utm_medium=social&utm_source=twitter&utm_campaign=p_na+share-sheet&pc_code=tw_co_dashboard_a&rcid=aed78f81a07441edbcbf922770b26a73
very succinctly put. ,2020-02-24 23:20:28+00:00,,,1232082896871198721,,https://twitter.com/Chronic_FLKeys/status/1232082896871198721,0,0,ajschanfield,
"sorry, i got majorly sidetracked. here's part 2.",2020-02-24 23:16:44+00:00,,,1232081957649035264,,https://twitter.com/Chronic_FLKeys/status/1232081957649035264,0,4,,https://youtu.be/8deCPp52x5Y
