text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
holding the dea accountable for illegally violating their own mandate which specifically prohibits them from interfering with a physicians ability to practice medicine. first? do no harm. defundthedea,2020-02-28 21:22:52+00:00,,#DeFundTheDEA,1233502855904079882,,https://twitter.com/CynicalVision50/status/1233502855904079882,0,0,fightpaindaily,https://twitter.com/fightpaindaily/status/1233268931869188097
older than “middle” age.,2020-02-28 21:15:56+00:00,,,1233501107621638145,,https://twitter.com/CynicalVision50/status/1233501107621638145,0,0,HTakesAction,https://twitter.com/HTakesAction/status/1233435387718250496
and phuqtrump too. it’s past time to remandtrumpintocustody we’ll call it “pre-trial detention” a russian puppet attacking america? crimes against humanity...ohhyeah. take’em all out ~,2020-02-28 21:05:19+00:00,,#PhuqTrump #RemandTrumpIntoCustody,1233498436105854978,,https://twitter.com/CynicalVision50/status/1233498436105854978,0,0,DogginTrump,https://twitter.com/DogginTrump/status/1233465794912116737
i’m betting that all the magats who refuse to buy corona beer are still more than glad to buy stolichnaya vodka~yep. they love russia.,2020-02-28 20:52:17+00:00,,,1233495156172652544,,https://twitter.com/CynicalVision50/status/1233495156172652544,0,0,ChrisJZullo,https://twitter.com/ChrisJZullo/status/1233407050429935616
"bernie’s been running for president for about five years. and he, all of a sudden, cares now? he’ll never support other dems. the fact he did it only for hrc is all about “looking” legit. what “democratic” nominee?",2020-02-28 18:49:37+00:00,,,1233464286913212417,,https://twitter.com/CynicalVision50/status/1233464286913212417,0,0,BernieSanders,https://twitter.com/BernieSanders/status/1233426634335608832
"no, that’s another lie jr. we only pray that your family gets quarantined. in prison.",2020-02-28 16:50:21+00:00,,,1233434271622352896,,https://twitter.com/CynicalVision50/status/1233434271622352896,0,0,realTuckFrumper,https://twitter.com/realTuckFrumper/status/1233414598751084546
"mike, you know better. trump only sucks dick...actions speak. words are useless.",2020-02-28 16:24:53+00:00,,,1233427865091350534,,https://twitter.com/CynicalVision50/status/1233427865091350534,0,0,realTuckFrumper,https://twitter.com/realTuckFrumper/status/1233424982652399618
"“food of the gods” is the most complete & immersive look at the history of plant based psychedelics. gotta admit, even after studying the work of gordon wassan, &. dr albert hoffman, i find myself coming back to it regularly. pretty sure i’m experiencing ‘separation anxiety’ ",2020-02-28 16:05:23+00:00,,,1233422955364913152,,https://twitter.com/CynicalVision50/status/1233422955364913152,0,0,N_amaste_,https://twitter.com/N_amaste_/status/1231585222501769216
"is there one book, above all others, that can be recommended for a patient & focused devotee’ that outlines the do’s & dont’s to start their own colonies & cultivate? being a lifelong fan, seems i’m too old to know the “cool kids”...suggestions? ",2020-02-28 15:59:09+00:00,,,1233421389870313472,,https://twitter.com/CynicalVision50/status/1233421389870313472,0,0,N_amaste_,https://twitter.com/N_amaste_/status/1232172747129786368
"what we see here is the effect of lsd. it literally makes the brain ‘notice & create’ connections between the left & right sides. expanding consciousness in the subject, to whom this is transformative, the increased ability to “look from the outside in” to correct bad behaviors ",2020-02-28 15:49:44+00:00,,,1233419019979497478,,https://twitter.com/CynicalVision50/status/1233419019979497478,0,0,N_amaste_,https://twitter.com/N_amaste_/status/1187008546115858433
