text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
excellent interview with  people should not be forced into one treatment model (that is 80 years old). let's always offer a broad range of effective recovery options that are clinically proven to help in recovery. many are just as easily documented.,2020-02-28 15:03:21+00:00,,,1233407346329686017,@billkinkle,https://twitter.com/EndlessSummer8/status/1233407346329686017,0,1,rhoadsoda,https://twitter.com/rhoadsoda/status/1233391548747911168
"yes and also this.-all brains learn to repeat that which brings reward. many have a predisposition to become addicted this way via 'more intense learning' . it can be difficult, but this learning can be unlearned as well. most of the damage follows the learning of the habit.",2020-02-28 09:18:03+00:00,,,1233320449767092224,,https://twitter.com/EndlessSummer8/status/1233320449767092224,0,0,,
"my real concern is that millions suffer in silence when good solid science-based methods exist but are largely unknown. criminal in my mind. again, well done to you, wishing you the best.",2020-02-27 16:26:30+00:00,,,1233065882026418176,,https://twitter.com/EndlessSummer8/status/1233065882026418176,1,1,EndlessSummer8,
i applaud you for stopping the way you did. the method is for those that have tried and cannot. whatever method works is great to hear. alcohol and gambling disorders are similar in many ways.,2020-02-27 15:40:19+00:00,,,1233054261375832065,,https://twitter.com/EndlessSummer8/status/1233054261375832065,2,0,GamblingHurts,
dr. david sinclair did the research on alcohol addiction long ago and found one astounding answer to cure the riddle of aud. he also believed deeply in the same treatment template being used for gambling and other disorders. can we keep denying that pavlov applies to us?,2020-02-27 15:17:54+00:00,,#alcohol #addiction #AUD #gambling #Pavlov,1233048620687142918,,https://twitter.com/EndlessSummer8/status/1233048620687142918,1,0,GamblingHurts,
"the opioid crisis gives the media something to focus on while they ignore the alcohol crisis and protect their revenue stream from the alcohol industry. plus this ... does your supermarket have three aisles dedicated solely to beer, wine and now ... liquor?",2020-02-27 13:16:10+00:00,,,1233017984349765632,,https://twitter.com/EndlessSummer8/status/1233017984349765632,1,1,fscarfe,
"love that you support ""medication to reduce cravings"". the best part is ... as your cravings lessen, so does the need for the medication. reaching both ""normal drinking"" or ""full abstinence"" without cravings is very doable using nalmafene or naltrexone.",2020-02-27 10:21:25+00:00,,,1232974006732705792,,https://twitter.com/EndlessSummer8/status/1232974006732705792,0,0,AlcoholChangeUK,
"this story is heartbreaking. people need a real science-based treatment that is 10 times more effective that what two guys came up with in 1939! it's 2020 ! this makes me so damn mad, people die without knowing https://youtu.be/6eghiy_s2ts the sinclair method. https://watch.amazon.com/detail?asin=b07nc3tvtr",2020-02-26 11:49:49+00:00,,,1232633866927706112,,https://twitter.com/EndlessSummer8/status/1232633866927706112,0,0,AlcoholChangeUK,"https://youtu.be/6EghiY_s2ts,https://watch.amazon.com/detail?asin=B07NC3TVTR"
"yes, not only do the nutrients need to be replenished daily, the cells of the body need time to function properly again (months). when they do they will rebuild damaged systems and organs (nervous, digestion, brain, liver, heart, skin and so on).",2020-02-25 14:40:42+00:00,,,1232314480513757184,,https://twitter.com/EndlessSummer8/status/1232314480513757184,0,0,,
"here is a graph of alcohol harm reduction in action, and better yet, harm elimination via pharmacological extinction.",2020-02-25 12:50:01+00:00,,,1232286626208002053,,https://twitter.com/EndlessSummer8/status/1232286626208002053,0,0,,
"i agree with that also. people should be offered an array of treatments including evidence-based, science-based treatments. wish we could accurately determine effectiveness of all treatments. having 12step mandated is not helpful for many people.",2020-02-25 12:20:30+00:00,,,1232279199622270978,,https://twitter.com/EndlessSummer8/status/1232279199622270978,0,0,davidthekick,
