text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"a ""little"" keyboard",2020-02-28 22:32:06+00:00,,,1233520277415514113,,https://twitter.com/EricMoffitt6/status/1233520277415514113,1,0,FretlessMonster,
"the cdc is doing the same exact thing. they are making decisions for patients on behalf of all doctors and are not seeing a single one of them. so, this is analogous. missouri | missouri doctor heading to jail for giving patients drugs without seeing them",2020-02-28 21:36:59+00:00,,,1233506408462721025,,https://twitter.com/EricMoffitt6/status/1233506408462721025,0,0,,https://www.newsbreakapp.com/n/0OGsJFLX?s=a2&pd=03kTJ1D7
"ethics and professional boundries training today. the dilemma. wrong answers only, please.",2020-02-28 19:27:28+00:00,,,1233473811066097667,,https://twitter.com/EricMoffitt6/status/1233473811066097667,0,1,,
"just got finished a discussion of the high rate of illiteracy that was a result of the no child left behind era of ""education"". pathetic.",2020-02-28 17:36:02+00:00,,,1233445770390536193,,https://twitter.com/EricMoffitt6/status/1233445770390536193,0,0,,
"this is one that i have a lot of personal knowledge of. as a matter of fact, it was a favorite cocktail for years. methylphenidate and hydromorphone as well.",2020-02-28 15:39:18+00:00,,,1233416394609451008,,https://twitter.com/EricMoffitt6/status/1233416394609451008,0,0,,https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-020-00360-9?utm_source=dlvr.it&utm_medium=twitter
i'm sure that they will. . . that's about all i got ryan. that's it. . . fuck them.,2020-02-28 15:17:15+00:00,,,1233410845029412864,,https://twitter.com/EricMoffitt6/status/1233410845029412864,0,0,Thesciencevort1,
tug o war. catahoula vs chug 2.0. dont underestimate the little dude. hes a firecracker.,2020-02-28 14:52:22+00:00,,,1233404582656606208,,https://twitter.com/EricMoffitt6/status/1233404582656606208,0,0,,
sorry  didnt mean to take that all out in your thread. yeah....sorry..... ,2020-02-28 14:45:37+00:00,,,1233402881610526720,@cyberadam26,https://twitter.com/EricMoffitt6/status/1233402881610526720,1,0,EricMoffitt6,
thank you. i may have been a little rash. my wife left me the week before. no easy way to say it. but i appreciate you correcting (very softly) my negative outburst. sorry.,2020-02-28 13:30:23+00:00,,,1233383949453418496,,https://twitter.com/EricMoffitt6/status/1233383949453418496,1,0,EkstrandMolly,
"i see a lot of higher and top level people trying to solve the problem with sweeping ideas and great, all encompassing strategies. . but if you break this health crisis down into its smaller, sometimes individual sets of problems it seems to me much easier to solve. just a ",2020-02-28 05:19:23+00:00,,,1233260386016776192,,https://twitter.com/EricMoffitt6/status/1233260386016776192,0,0,,
"about the same. poverty is poverty. trauma is trauma. drugs are drugs. i just dont speak french. and i'm sure that canada does not want ""my kind"" entering the great white north.",2020-02-28 03:07:52+00:00,,,1233227288298315776,,https://twitter.com/EricMoffitt6/status/1233227288298315776,1,0,roni_kgg,
alpha legion propaganda.,2020-02-28 01:20:40+00:00,,,1233200312711864320,,https://twitter.com/EricMoffitt6/status/1233200312711864320,0,0,techpriest,
