text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
soz couldn’t resist .... hope ya finger is okay bro... merry christmas ,2020-02-28 22:18:22+00:00,,,1233516822424621062,,https://twitter.com/GBMC73/status/1233516822424621062,0,0,AnthonyMorrow83,
some proppa cowardly nob heads about man.... like if ya gonna hate like hate or at least have the courage to tell a cop why you hate them... thats just mindless vandalism ,2020-02-28 22:10:42+00:00,,,1233514893908860929,,https://twitter.com/GBMC73/status/1233514893908860929,1,0,russmassie,
hope you didnt burn the turkey bro ,2020-02-28 22:08:38+00:00,,,1233514372674265091,,https://twitter.com/GBMC73/status/1233514372674265091,1,0,AnthonyMorrow83,
you inspire me sunny lad congratulations ,2020-02-28 22:07:42+00:00,,,1233514136115519488,,https://twitter.com/GBMC73/status/1233514136115519488,1,0,SunnyDhadley,
lincs police hq bro ,2020-02-28 20:34:36+00:00,,,1233490708138545153,,https://twitter.com/GBMC73/status/1233490708138545153,0,0,owenbaily1982,
this is a wonderful thing to read and when you really digest that you have cleared hepc at that service its bloody wonderful well done everyone .... keep going ,2020-02-28 18:24:44+00:00,,,1233458025719005191,,https://twitter.com/GBMC73/status/1233458025719005191,0,0,changegrowlive,
errrrrrrr!! i dont think so.... we have plans which your integral to so stop climbing on rooftops and they say im crackers aye great pic ,2020-02-28 17:52:39+00:00,,#rooftops,1233449951063093251,,https://twitter.com/GBMC73/status/1233449951063093251,1,0,rach_pharm,
"nope people not known to treatment services can have it, we take it out into the community in boro and redcar, just collect some basic details and run theought the naloxone check list then give over a kit",2020-02-28 17:35:54+00:00,,,1233445734378242051,,https://twitter.com/GBMC73/status/1233445734378242051,1,0,BinghamInfo,
honestly you and me are more alike than i care to admit your a proppa belta wor sooze ,2020-02-28 17:33:02+00:00,,,1233445012895076352,,https://twitter.com/GBMC73/status/1233445012895076352,1,0,Suziegal37,
good luck gemma ,2020-02-28 17:08:33+00:00,,,1233438855161884672,,https://twitter.com/GBMC73/status/1233438855161884672,0,0,Gemmalcole54,
agreed jason .... the impact of the current system impacts across every segment of society where drugs are concerned .... really pleased to be able support your event and shape some of the innovation  stated was required to bring about lasting change ,2020-02-28 15:08:52+00:00,,#innovation,1233408732647784450,@DameCarolBlack,https://twitter.com/GBMC73/status/1233408732647784450,0,0,DCCHarwin,
thanks  for the invite ,2020-02-28 14:38:36+00:00,,,1233401115712065537,@DCCHarwin,https://twitter.com/GBMC73/status/1233401115712065537,0,0,,
"buzzing to be asked to present  drug strategy event on tue i’m going to be discussing the importance of embedding peers &amp; pwud at the heart of system change &amp; discussing ways that folk with lived experience can coproduce across health, police &amp; education ",2020-02-28 14:27:37+00:00,,#Present #Drug #Strategy #peers #pwud #system #change #CoProduce,1233398352370376705,@LincsPolice,https://twitter.com/GBMC73/status/1233398352370376705,3,1,,
