text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
congratulations!! ,2020-02-28 23:54:27+00:00,,,1233540999764422657,,https://twitter.com/Gail_G_Scott/status/1233540999764422657,0,0,JohnLeverso,
thx for your reporting. the  advisory council 1/28 mtg had online/webinar option &amp; i dialed in &amp; saw the slides. i was surprised re: the selective choice of “prominent organizations” too! but didn’t know the public comment “summary”report wasn’t published elsewhere. 1/2,2020-02-28 17:24:38+00:00,,,1233442901239222273,@samhsagov,https://twitter.com/Gail_G_Scott/status/1233442901239222273,1,0,ADAWnews,
how terrible! i am so very sorry for your loss. ,2020-02-28 16:38:41+00:00,,,1233431335211061248,,https://twitter.com/Gail_G_Scott/status/1233431335211061248,0,0,tmkemps,
so very sorry for your loss ,2020-02-28 16:36:50+00:00,,,1233430869681016832,,https://twitter.com/Gail_G_Scott/status/1233430869681016832,0,0,JSheringo,
congratulations!,2020-02-28 16:00:47+00:00,,,1233421800547274752,,https://twitter.com/Gail_G_Scott/status/1233421800547274752,0,0,jcovvey,
" op-ed ! yes, clinicians can decline industry payments. conferences can too, like  44th annual mtg! note that cme *attempts* to keep industry to a clear ""vendor"" space(~not ideal) but  gave jnj both program branding and planning roles.",2020-02-27 19:58:34+00:00,,#JNJ,1233119249893351432,@VPrasadMDMPH @AMERSA_tweets @NYASciences,https://twitter.com/Gail_G_Scott/status/1233119249893351432,1,0,VPrasadMDMPH,
"speaking of conflicts of interest, the citizens for ethics nonprofit  has done the work, so we don't have to. their fact-checkers document 2-3 conflicts/day for our tweeter-in-chief. that's as of 2/27/2020 at 1 pm  . ethics coi https://twitter.com/crewcrew/status/1233097029603250177",2020-02-27 19:28:51+00:00,,#ethics #COI,1233111774746021889,@CREWcrew @OfficeGovEthics @TheJusticeDept,https://twitter.com/Gail_G_Scott/status/1233111774746021889,0,1,,https://twitter.com/CREWcrew/status/1233097029603250177
you can check out the june  program agenda here: https://www.nyas.org/events/2020/conflicts-of-interest-in-healthcare-opportunities-for-self-reflection-and-action/?tab=agenda and thanks to   for the reporting. closing my thread w/dr marc rodwin of 's thoughtful comments:,2020-02-27 18:00:03+00:00,,,1233089425502015489,@NYASciences @statnews @pharmalot @Suffolk_Law,https://twitter.com/Gail_G_Scott/status/1233089425502015489,1,0,,https://www.nyas.org/events/2020/conflicts-of-interest-in-healthcare-opportunities-for-self-reflection-and-action/?tab=agenda
"yet, pondering if i would boycott the program? i'd like to hear researchers on panels (  &amp; more) would i have agreed to speak? (reader, i was not invited.) maybe, if i paid my own way. i understand others would decline! what do you say? bioethics",2020-02-27 17:51:15+00:00,,#bioethics,1233087211542863872,@matthew_s_mccoy @VPrasadMDMPH,https://twitter.com/Gail_G_Scott/status/1233087211542863872,1,0,,
"my disclosure: i worked 16+ years in pharma sales. i saw influence of purported “unrestricted grants.” i am a whistleblower. i have also been on academic side managing ce/cme. yes, it’s a challenge to fund programs &amp; pay speaker expenses. healthpolicy change is hard. ethics",2020-02-27 17:46:26+00:00,,#pharma #healthpolicy #ethics,1233085998021718028,,https://twitter.com/Gail_G_Scott/status/1233085998021718028,1,0,,
"gov’t should fund academicdetailing. biomedical &amp; pharma should put $in a 3rd party blind pool for seminars, clinical education &amp; studies.  &amp; state ag's should too. but industry won’t as long as current system allows them to have influence. coi bioethics",2020-02-27 17:41:47+00:00,,#AcademicDetailing #pharma #COI #bioethics,1233084827903176705,@TheJusticeDept,https://twitter.com/Gail_G_Scott/status/1233084827903176705,1,0,,
"dr wolpe  argues industry has to be there. sure! but with jnj financially supporting the conference &amp; pharma vps on organizing committee, they own the table &amp; who sits at it. dr fugh-berman of  &amp; bmj's  says the conflict of interest is inappropriate.",2020-02-27 17:37:17+00:00,,#JNJ #pharma,1233083695554351105,@Parowo @pharmedout @fgodlee,https://twitter.com/Gail_G_Scott/status/1233083695554351105,1,0,,
"love 's report on big conference about ""healthcare conflict of interest""--sponsored by pharma! (not april fools.) folks,  &amp;  div. of med.ethics could choose to hold programs without industry $. but it's harder to pay for? oh well. coi thread",2020-02-27 17:29:08+00:00,,#pharma #COI,1233081645336535042,@pharmalot @NYASciences @nyuschoolofmed,https://twitter.com/Gail_G_Scott/status/1233081645336535042,1,0,pharmalot,https://twitter.com/pharmalot/status/1233042012506644480
"not ok for pa legislators to exempt themselves from open records laws, dissemble on expense reports, or redact who they meet with & why, when their constituents are paying the tab. you work for us. we expect more.",2020-02-27 14:52:10+00:00,,,1233042145004728320,,https://twitter.com/Gail_G_Scott/status/1233042145004728320,0,0,SpotlightPA,https://twitter.com/SpotlightPA/status/1233014843000655872
important story re: an ob-gyn challenging current oud tx guidelines. it notes how shame & stigma harm patients. curious why  editors &amp; author  compound the harm &amp; also ignore  guideline to use terms: “addict” &amp; “clean”? disappointing!,2020-02-27 14:44:01+00:00,,,1233040091045662721,@latimes @DelWilber @AP,https://twitter.com/Gail_G_Scott/status/1233040091045662721,0,0,,https://www.latimes.com/world-nation/story/2020-02-26/a-doctors-radical-treatment-for-pregnant-addicts-get-them-clean
here’s the announcement re: public comment on “mobile methadone” regulatory changes (also known as the methadone van rules)—with an april 27th deadline.,2020-02-27 09:32:10+00:00,,,1232961612195168258,,https://twitter.com/Gail_G_Scott/status/1232961612195168258,0,4,SotheranL,https://www.federalregister.gov/documents/2020/02/26/2020-03627/registration-requirements-for-narcotic-treatment-programs-with-mobile-components
⁦⁦⁩ -latest pharmacy co. denying that unrealistic metrics &amp; scheduling forces its pharmacists to operate under unsafe conditions; editing out info from report by their own consultant. ⁩  twitterx medtwitter ⁦⁩,2020-02-24 19:10:08+00:00,,#TwitteRX #medtwitter,1232019899389825029,@Walgreens @nytimes @egabler,https://twitter.com/Gail_G_Scott/status/1232019899389825029,1,0,,https://www.nytimes.com/2020/02/21/health/pharmacies-prescription-errors.html
congrat’s!! welcome to pa (soon.),2020-02-22 03:45:24+00:00,,,1231062405104513024,,https://twitter.com/Gail_G_Scott/status/1231062405104513024,1,0,Cassie_Boness,
congrat’s!!,2020-02-22 03:44:52+00:00,,,1231062270660284416,,https://twitter.com/Gail_G_Scott/status/1231062270660284416,0,0,travisclau,
congratulations! ,2020-02-22 00:30:12+00:00,,,1231013284561682432,,https://twitter.com/Gail_G_Scott/status/1231013284561682432,0,0,Drug_Researcher,
no one.,2020-02-22 00:30:12+00:00,,,1231013281202135040,,https://twitter.com/Gail_G_Scott/status/1231013281202135040,0,0,johnlegend,
interesting. your image doesn’t say where this is located?,2020-02-21 18:59:26+00:00,,,1230930044056481793,,https://twitter.com/Gail_G_Scott/status/1230930044056481793,0,0,liquidhandcuff3,
so sorry for your loss ,2020-02-20 20:10:00+00:00,,,1230585414299324421,,https://twitter.com/Gail_G_Scott/status/1230585414299324421,0,0,danielwalbert,
"not to pick on just 1 org—industry & academia are no better. it weighs on my mind, having worked in those fields too. how are we healthpolicy changeagents, or even allies, without representation/inclusion from all our communities— from the top down? ",2020-02-20 17:56:15+00:00,,#healthpolicy #changeagents,1230551753491460096,,https://twitter.com/Gail_G_Scott/status/1230551753491460096,0,0,,https://nonprofitaf.com/2017/09/7-things-you-can-do-to-improve-the-sad-pathetic-state-of-board-diversity/
"shatterproof leadership needs you-(young) nyc folks! shake things up perhaps too?! sadly, like majority of u.s. nonprofit bod’s, their directors +3 advisory boards, appear to be =?= 85% white men? that awesome  joined scientific board, but https://www.shatterproof.org/about/board",2020-02-20 17:14:37+00:00,,,1230541279219589121,@lipiroy,https://twitter.com/Gail_G_Scott/status/1230541279219589121,1,1,ShatterproofHQ,"https://www.shatterproof.org/about/board,https://twitter.com/ShatterproofHQ/status/1230505022909288448"
wow. sounds like changes are needed! ’s board members should be knowledgeable about the service/product (&amp; ideally passionate about public transportation!) good job on this reporting ,2020-02-20 15:37:21+00:00,,,1230516799059439618,@SEPTA @MaxMMarin,https://twitter.com/Gail_G_Scott/status/1230516799059439618,0,0,MaxMMarin,
i’m sorry for your loss.,2020-02-20 15:30:30+00:00,,,1230515076773236736,,https://twitter.com/Gail_G_Scott/status/1230515076773236736,1,0,whole_patients,
"the outlier sentence by judge samuel kline of lebanon co, pa also made sure the 36-year-old w/ovarian cancer didn’t go to the local jail- so county taxpayers didn’t have to pay for her care. she was convicted for stealing $110 in goods (which  offered to reimburse.)",2020-02-20 00:11:12+00:00,,,1230283725440724999,@JohnFetterman,https://twitter.com/Gail_G_Scott/status/1230283725440724999,0,0,EndOvercrim,https://twitter.com/EndOvercrim/status/1230160258062004224
 ,2020-02-19 23:58:58+00:00,,,1230280647622692865,,https://twitter.com/Gail_G_Scott/status/1230280647622692865,0,0,allofmilov,
"this is shameful ,especially rep. readsaw &amp; rep. kortz &amp; councilman coghill. heather kass made it clear who she is. you don’t get a pass for saying “addicts” should die + many other hateful things. yet you endorsed her for hd36 primary? ",2020-02-19 23:36:20+00:00,,#HD36,1230274952886202373,@AlleghenyDems,https://twitter.com/Gail_G_Scott/status/1230274952886202373,0,0,PghCurrent,https://twitter.com/PghCurrent/status/1230261549874413568
"thank you for your work, which has had a real impact on policy. congratulations on this well-deserved award!",2020-02-19 23:06:00+00:00,,,1230267318481117186,,https://twitter.com/Gail_G_Scott/status/1230267318481117186,0,0,lisagartner,
wow hang in there.,2020-02-19 22:23:36+00:00,,,1230256648658313218,,https://twitter.com/Gail_G_Scott/status/1230256648658313218,0,0,gertner_alex,
" is the first lady throwing some shade at the tweeter-in-chief? ""...too many people allow the of retweets or likes to define their self-worth."" + ""now more than ever...teaching healthy online behavior is crucial...""",2020-02-19 21:50:40+00:00,,,1230248360688390144,,https://twitter.com/Gail_G_Scott/status/1230248360688390144,0,0,TIME,https://twitter.com/TIME/status/1230236432213663744
