text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"the quote was from the wdel story on matt denn’s kick off event for his new non-profit, action for delaware’s children. i couldn’t attend as i had another appointment. sort of confirms what we were saying in the breakout group.",2020-02-28 22:49:12+00:00,,,1233524579835969537,,https://twitter.com/Gregs_Dad/status/1233524579835969537,1,0,DrMeghanWalls,
"""theoretically, we like to say that there's funding out there, but if we follow the funding, most times, it's not reaching the target audience that it's intended to,"" said (shanika)perry, acrtion for delaware children. same thing was said at bhc forum focus group. ",2020-02-28 20:29:28+00:00,,,1233489414560649223,@DrMeghanWalls,https://twitter.com/Gregs_Dad/status/1233489414560649223,1,0,,
"let’s provide real help, in the trenches, to help our most at risk children.",2020-02-28 20:13:03+00:00,,,1233485286056890368,,https://twitter.com/Gregs_Dad/status/1233485286056890368,0,0,acherry13,https://twitter.com/acherry13/status/1233388267069956096
"netde we hear much talk around edu in the state, yet our leaders refuse to fund public high school recovery programs for adolescents in recovery. kids in recovery have no choice but return to same environment where their addiction, in many cases, began.  ",2020-02-28 14:49:52+00:00,,#netDE,1233403952986836992,@leghall @delaware_gov,https://twitter.com/Gregs_Dad/status/1233403952986836992,0,0,brittanyhorn,https://twitter.com/brittanyhorn/status/1233391137043484672
"or as a mentor of mine used to say, “there are more horses’ asses than there are horses.”",2020-02-27 13:53:59+00:00,,,1233027500437069824,,https://twitter.com/Gregs_Dad/status/1233027500437069824,0,0,izzihughes_,
"continued great work! thank you, robin. changingperceptions",2020-02-27 02:27:15+00:00,,#ChangingPerceptions,1232854678603542528,,https://twitter.com/Gregs_Dad/status/1232854678603542528,0,0,NYPCLO,
this afternoon in new castle county . . . (open it for more details),2020-02-26 16:22:58+00:00,,,1232702604209205249,,https://twitter.com/Gregs_Dad/status/1232702604209205249,0,0,,
netde harm reduction overdosepreventionsites,2020-02-26 15:43:35+00:00,,#netDE #OverdosePreventionSites,1232692694503305217,,https://twitter.com/Gregs_Dad/status/1232692694503305217,0,0,aubreyjwhelan,https://twitter.com/aubreyjwhelan/status/1232691514733727747
"3/ microphones for candidate responses should also be on a timer and cut off at allotted time. that takes the moderator out of being a referee. do allow the moderator to be a ref, when the candidate strays from answering the question. candidates would lose their remaining time.",2020-02-26 15:16:41+00:00,,,1232685925135765504,,https://twitter.com/Gregs_Dad/status/1232685925135765504,0,0,,
2/ get rid of network news 'star' moderators. select an anonymous face to ask questions. have questions submitted by authorities on subjects. have general public submit questions about their concerns. all candidate microphones need to be on a timer that cuts after alloted time.,2020-02-26 15:16:41+00:00,,,1232685924384989186,,https://twitter.com/Gregs_Dad/status/1232685924384989186,1,0,,
