text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
press release – high school teacher arrested for second incident of sexual assault of student. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/teacher-arrested-for-sexual-assault-of-second-student/ unioncity hudsoncounty,2020-02-24 17:38:33+00:00,,#UnionCity #HudsonCounty,1231996853358649344,,https://twitter.com/HCPOProsecutor/status/1231996853358649344,0,1,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/teacher-arrested-for-sexual-assault-of-second-student/
"i'm honored to be part of this distinguished group of women as we discuss ""empowering the next generation."" thank you assemblywoman huttle for the invitation  womenshistorymonth",2020-02-24 13:33:14+00:00,,#womenshistorymonth,1231935115166613504,@valerie_huttle,https://twitter.com/HCPOProsecutor/status/1231935115166613504,0,0,,
press release – jersey city pastor orlando martinez-chavez was sentenced to eight years in state prison as a result of his conviction by a jury for the sexual assault of a ten-year-old girl. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/jersey-city-pastor-sentenced-to-eight-years-for-sexual-assault/ jerseycity hudsoncounty,2020-02-21 20:47:35+00:00,,#JerseyCity #HudsonCounty,1230957261201211393,,https://twitter.com/HCPOProsecutor/status/1230957261201211393,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/jersey-city-pastor-sentenced-to-eight-years-for-sexual-assault/
"congrats to hudson county prosecutor's office chief of detectives keith stith who was honored today by congressman donald m. payne, jr. during the congressman's annual black history month celebration. blackhistorymonth congratulations hudsoncounty",2020-02-21 20:04:00+00:00,,#BlackHistoryMonth #BlackHistoryMonth #Congratulations #HudsonCounty,1230946291246604290,,https://twitter.com/HCPOProsecutor/status/1230946291246604290,0,0,,
"thank you breaking the cycle & speakers ann marie d'aliso & charles williams who spoke today  school about non-violent conflict resolution, forgiveness &amp; suicide prevention, sharing powerful, personal stories. breakingthecycle suicideprevention conflictresolution",2020-02-20 17:44:28+00:00,,#BreakingTheCycle #SuicidePrevention #SuicidePrevention #ConflictResolution,1230548788328173568,@BayonneHigh,https://twitter.com/HCPOProsecutor/status/1230548788328173568,0,1,,
press release – a union city man was arrested and arraigned on an upgraded charge of aggravated manslaughter following a grand jury indictment for his involvement in a crash that caused the death of a north bergen woman. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/grand-jury-upgrades-charges-in-fatal-collision/,2020-02-19 21:06:00+00:00,,,1230237117206454277,,https://twitter.com/HCPOProsecutor/status/1230237117206454277,0,1,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/grand-jury-upgrades-charges-in-fatal-collision/
parents at emerson ms in union city attended a presentation by hudson county prosecutor's office svu lt. javier toro on child abuse & child safety. the event was organized w/the union city police department & ucpd det. bianca ramos diaz. communityoutreach hcpo hudsoncounty,2020-02-18 19:58:24+00:00,,#communityoutreach #HCPO #HudsonCounty,1229857718933917696,,https://twitter.com/HCPOProsecutor/status/1229857718933917696,0,3,,
press release – monmouth county man arrested in secaucus armed robbery and aggravated sexual assault at red roof inn. http://hudsoncountyprosecutorsofficenj.org/press_releases/man-arrested-in-armed-robbery-and-sexual-assault/ secaucus hudsoncounty,2020-02-14 21:06:28+00:00,,#Secaucus #HudsonCounty,1228425296929533957,,https://twitter.com/HCPOProsecutor/status/1228425296929533957,0,0,,http://hudsoncountyprosecutorsofficenj.org/press_releases/man-arrested-in-armed-robbery-and-sexual-assault/
press release – jersey city police officer convicted of official misconduct and theft by unlawful taking https://www.hudsoncountyprosecutorsofficenj.org/press_releases/police-officer-convicted-of-official-misconduct-and-theft/ jerseycity hudsoncounty,2020-02-13 21:36:02+00:00,,#JerseyCity #HudsonCounty,1228070350816239632,,https://twitter.com/HCPOProsecutor/status/1228070350816239632,0,1,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/police-officer-convicted-of-official-misconduct-and-theft/
the hudson county prosecutor’s office has acquired 100+ free narcan kits from the nj dept. of human services to provide to all hcpo detectives. narcan can help reverse the effects of an opioid overdose. narcansaveslives read press release here: https://bit.ly/2sdqb0o,2020-02-13 15:21:20+00:00,,#Narcan #opioid #narcansaveslives,1227976054364655616,,https://twitter.com/HCPOProsecutor/status/1227976054364655616,3,3,,https://bit.ly/2SDqb0O
