text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
" policies not only lead to deaths among the cpp population but now their further narrowsightedness causing death from covidー19. cdc has little public confidence, rightfully. useless entity, shameful behavior=public death",2020-02-27 19:09:11+00:00,,#CPP #COVID #CDC,1233106823449759744,@CDCgov,https://twitter.com/JGillespie67/status/1233106823449759744,0,0,,
below deck: to stop ashton from ever being on below deck ever again - sign the petition! http://chng.it/cjqqpgbc via ,2020-02-26 21:34:17+00:00,,,1232780949722562561,@Change,https://twitter.com/JGillespie67/status/1232780949722562561,0,0,,http://chng.it/cjQqpgBc
" jo biden is not the vice president, as gayle and tony addressed him this morning. mike pence is vice president! fyi obama/biden good years? nothing but financial devastation for americans; check his memory ",2020-02-10 16:20:36+00:00,,,1226903806308311040,@CBSThisMorning,https://twitter.com/JGillespie67/status/1226903806308311040,0,0,,
"the heart and brain are enormously affected by persistent untreated pain. as a busy mother, you,  can help by standing up for those with chronic pain. women, by and large, suffer more pain than men. now women are being forced through labor w/o pain mgt; shameful!",2020-02-05 17:48:03+00:00,,,1225113870945013760,@Surgeon_General,https://twitter.com/JGillespie67/status/1225113870945013760,0,0,Surgeon_General,
"both, mental health and circulatory health are adversely affected by in/under treated pain.  should know this. time to stop torturing law abiding americans with opiate disuse.",2020-02-05 17:45:32+00:00,,,1225113240973111296,@Surgeon_General,https://twitter.com/JGillespie67/status/1225113240973111296,0,3,Surgeon_General,https://twitter.com/Surgeon_General/status/1225055628143616000
"americans can count on  to rip up any idea not in alignment with her own ideas. she should retire, as her old ideas of rejecting those with differing values is past. she is part of a long past generation of old, out of date ideas. she fails to respect modern usa.",2020-02-05 17:43:08+00:00,,,1225112633717620736,@SpeakerPelosi,https://twitter.com/JGillespie67/status/1225112633717620736,0,3,,
"time for crusty, old ""nan""  to retire. she is woefully out of touch with americans; a relic of a by-gone-era type of ""ruling"". she represents the ""swamp"", like the tar pits of la brea. timetogonancy",2020-02-05 13:22:38+00:00,,#TimetogoNancy,1225047079107452928,@SpeakerPelosi,https://twitter.com/JGillespie67/status/1225047079107452928,0,2,,
" your actions demonstrated your level of disregard, disrespect and disdain for americans who both agree and disagree with you. the bigger, professional person buries their personal biases; clearly you are neither bigger nor professional. shameful ",2020-02-05 13:16:22+00:00,,,1225045500488900608,@SpeakerPelosi,https://twitter.com/JGillespie67/status/1225045500488900608,0,0,,
"rarely ice; if swelling. otherwise, it's quite simply intolerable.",2020-01-26 20:29:33+00:00,,,1221530636495642628,,https://twitter.com/JGillespie67/status/1221530636495642628,0,0,DanLairdMD,
"""hyperanalgesia"" is unproven. the idea opiates cause pain only floats if erectile dysfunction drugs cause impotence, cash income causes poverty and starvation causes obesity. cpp ",2019-12-31 21:45:33+00:00,,#CPP,1212127677194240001,,https://twitter.com/JGillespie67/status/1212127677194240001,0,2,docroland,https://twitter.com/docroland/status/1211319200486002690
"for some cpp opiates are all that is required. i've no use for all the bs stress and injury inducing ""multimodal"" cash schemes run by pain management clinics.",2019-12-31 21:43:32+00:00,,#CPP,1212127169918275584,,https://twitter.com/JGillespie67/status/1212127169918275584,1,0,Shelley_Latin,https://twitter.com/Shelley_Latin/status/1211413288208093184
" how can you parade andrew kolodny on your show while more than 100 million americans suffer without opiates to treat their pain. veterans are dying of 100% treatable, 100% preventable painsuicide daily. andrew kolodny is responsible for this eventuality.",2019-12-31 21:30:52+00:00,,#painsuicide,1212123981446172672,@CBSThisMorning,https://twitter.com/JGillespie67/status/1212123981446172672,0,0,,
⁦⁩ horrible driver cut us off almost causing an accident. driver 17-087 shame on you!,2019-12-18 15:35:55+00:00,,,1207323615148093447,@GardaWorld,https://twitter.com/JGillespie67/status/1207323615148093447,0,0,,
"the media claim, the us is the top consumer of the worlds opiates. false! india enjoys the top spot with twice the global use dea, cdc, doj, fbi all corrupt media perpetuates it. ccp 'safer opioid’ has sparked a crisis in vulnerable countries (from )",2019-12-13 17:23:48+00:00,,#CCP,1205538826245947392,@AP,https://twitter.com/JGillespie67/status/1205538826245947392,1,3,,https://apnews.com/56b0e448d317684a2344b5efcd9cca37
"interesting ""bedfellows"" https://www.facebook.com/1135507371/posts/10219509629948132?d=n&amp;sfns=mo",2019-12-03 17:34:40+00:00,,,1201917679805681665,,https://twitter.com/JGillespie67/status/1201917679805681665,0,0,,https://www.facebook.com/1135507371/posts/10219509629948132?d=n&sfns=mo
love ya pretty lady! hope you had a good thanksgiving wishing you a lovely christmas season just had my 8th lithotripsy. assaulted by the anesthesiologist; clearly anti cpp. it gets so old ,2019-12-01 19:36:29+00:00,,#CPP,1201223559990759424,,https://twitter.com/JGillespie67/status/1201223559990759424,1,0,HeatherLinda11,
the only thing cpp are free to do in the united states is suffer.,2019-12-01 19:31:04+00:00,,#CPP,1201222199027228672,,https://twitter.com/JGillespie67/status/1201222199027228672,1,1,,
this article says it all. relevant to more than 100 million plus people in pain in the usa. cpp,2019-12-01 19:30:11+00:00,,#CPP,1201221976766861317,,https://twitter.com/JGillespie67/status/1201221976766861317,0,1,,https://www.foxnews.com/health/readers-respond-to-special-report-about-the-opioid-crisis-unintended-victims-pain-sufferers-losing-access-to-painkillers
" thank you. i just wanted 2 add, it is almost impossible 2 affect pain patient's mental health status until pain is brought under control. i'm a forced tapered, terrorized cpp. got my pm back in july w/ a fabulous dr. everyone comments how different my demeanor is",2019-11-29 16:23:06+00:00,,#CPP,1200450118538776576,@Drcynthiarayna,https://twitter.com/JGillespie67/status/1200450118538776576,1,1,,
"liquid dilaudid is available to patients. if it works well for you iv, then it may work well as a subcutaneous injection. it lasts about 4 hours and is effective in 5 seconds.",2019-11-29 16:18:43+00:00,,,1200449018498650113,,https://twitter.com/JGillespie67/status/1200449018498650113,2,2,HeatherLinda11,https://twitter.com/HeatherLinda11/status/1081723175992344577
