text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
" unusual seeing lightening in the morning, the storm seems to be towards cleveland but could see a number of ground lightening strikes with thunder taking a number of seconds to be heard from the distance. on the edge of blue sky coming from greenslopes now.",2020-02-27 01:06:08+00:00,,,1232834264179212288,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232834264179212288,0,0,,
" paper wasps have made a nest outside the window upstairs lounge, luckily it is on the other side of the flywire screen, something long would be required to remove it from outside but wouldn't be wise to attack the nest as they would get aggressive and try to sting.",2020-02-26 11:16:00+00:00,,,1232625357032869888,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232625357032869888,0,0,,
" raven st connects onto prout st that gets back onto boundary rd to get back onto cavendish rd, so cuts out the lights at the old cleveland and boundary rd intersection that can queue until the lights change and wasn't out of the way to get home.",2020-02-26 08:52:12+00:00,,,1232589165339926528,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232589165339926528,0,0,,
 i had a psychologist appointment in carina yesterday and on the way home went left down raven st off old cleveland and apart from a sign out the front doesn't show the enormity of the loss of life in such a quiet street.,2020-02-26 08:47:14+00:00,,,1232587915814789120,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232587915814789120,1,0,,
 they have started at the western end of the street a couple of houses down and being in the middle of the townhouse complex insulated either side can only hear the works outside very slightly at times and the high fan mode on the air conditioner running is loud.,2020-02-25 11:46:35+00:00,,,1232270662326050816,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232270662326050816,0,0,,
" urban utilities have needed to dig up the road for access to the pipes and have closed the road, which isn't possible during school hours. there was some inaccurate information that circulated when it was thought they were going to turn the water off tonight.",2020-02-25 11:35:25+00:00,,,1232267855694974977,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1232267855694974977,1,0,,
 police shooting was directly inline with my former solicitors firm at 130 mary st. the response was overkill to mistake mental illness for terrorism to just shoot to kill and at close range should be aiming at stomach and not the chest as its less likely to kill.,2020-02-24 08:27:14+00:00,,,1231858108378439680,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1231858108378439680,0,0,,
 it would be far less costly for queensland to have the death penalty than to have mandatory life sentences for murder with lengthy minimums. life sentences just keep filling up the prison population.,2020-02-24 02:05:39+00:00,,,1231762078165131265,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1231762078165131265,0,0,,
" queensland police have become more and more trigger happy in recent years. the shooting on mary st was just outside my former solicitors office, police didn't seem to even try using a taser and the number of shots resembled more of an execution than self defence.",2020-02-24 01:54:17+00:00,,,1231759217142288385,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1231759217142288385,1,0,,
 the asbestos piping is being replaced and the water will be turned off at night from 9pm to 5am due to living next to schools. it is because of the asbestos risks to kids during school hours that urban utilities cannot remove the pipes during the day.,2020-02-22 04:24:48+00:00,,,1231072323257524225,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1231072323257524225,0,0,,
