text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
that's very of you. thanks.,2020-02-28 23:53:20+00:00,,,1233540718863368192,,https://twitter.com/KeithNHumphreys/status/1233540718863368192,0,0,ldelvalle,
that joke did suck.,2020-02-28 23:50:47+00:00,,,1233540077646761984,,https://twitter.com/KeithNHumphreys/status/1233540077646761984,0,0,michaelseid11,
excellent profile illuminates that anne case is exceptional not only in her intelligence but also in her compassion.,2020-02-28 23:47:01+00:00,,,1233539132107956224,,https://twitter.com/KeithNHumphreys/status/1233539132107956224,4,6,,https://www.ft.com/content/6f2ed9b6-582e-11ea-a528-dd0f971febbc
tip for bargain hunters: tickets to the new tour by rap star 50 cent only cost 45 cents because the opening act is nickleback.,2020-02-28 23:37:38+00:00,,,1233536770219872259,,https://twitter.com/KeithNHumphreys/status/1233536770219872259,2,2,,
prefer the flying tackle,2020-02-28 23:34:46+00:00,,,1233536049906929665,,https://twitter.com/KeithNHumphreys/status/1233536049906929665,0,0,haroldpollack,
it's all about the tongue.,2020-02-28 23:33:56+00:00,,,1233535838866243586,,https://twitter.com/KeithNHumphreys/status/1233535838866243586,0,0,donmoyn,
thanks i feel better now.,2020-02-28 22:57:06+00:00,,,1233526568888102912,,https://twitter.com/KeithNHumphreys/status/1233526568888102912,0,0,AthertonKD,
dyson's passing made me remember that i really need to throw out my old vacuum. it's just gathering dust.,2020-02-28 22:45:11+00:00,,,1233523571428712448,,https://twitter.com/KeithNHumphreys/status/1233523571428712448,1,1,,
"none of my business, but i worry that you are just moving too fast.",2020-02-28 21:13:02+00:00,,,1233500379918110720,,https://twitter.com/KeithNHumphreys/status/1233500379918110720,0,0,olgakhazan,
"the death toll of the opioid epidemic is higher than originally thought, researchers say",2020-02-28 20:01:57+00:00,,,1233482490502770688,,https://twitter.com/KeithNHumphreys/status/1233482490502770688,0,4,,https://www.washingtonpost.com/health/2020/02/28/opioid-deaths/
i think the only position in society for whom this represents advancement is the alcohol industry.,2020-02-28 19:00:03+00:00,,,1233466912497000448,,https://twitter.com/KeithNHumphreys/status/1233466912497000448,1,0,JHolmesSheff,
i guess that's true by definition.,2020-02-28 16:17:28+00:00,,,1233425998496063490,,https://twitter.com/KeithNHumphreys/status/1233425998496063490,0,0,PDXRandyLee,
do we have definitive data from the scottish experience yet?,2020-02-28 15:36:53+00:00,,,1233415785860583425,,https://twitter.com/KeithNHumphreys/status/1233415785860583425,1,0,VictimOfMaths,
"adolescence is peak initiation, and there is more binge drinking among college age individuals not in college than those in college.",2020-02-28 15:24:50+00:00,,,1233412752967794690,,https://twitter.com/KeithNHumphreys/status/1233412752967794690,0,1,,
