text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i just added “dr phil boyle - 26th feb 2020” to ldn radio show on vimeo:,2020-02-27 10:42:08+00:00,,#Vimeo,1232979220969742336,,https://twitter.com/LDNRTrust/status/1232979220969742336,0,0,,https://vimeo.com/channels/ldnradio/386996935
i just added “dr phil boyle - 26th feb 2020” to infertility on vimeo:,2020-02-27 10:42:07+00:00,,#Vimeo,1232979218381918215,,https://twitter.com/LDNRTrust/status/1232979218381918215,0,0,,https://vimeo.com/channels/1317999/386996935
i just added “dr phil boyle - 26th feb 2020” to ldn research trust on vimeo:,2020-02-27 10:42:07+00:00,,#Vimeo,1232979217454977024,,https://twitter.com/LDNRTrust/status/1232979217454977024,0,0,,https://vimeo.com/channels/ldnresearchtrust/386996935
i just added “dr phil boyle - 26th feb 2020” to ldn prescribers on vimeo:,2020-02-27 10:42:05+00:00,,#Vimeo,1232979208265183232,,https://twitter.com/LDNRTrust/status/1232979208265183232,0,0,,https://vimeo.com/channels/ldnprescribers/386996935
i just uploaded “23. robyn” to vimeo:,2020-02-24 18:41:24+00:00,,#Vimeo,1232012670041296900,,https://twitter.com/LDNRTrust/status/1232012670041296900,0,0,,https://vimeo.com/393496162
dr yusuf saleeby on the ldn radio show on 19th february 2020 dr saleeby is a functional & integrative medicine practitioner. utilizing ldn in practice for ai and lyme patients mostly. vimeo:,2020-02-21 16:33:23+00:00,,,1230893287449546756,,https://twitter.com/LDNRTrust/status/1230893287449546756,0,0,,https://vimeo.com/387655954
"i just added “dr yusuf saleeby, md - 19th feb 2020” to ldn prescribers on vimeo:",2020-02-21 15:56:21+00:00,,#Vimeo,1230883969270505472,,https://twitter.com/LDNRTrust/status/1230883969270505472,0,0,,https://vimeo.com/channels/ldnprescribers/387655954
"i just added “dr yusuf saleeby, md - 19th feb 2020” to ldn research trust on vimeo:",2020-02-21 15:56:18+00:00,,#Vimeo,1230883954674323457,,https://twitter.com/LDNRTrust/status/1230883954674323457,0,0,,https://vimeo.com/channels/ldnresearchtrust/387655954
"i just added “dr yusuf saleeby, md - 19th feb 2020” to ldn radio show on vimeo:",2020-02-21 15:56:18+00:00,,#Vimeo,1230883954053570561,,https://twitter.com/LDNRTrust/status/1230883954053570561,0,0,,https://vimeo.com/channels/ldnradio/387655954
dr yusuf saleeby on the ldn radio show on 19th february 2020 https://www.mixcloud.com/ldnrt/dr-yusuf-saleeby-19th-feb-2020/,2020-02-21 15:52:17+00:00,,,1230882946577510401,,https://twitter.com/LDNRTrust/status/1230882946577510401,0,0,,https://www.mixcloud.com/LDNRT/dr-yusuf-saleeby-19th-feb-2020/
"announcing the date for the 2021 ldn 3 day conference, hope you can save the date and attend :) when: june 4-7, 2021 where: hotel anthracite carbondale 25 south main street pa 18407 usa",2020-02-18 19:45:32+00:00,,,1229854482151788545,,https://twitter.com/LDNRTrust/status/1229854482151788545,0,0,,
the bahamas conference recordings and powerpoints are now ready check out https://www.ldnrtevents.com/pages/ldn-2020-bahamas,2020-02-18 19:39:55+00:00,,,1229853066200899584,,https://twitter.com/LDNRTrust/status/1229853066200899584,0,0,,https://www.ldnrtevents.com/pages/ldn-2020-bahamas
dr julia piper from the uk on the ldn radio show 12th feb 2020,2020-02-13 18:15:30+00:00,,,1228019884967284738,,https://twitter.com/LDNRTrust/status/1228019884967284738,0,0,,https://www.mixcloud.com/LDNRT/dr-julia-piper-12th-feb-2020/
i just added “dr julia piper - 12th feb 2020” to ldn prescribers on vimeo:,2020-02-13 18:13:03+00:00,,#Vimeo,1228019267502825472,,https://twitter.com/LDNRTrust/status/1228019267502825472,0,0,,https://vimeo.com/channels/ldnprescribers/386048216
i just added “dr julia piper - 12th feb 2020” to ldn radio show on vimeo:,2020-02-13 18:13:03+00:00,,#Vimeo,1228019266877902848,,https://twitter.com/LDNRTrust/status/1228019266877902848,0,0,,https://vimeo.com/channels/ldnradio/386048216
i just added “dr julia piper - 12th feb 2020” to ldn research trust on vimeo:,2020-02-13 18:13:03+00:00,,#Vimeo,1228019265577607176,,https://twitter.com/LDNRTrust/status/1228019265577607176,0,0,,https://vimeo.com/channels/ldnresearchtrust/386048216
i just added “pharmacist steve hoffart - 5th feb” to ldn radio show on vimeo:,2020-02-06 14:58:19+00:00,,#Vimeo,1225433544325042179,,https://twitter.com/LDNRTrust/status/1225433544325042179,0,0,,https://vimeo.com/channels/ldnradio/383978387
i just added “pharmacist steve hoffart - 5th feb” to ldn pharmacists on vimeo:,2020-02-06 14:58:18+00:00,,#Vimeo,1225433541917409280,,https://twitter.com/LDNRTrust/status/1225433541917409280,0,0,,https://vimeo.com/channels/ldnpharmacists/383978387
i just added “pharmacist steve hoffart - 5th feb” to ldn research trust on vimeo:,2020-02-06 14:58:17+00:00,,#Vimeo,1225433539321253888,,https://twitter.com/LDNRTrust/status/1225433539321253888,0,0,,https://vimeo.com/channels/ldnresearchtrust/383978387
stephen dickson bsc (hons) mrpharms has been working with ldn for over a decade in the uk. vimeo video:,2020-01-30 10:36:39+00:00,,,1222830981800976384,,https://twitter.com/LDNRTrust/status/1222830981800976384,0,0,,https://vimeo.com/383755500
i just added “pharmacist stephen dickson - 30th jan 2020” to ldn pharmacists on vimeo:,2020-01-30 10:09:08+00:00,,#Vimeo,1222824056300412932,,https://twitter.com/LDNRTrust/status/1222824056300412932,0,0,,https://vimeo.com/channels/ldnpharmacists/383755500
i just added “pharmacist stephen dickson - 30th jan 2020” to ldn radio show on vimeo:,2020-01-30 10:09:06+00:00,,#Vimeo,1222824046875811840,,https://twitter.com/LDNRTrust/status/1222824046875811840,0,0,,https://vimeo.com/channels/ldnradio/383755500
i just added “pharmacist stephen dickson - 30th jan 2020” to ldn research trust on vimeo:,2020-01-30 10:09:05+00:00,,#Vimeo,1222824040999669760,,https://twitter.com/LDNRTrust/status/1222824040999669760,0,0,,https://vimeo.com/channels/ldnresearchtrust/383755500
judy talks about living with sympathetic autonomic nervous system disorder vimeo video: https://vimeo.com/380774915 youtube video: https://youtu.be/p_c5mzr5dzm mixcloud audio:,2020-01-24 17:13:59+00:00,,,1220756647053811712,,https://twitter.com/LDNRTrust/status/1220756647053811712,0,0,,"https://vimeo.com/380774915,https://youtu.be/P_C5MZr5dzM,https://www.mixcloud.com/LDNRT/judy-patient-22nd-jan-2020/"
judy talks about living with sympathetic autonomic nervous system disorder on the ldn radio show 22nd january 2020 https://www.mixcloud.com/ldnrt/judy-patient-22nd-jan-2020/,2020-01-24 16:54:54+00:00,,,1220751843531378688,,https://twitter.com/LDNRTrust/status/1220751843531378688,0,0,,https://www.mixcloud.com/LDNRT/judy-patient-22nd-jan-2020/
michelle resendez fnp-c on the ldn radio show 15th jan 2020 michelle is a certified family nurse practitioner vimeo video: https://vimeo.com/382174745,2020-01-18 10:32:45+00:00,,,1218481343266545664,,https://twitter.com/LDNRTrust/status/1218481343266545664,0,0,,https://vimeo.com/382174745
i just added “michelle resendez fnp-c - 15th jan 2020” to ldn prescribers on vimeo:,2020-01-18 10:09:22+00:00,,#Vimeo,1218475460260179968,,https://twitter.com/LDNRTrust/status/1218475460260179968,0,0,,https://vimeo.com/channels/ldnprescribers/382174745
i just added “michelle resendez fnp-c - 15th jan 2020” to ldn research trust on vimeo:,2020-01-18 10:09:20+00:00,,#Vimeo,1218475453146595328,,https://twitter.com/LDNRTrust/status/1218475453146595328,0,0,,https://vimeo.com/channels/ldnresearchtrust/382174745
i just added “michelle resendez fnp-c - 15th jan 2020” to ldn radio show on vimeo:,2020-01-18 10:09:19+00:00,,#Vimeo,1218475449443065856,,https://twitter.com/LDNRTrust/status/1218475449443065856,0,0,,https://vimeo.com/channels/ldnradio/382174745
"ldn rt newsletter - 13th oct - https://mailchi.mp/ldnresearchtrust.org/newsletter-13th-oct, which includes, 50% discount code, publishes paper, conference in bahamas etc",2020-01-14 15:11:59+00:00,,,1217102065752858624,,https://twitter.com/LDNRTrust/status/1217102065752858624,0,0,,https://mailchi.mp/ldnresearchtrust.org/newsletter-13th-oct
susan garvin on the ldn radio show 8th jan 2020. susan shares her late husband jim's ms and ldn story. the ldn research trust would like to thank jim and susan vimeo video: https://vimeo.com/382189945 youtube: https://youtu.be/_fd2cqlj8yk mixcloud audio:,2020-01-09 12:33:50+00:00,,,1215250325017440257,,https://twitter.com/LDNRTrust/status/1215250325017440257,0,0,,"https://vimeo.com/382189945,https://youtu.be/_fd2cQLj8yk,https://www.mixcloud.com/LDNRT/susan-garvin/"
i just added “susan garvin - 8th jan 2020” to ldn advocates on vimeo:,2020-01-09 12:12:33+00:00,,#Vimeo,1215244970766061569,,https://twitter.com/LDNRTrust/status/1215244970766061569,0,0,,https://vimeo.com/channels/1318002/382189945
i just added “susan garvin - 8th jan 2020” to ldn radio show on vimeo:,2020-01-09 12:12:33+00:00,,#Vimeo,1215244969914650624,,https://twitter.com/LDNRTrust/status/1215244969914650624,0,0,,https://vimeo.com/channels/ldnradio/382189945
i just added “susan garvin - 8th jan 2020” to ldn research trust on vimeo:,2020-01-09 12:12:32+00:00,,#Vimeo,1215244964994531338,,https://twitter.com/LDNRTrust/status/1215244964994531338,0,0,,https://vimeo.com/channels/ldnresearchtrust/382189945
i just added “susan garvin - 8th jan 2020” to multiple sclerosis on vimeo:,2020-01-09 12:12:32+00:00,,#Vimeo,1215244964394938369,,https://twitter.com/LDNRTrust/status/1215244964394938369,0,0,,https://vimeo.com/channels/msldn/382189945
ldn rt new year newsletter - http://eepurl.com/gompl5,2020-01-04 17:36:30+00:00,,,1213514553146908672,,https://twitter.com/LDNRTrust/status/1213514553146908672,0,0,,http://eepurl.com/gOMPl5
"sherry was on the ldn radio show 1st january 2020 sherry suffered for so long before getting diagnosed with lupus, fibromyalgia, and degenerative arthritis. even then there was no cure or relief. vimeo: https://vimeo.com/380997454 youtube:",2020-01-04 12:15:01+00:00,,,1213433649829490688,,https://twitter.com/LDNRTrust/status/1213433649829490688,0,0,,"https://vimeo.com/380997454,https://youtu.be/ok5LkCKPL2o"
ldn rt new year newsletter - read all about what is happening in 2020 https://mailchi.mp/ldnresearchtrust.org/ldn-rt-new-year-newsletter,2020-01-01 16:09:10+00:00,,,1212405413058097152,,https://twitter.com/LDNRTrust/status/1212405413058097152,0,0,,https://mailchi.mp/ldnresearchtrust.org/ldn-rt-new-year-newsletter
"ldn radio show details for january 2020, did you miss any of the radio shows in december? you can catch up with the direct links, to 1000+ interviews and free conference presentations - https://mailchi.mp/ldnresearchtrust.org/ldn-radio-show-details-for-january-2020",2019-12-27 15:21:47+00:00,,,1210581549915103232,,https://twitter.com/LDNRTrust/status/1210581549915103232,0,0,,https://mailchi.mp/ldnresearchtrust.org/ldn-radio-show-details-for-january-2020
"misty rushing, crna on the ldn radio show25th dec 2019 misty rushing is a crna (nurse anesthesiologist) and a functional medicine advocate. youtube: https://youtu.be/4l-26vsoqac facebook group https://www.facebook.com/groups/sclerodermafm/",2019-12-27 15:10:06+00:00,,,1210578610995814404,,https://twitter.com/LDNRTrust/status/1210578610995814404,0,0,,"https://youtu.be/4L-26vSoqac,https://www.facebook.com/groups/SclerodermaFM/"
"i just added “misty rushing, crna - 25th dec 2019” to scleroderma, crest on vimeo:",2019-12-27 14:15:52+00:00,,#Vimeo,1210564959324844035,,https://twitter.com/LDNRTrust/status/1210564959324844035,0,0,,https://vimeo.com/channels/1318065/376221115
"i just added “misty rushing, crna - 25th dec 2019” to ldn radio show on vimeo:",2019-12-27 14:15:51+00:00,,#Vimeo,1210564958573989889,,https://twitter.com/LDNRTrust/status/1210564958573989889,0,0,,https://vimeo.com/channels/ldnradio/376221115
"i just added “misty rushing, crna - 25th dec 2019” to lymes disease on vimeo:",2019-12-27 14:15:51+00:00,,#Vimeo,1210564957781286913,,https://twitter.com/LDNRTrust/status/1210564957781286913,0,0,,https://vimeo.com/channels/1318011/376221115
"i just added “misty rushing, crna - 25th dec 2019” to ldn research trust on vimeo:",2019-12-27 14:15:51+00:00,,#Vimeo,1210564957693206530,,https://twitter.com/LDNRTrust/status/1210564957693206530,0,0,,https://vimeo.com/channels/ldnresearchtrust/376221115
"season greetings, prescribers, pharmacists etc - http://eepurl.com/gnppmj",2019-12-22 16:55:00+00:00,,,1208793066695475200,,https://twitter.com/LDNRTrust/status/1208793066695475200,0,0,,http://eepurl.com/gNPPMj
i just uploaded “sherry - 1st jan 2020” to vimeo:,2019-12-22 11:22:21+00:00,,#Vimeo,1208709353727021056,,https://twitter.com/LDNRTrust/status/1208709353727021056,0,0,,https://vimeo.com/380997454
i just added “sherry - 1st jan 2020” to pain on vimeo:,2019-12-22 11:17:17+00:00,,#Vimeo,1208708079145107456,,https://twitter.com/LDNRTrust/status/1208708079145107456,0,0,,https://vimeo.com/channels/ldnpain/380997454
i just added “sherry - 1st jan 2020” to arthritis - different forms on vimeo:,2019-12-22 11:17:17+00:00,,#Vimeo,1208708078213959680,,https://twitter.com/LDNRTrust/status/1208708078213959680,0,0,,https://vimeo.com/channels/1317945/380997454
i just added “sherry - 1st jan 2020” to lupus on vimeo:,2019-12-22 11:17:17+00:00,,#Vimeo,1208708077425479680,,https://twitter.com/LDNRTrust/status/1208708077425479680,0,0,,https://vimeo.com/channels/1318010/380997454
i just added “sherry - 1st jan 2020” to ldn research trust on vimeo:,2019-12-22 11:17:16+00:00,,#Vimeo,1208708076704063488,,https://twitter.com/LDNRTrust/status/1208708076704063488,0,0,,https://vimeo.com/channels/ldnresearchtrust/380997454
i just added “sherry - 1st jan 2020” to ldn radio show on vimeo:,2019-12-22 11:17:16+00:00,,#Vimeo,1208708076121014274,,https://twitter.com/LDNRTrust/status/1208708076121014274,0,0,,https://vimeo.com/channels/ldnradio/380997454
i just added “sherry - 1st jan 2020” to fibromyalgia on vimeo:,2019-12-22 11:17:16+00:00,,#Vimeo,1208708075768754179,,https://twitter.com/LDNRTrust/status/1208708075768754179,0,0,,https://vimeo.com/channels/fibromyalgia/380997454
i just added “bruce rose - 18th dec 2019” to ldn radio show on vimeo: https://vimeo.com/channels/ldnradio/377135784,2019-12-20 09:58:15+00:00,,#Vimeo,1207963416150904832,,https://twitter.com/LDNRTrust/status/1207963416150904832,0,0,,https://vimeo.com/channels/ldnradio/377135784
i just added “bruce rose - 18th dec 2019” to ldn research trust on vimeo: https://vimeo.com/channels/ldnresearchtrust/377135784,2019-12-20 09:58:15+00:00,,#Vimeo,1207963414330585088,,https://twitter.com/LDNRTrust/status/1207963414330585088,0,0,,https://vimeo.com/channels/ldnresearchtrust/377135784
i just added “bruce rose - 18th dec 2019” to the sinclair method on vimeo:,2019-12-20 09:58:15+00:00,,#Vimeo,1207963413269360650,,https://twitter.com/LDNRTrust/status/1207963413269360650,0,0,,https://vimeo.com/channels/1318254/377135784
i just added “bruce rose - 18th dec 2019” to alcohol use disorder on vimeo: https://vimeo.com/channels/1421403/377135784,2019-12-20 09:58:15+00:00,,#Vimeo,1207963412451475457,,https://twitter.com/LDNRTrust/status/1207963412451475457,0,0,,https://vimeo.com/channels/1421403/377135784
"thank you for your help and support in 2019! season greetings, prescribers, pharmacists etc - https://mailchi.mp/ldnresearchtrust.org/season-greetings-prescribers-pharmacists-etc",2019-12-19 16:14:16+00:00,,,1207695655499714560,,https://twitter.com/LDNRTrust/status/1207695655499714560,0,0,,https://mailchi.mp/ldnresearchtrust.org/season-greetings-prescribers-pharmacists-etc
"i just added “masoud rashidi, pharmd 11th dec 2019” to ldn pharmacists on vimeo:",2019-12-12 10:16:51+00:00,,#Vimeo,1205068993519931392,,https://twitter.com/LDNRTrust/status/1205068993519931392,0,0,,https://vimeo.com/channels/ldnpharmacists/373598965
"i just added “masoud rashidi, pharmd 11th dec 2019” to ldn research trust on vimeo:",2019-12-12 10:16:49+00:00,,#Vimeo,1205068984774733824,,https://twitter.com/LDNRTrust/status/1205068984774733824,0,0,,https://vimeo.com/channels/ldnresearchtrust/373598965
"i just added “masoud rashidi, pharmd 11th dec 2019” to ldn radio show on vimeo:",2019-12-12 10:16:49+00:00,,#Vimeo,1205068984346980352,,https://twitter.com/LDNRTrust/status/1205068984346980352,0,0,,https://vimeo.com/channels/ldnradio/373598965
ldn october seminars now available and more - http://eepurl.com/gmiial,2019-12-08 21:11:42+00:00,,,1203784239541575690,,https://twitter.com/LDNRTrust/status/1203784239541575690,0,0,,http://eepurl.com/gMiiAL
"the 4 october pain and autoimmune disease seminars the recordings and powerpoints now available social media recordings and powerpoints $10 per seminar for full details of speakers, bios etc go to https://www.ldnresearchtrust.org/2019-ldn-seminars",2019-12-05 10:41:54+00:00,,,1202538582784847872,,https://twitter.com/LDNRTrust/status/1202538582784847872,0,0,,https://www.ldnresearchtrust.org/2019-ldn-seminars
"dawn ipsen, pharmd on the ldn radio show 4th dec 2019 dawn ipsen, pharmd is owner and pharmacist of clark’s compounding pharmacy in bellevue, wa and kusler’s compounding pharmacy in snohomish, wa. youtube:",2019-12-05 10:25:53+00:00,,,1202534551693799424,,https://twitter.com/LDNRTrust/status/1202534551693799424,0,0,,https://youtu.be/gqYu8dUVCLo
"i just added “dawn ipsen, pharmd - 4th dec 2019” to ldn research trust on vimeo: https://vimeo.com/channels/ldnresearchtrust/375240214",2019-12-05 09:52:06+00:00,,#Vimeo,1202526048338038784,,https://twitter.com/LDNRTrust/status/1202526048338038784,0,0,,https://vimeo.com/channels/ldnresearchtrust/375240214
"i just added “dawn ipsen, pharmd - 4th dec 2019” to ldn pharmacists on vimeo: https://vimeo.com/channels/ldnpharmacists/375240214",2019-12-05 09:52:06+00:00,,#Vimeo,1202526047830511616,,https://twitter.com/LDNRTrust/status/1202526047830511616,0,0,,https://vimeo.com/channels/ldnpharmacists/375240214
"i just added “dawn ipsen, pharmd - 4th dec 2019” to ldn radio show on vimeo: https://vimeo.com/channels/ldnradio/375240214",2019-12-05 09:52:06+00:00,,#Vimeo,1202526046979010560,,https://twitter.com/LDNRTrust/status/1202526046979010560,0,0,,https://vimeo.com/channels/ldnradio/375240214
ldn october seminars now available and more 8 amazing presentations by pain specialists & expert ldn md's and pharmacists from 4 venues available at $10 per venue. the pain documentary etc - https://mailchi.mp/ldnresearchtrust.org/ldn-october-seminars-now-available-and-more,2019-12-04 15:10:35+00:00,,,1202243808479633409,,https://twitter.com/LDNRTrust/status/1202243808479633409,0,0,,https://mailchi.mp/ldnresearchtrust.org/ldn-october-seminars-now-available-and-more
