text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"thx. i was in a wreck. took to uab trauma. broke my hip, knee, fractured my l5 (already bad back) they did immediate knee, hip surgery after relocating hip in place 1st. pain is horrible ! 10mg of oxy per 4hrs ! now in rehab hospital to pt. can't walk, etc rply/when better",2020-02-21 22:38:43+00:00,,,1230985228816134144,,https://twitter.com/Loves_ChiChi/status/1230985228816134144,0,0,angismith2009,
" go bust street drug dealers! ""dirtiest ever agency""!!! https://www.wjhg.com/content/news/patients-shocked-about-local-clinic-fbi-and-dea-raid-568056881.html (i'm not! easy, safe for the dea )",2020-02-21 22:28:16+00:00,,,1230982599247527936,@DEAHQ,https://twitter.com/Loves_ChiChi/status/1230982599247527936,0,0,,https://www.wjhg.com/content/news/Patients-shocked-about-local-clinic-FBI-and-DEA-raid-568056881.html
 ,2020-02-20 02:17:57+00:00,,,1230315622187360256,,https://twitter.com/Loves_ChiChi/status/1230315622187360256,0,0,ForrestGriffin,
seeing them off. no one from who will step foot in china. so many lies behind this virus. the people being cut off never heard from again once caught posting videos with what's happening. never trust any government,2020-02-10 02:06:05+00:00,,,1226688757325291525,,https://twitter.com/Loves_ChiChi/status/1226688757325291525,0,0,DrTedros,
i would of loved to have seen him fight gsp & matt hughes back in their prime great fights they would have been. tony cracked me up. he kept mentioning if khabib could make the weight &amp; not eat sweets now i'm pumped ,2020-02-10 00:21:47+00:00,,,1226662512281739264,,https://twitter.com/Loves_ChiChi/status/1226662512281739264,0,0,Loves_ChiChi,
"i have been watching tony fights & wow! the energy, speed, elbow blows, great striking, he is excellent at striking and on the mat which makes a force to reckon with! a of times how fast he recovers coming up if took down. this will be a hell a fight!",2020-02-10 00:17:57+00:00,,,1226661546480328704,,https://twitter.com/Loves_ChiChi/status/1226661546480328704,1,0,Loves_ChiChi,
 ,2020-02-10 00:01:13+00:00,,,1226657336795766784,,https://twitter.com/Loves_ChiChi/status/1226657336795766784,0,0,ForrestGriffin,
 it sure is!,2020-02-08 23:36:41+00:00,,,1226288774197411847,,https://twitter.com/Loves_ChiChi/status/1226288774197411847,0,0,GetYerYaYasOut,
 ,2020-02-06 21:23:33+00:00,,,1225530494571425792,,https://twitter.com/Loves_ChiChi/status/1225530494571425792,1,1,skdmarc,
creative sure do miss chester a lot though ,2020-02-06 13:17:38+00:00,,,1225408208929509383,,https://twitter.com/Loves_ChiChi/status/1225408208929509383,0,0,dereklp,
the gif pic more attractive than her,2020-02-06 13:13:20+00:00,,,1225407124395696129,,https://twitter.com/Loves_ChiChi/status/1225407124395696129,5,6,cypress_mills,
sadly someone using the word trumpelytes or whatever it was ? won't understand the well written law you have written & defending such behavior & with her behavior. i can bet she doesn't care. voters like that destroy the country.,2020-02-06 13:11:02+00:00,,,1225406546819059714,,https://twitter.com/Loves_ChiChi/status/1225406546819059714,0,0,vkmomma,
