text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
on the microwave like sugar then in the coffee now that makes sense. im fine eith that possibly being it,2020-02-19 17:44:14+00:00,,,1230186343168274432,,https://twitter.com/MTNaughton83/status/1230186343168274432,0,0,,
little brother you and your girls selfish ass move not only took a week of my life my family's life stressed relationships it cost me with my dr. why ? i dont know but guarentee their immature asses are going to act like their non help was a problem it wasfor everyone but them,2020-02-19 17:43:32+00:00,,,1230186167405953024,,https://twitter.com/MTNaughton83/status/1230186167405953024,0,0,,
this tweet is reality. then to find out he went to the hospital and they offered a 90 day rehab. hmm i wonder why thats needed. betrayal is a bitch alot of that going around by those close to me and far.,2020-02-19 17:40:55+00:00,,,1230185506161299456,,https://twitter.com/MTNaughton83/status/1230185506161299456,1,0,,
portland or seattle pnw has soemthing brewing evil like,2020-02-18 05:50:07+00:00,,,1229644242223370240,,https://twitter.com/MTNaughton83/status/1229644242223370240,0,0,,
heres the thing ehats done is done and it's so sad srop lying i'm not going to hurt the guy i have known hes been up there. at this time he fould have swallowed a barrel or a bottle of tylenol for all i care. but you lying reflects extreme guilt and just plain stupidity,2020-02-16 10:37:50+00:00,,,1228991870534967298,,https://twitter.com/MTNaughton83/status/1228991870534967298,0,0,,
then a week after our daughter tells me mommy came home when it was morning time. then you agreed said i your. hotel to look up divorce shit. then you changes it to you didnt you sat at walmart and looked it up. but the eugene walmart closes at 11pm nowadays. so what is it,2020-02-16 10:06:58+00:00,,,1228984103778705408,,https://twitter.com/MTNaughton83/status/1228984103778705408,0,0,,
wish you would step back from that ledge my wife. before you capsize in all the lies you've been livin in,2020-02-16 08:59:03+00:00,,,1228967014145744896,,https://twitter.com/MTNaughton83/status/1228967014145744896,0,0,,
,2020-02-16 08:56:58+00:00,,,1228966486661709825,,https://twitter.com/MTNaughton83/status/1228966486661709825,0,0,,
i must have been really tense over the last week without meds cause my spine cant get comfortable. even with meds,2020-02-15 01:58:24+00:00,,,1228498764433743872,,https://twitter.com/MTNaughton83/status/1228498764433743872,0,0,,
,2020-02-14 03:33:32+00:00,,,1228160317550546946,,https://twitter.com/MTNaughton83/status/1228160317550546946,0,0,,
in this 3 part mini series  works as a bar tender at the flipperhug a woke bar in upper nyc. an 18 year old kid gets caught driving drunk with a shot glass covered in dna &amp; embalmingfluid alec is caught w/ under age boys smoking sherm frmldhd covered cigars busted,2020-02-14 03:19:43+00:00,,,1228156841273614336,@AlecBaldwin,https://twitter.com/MTNaughton83/status/1228156841273614336,0,0,,
 looks like alec just dropped some historically inaccurate comparison just to get himself an extra job on the next season of law nnd order hes the necromaniac necromantic cock sucking bar tender all with 2 seconds of bullshit   hate.,2020-02-14 03:04:16+00:00,,,1228152952717627395,@AlecBaldwin @POTUS @realDonaldTrump,https://twitter.com/MTNaughton83/status/1228152952717627395,0,0,,
piss poor uncompassionate immature treatment came naturally from ice cold dr w3n. but from you and your office is offensive it's so cold in the middle of winter. it also makes me wonder how you sleep at night just with the simple mistakes they repeat over & over plus your part,2020-02-14 02:40:18+00:00,,,1228146920272457728,,https://twitter.com/MTNaughton83/status/1228146920272457728,0,0,,
