text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
thought i read that iodine was used to sterilize water as in pandemic,2020-02-28 23:59:52+00:00,,,1233542366360981505,,https://twitter.com/PainPillsKill/status/1233542366360981505,0,0,jonnywakefield,
is iodine used to treat water?,2020-02-28 23:58:34+00:00,,,1233542038827786246,,https://twitter.com/PainPillsKill/status/1233542038827786246,1,0,banjo1357,
most got addicted to fentanyl after getting addicted to their powerful pain pills prescribed by a doctor and then taken away. they were tricked into thinking it was safe to take them. you must first understand the problem in order to solve it.,2020-02-28 23:49:23+00:00,,,1233539727514652672,,https://twitter.com/PainPillsKill/status/1233539727514652672,0,0,Rollofromthe818,
still trying to figure out why the naltrexone implant for opioid addiction wasn't pushed. do you know how many lives we could have saved?,2020-02-28 23:47:34+00:00,,,1233539269010034689,,https://twitter.com/PainPillsKill/status/1233539269010034689,0,0,derekmaltz_sr,
ding bat,2020-02-28 23:42:34+00:00,,,1233538013046673408,,https://twitter.com/PainPillsKill/status/1233538013046673408,0,0,seanhannity,
you're kidding me...,2020-02-28 23:10:26+00:00,,,1233529922431438850,,https://twitter.com/PainPillsKill/status/1233529922431438850,0,0,cnni,
so how does that affect all the children who shoot competitively & on teams?,2020-02-28 23:03:14+00:00,,,1233528114166353920,,https://twitter.com/PainPillsKill/status/1233528114166353920,0,0,GovernorVA,
"our children worked two jobs each, to pay for their college.",2020-02-28 20:31:17+00:00,,,1233489871806828545,,https://twitter.com/PainPillsKill/status/1233489871806828545,0,2,EdPaisleyCPA,
so a millionaire will pay for 6 people to go to college for 2 years? will those six people be americans or immigrants?,2020-02-28 20:30:20+00:00,,,1233489635436830729,,https://twitter.com/PainPillsKill/status/1233489635436830729,1,0,TXBonnieJean,
about the drag queen..... charges should be filed,2020-02-28 20:26:49+00:00,,,1233488749788647425,,https://twitter.com/PainPillsKill/status/1233488749788647425,0,0,RealJamesWoods,
