text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
ffs... tax cuts to curb a pandemic? i can't even,2020-02-28 23:32:59+00:00,,,1233535597521715200,,https://twitter.com/RNickGorton/status/1233535597521715200,1,5,,https://www.washingtonpost.com/business/2020/02/28/trump-coronavirus-tax-cuts/
we. are. doomed.,2020-02-28 23:30:58+00:00,,,1233535090765877248,,https://twitter.com/RNickGorton/status/1233535090765877248,1,1,ddale8,https://twitter.com/ddale8/status/1233509370824134657
gov newsom: the majority of service workers in ca have no sick leave & can't afford a single day of lost wages. this will spread like wildfire unless sick people stay home. why not make an emergency order to extend st disability to people staying home with covid-19?,2020-02-28 23:29:50+00:00,,,1233534806190739456,,https://twitter.com/RNickGorton/status/1233534806190739456,2,1,GavinNewsom,
"esp since the doc told the family that she'd never come off the vent. i mean srsly, what doc wants that? i suspect it was more the doc gave them a real assessment: she's going to die soon, if we tube her she'll live a bit longer but never come off the vent, but it's your choice.",2020-02-28 23:26:51+00:00,,,1233534054156394497,,https://twitter.com/RNickGorton/status/1233534054156394497,2,0,aribindi,
i totally get that it can be frustrating to see people give families unrealistic expectations that press them to ask for futile care thinking there is a small chance... however from the tone of the tweet i suspect there may be a teensy bit more to it.,2020-02-28 23:21:05+00:00,,,1233532603048742912,,https://twitter.com/RNickGorton/status/1233532603048742912,1,0,aribindi,
i feel like the dunning kruger graph is exponentially higher at the mt stupid peak among white men.,2020-02-28 23:18:57+00:00,,,1233532067394113536,,https://twitter.com/RNickGorton/status/1233532067394113536,0,1,,
"if we were a normal country that allowed people sick days i would totes be less worried. however, our service workers are some of the poorest paid. they can't afford to take 2 weeks off, so they'll be going to work with covid-19. it's going to spread like a summer wildfire.",2020-02-28 23:13:20+00:00,,,1233530653129314304,,https://twitter.com/RNickGorton/status/1233530653129314304,0,0,benzipperer,https://twitter.com/benzipperer/status/1233429074598645760
that's what we put in the morgan lenses...,2020-02-28 23:10:28+00:00,,,1233529930878603264,,https://twitter.com/RNickGorton/status/1233529930878603264,0,0,moreofustoday,
i hit at the perfect time where my presbyopia & myopia merged to give me slightly better far vision when i had to renew my dl last month that i was just barely able to squint & pass the test. now i have 10 years of no glasses requirement on my dl! i'm assuming i'll be blind then.,2020-02-28 23:05:55+00:00,,,1233528789457502208,,https://twitter.com/RNickGorton/status/1233528789457502208,0,0,DGlaucomflecken,
,2020-02-28 23:00:08+00:00,,,1233527332746301440,,https://twitter.com/RNickGorton/status/1233527332746301440,0,0,SnarkyMD,
telling any patient information and including that the patient was over 90. there are so few people over age 90 that this is considered a violation per hipaa.,2020-02-28 22:57:01+00:00,,,1233526547484569600,,https://twitter.com/RNickGorton/status/1233526547484569600,2,0,aribindi,
shit people are the best kind.,2020-02-28 22:55:42+00:00,,,1233526215270490112,,https://twitter.com/RNickGorton/status/1233526215270490112,1,0,SnarkyMD,
would be a shame if someone made a complaint to  via their complaint website that this idiot violated hipaa by telling a story about a patient of greater than 90 years. a damn shame. https://www.hhs.gov/hipaa/filing-a-complaint/complaint-process/index.html,2020-02-28 22:51:28+00:00,,,1233525151972519936,@HHSGov,https://twitter.com/RNickGorton/status/1233525151972519936,1,0,SnarkyMD,https://www.hhs.gov/hipaa/filing-a-complaint/complaint-process/index.html
,2020-02-28 22:44:40+00:00,,,1233523438028914688,,https://twitter.com/RNickGorton/status/1233523438028914688,0,0,DrJenGunter,
"cue the  snowflakes to whine that they're being bullied in 3... 2... don't want to be called nazi propagandists? stop stealing kids from their parents, putting them in concentration camps, and making propaganda films about violence against protesters.",2020-02-28 20:14:13+00:00,,,1233485576311099394,@CBP,https://twitter.com/RNickGorton/status/1233485576311099394,0,0,RAICESACTION,
,2020-02-28 20:09:20+00:00,,,1233484350383181829,,https://twitter.com/RNickGorton/status/1233484350383181829,0,0,LGBTPlusProud,
"unless you have migraines or a heart issue or you're a dog, telling you to stop caffeine is just needless cruelty.",2020-02-28 19:46:41+00:00,,,1233478647081820160,,https://twitter.com/RNickGorton/status/1233478647081820160,0,1,TheTattooedProf,
yes!,2020-02-28 18:54:27+00:00,,,1233465504452481026,,https://twitter.com/RNickGorton/status/1233465504452481026,0,0,ajplus,https://twitter.com/ajplus/status/1233459450259873792
many issues: the cdc gave the state of ca 400 test kits. 400... we don't even know how widespread it is because we can't test people. many americans have no sick days & work in low paying jobs so can't afford to stay home. most of these are customer service. and many more...,2020-02-28 18:34:49+00:00,,,1233460563356901376,,https://twitter.com/RNickGorton/status/1233460563356901376,1,0,quollhorreur,
"i'm an er doctor right between solano & sac county in ca. i live with a 93yo man (dan's dad). if i bring it home, there is a 15% chance he'll die. so not trusting anything trump's lying admin says since it was their fault we had undetected community spread. this is gonna be bad.",2020-02-28 18:05:52+00:00,,,1233453277901029376,,https://twitter.com/RNickGorton/status/1233453277901029376,1,0,quollhorreur,
obviously one of those is fake. you seriously expect us to believe gay trumpers exist?,2020-02-28 17:15:32+00:00,,,1233440612810018816,,https://twitter.com/RNickGorton/status/1233440612810018816,1,0,MSignorile,
the only good thing about this is mid speech he touches his mouth with his hand. keep being a face toucher mick... it's just a bad cold.,2020-02-28 17:13:17+00:00,,,1233440045169643520,,https://twitter.com/RNickGorton/status/1233440045169643520,0,0,cmclymer,
how are we even still alive?,2020-02-28 16:12:46+00:00,,,1233424816545226752,,https://twitter.com/RNickGorton/status/1233424816545226752,1,0,CNN,https://twitter.com/CNN/status/1233406525491814400
i'm not going to lie to save people's feelings: i will be so relieved when this festering boil on the taint of humanity finally drops dead. his irresponsible lies will kill people. the public health of our nation will be significantly improved by muzzling his gaping maw.,2020-02-28 16:08:30+00:00,,,1233423739322130432,,https://twitter.com/RNickGorton/status/1233423739322130432,1,0,nowthisnews,https://twitter.com/nowthisnews/status/1233286460721311744
sweet caroline...,2020-02-28 15:56:50+00:00,,,1233420807285555200,,https://twitter.com/RNickGorton/status/1233420807285555200,0,0,actioncookbook,https://twitter.com/actioncookbook/status/1233220136431124482
"i mean i'm ok with the steaks part. like if steaks prevent covid-19, i'm totes there.",2020-02-28 06:39:42+00:00,,,1233280599990755329,,https://twitter.com/RNickGorton/status/1233280599990755329,1,0,DrJenGunter,
though if obama was still potus i think the sheriff would be doing more along the lines in this version of jaws (middle of the clip).,2020-02-28 06:37:01+00:00,,,1233279923042709504,,https://twitter.com/RNickGorton/status/1233279923042709504,0,0,RNickGorton,https://youtu.be/olEbwhWDYwM
it's just like the beginning of jaws...,2020-02-28 06:31:59+00:00,,,1233278655259758593,,https://twitter.com/RNickGorton/status/1233278655259758593,1,0,choo_ek,
we. are. f*ucked.,2020-02-28 04:41:24+00:00,,,1233250827139108864,,https://twitter.com/RNickGorton/status/1233250827139108864,0,1,nytimes,https://twitter.com/nytimes/status/1233099503785455623
we. are. f*cked.,2020-02-28 04:40:40+00:00,,,1233250642354819072,,https://twitter.com/RNickGorton/status/1233250642354819072,0,3,DrMiguelPerales,https://twitter.com/DrMiguelPerales/status/1233115714652864513
,2020-02-27 20:13:14+00:00,,,1233122943946784768,,https://twitter.com/RNickGorton/status/1233122943946784768,0,0,daveriverz,
on the plus side less competition for my nieces/nephews.,2020-02-27 15:38:26+00:00,,,1233053788195282944,,https://twitter.com/RNickGorton/status/1233053788195282944,0,0,MollyJongFast,
damn,2020-02-27 15:26:51+00:00,,,1233050873107869697,,https://twitter.com/RNickGorton/status/1233050873107869697,0,0,MDaware,
yep. shits about to get real in ca.,2020-02-27 15:20:31+00:00,,,1233049278282522624,,https://twitter.com/RNickGorton/status/1233049278282522624,0,0,suemcmahon1217,
a pride of transgender healthcare providers.,2020-02-27 15:18:07+00:00,,,1233048676106244100,,https://twitter.com/RNickGorton/status/1233048676106244100,0,1,marklewismd,
a fuster of ed docs (derived from fuster cluck).,2020-02-27 15:16:59+00:00,,,1233048387584290816,,https://twitter.com/RNickGorton/status/1233048387584290816,1,0,MDaware,
the antivaxxers are already starting... use vitamin c and refuse quarantine! this is how science denialism kills.,2020-02-27 13:57:59+00:00,,,1233028508433051648,,https://twitter.com/RNickGorton/status/1233028508433051648,0,0,,
"also there are survivors left with permanent lung damage... so 2% die (1,200,000 if 20% of the us population gets it) and another few million are left with permanent lung damage. so yeah, totes nbd. ",2020-02-27 05:55:17+00:00,,,1232907033688465408,,https://twitter.com/RNickGorton/status/1232907033688465408,0,0,jessphoenix2018,
"wait... i'm trans. and i got all my childhood vaccines and... does that mean... oh wait, my bad. that's absolute f*cking bullsh*t. also why tf is this supposed to be a bad outcome even if it were true? would you rather have a trans kid or a dead one?",2020-02-27 05:50:10+00:00,,,1232905743189204992,,https://twitter.com/RNickGorton/status/1232905743189204992,1,0,gorskon,
bible college correspondence school?,2020-02-27 04:37:31+00:00,,,1232887460578779142,,https://twitter.com/RNickGorton/status/1232887460578779142,0,0,AsaRadix,
