text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"pavek for chittenden 6-5 kickoff, friday, 4/24, the pit",2020-02-28 21:43:32+00:00,,,1233508053481394177,,https://twitter.com/RSPavek/status/1233508053481394177,1,1,DustinTannerVT,
"today's bloomberg mailer promised a strong father figure, which is a little too on the nose. cut it out.",2020-02-28 21:29:18+00:00,,,1233504473802268681,,https://twitter.com/RSPavek/status/1233504473802268681,0,0,,
"kelly is standing firm, however. she promises not to vote for bloomberg unless she receives 50 more mailers. your move, mike. btv",2020-02-28 20:40:26+00:00,,#btv,1233492174131671040,,https://twitter.com/RSPavek/status/1233492174131671040,1,0,,
i wasn't sold on bloomberg until the 20th mailer. you know he cares about the environment because he says so on all of this paper. btv,2020-02-28 20:38:25+00:00,,#btv,1233491666109157383,,https://twitter.com/RSPavek/status/1233491666109157383,1,1,,
"if one more doctor tells me ""ibuprofen,"" i am going to lose it. :) :) :)",2020-02-28 20:25:49+00:00,,,1233488496825917440,,https://twitter.com/RSPavek/status/1233488496825917440,1,0,,
"awww that's so much pressure! ;) thank you, alex!",2020-02-28 15:18:11+00:00,,,1233411080170373121,,https://twitter.com/RSPavek/status/1233411080170373121,0,0,AlexSVenet,
"be still, my heart.",2020-02-28 15:17:51+00:00,,,1233410992874360832,,https://twitter.com/RSPavek/status/1233410992874360832,0,0,AlexSVenet,https://twitter.com/AlexSVenet/status/1233410747083972609
i will shoot a video later today; i will ask you to contribute $7. just be prepared. and if you want to beat the ask:,2020-02-28 15:15:46+00:00,,,1233410468842295298,,https://twitter.com/RSPavek/status/1233410468842295298,1,1,,https://secure.actblue.com/donate/pavek-for-vermont-1
i've been in recovery for seven years.,2020-02-28 12:19:37+00:00,,,1233366140811907073,,https://twitter.com/RSPavek/status/1233366140811907073,2,0,,
reminding myself of the reasons i'm running:,2020-02-28 03:40:36+00:00,,,1233235527521927168,,https://twitter.com/RSPavek/status/1233235527521927168,0,0,ourFSDP,https://twitter.com/ourFSDP/status/1233234927623299072
ugh,2020-02-28 03:14:52+00:00,,,1233229049830477825,,https://twitter.com/RSPavek/status/1233229049830477825,0,0,abgutman,
"spending a night talking to a friend who lost her grandfather to overdose, father to an officer involved shooting, and is struggling in a state that lacks adequate syringe exchanges. appreciate all that you have. goodnight.",2020-02-28 03:14:37+00:00,,,1233228985196318721,,https://twitter.com/RSPavek/status/1233228985196318721,0,0,,
bad joke?,2020-02-28 03:12:40+00:00,,,1233228498397024256,,https://twitter.com/RSPavek/status/1233228498397024256,2,0,abgutman,
thanks for getting to know me. everytime you say hello in public my heart skips a beat.,2020-02-28 02:59:04+00:00,,,1233225073533820928,,https://twitter.com/RSPavek/status/1233225073533820928,1,0,,
"i wasn't really living much of a life until i got on here and shared my recovery story. i met amazing people who supported me, encouraged me to go further. i used to wish people knew my name - and was still somehow terrified if they did. it's good to be connected.",2020-02-28 02:45:14+00:00,,,1233221594606112769,,https://twitter.com/RSPavek/status/1233221594606112769,2,0,,
"kelly is really getting into basketball. yelling at the tv, etc. when they announced on sportscenter last week that kyrie was out for the year, she let out a blood curdling scream. my wife loves kyrie irving.",2020-02-28 02:33:31+00:00,,,1233218644785717250,,https://twitter.com/RSPavek/status/1233218644785717250,0,0,,
