text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
 ,2020-02-28 21:06:10+00:00,,,1233498651340738560,,https://twitter.com/RebelEclectic/status/1233498651340738560,0,0,pamelakarnbach,
,2020-02-28 15:39:54+00:00,,,1233416542701965312,,https://twitter.com/RebelEclectic/status/1233416542701965312,0,0,,
link to watch isudcc meeting on this page..,2020-02-28 04:24:41+00:00,,,1233246621229555712,,https://twitter.com/RebelEclectic/status/1233246621229555712,1,0,,https://www.federalregister.gov/documents/2020/02/05/2020-02235/notice-of-meeting-for-the-interdepartmental-substance-use-disorders-coordinating-committee
"dulles was like a ghost town.. which is great, except when i need to find a bottle of pepsi ",2020-02-28 04:20:46+00:00,,,1233245636155334657,,https://twitter.com/RebelEclectic/status/1233245636155334657,1,0,,
"well, i just got on the plane before everyone else lol!",2020-02-28 04:18:29+00:00,,,1233245059920867329,,https://twitter.com/RebelEclectic/status/1233245059920867329,0,0,PatrickDoyle_35,
headed to dc for samhsa's 1st isudcc (interdepartmental substance use disorder coordination committee) meeting tomorrow.. you can watch the meeting live but i'll have to find that link when i land. here we go!,2020-02-28 02:03:03+00:00,,,1233210976423612417,,https://twitter.com/RebelEclectic/status/1233210976423612417,3,1,,
"option 2 sounds beautiful & peaceful but also potentially flare inducing & painful w/o long term benefits (unless i misunderstood). at least with option 1 you're making progress, whether it's succeeding at getting help or crossing off another hellcare profesh from the list ",2020-02-25 22:17:57+00:00,,,1232429553760587777,,https://twitter.com/RebelEclectic/status/1232429553760587777,1,0,LelenaPeacock,
i wouldn't be referring to those folks as experts lol.,2020-02-25 22:09:43+00:00,,,1232427479463272448,,https://twitter.com/RebelEclectic/status/1232427479463272448,0,0,LelenaPeacock,
"i imagine a survey for patients receiving generic bupe would be helpful also. if you create it, i'll help distribute it to private bupe fb groups & forums. i wish i could contribute but my plan d doesn't cover generic bupe. brand only.",2020-02-25 22:02:57+00:00,,,1232425777385345027,,https://twitter.com/RebelEclectic/status/1232425777385345027,0,0,DrKimSue,
"the delivery date calcultor & no same/next day shipping appears to be due to the storm that hasn't hit us yet. i would've order what i needed if it said thurs delivery & understood if i got a weather delay notice. but due to a friday delivery, i won't order the items at all.",2020-02-25 20:29:51+00:00,,,1232402350595284992,,https://twitter.com/RebelEclectic/status/1232402350595284992,0,0,AmazonHelp,
"here's items under ""same day delivery"". all show free delivery fri, feb 28th. something is wrong, please look into it. thank you!",2020-02-25 02:51:34+00:00,,,1232136024249307137,,https://twitter.com/RebelEclectic/status/1232136024249307137,2,0,RebelEclectic,
,2020-02-25 02:49:09+00:00,,,1232135414825279488,,https://twitter.com/RebelEclectic/status/1232135414825279488,0,0,RebelEclectic,
"i'm not just looking at 1 item in 1 category & misunderstanding the shipping times. all the items under daily deals, all recommended top books, phone accessories, handbags, moldable plastic, pens.. it doesn't matter what item i select. same day & next day not available in filter",2020-02-25 02:46:34+00:00,,,1232134766364897282,,https://twitter.com/RebelEclectic/status/1232134766364897282,2,0,AmazonHelp,
(i'm in michigan),2020-02-25 02:21:40+00:00,,,1232128496346042368,,https://twitter.com/RebelEclectic/status/1232128496346042368,2,0,RebelEclectic,
"i just tweeted about this, wth is going on?",2020-02-25 02:21:20+00:00,,,1232128413416161280,,https://twitter.com/RebelEclectic/status/1232128413416161280,1,0,XoKay111,
"what's going on with  prime delivery? all items i've looked at won't be delivered until friday! yet, early this morning the same items were next day. i don't normally freakout but nooooooo! this can't be happening right now!!!  amazonprime amazon",2020-02-25 02:19:33+00:00,,#AmazonPrime #amazon,1232127966567706624,@amazon @AmazonHelp,https://twitter.com/RebelEclectic/status/1232127966567706624,2,0,,
"if ur a photog selling used, higher end gear, pls clean it up, take bright quality photos &amp; don't list w/only 1 manufacturer pic. dirty iphone pics &amp; dirty items give the impression u didn't take care of ur gear &amp; the other says u don't want to sell or show ppl the actual item.",2020-02-24 22:13:55+00:00,,#photos,1232066151942950912,,https://twitter.com/RebelEclectic/status/1232066151942950912,0,0,,
psst! text correction needed.,2020-02-24 18:43:04+00:00,,,1232013089958178817,,https://twitter.com/RebelEclectic/status/1232013089958178817,0,0,LiamBendicksen,
"and you wonder why people with addiction don't trust medical systems, structures, personnel and settings.",2020-02-24 08:46:34+00:00,,,1231862971632095232,,https://twitter.com/RebelEclectic/status/1231862971632095232,0,0,MyHarmReduction,https://twitter.com/MyHarmReduction/status/1231742305457115140
"snorting k + doing whippets (together) was a go to of mine for long time.. but doing it in a church definitely beats the houses, cars, abandoned buildings and old fire house raves i've done it in! why a church of all places? seeking total enlightenment? or convenience.",2020-02-24 02:17:28+00:00,,,1231765054846066688,,https://twitter.com/RebelEclectic/status/1231765054846066688,0,0,filth_filler,
"it would be nice if they listed it or considered it though, i agree. i'd call around and say.. ""i'm in recovery, i'm looking for a long term compassionate pcp that can provide this and this.. are you able to do that for me?"" or i'd call my ins & ask them to find someone for me.",2020-02-22 10:03:35+00:00,,,1231157580803735563,,https://twitter.com/RebelEclectic/status/1231157580803735563,0,0,RebelEclectic,
"so i don't suggest looking for a pcp.. look for a good addiction specialist in network if there is one, and find out if they can care for all your needs. cuz finding a pcp that advertises they're recovery friendly is like looking for santa claus.",2020-02-22 09:47:21+00:00,,,1231153493857140736,,https://twitter.com/RebelEclectic/status/1231153493857140736,1,0,RebelEclectic,
i could write a lengthy reply.. i've been through hell w/drs and ins for yeeears. but when my medicaid ended & medicare began (ssdi) i looked for: •a young addiction & behaviorial specialist/pcp •w/good patient reviews •& complete online presence,2020-02-22 09:43:44+00:00,,,1231152586331435009,,https://twitter.com/RebelEclectic/status/1231152586331435009,1,0,billkinkle,
"besides the blatant disrespect and ignorance, i'm pretty sure this is illegal.",2020-02-19 23:55:46+00:00,,,1230279842748387329,,https://twitter.com/RebelEclectic/status/1230279842748387329,0,0,billkinkle,
"if your loved one is struggling w/ addiction, http://familyaddictioncoach.com can help! in ep 5,  of  talks to  &amp;  of  about his services &amp; the importance of family during recovery. full podcast ep↓ https://familyaddictioncoach.com/episode-5-how-family-addiction-coaching-helps-with-sean-fogler-and-bill-kinkle/",2020-02-19 23:51:16+00:00,,#addiction #family #recovery #podcast,1230278710902784008,@PatrickDoyle_35 @FACoachPodcast @billkinkle @sean_fogler @HPir,https://twitter.com/RebelEclectic/status/1230278710902784008,0,3,,"http://familyaddictioncoach.com,https://familyaddictioncoach.com/episode-5-how-family-addiction-coaching-helps-with-sean-fogler-and-bill-kinkle/"
"it is when certain individuals, or a community of people are singled out for drug testing.",2020-02-19 23:33:02+00:00,,,1230274119452811264,,https://twitter.com/RebelEclectic/status/1230274119452811264,0,0,FReddiejaywrite,
