text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"i stand by you carrie . you stated it beautifully. it’s interesting, when you look closely, compare a persons actions to what they say....it all becomes very clear. as my mom said, actions speak louder than words.",2020-02-28 14:44:56+00:00,,,1233402712345104384,,https://twitter.com/Shasta_Rayne/status/1233402712345104384,2,0,life_is_art___,
sorry guys. here is the screenshot. i didn’t realize everyone was blocked. my bad.,2020-02-28 13:06:52+00:00,,,1233378032309551105,,https://twitter.com/Shasta_Rayne/status/1233378032309551105,2,0,,
thank you. i would really like to know the answer.,2020-02-28 06:18:32+00:00,,,1233275271815368706,,https://twitter.com/Shasta_Rayne/status/1233275271815368706,0,0,Danniedean5,
 hi there! i noticed you &amp; i wanted to reach out. i'm new to video editing &amp; am teaching myself fcpx. this screenshot is using that fcpx. i am in love with editing &amp; having a great time but i am new to it. i am interested in your product. do you have a website?,2020-02-28 05:19:32+00:00,,,1233260425476599808,@IntroMa21622672,https://twitter.com/Shasta_Rayne/status/1233260425476599808,1,1,,
thank you dee! that is what we saw when we were reading the documents. i try to share all that i find & i do like to have the opportunity to digest it before i release it. i've been slow moving lately as i've been busy so i feel bad about that but i'm plugging away as best i can,2020-02-28 05:16:14+00:00,,,1233259591552520193,,https://twitter.com/Shasta_Rayne/status/1233259591552520193,1,1,Deeenst,
thank you for checking it out! i'm still trying to get through the document so that i can present it & then i will release it for everyone to examine for themselves. i will get to it soon. rest well tonight & take care,2020-02-28 05:12:53+00:00,,,1233258748921053184,,https://twitter.com/Shasta_Rayne/status/1233258748921053184,1,2,Danniedean5,
nice! that sounds like fun. i have been booking through expedia all these years but i just love  and they fly out of a small airport by my home so i am hoping to use them consistently in the future. i love their helpful employees &amp; fast inflight wifi speed,2020-02-28 04:49:30+00:00,,,1233252865856028673,@AlaskaAir,https://twitter.com/Shasta_Rayne/status/1233252865856028673,0,0,Canada_NV,
we were never trying to assign blame. we reported things as they came up. there are issues with the pain strategy/research and that is the focus of our work. we do not focus on the cdc but rather all agencies and how the whole picture of how healthcare is changing.,2020-02-28 04:37:49+00:00,,,1233249924591960064,,https://twitter.com/Shasta_Rayne/status/1233249924591960064,0,1,BostonBubbalooo,
"i really do hope you will examine our work and if you do find a slanderous statement, please let me know. also you can watch my videos at https://www.pscp.tv/shasta_rayne/1mrxmqdeerqxy and here https://www.youtube.com/channel/uca-jnp-fblo554mk0gw27sq?view_as=subscriber thank you for your concern and your comment",2020-02-28 04:34:27+00:00,,,1233249076159766528,,https://twitter.com/Shasta_Rayne/status/1233249076159766528,0,0,,"https://www.pscp.tv/Shasta_Rayne/1mrxmQDeerQxy,https://www.youtube.com/channel/UCA-jNP-FBlo554mK0gw27sQ?view_as=subscriber"
we present what we find and let others decide for themselves. the definition of slander is to defame and damage another reputation using a false charge/claim. we don't do that. we report on findings that we support with evidence. please see our work: http://www.ciaag.net,2020-02-28 04:31:06+00:00,,,1233248235633774593,,https://twitter.com/Shasta_Rayne/status/1233248235633774593,0,0,,http://www.ciaag.net
that is fair. i trust that the evidence speaks for itself. i am not in this to prove anything or to be right. it just is what it is. there is no conspiracy. the policy is there and i hope others do look and make up their own minds. i trust they will see it for what it is,2020-02-28 04:21:33+00:00,,,1233245830590517249,,https://twitter.com/Shasta_Rayne/status/1233245830590517249,0,0,aander1987,
"we mean it. the 50 million is the chronic pain patient population. we are actually a very very large group and as a disabled person, i must say, you have been great in accommodations and being helpful. thank you and next time i fly....i am booking direct with you",2020-02-28 04:17:39+00:00,,,1233244849979056128,,https://twitter.com/Shasta_Rayne/status/1233244849979056128,0,0,AlaskaAir,
i am a cal fan but i wish the cougs the best!,2020-02-28 04:15:34+00:00,,,1233244326404116480,,https://twitter.com/Shasta_Rayne/status/1233244326404116480,0,0,,
they are so nice and i really like their service. i wish they flew direct to boston and dc from my area,2020-02-28 04:15:12+00:00,,,1233244234209058817,,https://twitter.com/Shasta_Rayne/status/1233244234209058817,0,0,keesaroo,
omg thank you for letting me know. they are consistently the best experience i have ever had. i really enjoy their flights and their staff rocks!,2020-02-28 04:14:41+00:00,,,1233244102491140102,,https://twitter.com/Shasta_Rayne/status/1233244102491140102,1,0,Canada_NV,
having fun working on our next video for release! you can check out our older content here while you wait.  and i had a wonderful time working on this series. https://www.youtube.com/channel/uca-jnp-fblo554mk0gw27sq?view_as=subscriber,2020-02-28 04:12:50+00:00,,,1233243637087006722,@CIAAG_Lauren,https://twitter.com/Shasta_Rayne/status/1233243637087006722,4,5,,https://www.youtube.com/channel/UCA-jNP-FBlo554mK0gw27sQ?view_as=subscriber
 love your sense of humor ,2020-02-28 03:40:42+00:00,,,1233235551492268032,@DeeSnutts6,https://twitter.com/Shasta_Rayne/status/1233235551492268032,1,0,DeeSnutts6,
i was so happy. i could tell because they were all looking at me and engaging in the discussion/q&a session,2020-02-28 03:39:32+00:00,,,1233235257236717578,,https://twitter.com/Shasta_Rayne/status/1233235257236717578,0,0,eileendove910,
https://prevention.nih.gov/sites/default/files/documents/programs/p2p/odppainpanelstatementfinal_10-02-14.pdf read this and it will all become clear.,2020-02-28 03:20:49+00:00,,,1233230546513223680,,https://twitter.com/Shasta_Rayne/status/1233230546513223680,0,0,lindaB54904694,https://prevention.nih.gov/sites/default/files/documents/programs/p2p/ODPPainPanelStatementFinal_10-02-14.pdf
hmmm......love it when they remove something that i just presented. interesting. let's try again. be right back,2020-02-28 03:18:51+00:00,,,1233230050796826624,,https://twitter.com/Shasta_Rayne/status/1233230050796826624,1,0,lindaB54904694,
https://annals.org/aim/fullarticle/2089371/national-institutes-health-pathways-prevention-workshop-role-opioids-treatment-chronic this is a link to the nih report where they acknowledge what they knew they were doing to patients with chronic pain. i have the actual report and will post that too but this is a cut version of what happened that day,2020-02-28 03:17:27+00:00,,,1233229701738459138,,https://twitter.com/Shasta_Rayne/status/1233229701738459138,3,0,lindaB54904694,https://annals.org/aim/fullarticle/2089371/national-institutes-health-pathways-prevention-workshop-role-opioids-treatment-chronic
https://www.iprcc.nih.gov/sites/default/files/hhsnational_pain_strategy_508c.pdf here is the national pain strategy,2020-02-28 03:15:19+00:00,,,1233229161923149830,,https://twitter.com/Shasta_Rayne/status/1233229161923149830,0,0,lindaB54904694,https://www.iprcc.nih.gov/sites/default/files/HHSNational_Pain_Strategy_508C.pdf
https://www.risehealth.org/event-center/rise-events/tippa/speakers/ here is the info from the meeting. everyone there was just so nice.,2020-02-28 03:13:33+00:00,,,1233228717444362241,,https://twitter.com/Shasta_Rayne/status/1233228717444362241,0,0,PainNation1,https://www.risehealth.org/event-center/rise-events/tippa/speakers/
it was called tippa. let me grab the link and i will show you.,2020-02-28 03:10:10+00:00,,,1233227868949237760,,https://twitter.com/Shasta_Rayne/status/1233227868949237760,0,0,PainNation1,
thank you bonnie! thank you for your support and just being here.,2020-02-28 03:09:52+00:00,,,1233227791195234304,,https://twitter.com/Shasta_Rayne/status/1233227791195234304,0,0,BonnieWaggoner8,
thank you. i am pretty wiped out today. i did get to rest which was nice. probably going to bed early tonight!,2020-02-28 03:09:19+00:00,,,1233227654972637184,,https://twitter.com/Shasta_Rayne/status/1233227654972637184,1,0,klassylady20069,
thank you. it was a lot of fun for me. the group of people there were very welcoming and nice so it made it easy to get up in front of them and address them. i have to thank them for that,2020-02-28 03:08:40+00:00,,,1233227490690093056,,https://twitter.com/Shasta_Rayne/status/1233227490690093056,1,0,eileendove910,
they can change things in their own area by making sure that the studies that are published are done in a way that is considerate of our community (all patients of any community). it is a start. don't think they alone can get our access back but every little bit helps,2020-02-28 03:04:04+00:00,,,1233226330419822593,,https://twitter.com/Shasta_Rayne/status/1233226330419822593,0,0,jansrvllc,
"well, i have to say, i don't think they have that type of influence in regards to getting access to opioids back to the patients however, they are facilitating a conference where info will make it back to the medical writers who write the studies and that influences policy",2020-02-28 03:01:53+00:00,,,1233225783780368385,,https://twitter.com/Shasta_Rayne/status/1233225783780368385,0,1,jansrvllc,
you rock girl! ,2020-02-28 03:00:26+00:00,,,1233225417244299266,,https://twitter.com/Shasta_Rayne/status/1233225417244299266,1,0,lpray18,
"hey it is nice to meet you too! i have to be honest and tell you, i didn't create the poster. i think  made it! she did a great job! i agree with you......let's do this!",2020-02-28 02:59:59+00:00,,,1233225306476929024,@Havasubum1My,https://twitter.com/Shasta_Rayne/status/1233225306476929024,0,0,PainNation1,
"i don't believe i have ever stated my opinion regarding dr darnall's work. in regards to dr kertesz, i believe she posted a member list to a task force. his name was on it. is that what you are referring to?",2020-02-28 02:57:08+00:00,,,1233224588584046593,,https://twitter.com/Shasta_Rayne/status/1233224588584046593,1,0,PainPtFightBack,
"there was a strategy to embed a pragmatic, clinical trial into the care system in the us. if you have been following me this past year, the totality of my work will describe the aspects i am examining. the pain strategies themselves are a main focus of my research",2020-02-28 02:35:52+00:00,,,1233219234097795072,,https://twitter.com/Shasta_Rayne/status/1233219234097795072,0,0,aander1987,
thank you for taking the time to educate us on this process. i am not focused on the grants/funding at this time. i have been examining & educating on how these different agencies have interacted in regards to specific findings surrounding the pain strategies,2020-02-28 02:33:28+00:00,,,1233218629455400960,,https://twitter.com/Shasta_Rayne/status/1233218629455400960,0,0,aander1987,
"i don't believe that i have ever stated that there was any collusion. in my work, i present what i find, with evidence of what occurred. there was clearly a plan to change how pain would be managed in the united states.",2020-02-28 02:29:59+00:00,,,1233217753688920064,,https://twitter.com/Shasta_Rayne/status/1233217753688920064,1,2,aander1987,
see previous comment about oversight,2020-02-28 02:27:35+00:00,,,1233217151823052800,,https://twitter.com/Shasta_Rayne/status/1233217151823052800,0,0,aander1987,
in the bigger picture it doesn't matter if they were working together or not. the net effect is what it was....we need oversight.,2020-02-28 02:26:46+00:00,,,1233216944133685248,,https://twitter.com/Shasta_Rayne/status/1233216944133685248,0,1,aander1987,
thank you. i think things are good ,2020-02-28 02:23:58+00:00,,,1233216239931023360,,https://twitter.com/Shasta_Rayne/status/1233216239931023360,0,0,painadvocateAR,
and thank you for all you do too! you’re support means a lot to me,2020-02-28 02:14:15+00:00,,,1233213793515102208,,https://twitter.com/Shasta_Rayne/status/1233213793515102208,0,0,Irishbrat1966,
thank you lisa! you know i think you’re pretty cool too! you’re a smart american lady who has an appreciation of what it means to be a true patriot. i respect that tremendously. you inspire me!,2020-02-28 02:12:08+00:00,,,1233213260788158464,,https://twitter.com/Shasta_Rayne/status/1233213260788158464,1,0,lpray18,
thank you. that’s really nice of you to say that. it really is. it’s a start and a great experience. i’m very happy they reached out and are wanting the patient perspective. seems like a positive move in a good direction,2020-02-28 02:08:24+00:00,,,1233212321868070912,,https://twitter.com/Shasta_Rayne/status/1233212321868070912,0,0,Canada_NV,
oh goodness. you’re very kind . i really don’t deserve that but i wanted to say thank you and that means a lot to me. i just was in a position to try and contribute and do my part. i hope they think about what i said down the road in their work. that’s the best i can hope for,2020-02-28 02:05:44+00:00,,,1233211653497311238,,https://twitter.com/Shasta_Rayne/status/1233211653497311238,1,0,Havasubum1My,
"the thing is, the totality of all of this spans a few different reports. when i get back to the house, i will link them all here for you and anyone who wants to read them. i will do my best to help make this make sense. be back to the house soon",2020-02-28 01:59:06+00:00,,,1233209982532739072,,https://twitter.com/Shasta_Rayne/status/1233209982532739072,0,0,lindaB54904694,
hey linda. i don’t know why my notifications don’t always come in immediately. i see you posted this on feb 25th. i’m sorry i didn’t see it. i haven’t been able to be online much today. i’m walking my dog and decided to peek. let me grab the link to the nps and i will leave it 4u,2020-02-28 01:57:23+00:00,,,1233209550649446400,,https://twitter.com/Shasta_Rayne/status/1233209550649446400,1,0,lindaB54904694,
"lauren makes a difference everyday in everything she does. i am very proud to be her partner, friend and run ciaag with her. i am not aware of the past, it is not my business so i just don't ask. i do know, she just wants to do her work.",2020-02-27 20:24:01+00:00,,,1233125656415703040,,https://twitter.com/Shasta_Rayne/status/1233125656415703040,1,0,AnneFuqua80,
"hey anne. i hope you don't mind me saying but you know, lauren is great to work with, she is mature, civil and is able to conduct herself with those she disagrees with. perhaps this is a situation we are just not privy to. i think she just wants to be left alone.",2020-02-27 20:07:07+00:00,,,1233121404607795200,,https://twitter.com/Shasta_Rayne/status/1233121404607795200,3,1,AnneFuqua80,
it was a great experience and i’m grateful that they wanted to hear the patient perspective. that makes me very hopeful in regards to the future,2020-02-27 16:12:26+00:00,,,1233062341345972226,,https://twitter.com/Shasta_Rayne/status/1233062341345972226,0,0,Deeenst,
thanks for your support! i’m trying my best to do what i can. the immediate feedback i got from the attendees was that they appreciated the presentation and they seem engaged. this leads me to believe that they will take what i said and really contemplate it,2020-02-27 16:09:10+00:00,,,1233061521674076161,,https://twitter.com/Shasta_Rayne/status/1233061521674076161,0,0,ChrisDemanche,
that’s what i’ve been doing if i can. from their location in the terminal to their planes and friendly staff....i don’t want to fly with any other airline if i can help it.,2020-02-27 16:01:44+00:00,,,1233059651542896640,,https://twitter.com/Shasta_Rayne/status/1233059651542896640,0,0,AndrewHohentha2,
ok. thank you for the information. i will look into booking directly with you from now on. have a good day!,2020-02-27 16:00:08+00:00,,,1233059246800900096,,https://twitter.com/Shasta_Rayne/status/1233059246800900096,0,0,AlaskaAir,
"if i was his daughter, i would tell them, unless they want to talk to my dad about real pain relief in the form of real pain medicine....then we have nothing to talk about. i should send this reporter the document i found about the va studying the vets that i did a periscope on",2020-02-27 15:41:41+00:00,,,1233054605073735680,,https://twitter.com/Shasta_Rayne/status/1233054605073735680,1,3,Irishbrat1966,
"poor guy can barely walk and now the va has the audacity to imply he’s being dishonest? what’s wrong with these people? he just wants to be able to walk! they will contact him to discuss treatment options? oh what, you mean yoga? mindfulness? eating veggies? what a joke",2020-02-27 15:39:58+00:00,,,1233054171927998464,,https://twitter.com/Shasta_Rayne/status/1233054171927998464,0,2,Irishbrat1966,
how is it “irresponsible”. the va is the one being irresponsible. the reporters are doing their job. something that should’ve been done years ago. they are telling the truth. the va obviously doesn’t want this info out there. nice obfuscation tactic.,2020-02-27 15:37:36+00:00,,,1233053578056462338,,https://twitter.com/Shasta_Rayne/status/1233053578056462338,0,0,Irishbrat1966,
want to thank  for yet another wonderful flight experience! hey alaska....i’ve been taking flights using expedia. am i better off booking directly with you guys? just want to take the time to send a public compliment. your staff is so nice!,2020-02-27 02:09:37+00:00,,,1232850243021991938,@AlaskaAir,https://twitter.com/Shasta_Rayne/status/1232850243021991938,3,7,,
oh wait. i answered prematurely so in regards to humana i’m not sure but look up “health in all policies”. i think that’s it,2020-02-27 01:49:46+00:00,,,1232845246075043840,,https://twitter.com/Shasta_Rayne/status/1232845246075043840,0,0,KittyTigerlily1,
it’s called “health in all policies” if my memory serves correct. it’s in “living well with chronic illness” the publication violation of a nation was based on. they want to evaluate your home for safety and all that. i’m telling my parents to call me if they come to them,2020-02-27 01:47:50+00:00,,,1232844758621405184,,https://twitter.com/Shasta_Rayne/status/1232844758621405184,1,3,KittyTigerlily1,
"it really is. in my mind, yoga won’t do you any good if you don’t want to do it or if you’re too injured or sick to have a simple stretch help strengthen your injury. i’m sure there’s more to it but honestly, i think it’s silly to force this.",2020-02-27 01:44:18+00:00,,,1232843871186325505,,https://twitter.com/Shasta_Rayne/status/1232843871186325505,2,0,RCaloian,
"i don’t know. it goes back to basics. if you just tell the truth, life is so much nicer, you don’t have to have a good memory (as judge judy would say), it’s the basic, decent thing to do. it’s so much easier to acknowledge making a mistake when you do, and just learn from it",2020-02-27 01:40:56+00:00,,,1232843023488143360,,https://twitter.com/Shasta_Rayne/status/1232843023488143360,0,1,chelemp,
exactly and that’s what i told them. we have feelings. we are humans and they are too. we all can connect on that,2020-02-26 21:59:53+00:00,,,1232787395872845824,,https://twitter.com/Shasta_Rayne/status/1232787395872845824,0,1,chelemp,
thank you dana! i will. thanks for your kind words ,2020-02-26 21:57:45+00:00,,,1232786857701720065,,https://twitter.com/Shasta_Rayne/status/1232786857701720065,1,2,chelemp,
follow up to conference. what happened,2020-02-26 20:40:08+00:00,,,1232767325255766016,,https://twitter.com/Shasta_Rayne/status/1232767325255766016,14,29,,https://www.pscp.tv/w/cSbPKDFkdktPWmVKZWRYUVh8MW1yeG1RRGVlclF4eUO8Y-5Dt5YGnsyD3cTyu1w_8Lr2kbELcQ9X7EcZU1cp
"thank you. i’m going to do my best. i’m standing here waiting to go and decided to look at my phone. i’m so sorry you were treated this way, all to be made an example of! we aren’t just examples. we are people!",2020-02-26 16:24:46+00:00,,,1232703060452864006,,https://twitter.com/Shasta_Rayne/status/1232703060452864006,1,0,liacallahan4,
like i really mean it but i want no part of that! as a veteran...how do i show my respect and what means the most to you when people want to say “thank you”. you really did give up your life for us,2020-02-26 13:54:42+00:00,,,1232665295489122307,,https://twitter.com/Shasta_Rayne/status/1232665295489122307,0,0,RCaloian,
oh god....i never knew that before because i really mean it when i say it! yikes! tell me...what’s the best way to extend our gratitude and show we really appreciate our vets w/o playing into that stuff. i don’t want a part of that but really want to show respect to vets i meet,2020-02-26 13:53:35+00:00,,,1232665012830785536,,https://twitter.com/Shasta_Rayne/status/1232665012830785536,2,1,RCaloian,
btw....i love your hat!,2020-02-26 13:51:06+00:00,,,1232664386055000064,,https://twitter.com/Shasta_Rayne/status/1232664386055000064,0,0,RCaloian,
"it’s awful what they did. i saw it. the plans of how they’d change your care model in re: to pain care.they want you guys self managing, doing yoga, getting mental healthcare instead of good old pain medicine. i’m not against those methods but to eradicate pain meds? that’s wrong",2020-02-26 13:50:32+00:00,,,1232664244815925248,,https://twitter.com/Shasta_Rayne/status/1232664244815925248,2,2,RCaloian,
it saddens me to say that. i love our country. i really do. i love america and what we stand for. our constitution....but i can’t sacrifice my boys. can’t do it.,2020-02-26 13:47:54+00:00,,,1232663583466516480,,https://twitter.com/Shasta_Rayne/status/1232663583466516480,1,0,RCaloian,
thank you sir! i am sad to say....i have 3 young adult sons and i was thrilled when all 3 decided against the service. it shouldn’t be that way! i should be honored to be the mother of a soldier but no...can’t do it. we learned from you guys...you’ll come back broken & discarded,2020-02-26 13:47:11+00:00,,,1232663403140792326,,https://twitter.com/Shasta_Rayne/status/1232663403140792326,3,0,RCaloian,
i haven’t discussed them in awhile but when i get home from this conference....i actually have something in the works for the community about them as we speak!,2020-02-26 13:45:06+00:00,,,1232662877019918339,,https://twitter.com/Shasta_Rayne/status/1232662877019918339,0,0,SaltyDoc2JD,
"bingo and you know how i get mine done? i expose them. when i saw the grants that go to these people, i couldn’t believe it. all this for addiction? i don’t think so. it’s about reframing/changing society. you made my day knowing you know about them. thank you!",2020-02-26 13:44:21+00:00,,,1232662688649506816,,https://twitter.com/Shasta_Rayne/status/1232662688649506816,1,0,SaltyDoc2JD,
i’m so sorry. i have no idea what that’s like but i can imagine. i have a full body involvement with my disease. i’m very weak but i heard that rsd is like a burning fire. i don’t know how you manage. that’s unfair and i’m sorry. i hope this will change for you,2020-02-26 13:38:39+00:00,,,1232661255149608960,,https://twitter.com/Shasta_Rayne/status/1232661255149608960,1,1,Drp985,
what! why am i not surprised,2020-02-26 13:34:38+00:00,,,1232660242095173632,,https://twitter.com/Shasta_Rayne/status/1232660242095173632,0,0,KJMushung,
bingo ,2020-02-26 13:13:02+00:00,,,1232654806910586881,,https://twitter.com/Shasta_Rayne/status/1232654806910586881,0,0,reversechapter,
thank you. hang in there. i don’t blame you. i understand,2020-02-26 13:12:02+00:00,,,1232654555243876354,,https://twitter.com/Shasta_Rayne/status/1232654555243876354,0,0,tracychalifoux1,
truth  has been coming up with the best perspectives on this farce. michigan open and pacira should see this,2020-02-26 13:09:22+00:00,,#Truth,1232653883941371904,@RogueWolf2001,https://twitter.com/Shasta_Rayne/status/1232653883941371904,0,4,RogueWolf2001,https://twitter.com/RogueWolf2001/status/1232573980948811776
"i mean, i can tell you know who they are.....i meant that for anyone who may see this. it’s appalling to me that they’re part of this and not many have heard of them. why the big secret?",2020-02-26 13:07:40+00:00,,,1232653457774891008,,https://twitter.com/Shasta_Rayne/status/1232653457774891008,1,0,SaltyDoc2JD,
"yes! if you go to their website, you’d be shocked at how involved these guys are",2020-02-26 13:06:18+00:00,,,1232653115276460038,,https://twitter.com/Shasta_Rayne/status/1232653115276460038,0,0,SaltyDoc2JD,
"i woke up to see your pic! nice to meet you. i was born in 72 and i realize hearing you say that, you’ve suffered for the duration of my lifetime. really puts it into perspective. i wish that would change.",2020-02-26 13:03:31+00:00,,,1232652414819266561,,https://twitter.com/Shasta_Rayne/status/1232652414819266561,1,0,RCaloian,
