text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i'm so excited how many people are going to be joining us tomorrow for canvassing and gathering signatures at the hillsboro farmers market from 10a-2pm! i can't wait to see everyone there!! disabilityrightsarehumanrights http://www.siebe2020.com,2020-02-28 23:02:14+00:00,,#DisabilityRightsAreHumanRights,1233527861899776000,,https://twitter.com/SiebeforORD1/status/1233527861899776000,0,5,,http://www.Siebe2020.com
"tooth pain definitely suck!! all pain really really sucks. it'll be awesome when our government offers preventative care, treatment, medications, procedures, and covers all parts of our body. i can't wait!! literally....",2020-02-28 21:57:25+00:00,,,1233511550968836097,,https://twitter.com/SiebeforORD1/status/1233511550968836097,0,0,EgoSumEnoch,
"technically, according to the mcgill pain scale, crps pain is the worst... welcome to my world...",2020-02-28 21:55:15+00:00,,,1233511003654152199,,https://twitter.com/SiebeforORD1/status/1233511003654152199,0,0,EgoSumEnoch,
"time to get a disabled woman back in the ushouse! i'm fighting to ensure socialsecurity disability &amp; ssi are a livingwage injuredworkers are protected healthcare, a job, housing, education, &amp; clean air/water are humanrights representationmatters",2020-02-28 21:48:05+00:00,,#disabled #USHouse #SocialSecurity #Disability #SSI #LivingWage #InjuredWorkers #healthcare #HumanRights #RepresentationMatters,1233509202137579520,,https://twitter.com/SiebeforORD1/status/1233509202137579520,0,3,Vazquez4CA,https://secure.actblue.com/donate/siebe2020
"which is why i'm a huge supporter of medicareforall! i'll be able to get my eyes fixed &amp; my teeth!! i'll be able to eat again &amp; not have to worry about whether or not my tooth/jaw is infected my worst fear is that my teeth are gonna get infected, i wont know, &amp; die from sepsis",2020-02-28 21:43:54+00:00,,#MedicareForAll,1233508147785912320,,https://twitter.com/SiebeforORD1/status/1233508147785912320,2,0,Vazquez4CA,
" is the same way. she has over $1,000,000 in her reelection fund, but she's not even really running. she's doing what she normally does &amp; is assuming the incumbent title she bought will automatically go to her...",2020-02-28 21:40:40+00:00,,#incumbent,1233507334057594883,@RepBonamici,https://twitter.com/SiebeforORD1/status/1233507334057594883,2,2,Vazquez4CA,
"agreed!! like i tell my kiddos, 'you made the mess, now you've gotta clean it up'! wedeservebetter http://www.siebe2020.com",2020-02-28 21:38:47+00:00,,#WeDeserveBetter,1233506858121322496,,https://twitter.com/SiebeforORD1/status/1233506858121322496,0,3,SenSanders,"http://www.Siebe2020.com,https://twitter.com/SenSanders/status/1233473370047512577"
"gotta love how twitter doesn't let you edit, a? you can always tell when i get distracted half way through a tweet or have to go back and edit it due to character limits... it'd be great if medicare cover lasik eye surgery...",2020-02-28 21:35:28+00:00,,,1233506026378285056,,https://twitter.com/SiebeforORD1/status/1233506026378285056,2,0,Vazquez4CA,
"oh, darling, that's not it at all. i'm 100% funded by thepeople &amp; fundraising is just as tight for me as it is for everyone else. i'm just excited cuz running hurts. bad. i'm excited for the primary to just be over.",2020-02-28 21:33:26+00:00,,#ThePeople,1233505514878840834,,https://twitter.com/SiebeforORD1/status/1233505514878840834,1,0,Vazquez4CA,
lucky ducks... mine isn't till may 19th...,2020-02-28 21:21:10+00:00,,,1233502427363577856,,https://twitter.com/SiebeforORD1/status/1233502427363577856,1,0,mclanea,
