text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"we expanded our walk-in testing hours! come see us and know your status. new hours: monday, friday: 8:00 am – 5:30 pm / tuesday, wednesday, thursday: 8:00 am – 6:30 pm / saturday: 8:00 am – 3:30 pm roc http://www.trilliumhealth.org/en/18/trilliumtesting",2020-02-28 15:02:54+00:00,,#ROC,1233407230533349378,,https://twitter.com/TrilliumNY/status/1233407230533349378,0,0,,http://www.trilliumhealth.org/en/18/trilliumtesting
"at pathway pediatrics, a division of trillium health, we offer pediatric care in a welcoming space that features imaginative wall graphics and child-friendly exam rooms, along with a library! visit us and start your child on the best path! http://pathwaypediatrics.com roc",2020-02-27 15:02:27+00:00,,#ROC,1233044730277253125,,https://twitter.com/TrilliumNY/status/1233044730277253125,0,0,,http://pathwaypediatrics.com
"the mocha center roc is hosting a “make art day” event on march 6 at their location on n. water street! join the fun and create 6”x6” art pieces and enjoy pizza, refreshments, and music!",2020-02-26 18:06:04+00:00,,,1232728550635180034,,https://twitter.com/TrilliumNY/status/1232728550635180034,0,0,,https://www.rochesterfirst.com/around-town/make-art-day-set-for-march-6/
interested in learning more about this option? call 800-923-9394! rochesterny roc,2020-02-26 15:02:11+00:00,,#rochesterny #ROC,1232682274430255106,,https://twitter.com/TrilliumNY/status/1232682274430255106,0,0,,
"check out this story, featuring our very own jonathan jordan, manager at the mocha center - rochester! rochester black pride week will be held aug. 26-30, 2020. roc rochesterny",2020-02-26 15:01:29+00:00,,#ROC #rochesterny,1232682101100687362,,https://twitter.com/TrilliumNY/status/1232682101100687362,0,0,,https://www.whec.com/rochester-new-york-news/rochester-black-lgbtq-community/5656423/?cat=565&fbclid=IwAR3M9S3D3BBd005XIVGOFgjFoMvcF8RzoHsUMcXYPmtflONbt-OMV29IwiY
"hi aaron, thank you for letting us know about your scheduling trouble. we relayed your message to the clinic. in addition, please feel free to contact heather menchel, associate vice president of patient care services, at 585-413-4296 if you'd like to speak to someone about this.",2020-02-26 13:46:11+00:00,,,1232663150304075777,,https://twitter.com/TrilliumNY/status/1232663150304075777,0,0,ImAaronRobert,
"save the date! june 6, 2020. roc rochesterny thwhiteparty",2020-02-26 00:00:14+00:00,,#ROC #rochesterny #THWHITEPARTY,1232455293918797830,,https://twitter.com/TrilliumNY/status/1232455293918797830,0,0,,
"the mocha center connects lgbtq people of color with events and programs that promote healthy, sex-positive living. they are a safe place to hang out, talk, get inspiration, and support one another. http://mochacenter.org rochesterny buffalony",2020-02-25 15:02:03+00:00,,#rochesterny #buffalony,1232319853467439104,,https://twitter.com/TrilliumNY/status/1232319853467439104,0,0,,http://mochacenter.org
"the trillium health mobile clinic will be at the center for youth today from 1:00-4:00 pm! stop by and see us for free testing & treatment (hiv, hep-c & stds), general wellness check-ups, and more. . . . rochesterny thisisroc roc monroecounty healthcare thmobileclinic",2020-02-24 16:01:53+00:00,,#rochesterny #thisisroc #ROC #monroecounty #healthcare #Thmobileclinic,1231972524088549384,,https://twitter.com/TrilliumNY/status/1231972524088549384,0,1,,
"hi joshua, thanks for letting us know! we relayed your message to the pharmacy. in addition, please feel free to contact heather menchel, associate vice president of patient care services, at 585-413-4296 if you'd like to speak to someone about this matter.",2020-02-24 13:54:48+00:00,,,1231940542273130498,,https://twitter.com/TrilliumNY/status/1231940542273130498,0,0,BackusJoshua,
