text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
made my brooklyn hipsters,2020-02-28 14:25:57+00:00,,,1233397933611081728,,https://twitter.com/ZacharySagerMD/status/1233397933611081728,0,0,cannarelief420,
i still don’t quite get how someone who ran a primate research center became a health services expert on drug use?,2020-02-28 01:32:28+00:00,,,1233203280840396800,,https://twitter.com/ZacharySagerMD/status/1233203280840396800,0,0,RyanMarino,
but what if it was ?,2020-02-27 17:27:45+00:00,,,1233081296009781248,@lizzo,https://twitter.com/ZacharySagerMD/status/1233081296009781248,0,0,sickgirlspeaks,
do babies feel shame?,2020-02-26 04:07:07+00:00,,,1232517423330361346,,https://twitter.com/ZacharySagerMD/status/1232517423330361346,3,0,drrickbarnett,
but shame at its core is a cultural/societal/relational construct. naming the societal underpinnings of shame allows someone to view its impact on their life. it’s not an absolution.,2020-02-26 03:34:53+00:00,,,1232509312184070146,,https://twitter.com/ZacharySagerMD/status/1232509312184070146,3,0,drrickbarnett,
what do you mean you didn't find out who their elementary school mascot was?!,2020-02-24 15:06:04+00:00,,,1231958476718575619,,https://twitter.com/ZacharySagerMD/status/1231958476718575619,1,1,colleenmfarrell,
best art over a stairwell ever!,2020-02-20 02:53:17+00:00,,,1230324514363408386,,https://twitter.com/ZacharySagerMD/status/1230324514363408386,0,0,alessacolaMD,
"yes! just make sure your screening software doesn’t record the total amount of time you spend in the program. if it does, don’t look at it. i know my answer next time someone says ‘want to do a review? it will be fun!’",2020-02-19 02:19:12+00:00,,,1229953550064766977,,https://twitter.com/ZacharySagerMD/status/1229953550064766977,1,0,doctorORbust,
terrifying and shameful.,2020-02-17 13:37:26+00:00,,,1229399459525779462,,https://twitter.com/ZacharySagerMD/status/1229399459525779462,0,0,WesleyLowery,https://twitter.com/WesleyLowery/status/1229135266008440835
"it’s not always that simple. falls are hard to predict and depending on the individual they can be devastating. some will chose to limit medications that increase that risk, some will accept the risk. it’s not a simple yes/no in many cases.",2020-02-16 22:07:09+00:00,,,1229165342297088002,,https://twitter.com/ZacharySagerMD/status/1229165342297088002,3,0,VCoast,
"for many people, this is an unrealistic proposition. often substance use and trauma are intertwined--saying to someone 'work on the substance first' keeps them out of treatment. we should meet people where they are.",2020-02-16 00:48:55+00:00,,,1228843667798077440,,https://twitter.com/ZacharySagerMD/status/1228843667798077440,0,0,mystocean,
"thanks for the heads up, i’ll give it a listen! a quick read of the transcript says they used 400mcg worth of patches or 800mg morphine daily. i think that would scare the bejeezus out of most stateside docs. also makes sense that you’d need a big dose to have it work.",2020-02-15 23:25:11+00:00,,,1228822595744694272,,https://twitter.com/ZacharySagerMD/status/1228822595744694272,0,0,keithbrownmph,
"this makes sense when you consider how different the dose ranges for methadone for pain and oud are. maybe fentanyl patches would work as ort if you used big doses, but i don’t see a clinician being comfortable prescribing that.",2020-02-15 22:40:30+00:00,,,1228811350492811266,,https://twitter.com/ZacharySagerMD/status/1228811350492811266,1,0,ZacharySagerMD,
"at least in the population of folks i see with pain and oud, i don’t see this working. just wind up with escalating doses of opioids, early refills and continued relational challenges. could be the pain component, but it seems the addiction ‘overrides’ to some degree. 1/2",2020-02-15 22:36:52+00:00,,,1228810434813272070,,https://twitter.com/ZacharySagerMD/status/1228810434813272070,1,0,keithbrownmph,
frequently the risk isn’t slight. risks/benefits to everything.,2020-02-15 03:30:58+00:00,,,1228522058566524929,,https://twitter.com/ZacharySagerMD/status/1228522058566524929,1,0,VCoast,
'tramadol seen as beneficial nsaid alternative for pain' said no one ever. full agonist opioids increase fall risk too. and comparing to codeine? the question you should be asking yourself is why are you using tramadol or codeine in older adults to begin with.,2020-02-14 23:32:04+00:00,,,1228461936926502912,,https://twitter.com/ZacharySagerMD/status/1228461936926502912,3,1,headdock,
you don’t? i keep mine stored next to the flux capacitor.,2020-02-13 00:53:14+00:00,,,1227757589267648512,,https://twitter.com/ZacharySagerMD/status/1227757589267648512,0,0,jack_turban,
"yes! me: 'i have this wonderful medication that will help your nausea' pt: 'great! what is it?' me: 'it is a strong antagonist at the dopamine receptor, and will reduce your nausea' pt: 'ok, but what kind of medicine is it?' me: 'it's well, *whispers* an antipsychotic' pt: pass",2020-02-12 20:32:56+00:00,,,1227692081587589120,,https://twitter.com/ZacharySagerMD/status/1227692081587589120,1,0,drjessigold,
good points! i guess i should reframe—does good palliative care ever hurt? it seems like the biggest issue is how do we reach as many people as possible with a limited workforce.,2020-02-11 19:00:11+00:00,,,1227306354844540929,,https://twitter.com/ZacharySagerMD/status/1227306354844540929,0,1,EWidera,
"had there ever been a study demonstrating that palliative care doesn’t help folks? when can we simply say ‘when you’re seriously ill, pc helps’.",2020-02-11 17:29:16+00:00,,,1227283471992840192,,https://twitter.com/ZacharySagerMD/status/1227283471992840192,0,0,MichaelDFratkin,
if that person is a big fan of ayrton senna they will be really disappointed when they need the other stuff.,2020-02-11 16:41:01+00:00,,,1227271332808753152,,https://twitter.com/ZacharySagerMD/status/1227271332808753152,0,0,PalliDad,
great work! small change—the jhu cancer study used 1-3mg/70kg and 22-30/70kg. 22/kg would really be mind blowing.,2020-02-08 11:53:12+00:00,,,1226111737574895617,,https://twitter.com/ZacharySagerMD/status/1226111737574895617,1,0,drjessigold,
,2020-02-04 15:54:18+00:00,,,1224722858213101569,,https://twitter.com/ZacharySagerMD/status/1224722858213101569,0,0,EHahnMD,
yay!!! well deserved.,2020-02-04 02:56:29+00:00,,,1224527117112741888,,https://twitter.com/ZacharySagerMD/status/1224527117112741888,1,0,shisadoctor,
are these recorded or broadcast? would love to watch.,2020-02-03 17:58:07+00:00,,,1224391628632346626,,https://twitter.com/ZacharySagerMD/status/1224391628632346626,0,0,bison_psych,
very cool. will you be following any pain or functional outcomes as well? inclusion of older adults?,2020-02-02 16:26:00+00:00,,,1224006061545398273,,https://twitter.com/ZacharySagerMD/status/1224006061545398273,1,0,AjayManhapra,
wave as you go by my house!,2020-02-01 23:22:44+00:00,,,1223748548061167616,,https://twitter.com/ZacharySagerMD/status/1223748548061167616,0,0,JenniferMoyePhD,
me too!!,2020-01-31 02:02:58+00:00,,,1223064095550771201,,https://twitter.com/ZacharySagerMD/status/1223064095550771201,0,0,Collaterly,
wonderful training. looking forward to hearing your experience.,2020-01-30 23:59:16+00:00,,,1223032967452295174,,https://twitter.com/ZacharySagerMD/status/1223032967452295174,0,0,drrickbarnett,
"step 2 cs is a joke. one of my patient actors fell asleep during the clinical encounter and when i checked to see if they were ok, broke character to tell me it wasn’t part of the case. then i thought that must of been part of the case too.",2020-01-30 19:11:40+00:00,,,1222960588135026689,,https://twitter.com/ZacharySagerMD/status/1222960588135026689,0,0,sarahmdiamond,https://twitter.com/sarahmdiamond/status/1222736328225435648
"unbelievable to think what began as 12 people in a cambridge backyard two years ago is now this, with a  seminar and  speaking. incredible journey and honored to be tagging along for the trip. – at harvard science center",2020-01-26 20:47:44+00:00,,,1221535213588746240,@RadInstitute @RCarhartHarris,https://twitter.com/ZacharySagerMD/status/1221535213588746240,0,0,,
good luck! i’ve had several colleagues complete the training and it’s been a positive experience.,2020-01-26 15:25:40+00:00,,,1221454160752672768,,https://twitter.com/ZacharySagerMD/status/1221454160752672768,1,0,drrickbarnett,
maybe i should just start a gofundme for my student loans.,2020-01-25 22:11:28+00:00,,,1221193898774736897,,https://twitter.com/ZacharySagerMD/status/1221193898774736897,1,0,drrickbarnett,
i was taught the 50/50 approach as well but it’s definitely a moving target. i think it also matters it the prn is taken sporadically or regularly.  your thoughts?,2020-01-16 17:04:38+00:00,,,1217855189404868608,@kfjonespallnp,https://twitter.com/ZacharySagerMD/status/1217855189404868608,1,0,skochb,
,2020-01-16 03:13:38+00:00,,,1217646061910679554,,https://twitter.com/ZacharySagerMD/status/1217646061910679554,0,0,MaximizeQOL,
"poignant, but also really disappointing. moreso highlights the failures of our medical system to treat addiction and also the antecedents/sequelae of it. too frequently sud tx is uncoupled from trauma tx and vice versa—instances like this are a stark reminder of our failures.",2020-01-16 03:10:25+00:00,,,1217645253404000267,,https://twitter.com/ZacharySagerMD/status/1217645253404000267,0,0,KathleenBroglio,
"the equianalgesic tables for bup are not centered on lt opioid dx and less frequently use oral bup for pain, making their application challenging. just like it’s a myth that everyone benefits from lt full agonist opioids, it’s a myth that some pts can’t benefit from bup.",2020-01-15 20:35:18+00:00,,,1217545815675240448,,https://twitter.com/ZacharySagerMD/status/1217545815675240448,0,1,DanLairdMD,
"well, that’s not entirely true either. canada refers to it as medical aid in dying, most states/med org have dropped suicide teen from nomenclature. fundamentally they are different—dont compare tx where you remove something versus hastening death by giving a medication.",2020-01-15 12:28:30+00:00,,,1217423312474779648,,https://twitter.com/ZacharySagerMD/status/1217423312474779648,1,0,aribindi,
disagree. use 'thought or wish for hastened death' or something similar. 10-20% of individuals with a terminal illness express a wish for hastened death. expression exists outside of terminal illnesses 2. using suicidal in this context pathologizes a nl emotion/rxn to suffering.,2020-01-14 16:26:40+00:00,,,1217120860122816512,,https://twitter.com/ZacharySagerMD/status/1217120860122816512,1,0,aribindi,
complete misuse of the term and context surrounding suicide/being suicidal.,2020-01-14 12:04:51+00:00,,,1217054971868385281,,https://twitter.com/ZacharySagerMD/status/1217054971868385281,1,0,aribindi,
might i suggest one of these?,2020-01-09 12:07:28+00:00,,,1215243689569718274,,https://twitter.com/ZacharySagerMD/status/1215243689569718274,0,0,PalliDad,
"i know! i think at the va i could go over the allowed amount and put more patches on, but haven’t had someone i’ve needed to try it on yet.",2020-01-08 11:44:10+00:00,,,1214875437731586049,,https://twitter.com/ZacharySagerMD/status/1214875437731586049,1,0,BennyK491,
"echo these, and has been effective for older adults on low dose long term opioid therapy who experienced side effects, poor pain control, cognitive impairment, impulsivity. i wish the available dosages were higher as i’d love to see what the limits of use are.",2020-01-08 11:39:09+00:00,,,1214874176764469248,,https://twitter.com/ZacharySagerMD/status/1214874176764469248,1,0,BennyK491,
pa prescribed in palliative care setting with approval after patient died. i'm guessing i'm not the only hpm provider who has had this experience.,2020-01-04 18:48:07+00:00,,#HPM,1213532576536834049,,https://twitter.com/ZacharySagerMD/status/1213532576536834049,0,1,tnicholsmd,
people who use drugs,2020-01-02 22:28:35+00:00,,,1212863283209932800,,https://twitter.com/ZacharySagerMD/status/1212863283209932800,0,0,MikeMcClurkinMD,
"also lacking is an appreciation that for the majority of individuals who use drugs, recovery is a natural part. cessation without formal treatment is not frequently discussed or highlighted in psychiatric training. we see a minority of pwud.",2020-01-02 22:27:00+00:00,,,1212862886470717440,,https://twitter.com/ZacharySagerMD/status/1212862886470717440,0,0,MikeMcClurkinMD,
you being a jets fan makes a lot of sense,2019-12-22 17:59:01+00:00,,,1208809178904584192,,https://twitter.com/ZacharySagerMD/status/1208809178904584192,1,0,drrickbarnett,
i have learned to check and make sure the bed isn’t wet before you sit down on it.,2019-12-22 13:33:28+00:00,,,1208742350366953479,,https://twitter.com/ZacharySagerMD/status/1208742350366953479,0,0,laxswamy,
whoa—thank you for sharing this.,2019-12-21 22:51:14+00:00,,,1208520330567987200,,https://twitter.com/ZacharySagerMD/status/1208520330567987200,0,0,reelirishdancer,
"only problem is i would start it, but then get distracted and be left with a huge stack of stickies on the left, and stickies crumpled up in my bag",2019-12-20 14:34:01+00:00,,,1208032812105916417,,https://twitter.com/ZacharySagerMD/status/1208032812105916417,1,0,kfjonespallnp,
"this is so important--we can do a lot to make the space inviting, warm, and intentional. starts with the lobby, staff, what messages patients see as soon as they arrive. traumainformed primarycarechat",2019-12-20 02:58:59+00:00,,#traumainformed #primarycarechat,1207857900779196416,,https://twitter.com/ZacharySagerMD/status/1207857900779196416,0,0,FleurantMD,
a1: being in the va 1 issue is i in many ways represent a face of an organization that has been complicit in their trauma. sometimes its hard to make it known that the space i'm trying to create is one focused on healing. primarycarechat,2019-12-20 02:46:07+00:00,,#primarycarechat,1207854665255333889,,https://twitter.com/ZacharySagerMD/status/1207854665255333889,5,0,primarycarechat,
"i very much prefer this definition as opposed to the criterion a for ptsd. this leaves a lot more room for things that folks experience as traumatic--especially systemic issues like racism, misogyny, etc primarycarechat",2019-12-20 02:41:10+00:00,,#primarycarechat,1207853418183905282,,https://twitter.com/ZacharySagerMD/status/1207853418183905282,0,0,primarycarechat,
,2019-12-20 02:38:30+00:00,,,1207852747275542528,,https://twitter.com/ZacharySagerMD/status/1207852747275542528,0,0,flowa2,
"zack, palliative care and psychiatry at boston va with some other community work as well. interested in older adults with ptsd and trauma exposure. favorite diner food, definitely breakfast, definitely corned beef and hash. primarycarechat",2019-12-20 02:35:10+00:00,,#primarycarechat,1207851908716793857,,https://twitter.com/ZacharySagerMD/status/1207851908716793857,1,0,primarycarechat,
"oh yeah, and i'm really into traumainformed care.",2019-12-20 02:16:15+00:00,,#traumainformed,1207847147250618371,,https://twitter.com/ZacharySagerMD/status/1207847147250618371,0,0,,
"tonight i'll be joining primarycarechat not because i'm a primary care doctor, but i because i'm proud of myself for stopping someone from getting antibiotics for asymptomatic bacteriuria.",2019-12-20 02:14:57+00:00,,#primarycarechat,1207846819859963904,,https://twitter.com/ZacharySagerMD/status/1207846819859963904,3,2,,
loollove this. ! when life gives you lemons...,2019-12-19 00:10:26+00:00,,,1207453099494907905,,https://twitter.com/ZacharySagerMD/status/1207453099494907905,2,0,doctorjordan,
"yep, which is why i feel the debate should be around formulation not the drug itself. though i guess insurance is the only thing stopping someone from putting on multiple butrans patches...",2019-12-18 23:36:40+00:00,,,1207444599716888576,,https://twitter.com/ZacharySagerMD/status/1207444599716888576,0,0,AjayManhapra,
