text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
anything we can do about this? perhaps you could discuss this case on criminal injustice podcast? i think variations of this happen all over the country and people would be interested to hear what can be done to stop abusive judges.,2020-02-27 21:54:48+00:00,,,1233148501976141824,,https://twitter.com/_tomdalton/status/1233148501976141824,1,0,dharrislawprof,
"is this an accurate report? you don’t actually identify the presence of any hostage. you only refer to, “two inmates were barricaded in a cell and refused to comply with directions from prison staff.”",2020-02-27 02:50:46+00:00,,,1232860595231363072,,https://twitter.com/_tomdalton/status/1232860595231363072,0,0,MyNBC5,
. this lawyer is behaving very badly! what can be done to hold this judge accountable?,2020-02-27 02:35:36+00:00,,,1232856778913783808,@dharrislawprof,https://twitter.com/_tomdalton/status/1232856778913783808,1,0,sdschuyler,
has anyone filed an ethics complaint with the florida bar? this is outrageous!,2020-02-27 02:30:57+00:00,,,1232855609621520384,,https://twitter.com/_tomdalton/status/1232855609621520384,0,0,sdschuyler,
"i was referring to the idea that constructive criticism of the methadone treatment system is somehow “vilifying” methadone patients, which does strike me as hiding behind patients and just inaccurate.",2020-02-27 02:23:07+00:00,,,1232853638932058112,,https://twitter.com/_tomdalton/status/1232853638932058112,2,0,ztalbott,
"stop using patients as a human shield to deflect legitimate and constructive criticism of a high barrier, stigma-based methadone treatment system that fails to reach most people in need. the first step is to admit we have a problem.",2020-02-26 02:56:00+00:00,,,1232499524544786434,,https://twitter.com/_tomdalton/status/1232499524544786434,2,0,ADAWnews,
bernie might actually have the credibility with both sides to actually broker a fair middle east peace process.,2020-02-26 02:45:01+00:00,,,1232496763392512000,,https://twitter.com/_tomdalton/status/1232496763392512000,0,0,,
bernie wins the debate again. he will be our nominee. ,2020-02-26 02:40:43+00:00,,,1232495680150802434,,https://twitter.com/_tomdalton/status/1232495680150802434,0,0,,
all the landfill money can buy.,2020-02-26 02:01:20+00:00,,,1232485768284655616,,https://twitter.com/_tomdalton/status/1232485768284655616,0,0,chazzeresq,https://twitter.com/chazzeresq/status/1232448711432622080
bernie circa 1963,2020-02-26 01:54:13+00:00,,,1232483979611127808,,https://twitter.com/_tomdalton/status/1232483979611127808,0,0,,
bernie circa 1988,2020-02-26 01:53:50+00:00,,,1232483879765692417,,https://twitter.com/_tomdalton/status/1232483879765692417,0,0,,
bernie circa 1986 ,2020-02-26 01:52:26+00:00,,,1232483527339343874,,https://twitter.com/_tomdalton/status/1232483527339343874,0,0,,
,2020-02-26 01:50:05+00:00,,,1232482939218415616,,https://twitter.com/_tomdalton/status/1232482939218415616,0,0,,
sounds like bloomberg bought some people to faux cheer.,2020-02-26 01:48:50+00:00,,,1232482623559045122,,https://twitter.com/_tomdalton/status/1232482623559045122,0,0,,
bernie is the most electable.,2020-02-26 01:42:03+00:00,,,1232480918155055104,,https://twitter.com/_tomdalton/status/1232480918155055104,0,0,_tomdalton,https://twitter.com/_tomdalton/status/1232480643717582851
fact-check: does sanders have ‘strong support’ in rural and red vermont?,2020-02-26 01:40:58+00:00,,,1232480643717582851,,https://twitter.com/_tomdalton/status/1232480643717582851,0,0,,https://vtdigger.org/?p=309258
totally the fear and fear mongering debate. pathetic.,2020-02-26 01:39:16+00:00,,,1232480217186222080,,https://twitter.com/_tomdalton/status/1232480217186222080,0,0,,
we have the money in it’s a question of how we will spend it. we need the someone with the right spending priorities - bernie.,2020-02-26 01:37:57+00:00,,,1232479886209536001,,https://twitter.com/_tomdalton/status/1232479886209536001,0,0,_tomdalton,https://twitter.com/_tomdalton/status/1232477262739468290
i don’t care much about the “how will you pay for it” question.,2020-02-26 01:27:32+00:00,,,1232477262739468290,,https://twitter.com/_tomdalton/status/1232477262739468290,0,0,,
gotta love vt. see if you can spot the little deer i saw outside the state house this morning. ,2020-02-25 23:29:31+00:00,,#VT,1232447563615236096,,https://twitter.com/_tomdalton/status/1232447563615236096,0,1,,
bernie 1988,2020-02-24 02:26:04+00:00,,,1231767216481357825,,https://twitter.com/_tomdalton/status/1231767216481357825,0,0,,
bernie 1963,2020-02-24 02:23:54+00:00,,,1231766670445662209,,https://twitter.com/_tomdalton/status/1231766670445662209,0,0,,
bernie 1986,2020-02-24 02:22:50+00:00,,,1231766404942176262,,https://twitter.com/_tomdalton/status/1231766404942176262,0,1,,
"thanks, very interesting!",2020-02-23 15:39:52+00:00,,,1231604596180738048,,https://twitter.com/_tomdalton/status/1231604596180738048,2,0,DennisWygmans,
increases drug/alcohol use or was that a typo?,2020-02-23 14:47:35+00:00,,,1231591438430986240,,https://twitter.com/_tomdalton/status/1231591438430986240,1,0,DennisWygmans,
"i’d like to tell vulnerable tenants and their loved ones that this bill is going nowhere, but the bill was successfully voted out of committee this week so... ",2020-02-23 01:34:17+00:00,,,1231391799152914432,,https://twitter.com/_tomdalton/status/1231391799152914432,1,0,,
"as a bonus, it gives favored landlords superpowers to block access to the residence and personal belongings inside the residence without court order. “leave now and no you can’t get your stuff.”",2020-02-23 01:24:49+00:00,,,1231389414015807489,,https://twitter.com/_tomdalton/status/1231389414015807489,0,1,,
vermont is considering a different approach. h.783 -vermont’s “leave now bill” -fast tracks certain stigmatized tenants to homelessness or incarceration by instantly evicting them for any lease violation including falling behind on rent. vtpoli,2020-02-23 01:21:25+00:00,,#vtpoli,1231388561401839616,,https://twitter.com/_tomdalton/status/1231388561401839616,2,3,coaimpaul,https://twitter.com/coaimpaul/status/1231120581879324672
or pleasantly surprised? ,2020-02-22 03:58:36+00:00,,,1231065728247308288,,https://twitter.com/_tomdalton/status/1231065728247308288,1,0,ChloDubs,
