text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
$aapl $ge $fb $tsla $zom $ghsi $f $abev $amd $msft $auy $jasn $bioc $llit $spy $mu $twwt $plug $snca $amzn $bitc bitcoincash coronavirius trump2020 business stocks $uber $yuma $husa i challenge you to do dd on this stock and find a reason not to give them a small chance,2020-02-24 04:35:51+00:00,,#BitcoinCash #Coronavirius #Trump2020 #business #stocks,1231799879250432001,,https://twitter.com/bullishstocks7/status/1231799879250432001,0,0,,
got my shares baby!!!! worth a gamble. it’s nice to see a cheap stock doing good things to grow and not a scam!,2020-02-12 02:01:06+00:00,,,1227412278661787648,,https://twitter.com/bullishstocks7/status/1227412278661787648,0,0,hardwork2018,
looks ready to go,2020-02-07 02:11:46+00:00,,,1225603024560828416,,https://twitter.com/bullishstocks7/status/1225603024560828416,0,0,danyal54794544,
last chance lol it’s about to fly finally. confirmed,2020-02-04 03:34:22+00:00,,,1224536649264136192,,https://twitter.com/bullishstocks7/status/1224536649264136192,0,0,justmytrades,
what stock chart does clay trader use? i can not draw the lines and do a lot of stuff with mine! $aapl $vxtr $fb $ge $qqq $amd $chk $nio $adxs $ibio $ftft $amzn $scon $riot $nvus $opgn $sgbx $gnpx $nog $hpr $ghsi $gpl $dnr $akrx $chfs $sxtc $gsv $bngo $myos $ford $f $gpor $swn,2020-01-31 17:48:43+00:00,,,1223302100995715072,,https://twitter.com/bullishstocks7/status/1223302100995715072,0,0,,
what app can i use to see free level 2’s? i used to have it back when i day traded more but don’t need it so much now. my new job doesn’t give me enough time to day trade $ibio $ino $cnat $appl $fb $tsla $nnva $apps $cers $ge $yeti $botz $cvs $xom $amzn,2020-01-31 00:52:52+00:00,,,1223046454102523904,,https://twitter.com/bullishstocks7/status/1223046454102523904,0,2,,
 do you only post options and calls or swings and stuff as well?,2020-01-30 02:15:46+00:00,,,1222704930198302720,@RichHamiltonJr,https://twitter.com/bullishstocks7/status/1222704930198302720,0,0,,
hey russell can i pitch something to you that i think you will find very beneficial. needs to be in pm,2020-01-28 22:53:22+00:00,,,1222291605693976577,,https://twitter.com/bullishstocks7/status/1222291605693976577,0,0,russellbrunson,
 i am working on something that i believe could be very beneficial for the both of us. could i please have 5 minutes of your valuable time. i believe this project has the potential to be the next household name!,2020-01-26 04:26:30+00:00,,,1221288276197355520,@johnrampton,https://twitter.com/bullishstocks7/status/1221288276197355520,0,0,,
 i am working on something that i believe could be very beneficial for the both of us. could i please have 5 minutes of your valuable time. i believe this project has the potential to be the next household name!,2020-01-26 04:24:59+00:00,,,1221287894557646848,@dsiroker,https://twitter.com/bullishstocks7/status/1221287894557646848,0,0,,
