text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
check out my latest blog post for  about mixing opioids and benzos and how to stay safe: is it safe to mix opioids and benzodiazepines?,2020-02-28 01:28:57+00:00,,,1233202395099942915,@workithealth,https://twitter.com/elizabethbrico/status/1233202395099942915,0,0,,https://www.workithealth.com/blog/is-it-safe-to-mix-opioids-and-benzodiazepines/
"needless to say, no you won’t be receiving another pitch from me, thanks. ugh.",2020-02-27 17:15:15+00:00,,,1233078151967911939,,https://twitter.com/elizabethbrico/status/1233078151967911939,0,0,,
"this pitch is radically different than the story she cited, or anything i’ve written. but i feel there is no point in replying to say that bc clearly she just doesn’t want to commission the piece. i would respect a flat no more than fake, bad reasons.",2020-02-27 17:15:14+00:00,,,1233078148650225665,,https://twitter.com/elizabethbrico/status/1233078148650225665,1,0,,
and i’m not talking about ms feedback or anything...like an editor recently said they were rejecting my pitch bc it wasn’t a 1st person piece. so of course i replied & explained that it was. but then they said it was too similar to something i’d written for another pub...,2020-02-27 17:15:14+00:00,,,1233078145546432519,,https://twitter.com/elizabethbrico/status/1233078145546432519,1,0,,
"i hate editors who give bad reasons for rejecting a pitch. i’d rather get no reason, or a “not a right fit” type reply. when editors send rejections based on things that are incorrect or flexible, it makes me want to work on the pitch w them. but usually they just mean no.",2020-02-27 17:15:11+00:00,,,1233078134649520130,,https://twitter.com/elizabethbrico/status/1233078134649520130,1,0,,
i understood it as children being better off if their substance using parents just died already ;),2020-02-27 16:41:32+00:00,,,1233069668514091012,,https://twitter.com/elizabethbrico/status/1233069668514091012,0,0,beyerstein,
"a factor how exactly? bc simply testing pos doesn’t count as “a factor.” did these families drink milk? would that make milk a factor? anyway how many kids actually die from maltreatment compared to the of families ripped apart, ravaged+traumatized by the child welfare system?",2020-02-27 16:37:23+00:00,,,1233068623524175872,,https://twitter.com/elizabethbrico/status/1233068623524175872,0,0,AlexBerenson,
"okay agreed but i also think people are jerks who see a couple empty aisle seats and then go for the one that has a bag on it. like if there’s no other seat, sure...but come on, putting a bag on your lap can be uncomfortable/impossible especially with big or many bags.",2020-02-27 15:33:54+00:00,,,1233052647244128267,,https://twitter.com/elizabethbrico/status/1233052647244128267,0,0,carrieanne1968,
2020 is literally the worst,2020-02-27 02:23:11+00:00,,,1232853655361118211,,https://twitter.com/elizabethbrico/status/1232853655361118211,0,0,HalcyonEmber,
"yeah i feel that. film reel, if you can get your hands on some, is actually fantastic for this—very smooth",2020-02-26 18:25:22+00:00,,,1232733407936950275,,https://twitter.com/elizabethbrico/status/1232733407936950275,0,0,davidthekick,
"in any case, i would likely also prefer sharks.",2020-02-26 13:36:16+00:00,,,1232660653518786560,,https://twitter.com/elizabethbrico/status/1232660653518786560,1,0,elizabethbrico,
"i imagine it would depend on your mood and personality. i’m thinking the effects are like a psychedelic deep-dive into the movie. or would it be more of a body high, making you experience the physical/emotional states of the actors, or that the film incites in audience?",2020-02-26 13:35:51+00:00,,,1232660548954791946,,https://twitter.com/elizabethbrico/status/1232660548954791946,2,0,davidthekick,
i want to crush and snort a movie that sounds baller,2020-02-26 05:17:12+00:00,,,1232535061448286208,,https://twitter.com/elizabethbrico/status/1232535061448286208,2,0,davidthekick,
yeah i know what you’re talking about it’s the only thing keeping me alive these days,2020-02-26 05:13:26+00:00,,,1232534111086092288,,https://twitter.com/elizabethbrico/status/1232534111086092288,0,0,MLLanzillotta1,
so it would work! ,2020-02-25 17:32:08+00:00,,,1232357624852688899,,https://twitter.com/elizabethbrico/status/1232357624852688899,0,0,Artivizm,
according to this i am both a girl and a guy,2020-02-25 16:20:30+00:00,,,1232339598208045057,,https://twitter.com/elizabethbrico/status/1232339598208045057,0,0,laylaanna_,
about to go to na—b/c i’m an addict and it works if you work it ;),2020-02-25 16:19:50+00:00,,,1232339428292644866,,https://twitter.com/elizabethbrico/status/1232339428292644866,4,1,MHPoison1,https://twitter.com/MHPoison1/status/1232320201162510336
word,2020-02-24 02:35:44+00:00,,,1231769648552648706,,https://twitter.com/elizabethbrico/status/1231769648552648706,0,0,ZachWritesStuff,
i’d be generally more into sex if it were with aliens of various shapes and colors ,2020-02-22 03:55:13+00:00,,,1231064875331395590,,https://twitter.com/elizabethbrico/status/1231064875331395590,0,0,StripsEmily,
oh yes please. i’m not generally a fan of porn but this sounds like a great idea!,2020-02-22 03:54:37+00:00,,,1231064725376688128,,https://twitter.com/elizabethbrico/status/1231064725376688128,0,0,StripsEmily,
hi raj! i’m interested!,2020-02-21 00:48:26+00:00,,,1230655483079528450,,https://twitter.com/elizabethbrico/status/1230655483079528450,0,0,OhThatRajul,
 sorry the app wouldn’t let me tag you in the original post!,2020-02-20 17:36:30+00:00,,,1230546786324033537,@justine_waldman,https://twitter.com/elizabethbrico/status/1230546786324033537,1,0,,
my latest story for  is up—thank you to those who helped me untangle this odd practice i encountered   and justine waldman— does a “dialectical abstinence” program qualify as harm reduction? https://filtermag.org/?p=8670 via @,2020-02-20 17:35:33+00:00,,,1230546543641534464,@Filtermag_org @BrookeM_Feldman @jeff_deeney @Filtermag_org,https://twitter.com/elizabethbrico/status/1230546543641534464,2,7,,https://filtermag.org/?p=8670
poltergeist,2020-02-19 19:12:34+00:00,,,1230208573680111617,,https://twitter.com/elizabethbrico/status/1230208573680111617,0,0,WJXTvic,
"you deserve it by being awesome+exceedingly kind, smart, compassionate, supportive, strong, well-informed, did i saw awesome yet? how are you doing today??",2020-02-19 01:26:18+00:00,,,1229940235628400641,,https://twitter.com/elizabethbrico/status/1229940235628400641,0,0,LelenaPeacock,
fuck i’m so sorry,2020-02-18 17:57:20+00:00,,,1229827250138251264,,https://twitter.com/elizabethbrico/status/1229827250138251264,1,0,billkinkle,
"drug users, sex workers, and advocates oh my!",2020-02-18 17:56:43+00:00,,,1229827096966582275,,https://twitter.com/elizabethbrico/status/1229827096966582275,1,0,,
"sure it’s a chain, but it’s a chain! amplify the voices of 10 women and keep it going!          &lt;-that’s actually 2 women ",2020-02-18 17:56:42+00:00,,,1229827092818354177,@Dinahortiz4 @DrKimSue @CarlynZwaren @IamTagiCTyronce @LelenaPeacock @JMacForFamilies @MyHarmReduction @ADAWnews @movfamilypower @StripsEmily,https://twitter.com/elizabethbrico/status/1229827092818354177,3,2,josiegz,https://twitter.com/josiegz/status/1229810009971838976
thank you ,2020-02-18 17:50:55+00:00,,,1229825635515871234,,https://twitter.com/elizabethbrico/status/1229825635515871234,0,0,josiegz,
i’m sorry. please let me know if a stranger on the internet can do anything to brighten your day you deserve to feel better.,2020-02-18 12:45:15+00:00,,,1229748714736103424,,https://twitter.com/elizabethbrico/status/1229748714736103424,0,0,Elena121970,
that sounds awesome as does she,2020-02-18 06:14:10+00:00,,,1229650293786398723,,https://twitter.com/elizabethbrico/status/1229650293786398723,1,0,addictionguy,
but it’s a legit question. ????,2020-02-18 01:14:56+00:00,,,1229574991030689797,,https://twitter.com/elizabethbrico/status/1229574991030689797,0,0,JaneyGodley,
what?? invoice him back ;),2020-02-18 00:06:51+00:00,,,1229557854908092417,,https://twitter.com/elizabethbrico/status/1229557854908092417,0,0,magnorris,
i’ve wondered similar things. i’m sorry you’re feeling this way. are you doing any better since you tweeted this?,2020-02-18 00:04:07+00:00,,,1229557169114275841,,https://twitter.com/elizabethbrico/status/1229557169114275841,1,0,Elena121970,
"(well yeah, cis women do sometimes get asked about their genitalia by strange men, but that only adds to the evidence that these dudes are gross trash)",2020-02-17 23:59:24+00:00,,,1229555979609571328,,https://twitter.com/elizabethbrico/status/1229555979609571328,0,0,leMALEFICENT1,
hi,2020-02-17 23:56:30+00:00,,,1229555251210018819,,https://twitter.com/elizabethbrico/status/1229555251210018819,1,0,Elena121970,
wtf? ugh i’m sorry.,2020-02-17 23:53:01+00:00,,,1229554375611338758,,https://twitter.com/elizabethbrico/status/1229554375611338758,0,0,serenajazmine,
hey art therapy sounds fun!,2020-02-17 21:49:14+00:00,,,1229523224590942208,,https://twitter.com/elizabethbrico/status/1229523224590942208,0,0,billkinkle,
