text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
...and they take down that flashing light!!! https://www.newhavenindependent.org/index.php/archives/entry/city_updates_yale_ave._traffic_calming_plan/ https://www.newhavenindependent.org/index.php/archives/entry/neighbors_demand_yale_ave/,2020-02-25 18:35:38+00:00,,,1232373604580458497,,https://twitter.com/howell_ben/status/1232373604580458497,0,0,sostfeldjohns,"https://www.newhavenindependent.org/index.php/archives/entry/city_updates_yale_ave._traffic_calming_plan/,https://www.newhavenindependent.org/index.php/archives/entry/neighbors_demand_yale_ave/"
my question is - can they be put on non-municipal sidewalks? i want one in front of my house!  ,2020-02-25 18:19:50+00:00,,,1232369628590084096,@NewHavenEng @doughausladen,https://twitter.com/howell_ben/status/1232369628590084096,2,0,sostfeldjohns,
"depends. some apizzas, yes, some apizzas, no. same w white v red imho.",2020-02-25 18:18:32+00:00,,,1232369301815951364,,https://twitter.com/howell_ben/status/1232369301815951364,0,0,RickPhD_MPE,
 gscia nhv,2020-02-25 18:11:48+00:00,,#gscia #NHV,1232367608965599234,,https://twitter.com/howell_ben/status/1232367608965599234,1,0,pepespizzeria,https://twitter.com/pepespizzeria/status/1232363902123507714
"need a hashtag for stuff like this - brutal misuse of solitary. all solitary is brutal, but seeing this kind of stuff is especially brutal.",2020-02-25 17:56:09+00:00,,,1232363669335527424,,https://twitter.com/howell_ben/status/1232363669335527424,0,0,JosephJaafari,https://twitter.com/JosephJaafari/status/1232329296875868162
"two connecticut doctors - one, dr. anwar, supports improved vaccine laws to deter abuse & increase public health safety net; the other, dr. petit, pushes back invoking educational opportunities & sows doubt due to need for more info. what's the difference?",2020-02-25 17:09:58+00:00,,,1232352048068407297,,https://twitter.com/howell_ben/status/1232352048068407297,0,0,,https://www.ctnewsjunkie.com/archives/entry/20200224_public_health_committee_looks_to_compromise_on_repeal_of_religious/
can’t imagine trying to “do” housing first w *fewer* resources,2020-02-25 15:28:50+00:00,,,1232326596100530183,,https://twitter.com/howell_ben/status/1232326596100530183,2,0,howell_ben,
"this is true. as a clinician in a va clinic for veterans experiencing homelessness, a lot of services that scales to needs - in addition to housing - most vets do best in apartments within walking distance of the va. also, many struggle in the transition btw shelter to apt.",2020-02-25 15:28:21+00:00,,,1232326472184090625,,https://twitter.com/howell_ben/status/1232326472184090625,1,0,jeff_deeney,
"would love his explanation - ""slow it down"" to make sure it gets passed? or ""slow it down"" because he disagrees with it? regardless, as one of the few physicians in the ct general assembly, you'd hope he'd be a leader on this issue, not a nay-sayer. ctpoli",2020-02-24 17:26:16+00:00,,#ctpoli,1231993762269814785,,https://twitter.com/howell_ben/status/1231993762269814785,0,0,markdavisWTNH,
good to hear! ,2020-02-22 04:45:49+00:00,,,1231077610110824448,@stopsolitaryct,https://twitter.com/howell_ben/status/1231077610110824448,0,0,10SDDem,
i defer this question to folks like  and other addiction oriented pharmicist on here,2020-02-22 03:40:31+00:00,,,1231061178534842369,@HillPharmD,https://twitter.com/howell_ben/status/1231061178534842369,1,0,sostfeldjohns,
".  - sen winfield, please introduce the protect act to the judiciary committee this legislative session to effectively ban solitary in ct prisons &amp; jails!",2020-02-21 11:15:30+00:00,,,1230813291934556162,@10SDDem,https://twitter.com/howell_ben/status/1230813291934556162,1,2,Prison_Health,https://twitter.com/Prison_Health/status/1230698671215243266
"here, here! yes to expanding the franchise & making it easier to register & vote! let’s make election day a state holiday! ct should be a leader on voting rights.  ",2020-02-21 11:12:12+00:00,,,1230812458748710912,@rolandlemar @GovNedLamont,https://twitter.com/howell_ben/status/1230812458748710912,0,0,CTMirror,
"expanding the franchise to people on parole is great, (sen malloy - we should bring this to a vote!) but i see no reason why people incarcerated shouldn’t vote too! ",2020-02-21 11:09:26+00:00,,,1230811764503318530,,https://twitter.com/howell_ben/status/1230811764503318530,0,1,CTMirror,https://twitter.com/CTMirror/status/1230809892115689472
"give a system a hammer & everything looks like a nail. the abuse of using solitary confinement, which causes further harm & is torture, to address a health/quarantine issue is a staggering abuse in the carceral system.",2020-02-20 20:29:50+00:00,,,1230590405017821192,,https://twitter.com/howell_ben/status/1230590405017821192,0,1,matthewferner,https://twitter.com/matthewferner/status/1230499421638381569
glad to see you crossing the ideological divide & supporting the free speech of folks like trinity prof johnny eric williams. kudos!,2020-02-18 20:58:26+00:00,,,1229872826896789506,,https://twitter.com/howell_ben/status/1229872826896789506,0,0,SenatorFasano,
,2020-02-17 17:12:52+00:00,,,1229453673626992640,,https://twitter.com/howell_ben/status/1229453673626992640,0,0,InquisitiveUrsa,https://fivethirtyeight.com/features/normal-america-is-not-a-small-town-of-white-people/
i mean - greater new haven ='s best representation of us demographics and all... nhv https://fivethirtyeight.com/features/normal-america-is-not-a-small-town-of-white-people/,2020-02-17 16:56:37+00:00,,#NHV,1229449583790608385,,https://twitter.com/howell_ben/status/1229449583790608385,0,1,JamesSurowiecki,"https://fivethirtyeight.com/features/normal-america-is-not-a-small-town-of-white-people/,https://twitter.com/JamesSurowiecki/status/1229061559185526784"
 yes! thank you mayor elicker! nhv gscia,2020-02-17 00:23:19+00:00,,#NHV #gscia,1229199613598498818,,https://twitter.com/howell_ben/status/1229199613598498818,0,0,MayorElicker,https://twitter.com/MayorElicker/status/1229193698296188929
 pitchersandcatchers,2020-02-12 16:33:58+00:00,,#PitchersAndCatchers,1227631945649184768,,https://twitter.com/howell_ben/status/1227631945649184768,0,0,SteveGilbertMLB,https://twitter.com/SteveGilbertMLB/status/1227626785128366080
is there a good database of variation in pre-trial detention practices between jurisdictions & changes over time? could see that being leveraged to approximate health impacts.,2020-02-12 03:40:29+00:00,,,1227437289489432576,,https://twitter.com/howell_ben/status/1227437289489432576,1,0,jbenmenachem,
"different demographic, but i’ve noticed more bloomberg signs than bernie signs in east rock lately.",2020-02-12 01:58:49+00:00,,,1227411704549642242,,https://twitter.com/howell_ben/status/1227411704549642242,0,1,jasonintrator,
"re-up this question re health impacts. as far as i know there are a lot of hypothetical health impacts of pre-trial detention, but no studies that i know of.  ",2020-02-12 01:42:45+00:00,,,1227407664155701250,@ewang422 @tylerwinkelman,https://twitter.com/howell_ben/status/1227407664155701250,1,1,jbenmenachem,https://twitter.com/jbenmenachem/status/1227358807103299584
"i actually don’t know who’s funding it, likely a grant, but i found out about via the nhi article. maybe  or  might know?",2020-02-08 16:38:06+00:00,,,1226183432738410497,@gregggonsalves @RS_McNeil,https://twitter.com/howell_ben/status/1226183432738410497,1,0,jeff_deeney,
strong work dan - go ypc  ,2020-02-08 01:37:45+00:00,,#YPC,1225956851226902528,@ypc_chiefs @YaleMed,https://twitter.com/howell_ben/status/1225956851226902528,0,0,NYSAM_connect,
"absolutely! i’ve heard it was the *first*. not sure how many kits the nhpd will pass out, but this is a *win* for educating the front line police about substance use & generally addressing stigma.",2020-02-07 15:48:47+00:00,,,1225808633071575041,,https://twitter.com/howell_ben/status/1225808633071575041,0,0,DFANewHaven,https://twitter.com/DFANewHaven/status/1225805846866563079
cool project & likely revealing. sunlight is always good. hopefully the foia’s aren’t too onerous & slow.,2020-02-05 12:41:01+00:00,,,1225036604043157505,,https://twitter.com/howell_ben/status/1225036604043157505,0,0,lynnepithecus,
"also, patients & clinicians in the  would have direct experience of changes in meds when moving from carceral to community settings in different jurisdictions.",2020-02-05 01:13:01+00:00,,,1224863466156105730,@_Transitions,https://twitter.com/howell_ben/status/1224863466156105730,0,0,howell_ben,
"for what it’s worth, given the very public recent bad outcomes in ct doc, i think there’s been some efforts to reform review procedures for appropriate care.",2020-02-05 01:05:29+00:00,,,1224861570045546496,,https://twitter.com/howell_ben/status/1224861570045546496,2,0,howell_ben,
"if formularies were public record (which they might be) it’d be interesting to do a comparison of medicaid v doc state-by-state. the big ticket ones will be hiv/hcv/oud, but discrepancies & delays across the board would be expected.",2020-02-05 01:04:22+00:00,,,1224861289119387648,,https://twitter.com/howell_ben/status/1224861289119387648,1,2,lynnepithecus,
"yes, several of us folks down the road in new haven do clinical work, advocacy, research around the health impact of incarceration. i’d also add  to jon’s list.",2020-02-05 00:20:51+00:00,,,1224850338538311682,@pugleesa,https://twitter.com/howell_ben/status/1224850338538311682,1,0,JonGiftosMD,
