text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"yes, what's considered violent pretty broad now. fleeing is considered violent and so is resisting law enforcement. you're probably not going to see a bunch of strong-armed robbery get approved unless it's plugged to something else",2020-02-27 22:52:56+00:00,,,1233163130739527680,,https://twitter.com/icmyserenity/status/1233163130739527680,1,0,davidewlucas,
they're at*,2020-02-27 21:37:07+00:00,,,1233144053539143682,,https://twitter.com/icmyserenity/status/1233144053539143682,1,0,icmyserenity,
"we need folks to beat the drum about ideals, goals, & inadequacies of current systems. we also need people working w current systems who use motivational interviewing for organizations and meet them where their at. big change doesnt happen overnight, its incremental - like w ppl",2020-02-27 21:36:17+00:00,,,1233143842364383232,,https://twitter.com/icmyserenity/status/1233143842364383232,1,0,icmyserenity,
"moud is an example- every federal funded dc has to do meds, yet ppl say regularly dc dont do meds. the new njotf is amazing - meds, peers, interdisciplinary teams, trauma informed care, etc. massive changes in judicial training. i'll focus on these great improvements/solutions",2020-02-27 21:25:10+00:00,,,1233141046537859072,,https://twitter.com/icmyserenity/status/1233141046537859072,1,0,icmyserenity,
to operate in current climate. drug courts are especially useful for violent offenders that would for sure be in prison otherwise. clearly low level drug offenses should be in community. everyone that's seen a couple dcs uses that as how all operate. bad info spreads like fire,2020-02-27 21:22:22+00:00,,,1233140340032516098,,https://twitter.com/icmyserenity/status/1233140340032516098,2,0,icmyserenity,
".  says it best, if you've seen one drug court, you've seen one drug court. also, have you looked at the new recommendations from national judicial opioid task force? easy to oversimplify a complex issue. criminalization isnt going away anytime soon, so we still have",2020-02-27 21:17:54+00:00,,,1233139215636090881,@jeff_deeney,https://twitter.com/icmyserenity/status/1233139215636090881,2,0,billkinkle,
thanks  and . this is why we need an expansion of the good samaritan law to protect those who overdose. arresting people for medical emergencies is inappropriate on so many levels.,2020-02-27 16:15:12+00:00,,,1233063039219458048,@indystar @nicolasterry,https://twitter.com/icmyserenity/status/1233063039219458048,1,2,nicolasterry,
"“are we enabling? yes,” yazel said, addressing senator concerns. “we are enabling access to a health care system that this population wouldn’t normally access.” https://twitter.com/phlu/status/1232735198242123778",2020-02-26 20:48:34+00:00,,,1232769446642622482,,https://twitter.com/icmyserenity/status/1232769446642622482,0,0,,https://twitter.com/phlu/status/1232735198242123778
hb 1182 passed out of senate health 11-0. on more hurdle,2020-02-26 15:00:58+00:00,,,1232681970070642690,,https://twitter.com/icmyserenity/status/1232681970070642690,1,0,,
"and the strong line up continues,  and  are making the case- stigma prevents syringe services. ""we are enabling- enabling people to access health care and recovery services"" ",2020-02-26 14:46:35+00:00,,,1232678349614518273,@bethkeeney @eyazel,https://twitter.com/icmyserenity/status/1232678349614518273,1,3,,
. testifying currently on hb 1182. bringing that to help improve systems,2020-02-26 14:39:26+00:00,,,1232676552342679554,@phlu,https://twitter.com/icmyserenity/status/1232676552342679554,1,1,,
. dr. box testifying on hb 1182 ammendment that extends syringe services in indiana. state really stepping up to remove any uncertainty going into last year. thank you!,2020-02-26 14:29:10+00:00,,,1232673967300907008,@StateHealthIN,https://twitter.com/icmyserenity/status/1232673967300907008,1,2,,
you should try it when there is reason to worry a it gets really intense,2020-02-25 20:12:28+00:00,,,1232397973457424387,,https://twitter.com/icmyserenity/status/1232397973457424387,0,0,bcuban,
excited to share some experience on how stigma impacts people getting into treatment and the ongoing barriers it creates in recovery,2020-02-24 16:34:10+00:00,,,1231980650158227460,,https://twitter.com/icmyserenity/status/1231980650158227460,0,0,IUImpact,https://twitter.com/IUImpact/status/1231580765923790849
"we were told to try to limit the other change. we were recommended to keep same toys, blankets, soothing items at the forefront. this helped limit the change to just the physical location. it seemed to work, she didnt have any issues w move",2020-02-24 14:00:13+00:00,,,1231941906701148171,,https://twitter.com/icmyserenity/status/1231941906701148171,0,0,RDashford,
next thursday courageous conversations at the indianamuseum! love anytime i get to hangout with with trailblazer justin.phillips.37201  state museum https://www.instagram.com/p/b816vukgnxx/?igshid=1ag40dkfspryq,2020-02-21 20:33:01+00:00,,,1230953593576054785,,https://twitter.com/icmyserenity/status/1230953593576054785,0,0,,https://www.instagram.com/p/B816vuKgnXX/?igshid=1ag40dkfspryq
inconsistency is part of issue - i know many who have paid severe consequences (prison) for unscheduled stop at walmart. certainly theres something on middle of no consequence and prison,2020-02-19 21:33:01+00:00,,,1230243916210982912,,https://twitter.com/icmyserenity/status/1230243916210982912,0,0,thescottjwatson,
not much if any,2020-02-18 01:03:23+00:00,,,1229572083245604864,,https://twitter.com/icmyserenity/status/1229572083245604864,0,1,nicolasterry,
i've been in a couple settings with director carroll and he most definitely will. my thoughts heading into the meeting of what it would be like were wildly off - probably from places like twitter. ,2020-02-18 00:59:31+00:00,,,1229571110821400578,,https://twitter.com/icmyserenity/status/1229571110821400578,0,0,missourinetwork,
 ,2020-02-14 20:09:14+00:00,,,1228410895145062407,@ailahoss @nicolasterry,https://twitter.com/icmyserenity/status/1228410895145062407,0,0,prof_goldberg,
"so...epinephrine, the band aid of anaphylaxis. maybe we should get rid of epi pens so people take their peanut allergies more serious - thatll teach em",2020-02-14 15:51:10+00:00,,,1228345948780351488,,https://twitter.com/icmyserenity/status/1228345948780351488,0,0,wesxmichaels,
". cares. their leadership, , is always hyperfocused on making sure we are healthy. this is not an us or them issue, we need a healthy state. thank you!",2020-02-14 15:35:39+00:00,,,1228342045024104449,@FSSAIndiana @confectionsmd,https://twitter.com/icmyserenity/status/1228342045024104449,0,0,FSSAIndiana,https://twitter.com/FSSAIndiana/status/1228318811608186883
flex! congrats,2020-02-14 15:13:07+00:00,,,1228336373041631233,,https://twitter.com/icmyserenity/status/1228336373041631233,0,0,traceyh415,
welcome ! follow  and  to round out  and  when it comes to policy. not to mention  for recovery science and  to learn how to use privilege in a positive manner.,2020-02-12 21:00:09+00:00,,,1227698929971712001,@dr_aviv @nicolasterry @ailahoss @LeoBeletsky @coreysdavis @RDashford @BrookeM_Feldman,https://twitter.com/icmyserenity/status/1227698929971712001,2,1,billkinkle,
simple- people will stop calling 911 if they are going to go to jail = more overdose deaths,2020-02-12 19:45:14+00:00,,,1227680078034866177,,https://twitter.com/icmyserenity/status/1227680078034866177,0,2,Ericmoss,https://twitter.com/Ericmoss/status/1227679498759524353
"turn that frown upside down....helping provide continuing ed to physicians so they learn about recovery residences, recovery orgs, support groups, and peers is a tremendous thing!",2020-02-12 00:58:41+00:00,,,1227396571672842240,,https://twitter.com/icmyserenity/status/1227396571672842240,0,0,thescottjwatson,
"the inchamberday being kicked off by , getting ready for general john kelly! https://twitter.com/indianachamber/status/1227375382170624001",2020-02-12 00:13:26+00:00,,#INChamberDay,1227385184267505664,@GovHolcomb,https://twitter.com/icmyserenity/status/1227385184267505664,0,0,,https://twitter.com/IndianaChamber/status/1227375382170624001
lot of work to be done but this is a good sign...,2020-02-11 23:54:42+00:00,,,1227380472201785345,,https://twitter.com/icmyserenity/status/1227380472201785345,0,0,INDrugCzar,https://twitter.com/INDrugCzar/status/1227338313767538690
come hang out....,2020-02-11 15:54:55+00:00,,,1227259728654454784,,https://twitter.com/icmyserenity/status/1227259728654454784,1,1,IndianaOUDecho,https://twitter.com/IndianaOUDecho/status/1227244411756646400
archie... there's no good to offset the terrible,2020-02-11 13:14:12+00:00,,,1227219283916267523,,https://twitter.com/icmyserenity/status/1227219283916267523,0,0,thescottjwatson,
you're more in middle than i - i just saw 35 billion (largest i've ever seen) that was split 18 b for treatment related stuff and 17 b for leo - also first time that it's not going all to leo. i'll have to dig in more,2020-02-10 19:23:35+00:00,,,1226949854569652224,,https://twitter.com/icmyserenity/status/1226949854569652224,1,0,SlingshotDC,
"isnt this the budget the largest ever? also, i thought it was first time more money was spent on prevention, treatment, and recovery compared to law enforcement. what am i missing? thought this was good - more money and better distribution. help",2020-02-10 19:05:36+00:00,,,1226945329926492162,,https://twitter.com/icmyserenity/status/1226945329926492162,1,0,SlingshotDC,
"theres no one strategy. some ppl may need just for w/d but others may need for extended periods. physical dependence 1 small piece of addxn. it can take yrs time resolve housing, job, relationships, etc. giving ppl med that reduces craving/relapse/death is vital during this time",2020-02-09 19:23:22+00:00,,,1226587411758690305,,https://twitter.com/icmyserenity/status/1226587411758690305,0,0,HeartburnDrew,
"""although small and not conclusive"" took me all of 2 seconds to read - i guess we disagree what should be promoting. again, agree w overall point of reliance in archaic tx, but would never promote ""small and not conclusive""",2020-02-09 14:23:56+00:00,,,1226512058373607424,,https://twitter.com/icmyserenity/status/1226512058373607424,0,0,BaDorfman,
"i agree with your larger point that would get stuck in outdated treatments for addiction and we need to think outside the box - specifically med intervention. maybe it's our different roles, but i could never want to promote something that we know there's not substantial evidence",2020-02-09 14:18:36+00:00,,,1226510713507794944,,https://twitter.com/icmyserenity/status/1226510713507794944,0,0,BaDorfman,
"i really enjoy what you bring - but using this as evidence base is well, you know, not",2020-02-09 14:16:32+00:00,,,1226510192893988865,,https://twitter.com/icmyserenity/status/1226510192893988865,0,0,BaDorfman,
thanks  - friendly reminder for just tweet readers - the withdrawal from just benzodiazepines can kill you too. love the highlight on how mixing is dangerous but benzodiazepines can be high risk alone too,2020-02-09 14:15:43+00:00,,,1226509988182528000,@ADAWnews,https://twitter.com/icmyserenity/status/1226509988182528000,0,1,ADAWnews,
"theres not a bunch of science and facts around topomax though? i'm all for you pointing out limitations of groups, but we're not saying topomax is the solution are we? i don't want you to be quiet, just share all that science",2020-02-09 03:18:40+00:00,,,1226344636106539008,,https://twitter.com/icmyserenity/status/1226344636106539008,0,0,BaDorfman,
"ur consigning topomax as a ""best treatment"" 4 methamphetamine ud? glad  found something that worked, but theres no solid evidence base for it, or anything else for methamphetamine. i'm all about criticizing throwing ppl in a room to fix addxn but pump breaks on the med",2020-02-09 03:11:39+00:00,,,1226342870799523840,@BaDorfman,https://twitter.com/icmyserenity/status/1226342870799523840,0,0,ZachWritesStuff,
"great night with my love, ! lod_yat was amazing- amazing job!  indy https://www.instagram.com/p/b8vgaqeaz9l/?igshid=1t4txskmli46w",2020-02-09 02:40:04+00:00,,,1226334923100954625,@jsexton76,https://twitter.com/icmyserenity/status/1226334923100954625,0,1,,https://www.instagram.com/p/B8VGaqEAz9L/?igshid=1t4txskmli46w
"i fight for med access daily but they but moud far from the only meaningful pathway to recovery. to reduce mortality for oud- yes but there are a bunch if ways that people find recovery. meds are vital, but this is not just a medical issue",2020-02-08 17:14:33+00:00,,,1226192606805266432,,https://twitter.com/icmyserenity/status/1226192606805266432,1,0,jameslbakermd,
"i agree, there is a massive need for legal aid and have been working with  for last couple years to increase access for those with sud - this is a big endorsement of that.  - bout time for us to get busy",2020-02-07 16:26:36+00:00,,,1225818150274506752,@LSCtweets @shannonmace,https://twitter.com/icmyserenity/status/1225818150274506752,0,1,Andrew_Perlman,https://twitter.com/Andrew_Perlman/status/1225542458232254466
"hard to get help when people are too ashamed to talk about it! grateful to talk about sud, how we handled crack cocaine epidemic, media, plight of chronic pain patients & recovery on  w/  ceo . fix exhibit touches on all this-amazing job!",2020-02-07 15:12:26+00:00,,,1225799485512724510,@AllinIndiana @IndianaMuseum @cathryn_ferree,https://twitter.com/icmyserenity/status/1225799485512724510,0,0,AllinIndiana,https://twitter.com/AllinIndiana/status/1225521727268098049
