text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this should have never happened! cops have so way too much power in small towns. it’s hard to watch him beat my friend like that istandwithmelissaross  police officer seen punching woman in face during arrest: video | http://globalnews.ca,2020-02-28 19:50:50+00:00,,#IStandwithMelissaRoss,1233479692784717826,@BrockvilleON,https://twitter.com/jesbesharah/status/1233479692784717826,0,1,,"http://Globalnews.ca,https://globalnews.ca/news/6603299/brockville-police-punching-woman-video/"
people are hurting and dying everyday from the discrimination that stigma is causing drug users to face in our health care system. the tiniest bit of empathy or kindness can go the longest way~saved my life when i switched to a clinic who treats everyone as a normal human being!,2020-02-23 03:30:25+00:00,,,1231421022273966080,,https://twitter.com/jesbesharah/status/1231421022273966080,0,0,,
"we need to do better. if the people who’s job it is to care for you don’t how can we ever expect people to start caring enough about themselves to try and make safer choices.another friend was telling me about od x 2 yesterday, she said that she didn’t care if she died any more",2020-02-23 03:30:24+00:00,,,1231421019400941569,,https://twitter.com/jesbesharah/status/1231421019400941569,1,0,,
"and finally, making her leave the ed so quickly after bringing her in, not only puts her at risk of a secondary od but sending her out in this weather, as worn down and malnourished as she was-when she has no where safe to go should not be her punishment for wanting to stay well.",2020-02-23 03:30:23+00:00,,,1231421015881867266,,https://twitter.com/jesbesharah/status/1231421015881867266,1,0,,
"first of all, while being a nurse is an amazing profession, it doesn’t make you a cop. secondly, whether or not she had less than a point of dope on her should have absolutely no bearing on whether you receive health care-she had a valid ohip card and needed medical treatment.",2020-02-23 03:30:22+00:00,,,1231421013331759106,,https://twitter.com/jesbesharah/status/1231421013331759106,1,0,,
"so asked to keep it. the nurse again asked her for it, my friend offered a bit of what she had, as she thought they wanted to test it. the nurse replied by telling her that unless she gave them all of her drugs she had to leave-that if she didn’t up her drugs she had to leave??",2020-02-23 03:30:22+00:00,,,1231421010907455488,,https://twitter.com/jesbesharah/status/1231421010907455488,1,0,,
i just spoke with a friend who od a couple of days ago. when she came through and the nurse started to interact with her she asked if she had any drugs left. my friend was honest and told her she did the nurse then asked her for it but it was all she had left & no $to buy more,2020-02-23 03:30:21+00:00,,,1231421006784401408,,https://twitter.com/jesbesharah/status/1231421006784401408,1,0,,
i’m so sorry~hope you start feeling better soon!!,2020-02-21 00:25:58+00:00,,,1230649828960501766,,https://twitter.com/jesbesharah/status/1230649828960501766,0,0,seadavis7,
"i just sent a message to  to demand justice for prisoners. if you haven’t yet, please take a moment to add your voice http://act.newmode.social/620405231t freejailcalls",2020-02-20 04:40:01+00:00,,#FreeJailCalls,1230351375625805825,@SylviaJonesMPP,https://twitter.com/jesbesharah/status/1230351375625805825,0,0,,http://act.newmode.social/620405231t
neat!! cable and speaker wires got used quite often too when i was out of brillo!,2020-02-18 19:45:12+00:00,,,1229854397737381889,,https://twitter.com/jesbesharah/status/1229854397737381889,0,0,_Jessica______M,
the retracting needles??,2020-02-18 19:24:55+00:00,,,1229849291432304640,,https://twitter.com/jesbesharah/status/1229849291432304640,1,0,_Jessica______M,
how do you pack your crackstem?? i mostly used brillo in my crack using days and really struggle with getting these screens packed in a functional manor. most popular (around here) seems to be fold 3 in half and pack then follow w 2 more same tech. what else have you seen??,2020-02-18 18:49:07+00:00,,#CrackStem,1229840284139347969,,https://twitter.com/jesbesharah/status/1229840284139347969,1,0,,
to everyone who has had their families ripped apart in one way or another from the warondrugusers i’m so sorry for the pain this day might be causing you. i’ve been there too and know it sucks. just hit me up on here if you want to chat.,2020-02-17 17:24:48+00:00,,#WarOnDrugUsers,1229456676929052677,,https://twitter.com/jesbesharah/status/1229456676929052677,0,0,,
got new shorts?? ...and naloxone and new gear and a safe disposal set up and a friend you trust that can help if you go down??? because for most drug users that don’t have great community resources to access these supplies it’s damn near impossible to access on the daily.,2020-02-15 16:41:54+00:00,,,1228721105680191488,,https://twitter.com/jesbesharah/status/1228721105680191488,0,0,,
roses are red violets are blue carry around naloxone kits & save a life or two! healthpolicyvalentines,2020-02-14 16:30:52+00:00,,#HealthPolicyValentines,1228355941155954688,,https://twitter.com/jesbesharah/status/1228355941155954688,0,1,,
