text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
" excellent commentary. respect is in the dna of grand prix racing. (google ""gentlemanly rivalries""). when you take respect &amp; class out of the equation, à la maxverstappen, it's only a matter of time before someone is killed. f1testing",2020-02-26 17:15:24+00:00,,#MaxVerstappen #F1Testing,1232715801058316289,@SkySportsF1,https://twitter.com/john_dittmann/status/1232715801058316289,0,0,,
we must never again allow race or gender or religion to obscure one's accomplishments! womeninstem blackhistorymonth katherinejohnson,2020-02-24 19:01:27+00:00,,#WomenInSTEM #BlackHistoryMonth #BlackHistoryMonth #KatherineJohnson,1232017713817702400,,https://twitter.com/john_dittmann/status/1232017713817702400,0,0,NASA,https://twitter.com/NASA/status/1231954422785363968
" don't know what's up with the ""new sergio tacchini"" but i liked the old one a lot better. this rendition is horrible",2020-02-23 17:11:49+00:00,,,1231627734142590979,@sergiotacchini0,https://twitter.com/john_dittmann/status/1231627734142590979,0,0,,
 just totally changed the tone! mambamentality,2020-02-19 17:31:27+00:00,,#MambaMentality,1230183125008965638,@danielricciardo,https://twitter.com/john_dittmann/status/1230183125008965638,0,0,LandoNorris,
studies show putting the well-being of others before our own stimulates reward centers in the brain. randomactofkindnessday bekind,2020-02-18 11:03:19+00:00,,#RandomActOfKindnessDay #BeKind,1229723062121177088,,https://twitter.com/john_dittmann/status/1229723062121177088,0,1,,https://www.randomactsofkindness.org/kindness-ideas
"the ""opportunity zones"" are in gentrified neighborhoods or areas already primed for development. the money has already lined the pockets of kushner's friends & family!",2020-02-17 22:58:31+00:00,,,1229540658278518785,,https://twitter.com/john_dittmann/status/1229540658278518785,0,0,christianllamar,
" ""hasn’t created the greatest economy in history. he has ridden obama’s coattails and sabotaged growth with a massive tax cut for the wealthy and corporations that are so toxic that even republicans won’t campaign on it."" veteransagainsttrump",2020-02-17 22:56:16+00:00,,#VeteransAgainstTrump,1229540091321815045,@realDonaldTrump,https://twitter.com/john_dittmann/status/1229540091321815045,0,0,BarackObama,https://twitter.com/BarackObama/status/1229432034650722304
history of  in 8 helmets!,2020-02-16 11:44:57+00:00,,,1229008760582082560,@ScuderiaFerrari,https://twitter.com/john_dittmann/status/1229008760582082560,0,0,danielricciardo,
legendsneverdie,2020-02-16 11:41:10+00:00,,#legendsneverdie,1229007808353505280,,https://twitter.com/john_dittmann/status/1229007808353505280,0,0,RacingAze,https://twitter.com/RacingAze/status/1228648374238416896
sdny is finished yet! impeached4life,2020-02-15 13:21:10+00:00,,#SDNY #impeached4life,1228670589499576320,,https://twitter.com/john_dittmann/status/1228670589499576320,0,0,BThomas3333,
in qualche modo devo comprare questa bella macchina!,2020-02-14 12:27:50+00:00,,,1228294778711920642,,https://twitter.com/john_dittmann/status/1228294778711920642,0,0,alfaromeoracing,
"unfortunately, there are 50 backyard bumpkins pumping out puppies for every ""preservation breeder"". these unscrupulous individuals breed for in vogue physical trait(s) that are usually not in the best interest of the dog or the well being of the breed!",2020-02-13 12:02:36+00:00,,,1227926039273332739,,https://twitter.com/john_dittmann/status/1227926039273332739,2,0,Apnea675,
i spent $800 at  and all i got was this t-shirt! biology molecularbiology stem,2020-02-13 00:42:15+00:00,,#biology #molecularbiology #STEM,1227754823342313474,@thermofisher,https://twitter.com/john_dittmann/status/1227754823342313474,0,0,,
"such a heartwarming story. my condolences & prayers go out for you, your family, & vic. animallove",2020-02-12 21:01:37+00:00,,#animallove,1227699298764283906,,https://twitter.com/john_dittmann/status/1227699298764283906,0,0,dadkins1157,
" , how would you explain your hatecrime theory - ""non-lgbtq white people"" can't be victims - to the family of josef neumann?",2020-02-12 17:31:17+00:00,,#hatecrime,1227646367839014912,@amandaseales,https://twitter.com/john_dittmann/status/1227646367839014912,0,0,,https://www.lohud.com/story/news/local/rockland/ramapo/2020/01/15/monsey-stabbing-doctors-operate-comatose-victim-josef-neumann/4479426002/
vote2020 truthmatters istandwithvindman,2020-02-11 22:50:57+00:00,,#Vote2020 #TruthMatters #istandwithvindman,1227364426711478272,,https://twitter.com/john_dittmann/status/1227364426711478272,0,0,,https://thehill.com/regulation/court-battles/482618-three-prosecutors-quit-roger-stone-case
"uhmm... trump is behind obama in just about every real measure of the economy. statistically, he's one of the worst; lowest average approval rating in decades!",2020-02-09 02:13:22+00:00,,,1226328205356863488,,https://twitter.com/john_dittmann/status/1226328205356863488,0,1,BlasterFruit,
"come on, he's only 13.",2020-02-09 02:07:07+00:00,,,1226326631943475201,,https://twitter.com/john_dittmann/status/1226326631943475201,0,0,Alex4Rep,
that's because you're only 13!,2020-02-09 02:06:35+00:00,,,1226326494701670400,,https://twitter.com/john_dittmann/status/1226326494701670400,0,0,real_defender,
it's acutely disappointing to see  absent from the formula one australiafires auction!,2020-02-07 18:05:23+00:00,,#AustraliaFires,1225843011013222400,@ScuderiaFerrari,https://twitter.com/john_dittmann/status/1225843011013222400,0,0,,https://www.formula1.com/en/latest/article.f1-community-to-stage-auction-to-help-australian-bushfire-victims.70cc805js6GH8cfn9bhKNi.html
"like the folks at foxnews , you fail to understand basic economic trends longer than 3 months. perhaps pictures will help.",2020-02-07 16:06:44+00:00,,#FoxNews,1225813152799109121,,https://twitter.com/john_dittmann/status/1225813152799109121,0,0,robjh1,
