text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
what is the point if they still have work ! only to kill off all the ppl !,2020-02-24 06:17:56+00:00,,,1231825568963817473,,https://twitter.com/kathleenaie/status/1231825568963817473,1,0,FollowingForFu2,
"yea they published many articles on it but the jails are so full n there is so much crime they wud still have work ! decriminalizing it they would still need the law enforcement ect ! doesn’t make it legal but does slow health conditions , violence n children’s access !",2020-02-24 06:17:07+00:00,,,1231825361731670023,,https://twitter.com/kathleenaie/status/1231825361731670023,1,0,FollowingForFu2,
i’ve have clearance for hls. they run thorough back ground chks n then it takes 3-6 weeks to get the clearance card.,2020-02-24 06:12:57+00:00,,,1231824313822543873,,https://twitter.com/kathleenaie/status/1231824313822543873,0,0,Brokenhuman8,
"i think it has a lot to do with the prop n selling of subsonoxe too! all they haveto to do is state the opiate crisis is over n the dea would be out of the dr’s office! that gave them the ok ! who will have the guts to admit they were wrong , n stop this is the ?",2020-02-24 01:26:55+00:00,,,1231752333584785408,,https://twitter.com/kathleenaie/status/1231752333584785408,2,0,JoeAllenNewman,
"yes , but andrew kolondy n his bud head of cdc. , worked together in the nyhd , obama asked ak to find out the cause of the od’s. ! there wasn’t a separation of rx’s ! both involved in the guidelines! ak , pusher of the prop",2020-02-24 01:12:45+00:00,,,1231748766408904706,,https://twitter.com/kathleenaie/status/1231748766408904706,0,0,MichaelNey19,
mike bloomberg is against cpp ! he believes that rx’s are the problem ! unless cpp n dr’s set him straight. he is not the right candidate to help the healthcare crisis ! thru via messenger i made this clear ! illicit drugs was doing the harm ! politicians have no clue,2020-02-23 22:13:44+00:00,,,1231703717180628993,,https://twitter.com/kathleenaie/status/1231703717180628993,3,2,LindaMDickson3,
the voice support apps work to a degree! my hands n fingers go numb n swell ! i rest them n start again !,2020-02-23 22:07:22+00:00,,,1231702113018728448,,https://twitter.com/kathleenaie/status/1231702113018728448,1,0,LindaMDickson3,
cdc has prop supporters involved in writing the guidelines ! which i believe should not be allowed! that’s a big conflict of interest! seems odd only a few select are stepping dwn bc of this n the others remain,2020-02-23 22:05:12+00:00,,,1231701568614887424,,https://twitter.com/kathleenaie/status/1231701568614887424,1,4,LindaMDickson3,
really. we have lost many allies bc of the stupidity of the policies that are not for humame rights or environment ! broken promises n lies ! suppressed under the current administration !,2020-02-23 20:40:27+00:00,,,1231680238993600512,,https://twitter.com/kathleenaie/status/1231680238993600512,0,0,IvankaTrump,
please rt. support our d.o.c. we must fight n speak louder for patients n our dr’s,2020-02-23 20:36:43+00:00,,,1231679300962676736,,https://twitter.com/kathleenaie/status/1231679300962676736,1,3,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1231443807440424960
one day. ppl will just say enough ! they will storm the wh ! are they trying to suppress over 100 mill voters !,2020-02-23 20:34:39+00:00,,,1231678779975700481,,https://twitter.com/kathleenaie/status/1231678779975700481,0,0,CIAAG_Lauren,
"he continues to increase the national debt ! obviously he knows how to manipulate the system ! with so many bankruptcies , delays court hearings ect ! how he has so many backing him. with proof he is destroying our democracy is unreal !",2020-02-23 20:32:13+00:00,,,1231678168555118592,,https://twitter.com/kathleenaie/status/1231678168555118592,0,0,RepAdamSchiff,
who can believe 1 word trump said a! he lies so much ! it’s not the media making up fake news ! it’s the daily tweets posted by trump himself ! trumps in love with himself ! not the american ppl ! his property is used for meetings n charges the highest rates!,2020-02-23 20:29:42+00:00,,,1231677533227081728,,https://twitter.com/kathleenaie/status/1231677533227081728,0,0,RepAdamSchiff,
don’t forget we pay for trumps golf trips n extra security for his family ! all tax payer money ! also this is the highest the national debt has ever been ! also trump can’t claim bankruptcy to not pay the debt as he’s done in his own corps !,2020-02-23 20:20:45+00:00,,,1231675284648128512,,https://twitter.com/kathleenaie/status/1231675284648128512,0,0,jewishbroke,
1/3 of the population suffer from pain! yet you cater to addicts ! punish the dr’s who treat the patients ! this must be corrected ! unless your true goal is to eliminate this much of the population!,2020-02-23 20:12:44+00:00,,,1231673266919444480,,https://twitter.com/kathleenaie/status/1231673266919444480,0,1,,
"     while you continue to allow cpp to be cut off life saving meds , patients r dying , dr’s are being incarcerated! yet the drug dealers/addicts are treated with compression n care ! 100 million voters will make a decision",2020-02-23 20:12:44+00:00,,,1231673266084859904,@GOP @HouseGOP @SenateGOP @SenateDems @HouseDemocrats,https://twitter.com/kathleenaie/status/1231673266084859904,1,1,,
"well i lost everything ! my company, my home ! my savings! now i’m wondering where n what do i do now ! it’s hard , working all your life to achieve n loosing it all within 1.5 ! lost in usa bc of no.compassionate care ! dr’s refuse cpp now in fear of the dea ! call this free!",2020-02-23 19:16:11+00:00,,,1231659033834115072,,https://twitter.com/kathleenaie/status/1231659033834115072,0,0,BernieSanders,
how many are dying bc of untreated pain do u no ? how many dr’s have been raised by the dea for treating pain patients! yet you are on the same fake path that opiates are the cause of all ppl’s death ! when it’s illicit drugs ! destroying our healthcare seems to be the new agenda,2020-02-23 19:11:11+00:00,,,1231657776620830722,,https://twitter.com/kathleenaie/status/1231657776620830722,0,0,MikeBloomberg,
this is what i can’t understand ! healers getting outrageous time n the idiots walk ! looking at the candidates we have 100 mill votes. out 325 mill. we can change the outcome ! post plz any candidate willing to end. this nightmare! .,2020-02-20 22:09:44+00:00,,,1230615545990434816,,https://twitter.com/kathleenaie/status/1230615545990434816,0,0,MichaelNey19,
they should be put in jail for all the harm caused. jerks,2020-02-20 17:41:50+00:00,,,1230548124583641089,,https://twitter.com/kathleenaie/status/1230548124583641089,1,1,EmilahP,
wtf is wrong with ppl a 5 yr old ????,2020-02-20 13:38:08+00:00,,,1230486798289104896,,https://twitter.com/kathleenaie/status/1230486798289104896,0,0,painadvocateAR,
"suffer ! your unaware of the deaths surrounding the lack of pain treatment ! the arrests of many asr’s who are not doing anything but their job ! remember without cpp n dr’s , professionals. in medical ! you will loose !! mike bloomberg you just lost many votes !",2020-02-20 13:01:00+00:00,,,1230477451047817216,,https://twitter.com/kathleenaie/status/1230477451047817216,0,0,,
"mike bloomberg seemed like a possible candidate ! with 100 million ppl with chronic pain. , its 1/3 of the voters ! if your not paying attention , you don’t deserve our votes ! opiate crisis must be defined to street drugs not dr’s n patients ! we don’t deserve to continue",2020-02-20 13:00:59+00:00,,,1230477449382641664,,https://twitter.com/kathleenaie/status/1230477449382641664,2,0,,
    after mike bloomberg’s statement about the opiate crisis. ! i had just explained the importance of cpp n dr’s. having access to pain treatment!the statement last night.,2020-02-20 13:00:59+00:00,,,1230477448636067841,@RepJerryNadler @MikeBloomberg @SenDanSullivan @washingtonpost,https://twitter.com/kathleenaie/status/1230477448636067841,1,0,,
 will dr’s stop.being harassed soon ? we need our dr’s too,2020-02-20 05:34:43+00:00,,,1230365140748386306,@DanLairdMD,https://twitter.com/kathleenaie/status/1230365140748386306,0,0,,
ok then let ask this ? this wasn’t as bad until the opiates were declared a crisis ! it opened the doors for the dea ! if both parties can. come up with a compromise to end the crisis ! it would stop dea invasion into dr’s offices !we all want this !,2020-02-19 22:48:01+00:00,,,1230262790385893376,,https://twitter.com/kathleenaie/status/1230262790385893376,0,0,StarvinLarry,
when will the division stop ! statements like (you democrat’s) only continues to harm the country! each have a right to their opinions n beliefs ! it’s more about research then it is. party division! media. can help but we are americans no matter which party,2020-02-19 20:50:12+00:00,,,1230233141614280704,,https://twitter.com/kathleenaie/status/1230233141614280704,2,1,SeptembersRain,
"working on a tract homes we had to turn the houses on a timely basis ! me the owner , i’d work hard to try n get this done back charges were horrible i twisted my knee carrying a 24’ladder !super said i’m sorry it hurts but business is business get the job done ! i was like wow",2020-02-19 20:47:17+00:00,,,1230232406914781184,,https://twitter.com/kathleenaie/status/1230232406914781184,0,0,Ms_HotMess_,
dr. l. what changed the dr /patient relationships ? i mean my dr when i was young delivered my baby ! what happened! probably already has been said ! if u don’t mind. n have time. why did we loose this,2020-02-19 20:42:33+00:00,,,1230231217909293056,,https://twitter.com/kathleenaie/status/1230231217909293056,0,0,rlamartini,
