text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
 watching you in summer school again on pluto tv yeaaa your still that beautiful woman,2020-02-22 12:45:18+00:00,,,1231198277334425600,@kirstiealley,https://twitter.com/larryrstreet/status/1231198277334425600,0,0,,
yea i’m ready to move back to florida myself if i can get my house done,2020-02-22 12:41:28+00:00,,,1231197311621095424,,https://twitter.com/larryrstreet/status/1231197311621095424,0,0,MadisonMayX,
"i grade school we learned that planting more trees and wild grass is the best way to maintain that balance , because they breath in co2 and give us oxygen , why aren’t these activists planting wild grass",2020-02-22 09:46:03+00:00,,,1231153168672751616,,https://twitter.com/larryrstreet/status/1231153168672751616,0,0,Millerita,
"totally gross and disgusting she was once gorgeous and now a idiot, and a tattoo on your face is next to impossible to remove too and very painful, oh she can plaster makeup on to cover it but that’s plain dumb",2020-02-22 09:43:08+00:00,,,1231152434992513024,,https://twitter.com/larryrstreet/status/1231152434992513024,0,0,WayneDupreeShow,
"you need to make sure your getting every dime you can out if  and getting  full support, push them hard to end this tragedy now",2020-02-22 09:39:50+00:00,,,1231151604478496768,@senatemajldr @POTUS,https://twitter.com/larryrstreet/status/1231151604478496768,0,1,DeAnna4Congress,
"if anyone really cares they would be planting more wild grasses that’s what breathes in co2 and provides us with oxygen the most , we learned this in grade school",2020-02-22 09:36:35+00:00,,,1231150783103741952,,https://twitter.com/larryrstreet/status/1231150783103741952,0,0,bartholomewtali,
"yep and in the 15th century they mapped antarctica when it was lush and green , mnnn yet england and florida were not underwater and we had zero man made co2 global warming is the earths cycle to the sun co2 is what plants breath stop putting additives in gasoline",2020-02-22 09:33:46+00:00,,,1231150078355759111,,https://twitter.com/larryrstreet/status/1231150078355759111,0,0,Millerita,
god i love your crazy hair and everything about you i wish you could come to america,2020-02-17 12:00:31+00:00,,,1229375067370532865,,https://twitter.com/larryrstreet/status/1229375067370532865,0,0,naughtyclarkt,
clinton only gave out 7% of the foundation money to charity the rest went to payroll to her daughter to bill and george soros son who married clinton daughter and to staff who actually worked on her campaign,2020-02-14 02:45:53+00:00,,,1228148326006218753,,https://twitter.com/larryrstreet/status/1228148326006218753,0,0,UmaSaysWhat,
"you people amaze me when obama gave immunity to all of clinton’s staff whine going after all of trumps on bull crap charges, to get them to make shit up . it didn’t work when it was clinton’s and dnc who were involved with russia, just as she took in a few billion as sec of state",2020-02-14 02:43:19+00:00,,,1228147681232662528,,https://twitter.com/larryrstreet/status/1228147681232662528,0,0,UmaSaysWhat,
" could not see that if a star chamber trial that took place in the house of representatives, took place and to further that crime by voting for impeachment, any senator who did , was not following the law or the oath of office or the constitution whatsoever",2020-02-14 02:39:33+00:00,,,1228146733772832768,@SenatorRomney,https://twitter.com/larryrstreet/status/1228146733772832768,0,1,senatemajldr,
 debunking white privilege: the economic reality https://youtu.be/aohag9ufaki via ,2020-02-14 02:36:15+00:00,,,1228145902025674752,@TonopahDee @YouTube,https://twitter.com/larryrstreet/status/1228145902025674752,0,0,,https://youtu.be/AoHAG9UFaKI
debunking white privilege: the economic reality https://youtu.be/aohag9ufaki via ,2020-02-14 02:35:51+00:00,,,1228145799097389057,@YouTube,https://twitter.com/larryrstreet/status/1228145799097389057,0,0,,https://youtu.be/AoHAG9UFaKI
larry elder debunks michelle obama on white flight and racism | larry el... https://youtu.be/to8a6yae63c via ,2020-02-14 02:30:34+00:00,,,1228144470111260672,@YouTube,https://twitter.com/larryrstreet/status/1228144470111260672,0,0,,https://youtu.be/tO8a6yAE63c
white people bad (the media says so) https://youtu.be/7bbhymzvula via ,2020-02-14 02:27:55+00:00,,,1228143805892833280,@YouTube,https://twitter.com/larryrstreet/status/1228143805892833280,0,0,,https://youtu.be/7bbHymZVuLA
" black lives matter, racism a conservative perspective (pt. 2)| larry eld... https://youtu.be/piwabo6u43u via ",2020-02-14 02:22:59+00:00,,,1228142561556094976,@TonopahDee @YouTube,https://twitter.com/larryrstreet/status/1228142561556094976,0,0,,https://youtu.be/piwaBO6U43U
 david webb accused of 'white privilege' by cnn legal analyst https://youtu.be/balig2jw7sa via ,2020-02-14 02:20:12+00:00,,,1228141862172725248,@TonopahDee @YouTube,https://twitter.com/larryrstreet/status/1228141862172725248,0,0,,https://youtu.be/BAlig2jW7SA
 red skelton's pledge of allegiance https://youtu.be/ndnxcw6euie via ,2020-02-14 02:17:09+00:00,,,1228141094006935552,@TonopahDee @YouTube,https://twitter.com/larryrstreet/status/1228141094006935552,0,0,,https://youtu.be/nDnXcw6euIE
 easy to be hard https://youtu.be/acs1rkaxz9o via ,2020-02-14 02:16:16+00:00,,,1228140872052756480,@TonopahDee @YouTube,https://twitter.com/larryrstreet/status/1228140872052756480,0,0,,https://youtu.be/aCs1rkAXZ9o
   pastor kim clement prophesies that trump will win the 2020 elections https://youtu.be/r6niv0fn6ie via ,2020-02-14 02:15:17+00:00,,,1228140623481446400,@TonopahDee @SecretaryCarson @tedcruz @YouTube,https://twitter.com/larryrstreet/status/1228140623481446400,0,0,,https://youtu.be/r6niv0FN6iE
yea scary,2020-02-14 02:13:10+00:00,,,1228140093430550528,,https://twitter.com/larryrstreet/status/1228140093430550528,0,0,TonopahDee,
"obama was in the loop with the fbi lovers , this is bad, his attorney general personally extended the visa of the russia woman who met  to help set up the fake russia scam , all of  people had immunity while all of  were charged, made up crimes",2020-02-14 02:12:27+00:00,,,1228139910567276546,@DonaldJTrumpJr @HillaryClinton @POTUS,https://twitter.com/larryrstreet/status/1228139910567276546,0,0,TonopahDee,
"obama has the news media working for him as many in his staff were married to heads of mainstream news , and he and  connected and clinton daughter married soros son , now  has a  show of his own , he has not been silent he has been very busy",2020-02-14 02:08:35+00:00,,,1228138941112627201,@georgesoros @BarackObama @netflix,https://twitter.com/larryrstreet/status/1228138941112627201,0,0,TonopahDee,
i have.noticed lots of things i’ll state have been blocked or erased,2020-02-14 02:03:26+00:00,,,1228137644573577216,,https://twitter.com/larryrstreet/status/1228137644573577216,0,0,TonopahDee,
"wouldn’t let me attend these classes in jr high. and trade school was a good opportunity anyway i lost as well , so i struggled fir a life until i found environmental services thank god lol , life’s funny, but i had crazy parents too ha ha",2020-02-14 01:57:55+00:00,,,1228136255214510081,,https://twitter.com/larryrstreet/status/1228136255214510081,0,0,,
"blacks have more opportunities now than we did as poor whites , because of more government programs, not available for us, or my parents wouldn’t take them maybe who knows,  is proof anyone can make it, i was offered help for my learning problems only mom",2020-02-14 01:57:55+00:00,,,1228136253708816385,@SecretaryCarson,https://twitter.com/larryrstreet/status/1228136253708816385,1,0,,
" once again thank you for spreading the true words of doctor martin luther king , as a child growing up in those times and of course listening to him and we were no racist family, the 70s and 80s were about free love it’s races broker who keep this going on,",2020-02-14 01:57:55+00:00,,,1228136252932788224,@TonopahDee,https://twitter.com/larryrstreet/status/1228136252932788224,1,0,,
"how much money does each state and each democratic make by having the stare be the drug dealer via the rehab clinic, when you have so dam much meth and fentinal on the street, no ones getting well , they only save more because of narcan being in the cop and ambulance cars",2020-02-10 21:40:23+00:00,,,1226984279936262145,,https://twitter.com/larryrstreet/status/1226984279936262145,0,0,SpeakerPelosi,
"why is it you democratics can’t deal up our borders when you all seem to be ok with chinas meth and fentinal being sold to mexico and crossing the southern border and killing real natural born americans, yet you let illegals get immunity from laws we must abide by ?",2020-02-10 21:37:51+00:00,,,1226983642297225218,,https://twitter.com/larryrstreet/status/1226983642297225218,1,0,SpeakerPelosi,
so many more need to be in jail,2020-02-10 14:22:02+00:00,,,1226873966637219842,,https://twitter.com/larryrstreet/status/1226873966637219842,0,0,SaraCarterDC,
oh and they can legally steal a certain few minutes of any publication i think i,2020-02-10 14:18:55+00:00,,,1226873183212576768,,https://twitter.com/larryrstreet/status/1226873183212576768,0,0,IPOT1776,
"ha change you photo to a hot woman i’ll guarantee it will not happen again, or a child just look at greta who lies about climate change so her daddy can get rich",2020-02-10 14:17:33+00:00,,,1226872836951859200,,https://twitter.com/larryrstreet/status/1226872836951859200,0,0,IPOT1776,
"it just that we had trade imbalances to help europe rebuild yet once they did , anyone try to fix it or repay us or say thanks by letting us get back what we lost , no",2020-02-10 14:15:38+00:00,,,1226872357056323584,,https://twitter.com/larryrstreet/status/1226872357056323584,0,1,BarryRChapman,
"some of us born in the 60s know all too well how close we came to being a german country, or being taken over by japan , we lived through the end i say end of the kkk and democratics ruling that way , oops i was wrong sorry they still doing it master",2020-02-10 14:14:15+00:00,,,1226872009428217856,,https://twitter.com/larryrstreet/status/1226872009428217856,0,0,MillerStream,
