text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
oh how sad so many serious situations and then to read how some of them are turning out like this one with the death of an innocent beautiful animal i am assuming because the vet feared for his license and practice being destroyed good luck dr dan  with this,2020-02-25 18:54:31+00:00,,,1232378357897142274,@DanLairdMD,https://twitter.com/mlvanbrit/status/1232378357897142274,0,0,DanLairdMD,
that is a great response linda and completely honest i just don’t think enough people are aware,2020-02-25 18:38:09+00:00,,,1232374238897725443,,https://twitter.com/mlvanbrit/status/1232374238897725443,0,1,LadyAg72,
more innocent victims of chronic pain patients unable to get legitimate rx meds due to the crack down on the opioid crisis a young girl that didn’t take drugs (quote from mother) was suffering with pain and ended up with illicit fentanyl pill & died how much suffering is 2much,2020-02-25 18:03:02+00:00,,,1232365400794566658,,https://twitter.com/mlvanbrit/status/1232365400794566658,0,0,RMConservative,
no surprise here dr dan way to help expose her tactics  yes everyone that votes needs to be made aware of what this politician &amp; others are saying just to get a vote when we hv been made fully aware of her true intentions,2020-02-25 17:47:46+00:00,,,1232361557918715904,@RepSusieLee,https://twitter.com/mlvanbrit/status/1232361557918715904,0,0,DanLairdMD,
i am a bit confused i’ve been playing bfc for nearly 15 years & can hardly win 1 m chips in a day so how does this work,2020-02-20 19:32:27+00:00,,,1230575962577915905,,https://twitter.com/mlvanbrit/status/1230575962577915905,0,0,bigfishcasino,
north carolina investigating pain patient advocate — pain news network 1 of our top dr advocates 4 cpp that has proven statistically vast maj of opioid od is heroin+illicit fentanyl nt rx opioids! acaring dr that cant stand pt suffering,2020-02-19 22:54:38+00:00,,,1230264455973474305,,https://twitter.com/mlvanbrit/status/1230264455973474305,0,2,,https://www.painnewsnetwork.org/stories/2020/2/19/dr-thomas-kline-being-investigated-by-north-carolina-medical-board
every day our hearts ache & break over our friends family loved ones &so many more fm our cpp community committing suicide fm their intolerable suffering all could’ve been prevented if our drs could just treat us as hv dn before gov inv,2020-02-19 15:46:07+00:00,,,1230156617313898499,,https://twitter.com/mlvanbrit/status/1230156617313898499,0,0,,http://nationalpainreport.com/chronic-pain-and-suicide-two-stories-from-the-front-8843564.html
bless you for pointing those contraindications out to her abt her medication crossing placenta & 4x likened to miscarriage thx 4 yr efforts she canmake the right decisions on time you’ve probably helped many w/this leah ,2020-02-16 16:34:09+00:00,,,1229081543810961409,@Txsconstitution,https://twitter.com/mlvanbrit/status/1229081543810961409,1,0,Txsconstitution,
painmanagement is nt allowing some1 other than our pcp make rx decisions 4us especially when weve been on 1 med works well improves pain/qol 4 10yr+ w/out incident but w/guideline chg or med loss has caused great suffering get government out of medical decisions making,2020-02-14 15:53:56+00:00,,,1228346646393753602,,https://twitter.com/mlvanbrit/status/1228346646393753602,0,0,tal7291,
see what happen when missouri tried managing pain with fewer opioids,2020-02-14 02:32:37+00:00,,,1228144986534928384,,https://twitter.com/mlvanbrit/status/1228144986534928384,0,1,,https://m.huffpost.com/us/entry/us_5e3c57f6c5b6b70886fc2f93
