text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"if you’re going to have an opinion, at least make it an educated one. supervised consumption services http://www.drugpolicy.org/issues/supervised-consumption-services",2020-02-28 18:35:53+00:00,,,1233460831033217025,,https://twitter.com/mynameisrachel/status/1233460831033217025,0,1,,http://www.drugpolicy.org/issues/supervised-consumption-services
"dang, i am so sorry. i can’t imagine what your going through. i know i can’t say much to make it better, but i’m here if you need someone who “gets” being in the program.",2020-02-27 11:58:52+00:00,,,1232998531549536257,,https://twitter.com/mynameisrachel/status/1232998531549536257,0,0,SuarezPhilly,
,2020-02-24 10:50:21+00:00,,,1231894125336780800,,https://twitter.com/mynameisrachel/status/1231894125336780800,0,0,MrMattShuster,
doing it for all nurse practitioner students at  too! proud to have been part of the process of assisting the scheduling of the aprn students at  for their clinical rotations in the obat program where i work!,2020-02-23 10:40:31+00:00,,,1231529260667588608,@UPittNursing @PittTweet,https://twitter.com/mynameisrachel/status/1231529260667588608,0,0,davidrosenthal,
this ,2020-02-23 10:37:58+00:00,,,1231528618649583616,,https://twitter.com/mynameisrachel/status/1231528618649583616,0,0,HillPharmD,https://twitter.com/HillPharmD/status/1230882112540217344
,2020-02-21 11:20:45+00:00,,,1230814612775415808,,https://twitter.com/mynameisrachel/status/1230814612775415808,0,0,HillPharmD,
not always. i would t be so bold as to say “always.”,2020-02-21 11:15:13+00:00,,,1230813217036869633,,https://twitter.com/mynameisrachel/status/1230813217036869633,0,0,numerounochef,
"no, it’s just part of the “12 traditions” in most 12-step mutual aid groups.",2020-02-21 11:14:38+00:00,,,1230813073923039233,,https://twitter.com/mynameisrachel/status/1230813073923039233,0,0,JohnDivney,
bingo!,2020-02-20 02:59:27+00:00,,,1230326068986482694,,https://twitter.com/mynameisrachel/status/1230326068986482694,0,0,DannyPollom,
hope to see you at intnsa44!,2020-02-18 21:54:08+00:00,,#IntNSA44,1229886845959462912,,https://twitter.com/mynameisrachel/status/1229886845959462912,0,0,IntNSAGlobal,https://twitter.com/IntNSAGlobal/status/1229886565603840002
"catching up on emails and articles. more interesting research on gene therapy for cocaine use disorder. many more years of research needed, but how interesting!",2020-02-17 23:56:51+00:00,,,1229555339995025414,,https://twitter.com/mynameisrachel/status/1229555339995025414,0,0,,https://theconversation.com/potential-gene-therapy-to-combat-cocaine-addiction-129667
"interesting stuff, despite some stumblings with some potentially stigmatizing linguistics.",2020-02-17 23:50:20+00:00,,,1229553699741036544,,https://twitter.com/mynameisrachel/status/1229553699741036544,0,0,,https://www.cnn.com/2020/02/03/us/cannabis-weed-compound-30-times-more-powerful-than-thc-scn/index.html
 this is so me.,2020-02-17 23:36:57+00:00,,,1229550331824046081,,https://twitter.com/mynameisrachel/status/1229550331824046081,0,0,GarrettReuscher,https://twitter.com/GarrettReuscher/status/1228873782858854400
"oh, and i waited about an hour before i got to do my urine. the waiting room was busy, so i get it. however, i was having trouble holding my bladder before i left the house, let alone for the commute and additional hour i waited. again, be kind. it hurts! ",2020-02-16 21:12:50+00:00,,,1229151673001693186,,https://twitter.com/mynameisrachel/status/1229151673001693186,0,0,,
"however, all of our time is valuable. i get it, medexpress employees. as a nurse, i too have held my bladder at work. however, bite your tongue! your patients have something riding on this urine specimen and probably have a lot of unspoken fears. be kind (behind the desk too).",2020-02-16 21:10:48+00:00,,,1229151164865941510,,https://twitter.com/mynameisrachel/status/1229151164865941510,1,0,,
"today, i’m here for a drug screen related to other matters than i’d done for 3.5 years previously, and i’m thankful for that. i was able to choose the day (mostly) and do it on my own time. i’m sure many others are here for reasons like pre-employment, etc.",2020-02-16 21:10:48+00:00,,,1229151164035411968,,https://twitter.com/mynameisrachel/status/1229151164035411968,1,0,,
"i had to pee so badly at times, that i would sometimes put a pad in my underwear to catch any leakage. to give you a bit more context for that, i am an almost-30-year-old female who has never had kids.",2020-02-16 21:10:48+00:00,,,1229151163066437632,,https://twitter.com/mynameisrachel/status/1229151163066437632,1,0,,
"what a great example of people that have obviously never had to do this on a regular basis. i had to do drug screens 2-3 times per mind for 3.5 years. i had so much fear that i would come and not be able to pee, so i often came with an extremely full bladder... and then waited.",2020-02-16 21:10:48+00:00,,,1229151162177400832,,https://twitter.com/mynameisrachel/status/1229151162177400832,1,0,,
"medexpress staff in the back area... employee a: apparently we just have a bunch of people in the front area bursting to pee. employee b: well, they’ll just have to wait because we need to too. employee b again, ~30 seconds later, under her breath: they’ll just have to wait.",2020-02-16 21:10:47+00:00,,,1229151160692506624,,https://twitter.com/mynameisrachel/status/1229151160692506624,1,0,,
4,2020-02-16 17:51:08+00:00,,,1229100914092494848,,https://twitter.com/mynameisrachel/status/1229100914092494848,0,0,,
"when the  customer service rep calls you “dear,” but you’re just trying to get your issue resolved, so you decide to just take an l on this battle. ",2020-02-16 16:54:52+00:00,,,1229086756194148352,@amazon,https://twitter.com/mynameisrachel/status/1229086756194148352,0,0,,
"oh my gosh, this is wild! i had no idea there were dip strips! seems a bit over-the-top in my opinion. so many other things we could be focusing our efforts than this.",2020-02-16 14:01:49+00:00,,,1229043207889092608,,https://twitter.com/mynameisrachel/status/1229043207889092608,0,0,MelodyHope5,
"hahaha this is me! right, ?!",2020-02-16 13:59:28+00:00,,,1229042613887610883,@MrMattShuster,https://twitter.com/mynameisrachel/status/1229042613887610883,0,0,GarrettReuscher,https://twitter.com/GarrettReuscher/status/1228873782858854400
the drug screen we order has a preliminary immunoassay with a gcms confirmation. the gcms results are listed in paragraph form and include many things ranging from illicit substances to medications to nicotine and caffeine. it just lists everything it picks up.,2020-02-15 21:14:14+00:00,,,1228789639445712899,,https://twitter.com/mynameisrachel/status/1228789639445712899,1,0,UnaDispatch,
"not usually. most panels are immunoassay only (like a urine drug screen cup or dip test). however, there’s also gcms (gas chromatography mass spectrometry) and lcms (liquid chromatography mass spectrometry) that can detect a broad range of substances. my work uds uses gcms.",2020-02-15 20:55:47+00:00,,,1228784994778259459,,https://twitter.com/mynameisrachel/status/1228784994778259459,1,0,UnaDispatch,
"i’ve actually seen that documentary. as an addictions nurse, i try to stay up-to-date on a lot of the latest substance use trends. it’s surprising to me how many people don’t know what kratom is/does. i see it come up every now and then in urine drug screens (as mitragynine).",2020-02-15 15:39:07+00:00,,,1228705306466816000,,https://twitter.com/mynameisrachel/status/1228705306466816000,3,0,ThatClinical,
"wow, i didn’t know that. thank you for sharing!",2020-02-15 04:47:35+00:00,,,1228541340390187008,,https://twitter.com/mynameisrachel/status/1228541340390187008,2,0,ThatClinical,
"i went to a valentine’s day fundraiser gala thing this evening and ended up sharing that i was in recovery with some people at our table. one individual came up to me later in the evening, thanking me for the work i do and sharing that their sibling was in recovery. wow ",2020-02-15 04:46:55+00:00,,,1228541172525785088,,https://twitter.com/mynameisrachel/status/1228541172525785088,0,0,,
what does it mean to be recovery-oriented? https://recoveryreview.blog/2020/02/13/what-does-it-mean-to-be-recovery-oriented/ via ,2020-02-13 12:26:32+00:00,,,1227932063472508929,@RecoveryReview,https://twitter.com/mynameisrachel/status/1227932063472508929,0,0,,https://recoveryreview.blog/2020/02/13/what-does-it-mean-to-be-recovery-oriented/
"thank you, ! ",2020-02-11 19:39:09+00:00,,,1227316160544288769,@Sarah_Boden,https://twitter.com/mynameisrachel/status/1227316160544288769,0,0,ellemdeeIRL,
"don’t get me wrong; we still have a longggg journey ahead regarding the elimination of stigmatizing language, but ... i just heard / use the term “opioid use disorder” rather than any of the less desirable alternatives, and i‘m so happy.",2020-02-11 11:23:35+00:00,,,1227191444571672576,@NPR @905wesa,https://twitter.com/mynameisrachel/status/1227191444571672576,2,7,,
hope to see you all in calgary! addictionsnurse addictionsnursing carn certifiedaddictionsregisterednurse carnap addiction addictiontwitter addictionrecovery substanceuse,2020-02-11 10:11:43+00:00,,#addictionsnurse #addictionsnursing #CARN #certifiedaddictionsregisterednurse #CARNAP #addiction #addictiontwitter #addictionrecovery #substanceuse,1227173360016265217,,https://twitter.com/mynameisrachel/status/1227173360016265217,0,0,intnsacanada,https://twitter.com/intnsacanada/status/1227085052992901120
"shame on you, . this is stigmatizing, judgemental, and so many other things that are wrong. can you please cite the reference from which this information originated?!",2020-02-06 22:21:36+00:00,,,1225545101813985280,@PittsburghPG,https://twitter.com/mynameisrachel/status/1225545101813985280,0,0,IRETApgh,https://twitter.com/IRETApgh/status/1225514759652618240
"listening to “white fragility” on audible this week, thanks to you. i have so much work to do, first on/within myself (lifelong process) and then to spread that message to others (lifelong process).",2020-02-06 18:49:23+00:00,,,1225491695187505153,,https://twitter.com/mynameisrachel/status/1225491695187505153,0,0,,
"i am rachel, patron saint of you and yours. ",2020-02-06 18:43:40+00:00,,,1225490255467438080,,https://twitter.com/mynameisrachel/status/1225490255467438080,0,0,sassistheword,https://twitter.com/sassistheword/status/1225217587182809093
at the statewide centers of excellence (coe) learning network conference with two of my coworkers. let’s hear it for dave who is speaking today at this event regarding his work! – at best western premier the central hotel &amp; conference center,2020-02-06 13:37:39+00:00,,,1225413244229169152,,https://twitter.com/mynameisrachel/status/1225413244229169152,0,0,,
"the upmc center for opioid recovery is hiring! we are looking for a registered nurse (rn) interested in working within our office-based opioid treatment program in pittsburgh, pa. if you or someone you know is interested, apply here:",2020-02-03 13:52:41+00:00,,,1224329865366843392,,https://twitter.com/mynameisrachel/status/1224329865366843392,0,3,,https://careers.upmc.com/jobs/5006631-professional-staff-nurse-op-rn-ctr-for-opiate-recovery
love the halftime show. go  and  ... only missing some  action! superbowl,2020-02-03 01:28:09+00:00,,#SuperBowl,1224142497925996545,@shakira @JLo @pitbull,https://twitter.com/mynameisrachel/status/1224142497925996545,0,0,,
this!!!,2020-02-03 00:11:31+00:00,,,1224123212285517825,,https://twitter.com/mynameisrachel/status/1224123212285517825,1,0,_topes,https://twitter.com/_topes/status/1224120021955203078
can’t pick just one!  and  are two at the top of my list! blackhistorymonth,2020-02-01 20:57:56+00:00,,#BlackHistoryMonth #BlackHistoryMonth,1223712108568875011,@DrAyanaJordan @Kassandra_Fred,https://twitter.com/mynameisrachel/status/1223712108568875011,1,0,MohamedMOSalih,
"the rationales? 1) “we’ve hard too many problems in the past with suboxone.” 2) “we’ve had break-ins in the past because of suboxone.” i didn’t have the energy that day to address the first, but the other: “hmm. how funny someone wanted to steal that and not your schedule 2s.” ",2020-02-01 02:27:22+00:00,,,1223432625953615872,,https://twitter.com/mynameisrachel/status/1223432625953615872,0,0,mynameisrachel,
"thankfully, we don’t see it often. there’s one  pharmacy in pittsburgh (homestead, to be exact. i’m looking at you, 6379) and a particular pharmacy in greenville, pa (i won’t name names because i can’t remember which exact one right now) that won’t stock bup products.",2020-02-01 02:24:58+00:00,,,1223432018702323712,@GiantEagle,https://twitter.com/mynameisrachel/status/1223432018702323712,1,0,drdan1979,
came here to also say “well put.” ill echo that ,2020-02-01 02:12:41+00:00,,,1223428928578170881,,https://twitter.com/mynameisrachel/status/1223428928578170881,0,0,donnabuki,
what is? the problem of pharmacies not carrying buprenorphine?,2020-01-30 19:30:42+00:00,,,1222965376453136384,,https://twitter.com/mynameisrachel/status/1222965376453136384,1,0,drdan1979,
"a delayed thought to elaborate upon my opinion here: if a pharmacy refuses to order/stock buprenorphine (schedule 3), they shouldn’t be able to order/stock any other schedule 3 or schedule 2 substance (and let’s be real, that would be absurd). stop the stigma! ",2020-01-29 23:40:23+00:00,,,1222665826219720704,,https://twitter.com/mynameisrachel/status/1222665826219720704,1,0,mynameisrachel,https://twitter.com/mynameisrachel/status/1222152412359725057
 ,2020-01-29 23:36:26+00:00,,,1222664830793998336,,https://twitter.com/mynameisrachel/status/1222664830793998336,0,0,julianbuchanan,https://twitter.com/julianbuchanan/status/1222332352199659521
can those of us who advocate for people who use[d] drugs please start addressing pharmacies that refuse to order/stock buprenorphine as our next task of business? addictiontwitter addiction recovery opioidusedisorder harmreduction treataddictionsavelives stigma,2020-01-28 13:40:16+00:00,,#addictiontwitter #addiction #recovery #opioidusedisorder #harmreduction #treataddictionsavelives #Stigma,1222152412359725057,,https://twitter.com/mynameisrachel/status/1222152412359725057,0,0,,
"maybe the film itself truly is sensitive, but this downright trash-worthy description makes me nauseated. ... and angry. why is it so hard to change stigmatizing language when words/language are literally their job!",2020-01-27 02:44:23+00:00,,,1221624968972206085,,https://twitter.com/mynameisrachel/status/1221624968972206085,0,0,ZachWritesStuff,https://twitter.com/ZachWritesStuff/status/1221564534529429507
i’m nauseated. this is awful.,2020-01-27 02:41:53+00:00,,,1221624337654013952,,https://twitter.com/mynameisrachel/status/1221624337654013952,0,0,ZachWritesStuff,
had an amazing time last evening at the 3rd annual opioid epidemic awareness fundraiser with a handful of my coworkers and many others who came out for this fantastic event benefiting . ,2020-01-26 20:26:09+00:00,,#Opioid #Epidemic #Fundraiser,1221529780798935041,@lightoflife,https://twitter.com/mynameisrachel/status/1221529780798935041,0,0,,
"hey,  — for something to be “taken out of context,” it literally has to be taken out of the surrounding context. the tweet that includes the video has a direct quote, and the video is almost two minutes of the context. so........ ",2020-01-26 17:57:47+00:00,,,1221492445185236993,@Paula_White,https://twitter.com/mynameisrachel/status/1221492445185236993,0,0,Paula_White,https://twitter.com/Paula_White/status/1221456959368507392
"we know what naloxone (narcan) is, but naloxone doesn’t exist in a pill form ...",2020-01-26 17:46:01+00:00,,,1221489483327180800,,https://twitter.com/mynameisrachel/status/1221489483327180800,1,0,HartXaos15,
"well, i’ll just take your word for it at this point. i’ve spent way too much time on this today. i’ve been slug and have to get up and do something with my life today ",2020-01-25 21:27:45+00:00,,,1221182896863621121,,https://twitter.com/mynameisrachel/status/1221182896863621121,0,0,LorcaDamon,
"no water? i’m so ashamed of the state of our healthcare system sometimes. i can’t say opioids would’ve been indicated here, but certainly we have some other options for pain management. ugh.",2020-01-25 21:26:40+00:00,,,1221182622304481282,,https://twitter.com/mynameisrachel/status/1221182622304481282,0,0,hekatesgal,
i think i’m about done with twitter for the day ,2020-01-25 21:25:19+00:00,,,1221182282914050049,,https://twitter.com/mynameisrachel/status/1221182282914050049,0,0,,
lawyers?,2020-01-25 21:23:23+00:00,,,1221181797347872774,,https://twitter.com/mynameisrachel/status/1221181797347872774,1,0,LorcaDamon,
i will agree with that one. not a fan of that blame-y part of the statement.,2020-01-25 21:23:10+00:00,,,1221181743417495553,,https://twitter.com/mynameisrachel/status/1221181743417495553,1,0,LorcaDamon,
,2020-01-25 21:22:24+00:00,,,1221181550471077888,,https://twitter.com/mynameisrachel/status/1221181550471077888,0,0,LorcaDamon,
"what? so nsaids are off the table, but there’s no other options (pharmacological or otherwise?). wow. i can’t",2020-01-25 21:21:54+00:00,,,1221181422997778432,,https://twitter.com/mynameisrachel/status/1221181422997778432,1,0,hekatesgal,
oh. my. gosh. i don’t know how to make this more clear. just because he said he removed the allergies and didn’t explicitly state he talked to the patient first or didn’t test dose first doesn’t mean he didn’t because it is twitter. he obviously clarified this.,2020-01-25 21:19:27+00:00,,,1221180807915692035,,https://twitter.com/mynameisrachel/status/1221180807915692035,1,0,LorcaDamon,https://twitter.com/mathbernier/status/1221178253043544071
good point. i think most of us are on the same page here [extends olive branch ].,2020-01-25 21:16:56+00:00,,,1221180174588350471,,https://twitter.com/mynameisrachel/status/1221180174588350471,0,0,NotThatAFleming,
"no, he just didn’t mention it here. just because he didn’t explicitly say it here, everyone is assuming he’s just haphazardly removing documented allergies, which isn’t the case.",2020-01-25 21:15:11+00:00,,,1221179734714916864,,https://twitter.com/mynameisrachel/status/1221179734714916864,5,0,LorcaDamon,https://twitter.com/mathbernier/status/1221178253043544071
