text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"taking opiates to moderate chronic pain issues is exactly what opiates were synthesized to do. if my 'dog' was in so much pain, the veterinary doc would treat until euthanasia was the last 'best' and humane choice. just making a statement. can humans get opiates for pain... no",2020-02-28 07:28:25+00:00,,,1233292858460901376,,https://twitter.com/nogoddogs/status/1233292858460901376,3,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1233255841333153793
follow this everyone... fear of virus outbreak could be a merger between tru*p/p*tin.,2020-02-27 23:56:23+00:00,,,1233179102141546496,,https://twitter.com/nogoddogs/status/1233179102141546496,0,0,davidjoachim,https://twitter.com/davidjoachim/status/1232747292089778176
thank you dr kline. this is idiocracy.,2020-02-26 01:15:40+00:00,,,1232474275631599618,,https://twitter.com/nogoddogs/status/1232474275631599618,0,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1232349952006934529
omg ... all 3 meds are found to have legal and positive effects for what they are rx'd 4. too much when the dea police doctors hospitals pm. and now corona virus... seems to point in the direction of elimination of the old disabled and general healthcare deterioration.,2020-02-26 01:14:32+00:00,,,1232473990410600448,,https://twitter.com/nogoddogs/status/1232473990410600448,0,0,DanLairdMD,https://twitter.com/DanLairdMD/status/1232344034313568256
follow the money... something at the end of this horrific torture attack on pain patients leads to $$. the carelessness of the cdc and it's pretend ignorance for human beings needing the help of legal opiate analgesics to moderate intractable pain issues must end with $. explain.,2020-02-26 01:08:14+00:00,,,1232472405743824896,,https://twitter.com/nogoddogs/status/1232472405743824896,0,0,Ted_LQ4L,https://twitter.com/Ted_LQ4L/status/1231409220400111616
amazing ,2020-02-25 15:49:40+00:00,,,1232331838775054339,,https://twitter.com/nogoddogs/status/1232331838775054339,0,0,ravensspirit68,
agree. the dea definitely needs oversight for their unjust overreach.,2020-02-25 14:02:53+00:00,,,1232304964531298305,,https://twitter.com/nogoddogs/status/1232304964531298305,0,3,CMerandi,https://twitter.com/CMerandi/status/1229765366257197060
"arianne, did you crochet or or knit these cuties? looks like crochet... you r very creative and talented ",2020-02-25 13:41:23+00:00,,,1232299552851578880,,https://twitter.com/nogoddogs/status/1232299552851578880,1,0,ravensspirit68,
yes,2020-02-25 13:38:30+00:00,,,1232298829673881600,,https://twitter.com/nogoddogs/status/1232298829673881600,0,0,Jinxkee1,
good to here a positive statement on behalf of all chronic pain person suffering needlessly . opiates were formulated specifically to help moderate pain. what is wrong with the dea being so wrong and cavalier to attack doctors who are doing their jobs.,2020-02-25 13:37:24+00:00,,,1232298552195518474,,https://twitter.com/nogoddogs/status/1232298552195518474,1,2,Tootwisted40,
