text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
 got suspended we are trying to figure out why,2020-02-28 23:56:28+00:00,,,1233541509707915265,@keesaroo,https://twitter.com/painadvocateAR/status/1233541509707915265,3,1,jrneff1974,
 has been blocked out of her account. we are trying to figure out why!!!!,2020-02-28 23:38:03+00:00,,,1233536873810857985,@keesaroo,https://twitter.com/painadvocateAR/status/1233536873810857985,0,0,,
yes it would,2020-02-28 19:07:33+00:00,,,1233468800227512323,,https://twitter.com/painadvocateAR/status/1233468800227512323,1,0,Jennife90117914,
my medicare covered some. but it failed it never worked.,2020-02-28 18:53:12+00:00,,,1233465191339261953,,https://twitter.com/painadvocateAR/status/1233465191339261953,1,0,Katamac1967,
i did as well as a cage around column,2020-02-28 18:33:17+00:00,,,1233460175622868997,,https://twitter.com/painadvocateAR/status/1233460175622868997,2,0,keesaroo,
" i am not sure if you know what i have some found out but several.of us can prove this ""opioid crisis"" went back at least to 2010 maybe a little before. that andrew kolodny lied to the new state prison system. we would like to have a sit down or conference call with u",2020-02-28 15:43:58+00:00,,,1233417569165598720,@greggutfeld,https://twitter.com/painadvocateAR/status/1233417569165598720,0,1,,
my brain goes faster then typing. ,2020-02-28 15:40:37+00:00,,,1233416725376401409,,https://twitter.com/painadvocateAR/status/1233416725376401409,1,0,75jimr,
oh yeah,2020-02-28 15:39:23+00:00,,,1233416415279026176,,https://twitter.com/painadvocateAR/status/1233416415279026176,0,0,NickCarlin6,
dang it wouldn't not would*** proof read dummy!,2020-02-28 15:35:52+00:00,,,1233415527835602945,,https://twitter.com/painadvocateAR/status/1233415527835602945,1,0,painadvocateAR,
"how would these politicians and agency members feel of their loved ones was get proper pain relief and went to the street and died from illicit fentnyal heroin meth cocaine and dipped mj. the would like that at all, now would they?",2020-02-28 15:29:14+00:00,,,1233413860910149632,,https://twitter.com/painadvocateAR/status/1233413860910149632,1,0,75jimr,
probably doc...,2020-02-28 15:14:59+00:00,,,1233410272355811331,,https://twitter.com/painadvocateAR/status/1233410272355811331,0,0,rlamartini,
"what reward, cutting the edge off pain most never experience. there is no reward. this total bs!",2020-02-28 15:01:01+00:00,,,1233406758384738307,,https://twitter.com/painadvocateAR/status/1233406758384738307,2,0,LGiles1017,
i believe everything possible should be in our pain toolbox. what works for some wont work for others and vise versa. we should never make judgments on what works for an individual.,2020-02-28 14:49:40+00:00,,,1233403902311227394,,https://twitter.com/painadvocateAR/status/1233403902311227394,0,0,Shasta_Rayne,
 there are 50+ million people that suffer from incurable diseases syndromes disorders post-op battlefield and acute injuries that are being denied proper pain medications in the name of addiction. we know the truth and painpatientsvote lets talk!,2020-02-28 14:41:03+00:00,,#painpatientsvote,1233401734728429570,@LouDobbs,https://twitter.com/painadvocateAR/status/1233401734728429570,0,0,,
"cdc also has cdc foundation. did you contribute to it since you contributed to ex-cdc thomas frieden's foundation "" save lives"" there are 50+ million severely disabled incurable disease post op battlefield and acute injury people that your philanthropy forgot but we vote.",2020-02-28 14:34:25+00:00,,,1233400065852657665,,https://twitter.com/painadvocateAR/status/1233400065852657665,0,0,MikeBloomberg,
