text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
explaining that personal experience isn't transferable rarely works either especially for self limiting conditions where the 'proof' of effectivess reveals itself every time in 7-10 days....,2020-02-28 21:51:02+00:00,,,1233509943476662274,,https://twitter.com/pharmerfour/status/1233509943476662274,1,0,TcameronTodd,
"not to mention the concept of ""it works for me, because i'm special... who cares about evidence""",2020-02-28 21:44:25+00:00,,,1233508278619037698,,https://twitter.com/pharmerfour/status/1233508278619037698,1,0,TcameronTodd,
"i think a lot of that pressure still came from the idea of ""getting the strongest thing""",2020-02-28 02:06:26+00:00,,,1233211830408863745,,https://twitter.com/pharmerfour/status/1233211830408863745,0,1,SKeitaanpaa,
the pip is a concealed weapon. at least the corn chip you know what you are getting yourself in for. the only thing i hate worse is an unidentified crunchyness in something that should be soft.... like wtf was that!?! o_o,2020-02-27 05:42:42+00:00,,,1232903863839019009,,https://twitter.com/pharmerfour/status/1232903863839019009,0,0,joshuabadge,
is it worse than the same effect caused by smoking?,2020-02-27 01:30:31+00:00,,,1232840400852795393,,https://twitter.com/pharmerfour/status/1232840400852795393,1,0,SarahWhisar,
an interesting day ahead in canberra representing  in the important discussion on research funding for medicinalcannabis as supportive therapy for symptoms associated with the treatment of cancers,2020-02-26 22:58:12+00:00,,#MedicinalCannabis,1232802069397950464,@PSA_National,https://twitter.com/pharmerfour/status/1232802069397950464,1,3,,
would love to sit down with zubin some time and pick his brain we have one with  coming out very soon... i find their work on pharmacists' culture to be extremely interesting.,2020-02-26 22:55:04+00:00,,,1232801282659762176,@Ross_Tsuyuki,https://twitter.com/pharmerfour/status/1232801282659762176,0,0,JohnathanLaird,
when is this one out?,2020-02-26 22:27:23+00:00,,,1232794313538465792,,https://twitter.com/pharmerfour/status/1232794313538465792,1,0,JohnathanLaird,
"not only is that volume ridiculous & dangerous, there is no strength specified. at the lowest strength this would be 200mg (fatal) and at the highest strength it would be 2 grams of morphine. what is the setting?",2020-02-26 21:38:59+00:00,,,1232782132990238721,,https://twitter.com/pharmerfour/status/1232782132990238721,2,0,bonnie_w_tai,
blood tests won't assist with that verdict....,2020-02-26 21:18:04+00:00,,,1232776868996112384,,https://twitter.com/pharmerfour/status/1232776868996112384,0,0,JarrydBartle,
yeah that one still needs you to fast. the wait until monday won't cause any issues..... ironic though,2020-02-26 20:54:25+00:00,,,1232770920680308736,,https://twitter.com/pharmerfour/status/1232770920680308736,1,0,JarrydBartle,
that particular test requiring fasting has been deprecated. there is a blood test that doesn't require fasting that is diagnostic.,2020-02-26 20:51:09+00:00,,,1232770096029847553,,https://twitter.com/pharmerfour/status/1232770096029847553,1,0,JarrydBartle,
media: covid19 is a verydangerousthing coming to australia very soon likely to devastate the country - you should be worried also media: we don't understand why everyone is acting in fear &amp; being horribly racist - what's wrong with everyone? no link between the two...,2020-02-26 18:48:12+00:00,,#COVID19,1232739155513208832,,https://twitter.com/pharmerfour/status/1232739155513208832,0,0,,
"getting safe injection facilities is generally difficult, but i can only imagine how much harder it is in the us...",2020-02-26 00:40:45+00:00,,,1232465490146033665,,https://twitter.com/pharmerfour/status/1232465490146033665,0,0,LeoBeletsky,
"it's quite clear that institutions are more important than people.... the same mentality around denying paedophilia by ""religious"" people. the 'idyllic' 50s image must be retained no matter the cost on human suffering",2020-02-25 20:34:03+00:00,,,1232403407526223872,,https://twitter.com/pharmerfour/status/1232403407526223872,0,0,helonweels,
"the risks of uncontrolled asthma need to be squarely placed on the under-utilisation of ics & the attitude of ""my asthma isn't that bad"" demonizing saba (which is still life-saving for rare flareups in well controlled asthma) is a risk of poorly communicating this issue 2/2",2020-02-25 19:55:01+00:00,,,1232393581232455680,,https://twitter.com/pharmerfour/status/1232393581232455680,0,0,pharmerfour,
"historically, the health sector is not very effective at communicating complex issues like this ""the message around over-reliance on saba, & underuse of ics, does not seem to be getting through"" not only is this quote true, but the messaging around saba use is also fraught 1/2",2020-02-25 19:51:49+00:00,,,1232392776550993920,,https://twitter.com/pharmerfour/status/1232392776550993920,1,0,DRugby56,
a pioneer of stem has passed away at the age of 101 what a contribution katherine johnson made to science &amp; human achievements,2020-02-25 09:08:31+00:00,,#STEM,1232230884100603904,,https://twitter.com/pharmerfour/status/1232230884100603904,0,0,,
"assuming you are suggesting the family of the man who died shouldn't sue because the company didn't force him to use vivitrol? i so, consider that vivitrol is marketed as a safe solution to ""treat"" substance use disorder that ""prevents overdose""; which it failed to do here",2020-02-24 22:37:54+00:00,,,1232072184224333825,,https://twitter.com/pharmerfour/status/1232072184224333825,1,0,lucfrenette,
"thankyou for the response relative rates are important, but the context can be missed without the absolute rates as comparison. i ask this kind of question a lot, & it's great that you provided the details",2020-02-24 05:23:45+00:00,,,1231811931448565760,,https://twitter.com/pharmerfour/status/1231811931448565760,0,0,kemal_atlay,
"i read stories like this & i wonder if it's even about profits, or if the usa has moved so far from the idea of the ""land of the free"" to being about preventing people from accessing the opportunities that they were always famous for.",2020-02-24 04:43:27+00:00,,,1231801792645648385,,https://twitter.com/pharmerfour/status/1231801792645648385,0,0,TcameronTodd,
what is the actual incidence? is twice as likely 1% compared to 0.5% incidence (for instance)?,2020-02-24 03:30:46+00:00,,,1231783501436837890,,https://twitter.com/pharmerfour/status/1231783501436837890,2,0,kemal_atlay,
"may have undertones of the grifter and the smiler , while employing the tactics of the psychopath or the zealot as necessary",2020-02-23 03:20:24+00:00,,,1231418502021406722,,https://twitter.com/pharmerfour/status/1231418502021406722,1,0,,
"work is often unchallenged; their propensity to challenge other people's works creates an illusion of being infallible. criticisms of other's works are aimed at undermining hypothesis, conclusion, methods, analysis, or anything else that causes delay.",2020-02-23 03:20:23+00:00,,,1231418500746399744,,https://twitter.com/pharmerfour/status/1231418500746399744,1,0,,
features: gregarious & personable; well respected in the industry but mistrust from colleagues gradually builds over time; results in new collaborators relatively quickly,2020-02-23 03:20:23+00:00,,,1231418499349667840,,https://twitter.com/pharmerfour/status/1231418499349667840,1,0,,
"how they see science: as their property, & no one else should trespass unless they are in control how they see a scientific paper: similar to fankenstins monster... creates a ""new"" publication grotesquely stitched together from other people's buried ideas",2020-02-23 03:20:23+00:00,,,1231418498003292160,,https://twitter.com/pharmerfour/status/1231418498003292160,1,0,,
"they sit on committees related to their field of work & ensure that other work is buried by keeping debates & discussion running as long as possible. likely to resurrect other's ideas as their own ""lets adjourn this discussion to our next meeting in 6 weeks""",2020-02-23 03:20:22+00:00,,,1231418494442299397,,https://twitter.com/pharmerfour/status/1231418494442299397,1,0,,
"i really enjoyed this article by  &amp; thanks to  for tweeting it. https://medium.com//the-four-horsemen-6ff159725a76 i recognise them all, including some aspects in me. one archetype i was looking for was the undertaker....",2020-02-23 03:20:22+00:00,,,1231418493028823040,@jamesheathers @pash22,https://twitter.com/pharmerfour/status/1231418493028823040,1,0,,https://medium.com/@jamesheathers/the-four-horsemen-6ff159725a76
"good idea, hardly original.... although here in australia we still aren't remunerated for services like this that we've provided free for so long. btw bring this to me hancock's attention",2020-02-22 23:12:47+00:00,,,1231356187494346752,,https://twitter.com/pharmerfour/status/1231356187494346752,0,0,ChemistDruggist,https://twitter.com/Ross_Tsuyuki/status/1231317690830090240?s=19
the number of doctors who think like this but also think that a doctor can't profit from a conflict of interest is astounding,2020-02-22 12:49:46+00:00,,,1231199400841502720,,https://twitter.com/pharmerfour/status/1231199400841502720,0,0,gorskon,
,2020-02-22 03:54:23+00:00,,,1231064666299760640,,https://twitter.com/pharmerfour/status/1231064666299760640,1,0,DrSuziNielsen,
revoke bettina arndt's australia day honours - sign the petition! http://chng.it/2mhx9cvp via ,2020-02-22 01:27:31+00:00,,,1231027709054029825,@ChangeAus,https://twitter.com/pharmerfour/status/1231027709054029825,0,0,,http://chng.it/2mHX9cvp
"it's interesting that homeopathy is on here as a traditional technique that is centuries old. it's actually been around for less time than the modern standard of surgery more importantly, it is only 2 years older than vaccines.... so i guess vaccines are traditional?",2020-02-21 22:50:00+00:00,,,1230988065960685568,,https://twitter.com/pharmerfour/status/1230988065960685568,0,2,HomegrownJoan,
"i don't disagree. if an option like this meant there were no human interaction - no ""hello"" ""thanks"" etc, then that's ultimately a bad thing... i doubt that's what the outcome will be though. introverts aren't shy or incapable of niceties... but we don't need to chit chat either",2020-02-21 04:35:10+00:00,,,1230712544106409990,,https://twitter.com/pharmerfour/status/1230712544106409990,0,0,ben_hr,
i **especially** recommend watching the experiences of the person at the 42 minute mark for anyone who claims that use of cam is inherently safe. everything carries risk....,2020-02-21 03:24:52+00:00,,,1230694849923309568,,https://twitter.com/pharmerfour/status/1230694849923309568,0,0,pharmerfour,
