text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
a little info on droplet spread...,2020-02-28 22:27:12+00:00,,,1233519045292548097,,https://twitter.com/ravensspirit68/status/1233519045292548097,0,1,,https://www.youtube.com/watch?v=wnafrAtfMzE&feature=emb_logo
https://www.youtube.com/watch?v=vkpdgz612nu&amp;feature=youtu.be&amp;fbclid=iwar0kjgekfuqarhwoynpvi6lhxewduzudzragh7eum4l3rhavmefp_wz9kf4 rarediseaseday myalgicencephalomyelitis,2020-02-28 21:57:20+00:00,,#RareDiseaseDay #MyalgicEncephalomyelitis,1233511528063569920,,https://twitter.com/ravensspirit68/status/1233511528063569920,1,1,,https://www.youtube.com/watch?v=VKPdgz612nU&feature=youtu.be&fbclid=IwAR0kjGekFUqArHwOynPVI6lhXeWdUzUDZragh7Eum4l3rHAvmEFp_wZ9Kf4
"wish i had an angel. oh well, glad that some are getting the help they need. mediablackout paincarecrisis waronrxopiates",2020-02-28 21:54:25+00:00,,#MediaBlackout #PainCareCrisis #WarOnRxOpiates,1233510792693198851,,https://twitter.com/ravensspirit68/status/1233510792693198851,2,10,,https://www.youtube.com/watch?v=pCa-50zvMlo
yep. ,2020-02-28 17:37:34+00:00,,,1233446157562478595,,https://twitter.com/ravensspirit68/status/1233446157562478595,1,0,reversechapter,
"meanwhile, in california, the three stooges are obviously in charge of managing the coronavirus outbreak. smh stay safe. plan for the worst, expect the best. covid19us",2020-02-28 16:06:39+00:00,,#coronavirus #COVID19US,1233423276220674048,,https://twitter.com/ravensspirit68/status/1233423276220674048,2,5,,https://www.youtube.com/watch?v=kr1AkRtIHX4
mine too. ,2020-02-28 15:52:13+00:00,,,1233419645266227201,,https://twitter.com/ravensspirit68/status/1233419645266227201,0,0,Darth_Windows,
 ,2020-02-28 14:16:43+00:00,,,1233395612147568641,,https://twitter.com/ravensspirit68/status/1233395612147568641,0,6,,
"and the rest of us who were abandoned long ago, or those newly diagnosed with some horrible illness or injured terribly, should just face the fact that we're screwed. message to us seems to be, ""go away & die quietly."" ",2020-02-27 21:01:21+00:00,,,1233135053535731712,,https://twitter.com/ravensspirit68/status/1233135053535731712,3,6,StefanKertesz,
i'm sorry for your loss. ,2020-02-27 18:27:02+00:00,,,1233096217044934660,,https://twitter.com/ravensspirit68/status/1233096217044934660,1,0,VetsUnitedMarch,
 ,2020-02-27 18:23:47+00:00,,,1233095399562366976,,https://twitter.com/ravensspirit68/status/1233095399562366976,3,5,,
home,2020-02-27 15:14:25+00:00,,,1233047741191770112,,https://twitter.com/ravensspirit68/status/1233047741191770112,5,1,,
,2020-02-27 14:53:41+00:00,,,1233042523485917186,,https://twitter.com/ravensspirit68/status/1233042523485917186,0,1,,
"3/ breaking news yesterday: flight attendant flying in and out of lax tests positive for coronavirus. 16 european countries in one week have reported covidー19 is now present. don't panic. plan for the worst, hope for the best.",2020-02-27 14:50:11+00:00,,#coronavirus #COVID,1233041642862469121,,https://twitter.com/ravensspirit68/status/1233041642862469121,1,4,,https://www.youtube.com/watch?v=WB_YYtAmWUM
2/ coronavirus yesterday's update by peak prosperity. confirmed cases worldwide have increased overnight.,2020-02-27 14:41:01+00:00,,#CoronaVirus,1233039337022865409,,https://twitter.com/ravensspirit68/status/1233039337022865409,1,1,,https://www.youtube.com/watch?v=1oKV5MK2bdw
"the guidelines are not law. they have been implemented into standards of care, across the board, which falls under tort law.",2020-02-27 14:28:05+00:00,,,1233036082263908353,,https://twitter.com/ravensspirit68/status/1233036082263908353,0,0,ravensspirit68,
"unfortunately, it's very true. over the last 7 yrs watched as states held mtgs where t hey changed standard of care re: opioid practices while using the cdc guideline as a bible for rxing practice changes. mds deviating are subject to scrutiny/persecution for 'over prescribing.",2020-02-27 14:27:06+00:00,,,1233035834149834752,,https://twitter.com/ravensspirit68/status/1233035834149834752,1,0,DreamWalker357,
"no reporters last night asked about how long incubation window coronavirus has. (i've heard up to 27 days) how many days before sx show is one able to shed virus &amp; infect others? how many days is someone communicable after symptoms resolve? but yeah, we're sooooo prepared.",2020-02-27 14:19:53+00:00,,#coronavirus,1233034018750259201,,https://twitter.com/ravensspirit68/status/1233034018750259201,4,5,,
"for the record, the 'guideline' became enmeshed and ratified into standard of care practice re: opioid prescribing in just about every state. standard of care protocols fall under tort law. thereby, making the 'guideline' parameters law. if md deviates, can be sued/disciplined.",2020-02-27 14:10:30+00:00,,,1233031657008975873,,https://twitter.com/ravensspirit68/status/1233031657008975873,0,0,ravensspirit68,
"and yet, here we are. ",2020-02-27 14:08:12+00:00,,,1233031078497017860,,https://twitter.com/ravensspirit68/status/1233031078497017860,1,0,DreamWalker357,
3/,2020-02-27 13:56:26+00:00,,,1233028116173316103,,https://twitter.com/ravensspirit68/status/1233028116173316103,0,1,,
2/,2020-02-27 13:56:08+00:00,,,1233028043733553154,,https://twitter.com/ravensspirit68/status/1233028043733553154,1,1,,
"medtronic, banking on opioidhysteria since cdc 'guideline' was unleashed on america. paincarecrisis medicaldevices",2020-02-27 13:55:42+00:00,,#OpioidHysteria #America #PainCareCrisis #MedicalDevices,1233027931741376518,,https://twitter.com/ravensspirit68/status/1233027931741376518,1,3,Medtronic,https://twitter.com/Medtronic/status/1226906171040075777
looks horribly painful. i still need to get my records and mris from kaiser. i'd hate to see what my spine looks like now. ,2020-02-27 02:36:08+00:00,,,1232856916218404864,,https://twitter.com/ravensspirit68/status/1232856916218404864,1,0,DeMelaatse,
yep. mine feels like shards of glass digging into tissue. sometimes there's a burning that accompanies that excruciating pain. so horrible that so many are now denied relief. all because someone else has issues.,2020-02-27 02:34:26+00:00,,,1232856488797847552,,https://twitter.com/ravensspirit68/status/1232856488797847552,6,3,VampWriterGRRL,
doesn't look like it should hurt as much as it does. spinalstenosis spondylosis,2020-02-27 02:18:07+00:00,,#SpinalStenosis #Spondylosis,1232852380162543616,,https://twitter.com/ravensspirit68/status/1232852380162543616,43,15,,
,2020-02-27 02:15:02+00:00,,,1232851604308520960,,https://twitter.com/ravensspirit68/status/1232851604308520960,0,0,,
i've been trying to write. it's hopeless right now.,2020-02-26 21:50:31+00:00,,,1232785035016593408,,https://twitter.com/ravensspirit68/status/1232785035016593408,1,0,,
paincarecrisis mediablackout opioidhysteria,2020-02-26 21:46:53+00:00,,#PainCareCrisis #MediaBlackout #opioidhysteria,1232784120738041856,,https://twitter.com/ravensspirit68/status/1232784120738041856,0,1,DanLairdMD,https://twitter.com/DanLairdMD/status/1232327679279423488
mediablackout paincarecrisis patientsnotparolees,2020-02-26 21:26:42+00:00,,#MediaBlackout #PainCareCrisis #PatientsNotParolees,1232779043071655937,,https://twitter.com/ravensspirit68/status/1232779043071655937,1,1,deanthurman91,https://twitter.com/deanthurman91/status/1232777961704710149
 ,2020-02-26 21:26:13+00:00,,,1232778920417615872,,https://twitter.com/ravensspirit68/status/1232778920417615872,0,1,CContrarus,
mediablackout paincarecrisis patientsnotparolees,2020-02-26 21:25:55+00:00,,#MediaBlackout #PainCareCrisis #PatientsNotParolees,1232778845440241665,,https://twitter.com/ravensspirit68/status/1232778845440241665,0,0,CContrarus,https://twitter.com/CContrarus/status/1232773072840642560
"so, losartan/hztz for a family member has been on back order for 3 weeks now. shortage is noted online. anyone have info or also having problems getting bp meds? medshortage",2020-02-26 21:20:10+00:00,,#MedShortage,1232777400250855424,,https://twitter.com/ravensspirit68/status/1232777400250855424,26,9,,
"""you don’t have to spend much time with the elderly or those with terminal illness to see how often medicine fails the people it is supposed to help."" or the chronically ill for that matter, when there is no 'cure'. https://ideas.ted.com/death-and-the-missing-piece-of-medical-school/ hospice mediablackout paincarecrisis",2020-02-26 20:24:30+00:00,,#Hospice #MediaBlackout #PainCareCrisis,1232763389526458369,,https://twitter.com/ravensspirit68/status/1232763389526458369,2,4,,https://ideas.ted.com/death-and-the-missing-piece-of-medical-school/
i don't know that i'd want to be on lsd or ketamine as i died. many have issues with breathing as their lungs fill with fluid and organs shut down. i think that might just be a catalyst for a bad trip.,2020-02-26 20:07:23+00:00,,,1232759082328526849,,https://twitter.com/ravensspirit68/status/1232759082328526849,2,0,_Anonym0us_FL_,
i know you did. i know how hard all of this is. much love. ,2020-02-26 20:01:04+00:00,,,1232757492632866816,,https://twitter.com/ravensspirit68/status/1232757492632866816,0,0,HarleyNosYa,
"until you've held the hand of the dying, and watched as a loved one had to spend their last moments in unnecessary pain & suffering... you just can't understand what the greatopioidlie has done, or the damage it's wrought. mediablackout paincarecrisis",2020-02-26 20:00:01+00:00,,#GreatOpioidLie #MediaBlackout #PainCareCrisis,1232757228127440896,,https://twitter.com/ravensspirit68/status/1232757228127440896,1,6,HarleyNosYa,https://twitter.com/HarleyNosYa/status/1232755964224442371
most americans suffering with chronic pain are women. paincarecrisis believewomen mediablackout,2020-02-26 19:12:05+00:00,,#PainCareCrisis #BelieveWomen #MediaBlackout,1232745164684156928,,https://twitter.com/ravensspirit68/status/1232745164684156928,0,9,,https://www.health.harvard.edu/blog/women-and-pain-disparities-in-experience-and-treatment-2017100912562
"yep, our politicians are 'bought'. make no mistake about it. that freudianslip will get ya every time mike. corruption",2020-02-26 18:04:22+00:00,,#FreudianSlip #corruption,1232728125705867264,,https://twitter.com/ravensspirit68/status/1232728125705867264,3,3,lennibird,https://twitter.com/lennibird/status/1232715346760601603
" ""but it's got electrolytes."" ",2020-02-26 17:58:03+00:00,,,1232726536605720576,,https://twitter.com/ravensspirit68/status/1232726536605720576,0,0,bizboyle,https://twitter.com/bizboyle/status/1232304806007656449
