text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
eg. people attending needle exchange or ops at one step in cascade could be referred on to moud as next step people starting moud as one step could be referred into needle exchange/ops if still using as next step,2020-02-28 23:01:26+00:00,,,1233527658765586439,,https://twitter.com/tdbrothers/status/1233527658765586439,1,0,tdbrothers,
sincerely appreciate this messaging -hopefully specialist will take this on as “secondary prevention” i think cascade could/should look different in different policy environment/settings? we have many folks engaged in harm reduction services but not moud & vice versa,2020-02-28 22:58:49+00:00,,,1233527001836851200,,https://twitter.com/tdbrothers/status/1233527001836851200,1,0,DrEllenEaton,
"but of course i want my patients to be ""engaged"" with our local needle exchange outreach, whether or not they fill their script for moud. i suppose i consider these harm reduction interventions to be broader & foundational, and perhaps separate from opioid use disorder cascade",2020-02-28 20:23:46+00:00,,,1233487981484355589,,https://twitter.com/tdbrothers/status/1233487981484355589,1,0,tdbrothers,
"really appreciate your editorial & continued advocacy for scaling up low barrier moud! re: the continuum, i wonder how ""harm reduction"" conceptually fits in? many folks access non-medical needle exchange & naloxone independent of ""treatment""/""care"" (in traditional medical sense)",2020-02-28 20:22:15+00:00,,,1233487600633118721,,https://twitter.com/tdbrothers/status/1233487600633118721,1,0,DrEllenEaton,
"‘“who’s gonna protect our kids?” he asked, without clarifying exactly what they need protection from.’ ",2020-02-28 03:28:20+00:00,,,1233232438425538565,,https://twitter.com/tdbrothers/status/1233232438425538565,0,0,moraffreports,
would love to! i’ll add it to my list :),2020-02-28 02:53:35+00:00,,,1233223693154820096,,https://twitter.com/tdbrothers/status/1233223693154820096,1,0,XimenaLevander,
thanks dr cunningham! likewise - & appreciate learning from you & your work already :),2020-02-28 02:52:45+00:00,,,1233223482445639685,,https://twitter.com/tdbrothers/status/1233223482445639685,0,0,DrChinazo,
 ,2020-02-27 22:21:04+00:00,,,1233155114585788416,,https://twitter.com/tdbrothers/status/1233155114585788416,0,0,DrKLMeador,
congrats on this really important work!,2020-02-27 18:22:32+00:00,,,1233095083651686401,,https://twitter.com/tdbrothers/status/1233095083651686401,0,0,jabarocas,
congratulations!!!!! so proud of you (as always) ,2020-02-27 15:57:32+00:00,,,1233058592170876929,,https://twitter.com/tdbrothers/status/1233058592170876929,2,0,matthew__bonn,
i once met a police sergeant named sergeant sargent,2020-02-27 14:02:31+00:00,,,1233029648201719808,,https://twitter.com/tdbrothers/status/1233029648201719808,0,0,LucyThack,
i’m curious why drug users weren’t included?,2020-02-27 11:42:49+00:00,,,1232994491776356352,,https://twitter.com/tdbrothers/status/1232994491776356352,1,0,tmc_RN,
thanks bernie! looking forward to it :),2020-02-27 11:30:54+00:00,,,1232991493826269184,,https://twitter.com/tdbrothers/status/1232991493826269184,0,0,BerniePauly,
thanks matt!! ,2020-02-27 03:02:03+00:00,,,1232863434968109057,,https://twitter.com/tdbrothers/status/1232863434968109057,0,0,matthew__bonn,
all my injection drug use-related endocarditis prevention heros! keep up the great work y’all ,2020-02-27 02:48:17+00:00,,,1232859971043446785,,https://twitter.com/tdbrothers/status/1232859971043446785,0,0,jess_meisner,
thanks naheed! ,2020-02-27 02:08:58+00:00,,,1232850077930184707,,https://twitter.com/tdbrothers/status/1232850077930184707,0,0,NaheedD,
ooh that would be really nice! i’ll let ya know when i figure out my call & flights schedules,2020-02-27 01:33:57+00:00,,,1232841266750279680,,https://twitter.com/tdbrothers/status/1232841266750279680,0,0,_alexbcollins,
happy to recs! would also love to meet up if you have time,2020-02-27 01:26:28+00:00,,,1232839381490204672,,https://twitter.com/tdbrothers/status/1232839381490204672,1,0,kinnathakarar,
 the alumni list just keeps getting cooler &amp; cooler. thank y’all for what you do!,2020-02-27 01:10:28+00:00,,,1232835354941677573,,https://twitter.com/tdbrothers/status/1232835354941677573,1,0,kinnathakarar,
thank you!! looking forward to reading!,2020-02-27 00:56:45+00:00,,,1232831905340456963,,https://twitter.com/tdbrothers/status/1232831905340456963,0,0,DrKristineTL,
,2020-02-27 00:56:24+00:00,,,1232831813946613760,,https://twitter.com/tdbrothers/status/1232831813946613760,0,0,DrSarahWakeman,
,2020-02-27 00:07:48+00:00,,,1232819583653961728,,https://twitter.com/tdbrothers/status/1232819583653961728,0,0,serotavirus,
really excited to attend critfit2020 training program in addiction medicine  and meet &amp; learn from amazing faculty    &amp; more. see you in april &amp; thank you for wonderful opportunity!!,2020-02-26 23:50:16+00:00,,#CRITFIT2020,1232815175008444421,@The_BMC @AlexanderWalley @DrChinazo @UnhealthyAlcDrg,https://twitter.com/tdbrothers/status/1232815175008444421,11,3,,
congrats! any way to access this outside of montefiore? also you might be interested in new acute care & substance use guidance from     &amp; team in alberta: https://crismprairies.ca/wp-content/uploads/2020/02/guidance-document-final.pdf,2020-02-26 18:57:05+00:00,,,1232741392176353282,@TeamARCH @kathryndong @ehyshka @ginettafammed,https://twitter.com/tdbrothers/status/1232741392176353282,1,0,DrKristineTL,https://crismprairies.ca/wp-content/uploads/2020/02/Guidance-Document-FINAL.pdf
"“if a supervised injection site had opened when i relapsed,” she said, “i would have gone there. i might not have used in my bathroom — because that’s where most people in south philadelphia use.”",2020-02-26 13:38:36+00:00,,,1232661240381628420,,https://twitter.com/tdbrothers/status/1232661240381628420,0,0,abgutman,https://twitter.com/abgutman/status/1232515074616680449
"of course it helps here we already had a widely respected & beloved needle exchange (), community treatment program (), street nursing service () &amp; others have helped city open up to harm reduction &amp; inclusion",2020-02-25 23:31:57+00:00,,,1232448173945151488,@needleexchange2 @Direction180 @MOSHHalifax,https://twitter.com/tdbrothers/status/1232448173945151488,2,0,tdbrothers,
"we’ve tried to help expand neighbours’ similar attitude/remarks beyond focus on “treatment” per se to inclusion, community, support + connection to other services (including but not limited to treatment) i think it’s helped some neighbours understand potential of scs",2020-02-25 23:30:14+00:00,,,1232447743445962752,,https://twitter.com/tdbrothers/status/1232447743445962752,1,0,adrie75014,
we’ve had same issue at  . lots of folks use crack here and we wish so much we could provide safe smoking services - simply no money or facilities to provide space &amp; ventilation legal case would still support safe smoking site if somebody had outdoor space or vents?,2020-02-25 23:13:23+00:00,,,1232443504443289600,@halifix902,https://twitter.com/tdbrothers/status/1232443504443289600,2,0,adrie75014,
"as much as that’s a barrier to providing optimal service, it may be a blessing in disguise. if site opens & has few clients at start, then there’s no opportunity to blame anything on the site itself early on",2020-02-25 23:10:51+00:00,,,1232442866653286402,,https://twitter.com/tdbrothers/status/1232442866653286402,1,0,adrie75014,
what’s the relationship like between the host organization & the drug using community? think people would start using the site right away? or else take a while to build trust/clientele?,2020-02-25 23:04:50+00:00,,,1232441349716107264,,https://twitter.com/tdbrothers/status/1232441349716107264,2,0,adrie75014,
"(& i should clarify, our hiv program does not have a housing program, but we do have a wonderful local housing first program with no contingencies/requirements)",2020-02-25 19:44:39+00:00,,,1232390974602719233,,https://twitter.com/tdbrothers/status/1232390974602719233,1,0,tdbrothers,
"wonderful to have housing program as part of hiv care! if housed patients disengage from hiv care, are they removed from their housing? or offered housing elsewhere?",2020-02-25 19:38:15+00:00,,,1232389360999333888,,https://twitter.com/tdbrothers/status/1232389360999333888,3,0,DrEllenEaton,
"hey garrett, are you familiar with the “better poster” template/design? i’ve tried it at last few conferences & well-received: https://twitter.com/mikemorrison/status/1110191245035479041?s=21",2020-02-25 18:57:36+00:00,,,1232379132316614658,,https://twitter.com/tdbrothers/status/1232379132316614658,1,0,garrettsbarry,"https://twitter.com/mikemorrison/status/1110191245035479041?s=21,https://twitter.com/mikemorrison/status/1110191245035479041"
i find it helpful to ask what are the good/positive aspects of that substance (responses are often profound & important!) i haven’t figured out a specific great/inclusive way to ask about inhalants/solvents - use is very highly stigmatized locally,2020-02-25 14:36:17+00:00,,,1232313372378615808,,https://twitter.com/tdbrothers/status/1232313372378615808,0,0,DrEmilyBrunner,
,2020-02-25 09:12:41+00:00,,,1232231933368774656,,https://twitter.com/tdbrothers/status/1232231933368774656,0,0,RebeccaSaah,
& housing first!,2020-02-25 09:07:17+00:00,,,1232230573059575808,,https://twitter.com/tdbrothers/status/1232230573059575808,2,0,LauraFanucchi,
"ooooh amazing wasn’t aware of this resource, thank you!",2020-02-22 20:44:07+00:00,,,1231318777041760256,,https://twitter.com/tdbrothers/status/1231318777041760256,0,0,KellyMDoran,
