text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
there are so many distance programs (not just athabasca) all over the country...some ppl in ab are in my class so they can attend class early before work! it's been better than i thought it would be...,2020-02-28 13:57:09+00:00,,,1233390687212707840,,https://twitter.com/tmc_RN/status/1233390687212707840,0,0,Patricia_Ann_E,
we do but we have a medical directive for it.,2020-02-28 01:19:31+00:00,,,1233200022830944256,,https://twitter.com/tmc_RN/status/1233200022830944256,1,0,UnaDispatch,
"climate change is a good analogy. i'm so, so proud of the work we do, how we treat people and what we've learned. i want it to be taken seriously.",2020-02-27 23:50:40+00:00,,,1233177662019047425,,https://twitter.com/tmc_RN/status/1233177662019047425,0,0,ZoeDodd,
that's true. maybe i'm naive to think that more research would change anything. really tired of talking about what happens in the site being considered 'anecdotal'.,2020-02-27 22:07:04+00:00,,,1233151589306818568,,https://twitter.com/tmc_RN/status/1233151589306818568,1,0,DJDenning,
yup. unfortunately that doesn't seem to be enough for people.,2020-02-27 22:05:35+00:00,,,1233151217368535041,,https://twitter.com/tmc_RN/status/1233151217368535041,0,0,DJDenning,
i call cowbell.,2020-02-27 20:21:33+00:00,,,1233125033599492096,,https://twitter.com/tmc_RN/status/1233125033599492096,0,0,Jenna_Burton,
i just read where he said that all of us harm reductionists don't have children and wow why am i feeding those random teenagers who live in my house then?,2020-02-27 20:21:13+00:00,,,1233124950577491972,,https://twitter.com/tmc_RN/status/1233124950577491972,1,0,Timgthr,
"i'm not talking about a reduction in overdose deaths, but people given the time and space to properly inject overdose less often. i know there are studies, but i wish we could produce more, if only to defend our existence if nothing else.",2020-02-27 20:11:44+00:00,,,1233122564819628033,,https://twitter.com/tmc_RN/status/1233122564819628033,1,0,jeanlapilote,
"people look at the rand report (https://www.rand.org/pubs/working_papers/wr1261.html) and say ""the evidence isn't there."" we have the evidence, but people aren't listening to it.",2020-02-27 20:02:22+00:00,,,1233120208019128327,,https://twitter.com/tmc_RN/status/1233120208019128327,0,0,tmc_RN,https://www.rand.org/pubs/working_papers/WR1261.html
yeah sure i'd rather spend money on the clients of the sites but i live in a tenuous political climate and i think there is value in proving our worth across several domains - especially when you want to look at cost-effectiveness.,2020-02-27 20:00:03+00:00,,,1233119623941365761,,https://twitter.com/tmc_RN/status/1233119623941365761,1,0,tmc_RN,
"i think we do an amazing job of providing health care and giving people a safe space... we reduce the risk of overdose. but that hasn't been measured really, and unfortunately we live in a world where the only things that get funded are the ones with proven results.",2020-02-27 19:57:25+00:00,,,1233118960561852416,,https://twitter.com/tmc_RN/status/1233118960561852416,2,0,jeanlapilote,
more money to be made for sure.,2020-02-27 19:54:49+00:00,,,1233118309350072322,,https://twitter.com/tmc_RN/status/1233118309350072322,0,0,vee9zee,
and the outcomes they want to measure are all quantitative - cost-savings and connection to treatment...what about everything else?,2020-02-27 19:46:00+00:00,,,1233116087690153991,,https://twitter.com/tmc_RN/status/1233116087690153991,0,0,tmc_RN,
totally. but i'm responding to the people who say it's not researched enough so we can't open one (like the uk). but then we never get the resources to do that research.,2020-02-27 19:43:58+00:00,,,1233115576479907840,,https://twitter.com/tmc_RN/status/1233115576479907840,2,0,ZoeDodd,
well i don't disagree about those benefits because i run one ;) but a lot of the other benefits haven't been studied yet.,2020-02-27 14:43:31+00:00,,,1233039964654522368,,https://twitter.com/tmc_RN/status/1233039964654522368,2,0,jeanlapilote,
"if one more person says to me ""that's all well and good, but i'm all about the science"" i'm going to lose it. how about the science of a 100% success rate? how about someone gives me the resources to produce that science?",2020-02-27 14:14:16+00:00,,,1233032605102231553,,https://twitter.com/tmc_RN/status/1233032605102231553,0,0,tmc_RN,
"this is not only about stigma/discrimination against people who use drugs - it's about race and gender and the hierarchy of whose evidence ""counts."" we aren't interested in measuring outcomes that matter (qol for people who use drugs) and everything we say is merely an anecdote.",2020-02-27 14:12:32+00:00,,,1233032168479260674,,https://twitter.com/tmc_RN/status/1233032168479260674,1,2,davidewlucas,
"people questioning whether scss are effective should realize that we are wildly under-researched because the people who run these sites (pwud, social workers, nurses) aren't generally those who are given major research grants, or whose voices are valued by those in charge.",2020-02-27 14:03:28+00:00,,,1233029886543106049,,https://twitter.com/tmc_RN/status/1233029886543106049,4,18,,
not too crazy. that is regularly what happens here. if the police weren't generally supportive of our site it would be difficult to operate.,2020-02-27 13:44:18+00:00,,,1233025065597403136,,https://twitter.com/tmc_RN/status/1233025065597403136,0,0,jeff_deeney,
thank you for this perspective.,2020-02-27 12:37:08+00:00,,,1233008160698441729,,https://twitter.com/tmc_RN/status/1233008160698441729,1,0,jeff_deeney,
you cannot run an injection site without involving people who use drugs at every stage.,2020-02-27 11:37:14+00:00,,,1232993085136744449,,https://twitter.com/tmc_RN/status/1232993085136744449,1,1,flufftronix,
