text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
,2020-02-28 22:51:07+00:00,,,1233525063099379713,,https://twitter.com/yeomalt/status/1233525063099379713,0,0,,https://oakbaystarfish.com/2020/02/28/dod-progress-report/
"if the cia (est 1947) serves as an advantage to the us, why does the department of defense have such a poor record of winning undeclared wars going back to 1949, the year dod was established?",2020-02-28 22:46:30+00:00,,,1233523900933259264,,https://twitter.com/yeomalt/status/1233523900933259264,1,0,Consortiumnews,https://twitter.com/Consortiumnews/status/1233520909169852417
"did the advantage of us air power allow the undeclared wars in iraq or afghanistan to be prevented, won or shut down?",2020-02-28 22:41:19+00:00,,,1233522594923470848,,https://twitter.com/yeomalt/status/1233522594923470848,0,0,prattandwhitney,
"“this presidents day, let us never forget the extraordinary men and women serving our country. as we remember our founders that formed our great nation, we also remember our service members fiercely defending the freedoms we value every day.”",2020-02-28 21:14:35+00:00,,,1233500771565670400,,https://twitter.com/yeomalt/status/1233500771565670400,0,0,EsperDoD,https://twitter.com/EsperDoD/status/1229405890870038530?s=20
"if the troops defend american rights and freedoms, what becomes of those freedoms when the us leaves syria, lebanon, somalia, vietnam, afghanistan, etc., without a victory?",2020-02-28 21:13:40+00:00,,,1233500539993784320,,https://twitter.com/yeomalt/status/1233500539993784320,1,0,voxdotcom,https://twitter.com/voxdotcom/status/1233492078526636039
,2020-02-28 20:56:31+00:00,,,1233496223065133056,,https://twitter.com/yeomalt/status/1233496223065133056,0,0,,https://oakbaystarfish.com/2018/09/05/freedom-comes-and-goes-joint-chiefs-of-staff-play-no-part/
"another of many examples where freedoms may come & go- completely unrelated to military operations/us troops in distant lands, or the sound of freedom:",2020-02-28 20:55:48+00:00,,,1233496044106854403,,https://twitter.com/yeomalt/status/1233496044106854403,1,0,TenthAmendment,https://twitter.com/TenthAmendment/status/1233486136221327360
https://oakbaystarfish.com/2020/02/28/dod-progress-report/,2020-02-28 19:50:43+00:00,,,1233479665966354432,,https://twitter.com/yeomalt/status/1233479665966354432,0,0,,https://oakbaystarfish.com/2020/02/28/dod-progress-report/
recommendation for budget savings: phase out ongoing undeclared/unwon wars overseas. the department of defense track record for winning undeclared wars goes back to 1949. letter: preserve the sidney ferry route https://www.goskagit.com/opinion/letters_to_the_editor/letter-preserve-the-sidney-ferry-route/article_4be32759-58e0-5aec-b621-037c68f3fdff.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via ,2020-02-28 19:49:47+00:00,,,1233479427524198400,@goskagit,https://twitter.com/yeomalt/status/1233479427524198400,1,0,,https://www.goskagit.com/opinion/letters_to_the_editor/letter-preserve-the-sidney-ferry-route/article_4be32759-58e0-5aec-b621-037c68f3fdff.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share
no particular loyalty to any one brand.,2020-02-28 19:42:54+00:00,,,1233477696165945345,,https://twitter.com/yeomalt/status/1233477696165945345,0,0,,https://oakbaystarfish.com/category/beer-photo-fetish/
thinking about trying this one soon:,2020-02-28 19:41:48+00:00,,,1233477420818321412,,https://twitter.com/yeomalt/status/1233477420818321412,1,0,,
i have enjoyed this one in the past. https://oakbaystarfish.com/2017/09/04/happy-hours-9/,2020-02-28 19:39:03+00:00,,,1233476729026596866,,https://twitter.com/yeomalt/status/1233476729026596866,1,0,,https://oakbaystarfish.com/2017/09/04/happy-hours-9/
"american voters update: ""...16% are confused if corona beer is related to the coronavirus, usa today reported.""",2020-02-28 19:35:20+00:00,,,1233475791251496962,,https://twitter.com/yeomalt/status/1233475791251496962,1,0,daytondailynews,https://twitter.com/daytondailynews/status/1233472436038983680
,2020-02-28 19:31:10+00:00,,,1233474745804320768,,https://twitter.com/yeomalt/status/1233474745804320768,0,0,,https://oakbaystarfish.com/2018/12/04/operating-a-camera-in-a-public-place-2/
operating a camera in a public place. contact at 6:45 this behaviour is unusual!!! https://youtu.be/g9ysszyrld0 via ,2020-02-28 19:30:38+00:00,,,1233474611368603655,@YouTube,https://twitter.com/yeomalt/status/1233474611368603655,1,0,,https://youtu.be/g9ySszyRLD0
https://oakbaystarfish.com/2018/12/04/operating-a-camera-in-a-public-place-2/,2020-02-28 19:18:15+00:00,,,1233471492685430784,,https://twitter.com/yeomalt/status/1233471492685430784,0,0,,https://oakbaystarfish.com/2018/12/04/operating-a-camera-in-a-public-place-2/
"operating a camera in a public place. request for id at 3:05 police double standards, hermosa beach police dept, w/cg, flashback fri... https://youtu.be/w66rmyyi5aa via ",2020-02-28 19:17:32+00:00,,,1233471312888238081,@YouTube,https://twitter.com/yeomalt/status/1233471312888238081,1,0,,https://youtu.be/W66rMyYI5AA
puget sound area newspeople play along by not asking questions:,2020-02-28 19:15:22+00:00,,,1233470768195002369,,https://twitter.com/yeomalt/status/1233470768195002369,0,0,,https://oakbaystarfish.com/2019/10/28/drowning-in-meth/
,2020-02-28 19:13:39+00:00,,,1233470334373912578,,https://twitter.com/yeomalt/status/1233470334373912578,1,0,,https://oakbaystarfish.com/2020/02/21/border-wall-update-2/
how will a border wall keep cartels from moving product through ports of entry?,2020-02-28 19:13:14+00:00,,,1233470229801570304,,https://twitter.com/yeomalt/status/1233470229801570304,1,0,homelandprep,https://twitter.com/homelandprep/status/1233464628300124160
wa voters approved enhanced background checks back in 2014. the new requirements have had time to take hold. please update us on this.,2020-02-28 18:28:19+00:00,,,1233458925904834561,,https://twitter.com/yeomalt/status/1233458925904834561,0,0,Q13FOX,https://blog.seattlepi.com/seattlepolitics/2014/11/04/gun-initiative-is-passing-statewide-huge-majority-in-seattle-area/#28159101=0
,2020-02-28 18:20:51+00:00,,,1233457046260875264,,https://twitter.com/yeomalt/status/1233457046260875264,0,0,,https://oakbaystarfish.com/2018/12/04/operating-a-camera-in-a-public-place-2/
operating a camera in a public place. police response at 18:26 police & city manager get educated - mesquite nevada - first amendment a... https://youtu.be/au_y8yt4lb4 via ,2020-02-28 18:20:15+00:00,,,1233456898264821762,@YouTube,https://twitter.com/yeomalt/status/1233456898264821762,1,0,,https://youtu.be/au_y8yT4lB4
looking forward to the next season.,2020-02-28 17:47:11+00:00,,,1233448573741625345,,https://twitter.com/yeomalt/status/1233448573741625345,0,0,BreakingSkagit,
,2020-02-28 17:11:03+00:00,,,1233439482138910721,,https://twitter.com/yeomalt/status/1233439482138910721,0,0,,https://oakbaystarfish.com/2019/09/23/one-size-fits-all-society/
alternative media update: school buses are 27x more dangerous than school shootings https://youtu.be/7myolo0hwrs via ,2020-02-28 17:10:20+00:00,,,1233439301028831235,@YouTube,https://twitter.com/yeomalt/status/1233439301028831235,1,0,,https://youtu.be/7MYOLO0Hwrs
newspeople remain silent:,2020-02-28 17:02:58+00:00,,,1233437448769695744,,https://twitter.com/yeomalt/status/1233437448769695744,0,0,,https://oakbaystarfish.com/2019/09/11/port-angeles-post-911-cbp-spending-spree/
why are border patrol arrest statistics secret at port angeles?,2020-02-28 17:01:50+00:00,,,1233437164639141888,,https://twitter.com/yeomalt/status/1233437164639141888,1,0,theintercept,https://twitter.com/theintercept/status/1233434652024721408
alternative media update:,2020-02-28 16:52:56+00:00,,,1233434922758524928,,https://twitter.com/yeomalt/status/1233434922758524928,0,0,BettyBowers,https://twitter.com/BettyBowers/status/1233434031053852674
,2020-02-28 16:49:15+00:00,,,1233433996207374336,,https://twitter.com/yeomalt/status/1233433996207374336,0,0,,https://oakbaystarfish.com/2020/02/21/border-wall-update-2/
meth enters the us through major ports of entry along the southwest border and is transported by tractor trailers and personal vehicles. what will change after spending big cash on a wall?,2020-02-28 16:48:56+00:00,,,1233433915672522752,,https://twitter.com/yeomalt/status/1233433915672522752,1,0,,
mexico will pay for a wall update: congress warns pentagon not to move money to fund trump wall,2020-02-28 16:47:00+00:00,,,1233433432052527104,,https://twitter.com/yeomalt/status/1233433432052527104,1,0,,https://www.ksat.com/news/politics/2020/02/26/congress-warns-pentagon-not-to-move-money-to-fund-trump-wall/?__vfz=medium%3Dsharebar
"""it’s time to leave afghanistan and iraq and stop engaging in undeclared wars and attempts to police the world."" defend the guard https://www.postregister.com/star/opinion/defend-the-guard/article_b1b940a4-9fc0-505a-b079-2d3662ca5fed.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via ",2020-02-28 16:41:51+00:00,,,1233432133365952512,@ThePostRegister,https://twitter.com/yeomalt/status/1233432133365952512,0,0,,https://www.postregister.com/star/opinion/defend-the-guard/article_b1b940a4-9fc0-505a-b079-2d3662ca5fed.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share
"the people of washington state need services in thailand: thailand, us strengthen partnership with humanitarian civic action http://www.army.mil/article/233115/thailand_us_strengthen_partnership_with_humanitarian_civic_action",2020-02-28 16:38:54+00:00,,,1233431391318077440,,https://twitter.com/yeomalt/status/1233431391318077440,0,0,,http://www.army.mil/article/233115/thailand_us_strengthen_partnership_with_humanitarian_civic_action
“virtually all methamphetamine in the united states comes through major ports of entry along the southwest border and is transported by tractor trailers and personal vehicles along the nation’s highways to major transfer centers around the country.” https://oakbaystarfish.com/2020/02/21/border-wall-update-2/,2020-02-28 16:32:47+00:00,,,1233429850829967360,,https://twitter.com/yeomalt/status/1233429850829967360,0,0,,https://oakbaystarfish.com/2020/02/21/border-wall-update-2/
"mexico will pay for a wall update: governors' group opposes diverting national guard, reserve funds to build border wall",2020-02-28 16:31:12+00:00,,,1233429455919468544,,https://twitter.com/yeomalt/status/1233429455919468544,1,0,,https://www.military.com/daily-news/2020/02/26/governors-group-opposes-diverting-national-guard-reserve-funds-build-border-wall.html
,2020-02-28 16:25:40+00:00,,,1233428060109561856,,https://twitter.com/yeomalt/status/1233428060109561856,0,0,,https://oakbaystarfish.com/2020/02/25/emotion-and-misunderstanding/
suspicionless bus boardings- away from border crossings and ports of entry: rochester advocates and local officials celebrate greyhound limiting border patrol on buses,2020-02-28 16:24:52+00:00,,,1233427860993347584,,https://twitter.com/yeomalt/status/1233427860993347584,1,0,,http://www.tinyurl.com/qp3ovyx
and this:,2020-02-28 16:18:49+00:00,,,1233426336309374977,,https://twitter.com/yeomalt/status/1233426336309374977,0,0,,https://fox11online.com/news/military/local-army-recruits-to-be-sworn-in-from-space
this is what we get:,2020-02-28 16:10:26+00:00,,,1233424226285015042,,https://twitter.com/yeomalt/status/1233424226285015042,1,0,,https://www.nbcmiami.com/news/national-international/military-dad-surprises-sons-at-dublin-school-after-year-long-deployment/2197911/?_osource=SocialFlowTwt_MIBrand
"""wars are rarely covered critically in the mainstream media..."" stamping out war https://bracingviews.com/2020/02/28/stamping-out-war/ via ",2020-02-28 16:09:16+00:00,,,1233423935963713537,@wordpressdotcom,https://twitter.com/yeomalt/status/1233423935963713537,1,0,,https://bracingviews.com/2020/02/28/stamping-out-war/
puget sound area newspeople play along by not asking questions:,2020-02-28 15:54:51+00:00,,,1233420305919430656,,https://twitter.com/yeomalt/status/1233420305919430656,0,0,,https://oakbaystarfish.com/2019/10/28/drowning-in-meth/
"us troops at the border, el chapo takedown, opioid lawsuits, real id, homeland security grant money, cbp social media posts, strict post 911 security protocols and a $40.6 billion us dept. of homeland security fail to keep meth & heroin out of wa: https://www.nbcrightnow.com/news/yakima-man-sentenced-to-years-in-prison-after-dea-seizes/article_379d5e6e-599b-11ea-ad7d-f78e790c28ef.html?",2020-02-28 15:53:48+00:00,,,1233420041208467456,,https://twitter.com/yeomalt/status/1233420041208467456,1,0,,https://www.nbcrightnow.com/news/yakima-man-sentenced-to-years-in-prison-after-dea-seizes/article_379d5e6e-599b-11ea-ad7d-f78e790c28ef.html
