text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"an earlier version of this week's covid-19 schedule incorrectly listed a testing site on saturday, aug 1. please note the new, accurate schedule. our sincere apologies for any confusion this may have caused. for the full list visit https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city covid coronavirus",2020-07-27 20:11:25+00:00,,#COVID #coronavirus,1287843053940637696,,https://twitter.com/BMore_Healthy/status/1287843053940637696,0,22,,https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city
,2020-07-27 15:05:12+00:00,,,1287765990344929281,,https://twitter.com/BMore_Healthy/status/1287765990344929281,0,3,,
,2020-07-27 15:05:11+00:00,,,1287765986909868034,,https://twitter.com/BMore_Healthy/status/1287765986909868034,1,3,,
questions about the baltimore mask order? visit our website at https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders and check out our graphics! maskup psa coronavirusbalt,2020-07-27 15:05:10+00:00,,#MaskUp #PSA #coronavirusbalt,1287765983168536581,,https://twitter.com/BMore_Healthy/status/1287765983168536581,3,21,,https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders
"code red extreme heat alert issued for monday, july 27th and tuesday, july 28th baltimore codered extremeheat psa",2020-07-26 20:49:49+00:00,,#Baltimore #CodeRed #ExtremeHeat #PSA,1287490329579589634,,https://twitter.com/BMore_Healthy/status/1287490329579589634,1,9,,https://health.baltimorecity.gov/news/press-releases/2020-07-26-health-commissioner-declares-code-red-extreme-heat-alert-monday-and
faq at,2020-07-24 20:12:43+00:00,,,1286756218221076487,,https://twitter.com/BMore_Healthy/status/1286756218221076487,0,0,BMore_Healthy,https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders
"great question! this is an expansion of the md mask order (masks on public transport, certain public spaces, restaurants, and in retail establishments). this new health order means if you are around other people, for any reason, in any setting, you should be wearing a covering.",2020-07-24 20:12:11+00:00,,,1286756083076390912,,https://twitter.com/BMore_Healthy/status/1286756083076390912,1,0,jsonbecker,
"sorry for the delay folks, we've put together an faq document that hopefully answers your questions at https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders",2020-07-24 19:44:22+00:00,,,1286749080178372608,,https://twitter.com/BMore_Healthy/status/1286749080178372608,0,1,indivisible410,https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders
"due to the high chance of thunderstorms, the baltimore city health department will not be performing covid-19 testing at the church of the redeemed of the lord tomorrow. the baltimore convention center will still be open between 8:00am-2:00pm for testing.",2020-07-23 23:06:13+00:00,,,1286437491713638400,,https://twitter.com/BMore_Healthy/status/1286437491713638400,0,5,,
"hey baltimore! wondering when to wear a face-covering? check out our simple guide, and learn more at https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders",2020-07-23 22:00:42+00:00,,,1286421005062344715,,https://twitter.com/BMore_Healthy/status/1286421005062344715,4,47,,https://coronavirus.baltimorecity.gov/frequently-asked-questions-about-baltimore-covid-19-executive-orders
,2020-07-22 16:23:19+00:00,,,1285973708709015553,,https://twitter.com/BMore_Healthy/status/1285973708709015553,0,5,,https://health.baltimorecity.gov/news/press-releases/2020-07-22-health-commissioner-extends-code-red-extreme-heat-alert-through
"7/21/2020 name of facility: ammic's, inc address: 231 s. high st., 21202 reason for closure: no hot water in kitchen, improper cold holding temperatures, and improper hand washing",2020-07-21 22:27:35+00:00,,,1285702995368345602,,https://twitter.com/BMore_Healthy/status/1285702995368345602,0,0,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
"check out the schedule for free, health department covid-19 testing sites in baltimore this week! due to the extreme heat, be sure to bring a bottle of water and wear loose-fitting clothing. for a full list of locations, or to schedule a test, visit https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city",2020-07-20 21:34:25+00:00,,,1285327227203334148,,https://twitter.com/BMore_Healthy/status/1285327227203334148,5,28,,https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city
,2020-07-19 16:42:29+00:00,,,1284891369144758272,,https://twitter.com/BMore_Healthy/status/1284891369144758272,0,8,,
,2020-07-19 16:42:28+00:00,,,1284891367794266113,,https://twitter.com/BMore_Healthy/status/1284891367794266113,1,7,,
"we have issued a code red extreme heat alert for baltimore over the next few days. stay indoors, drink plenty of water, and consider a city cooling center monday-friday if you cannot cool off at home. for more info, visit https://health.baltimorecity.gov/coderedinfo",2020-07-19 16:42:28+00:00,,,1284891366288490496,,https://twitter.com/BMore_Healthy/status/1284891366288490496,1,15,,https://health.baltimorecity.gov/coderedinfo
"health commissioner declares code red extreme heat alert for sunday, july 19th through wednesday, july 22nd",2020-07-17 18:32:09+00:00,,,1284194192680525824,,https://twitter.com/BMore_Healthy/status/1284194192680525824,0,11,,https://health.baltimorecity.gov/news/bmore-healthy-blog/2020-7-17/Code-red
"the wic site at bon secours is temporarily shifting services to the wic sites at edmondson ave and mondawmin mall. for more information, please visit our updated website at https://health.baltimorecity.gov/node/171 or call 410-396-9427",2020-07-17 16:44:57+00:00,,,1284167215928016896,,https://twitter.com/BMore_Healthy/status/1284167215928016896,0,3,,https://health.baltimorecity.gov/node/171
"we've received thousands of requests for ac units, and unfortunately have run out. however, we still have free fans for older adults (55+) and those with disabilities! see our curbside pickup schedule below. beattheheat",2020-07-16 17:37:04+00:00,,#BeatTheHeat,1283817944791818241,,https://twitter.com/BMore_Healthy/status/1283817944791818241,0,21,,
our division of aging and  have partnered to distribute free fans to older adults (55+) and adults with disabilities in baltimore! call 410-396-care (2273) to request a fan and beattheheat this summer!,2020-07-15 15:04:19+00:00,,#BeatTheHeat,1283417114922176513,@CivicWorksInc,https://twitter.com/BMore_Healthy/status/1283417114922176513,0,12,,
"due to inclement weather, our mobile testing site at iglesia de la resurreccion, 2900 e fayette st, has closed early today. covid19 coronavirusbalt",2020-07-10 14:53:29+00:00,,#covid19 #coronavirusbalt,1281602447375507456,,https://twitter.com/BMore_Healthy/status/1281602447375507456,0,0,,
there are several places in baltimore you could get a free covid19 test this morning- no doctor's referral required! visit https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city for a full list and to schedule an appointment! coronavirusbalt,2020-07-09 13:51:30+00:00,,#Baltimore #free #COVID19 #coronavirusbalt,1281224460964691970,,https://twitter.com/BMore_Healthy/status/1281224460964691970,2,20,,https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city
"looking for a covid__19 test? these health department testing sites do not require a doctor's referral, and are operating this week in baltimore! to set up an appointment, and for a longer list of locations, visit",2020-07-09 13:10:14+00:00,,#COVID__19 #Baltimore,1281214075758837760,,https://twitter.com/BMore_Healthy/status/1281214075758837760,0,7,,https://coronavirus.baltimorecity.gov/where-get-tested-covid-19-baltimore-city
"7/8/2020 name of facility: good fortune restaurant address: 22o2 e. monument st., 21205",2020-07-08 20:27:23+00:00,,,1280961703338020867,,https://twitter.com/BMore_Healthy/status/1280961703338020867,0,1,,https://health.baltimorecity.gov/environmental-health/recent-food-establishment-closures
