text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
continued use happens both if a person is doing well or if they are struggling. it can serve as a learning opportunity to identify triggers and to find ways to address it in the future.,2020-07-30 18:33:17+00:00,,,1288905520796049411,,https://twitter.com/BattlingOpioids/status/1288905520796049411,0,2,,
rt padcednews: there's power in numbers. take the 2020census today and make sure pacounts! https://my2020census.gov/,2020-07-30 13:33:31+00:00,,#2020Census #PAcounts,1288830080148545536,,https://twitter.com/BattlingOpioids/status/1288830080148545536,0,0,,https://my2020census.gov/
you are not alone. sud treatment/resources: 1-800-662-help crisis text line: text pa to 741-741 pahumanservices support + referral helpline: 855-284-2494,2020-07-30 12:33:05+00:00,,,1288814872462086144,,https://twitter.com/BattlingOpioids/status/1288814872462086144,0,0,,https://www.nytimes.com/2020/07/28/smarter-living/coronavirus-how-to-check-in-with-a-friend.html
michael johns thank you for following me!!,2020-07-29 23:58:02+00:00,,,1288624860906872838,,https://twitter.com/BattlingOpioids/status/1288624860906872838,0,0,,
"rt toendaddiction: if your loved one expresses even a little willingness to start getting help — whether it’s attending an aa or na meeting, or getting a treatment consultation — it can be all the invitation you need to begin the conversation. learn m…",2020-07-29 19:33:07+00:00,,#treatment,1288558191450693632,,https://twitter.com/BattlingOpioids/status/1288558191450693632,0,1,,https://drugfree.org/article/suggesting-treatment/
"if you are struggling with a substance use disorder, help is available. the get help now hotline is a confidential, 24/7 treatment and information service for individuals and families. call 1-800-662-help.",2020-07-29 13:33:06+00:00,,,1288467588192907264,,https://twitter.com/BattlingOpioids/status/1288467588192907264,0,0,,
"rt governortomwolf: masks are required in public spaces in pennsylvania. we can get covid19 under control if we collectively take it seriously. wear masks, social distance, and stop the spread. maskuppa",2020-07-29 12:33:17+00:00,,#COVID19 #MaskUpPA,1288452536521953281,,https://twitter.com/BattlingOpioids/status/1288452536521953281,0,0,,
"global non-opioid pain relief device market fastest growth during the forecast period 2020-2027 http://ow.ly/1yxn50ajnyf recovery starts with a call, call 1-800-662-help or visit http://battlingopioids.org battlingopioids opioids addiction pain opioidaddiction opioidcrisis pa",2020-07-29 11:20:10+00:00,,#battlingopioids #opioids #Addiction #pain #opioidaddiction #OpioidCrisis #PA,1288434134394777601,,https://twitter.com/BattlingOpioids/status/1288434134394777601,0,0,,"http://ow.ly/1YXn50AJnYF,http://battlingopioids.org"
"rt pahealthdept: ""i have no room in my heart for hatred and frankly, i do not have time for intolerance."" today secretarylevine addressed the transphobic comments directed towards the lgbtq community in pennsylvania. read her full remarks: …",2020-07-29 00:33:11+00:00,,,1288271316156583936,,https://twitter.com/BattlingOpioids/status/1288271316156583936,0,0,,
"covid-19 and opioids, two merging epidemics https://ift.tt/2x56jgn https://ift.tt/2x8lpa2",2020-07-28 23:39:18+00:00,,,1288257756781314051,,https://twitter.com/BattlingOpioids/status/1288257756781314051,0,0,,"https://ift.tt/2X56jGN,https://ift.tt/2X8Lpa2"
"covid-19 and opioids, two merging epidemics",2020-07-28 23:20:07+00:00,,,1288252926931214342,,https://twitter.com/BattlingOpioids/status/1288252926931214342,0,0,,http://ow.ly/g4rO50AJnTY
"rt pahealthdept: wondering whether or not to go out of the house during covid19 to do daily activities? to help you determine your level of risk, answer these questions from cdcgov about ""deciding to go out"": https://bit.ly/2crkj8f",2020-07-28 18:33:07+00:00,,#COVID19,1288180704778608647,,https://twitter.com/BattlingOpioids/status/1288180704778608647,0,0,,https://bit.ly/2CrKJ8F
rt pahumanservices: if you or someone you love is struggling padrugalcohol is here to help! the alcohol referral tool is available online → http://bit.ly/padareferral resources include age/county-specific info and resources for: finding treatment …,2020-07-28 18:33:07+00:00,,,1288180702375292930,,https://twitter.com/BattlingOpioids/status/1288180702375292930,0,0,,http://bit.ly/PADAreferral
"as we battle an epidemic in the midst of pandemic it is important for people to know that drug and alcohol treatment providers are still operating, and help is available. call 1-800-662-help.",2020-07-28 17:33:01+00:00,,,1288165577425596417,,https://twitter.com/BattlingOpioids/status/1288165577425596417,0,1,PAHealthDept,https://twitter.com/PAHealthDept/status/1288129844350529539
"rt pahealthdept: preliminary 2019 overdose death data shows ~1% decrease across the state when compared to 2018, with 4,348 deaths in pennsylvania. this represents a decrease of more than 19% since 2017, when the opioid command center was established. …",2020-07-28 15:33:12+00:00,,,1288135426100928513,,https://twitter.com/BattlingOpioids/status/1288135426100928513,0,0,,
remember to keep your recovery a priority during these uncertain times. available resources: online meetings telephone meetings chat forums mobile apps,2020-07-28 12:33:08+00:00,,,1288090108307152897,,https://twitter.com/BattlingOpioids/status/1288090108307152897,0,0,,https://www.ddap.pa.gov/Get%20Help%20Now/Pages/COVID-19-Information-for-Individuals.aspx
"how to save a life: edmonton paramedic pens guide to treating opioid overdoses https://ift.tt/2dgoks8 recovery starts with a call, call 1-800-662-help or visit http://battlingopioids.org battlingopioids opioids addiction pain drugs opioidaddiction … https://ift.tt/2bbjgrg",2020-07-28 11:39:27+00:00,,#battlingopioids #opioids #Addiction #pain #drugs #opioidaddiction,1288076598428798977,,https://twitter.com/BattlingOpioids/status/1288076598428798977,0,0,,"https://ift.tt/2DgoKS8,http://battlingopioids.org,https://ift.tt/2BBjgRg"
"how to save a life: edmonton paramedic pens guide to treating opioid overdoses http://ow.ly/zns550ajnqe recovery starts with a call, call 1-800-662-help or visit http://battlingopioids.org battlingopioids opioids addiction pain drugs opioidaddiction opioidcrisis pa",2020-07-28 11:20:08+00:00,,#battlingopioids #opioids #Addiction #pain #drugs #opioidaddiction #OpioidCrisis #PA,1288071737977057280,,https://twitter.com/BattlingOpioids/status/1288071737977057280,0,0,,"http://ow.ly/zNs550AJnQe,http://battlingopioids.org"
