text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
wth  will not allow me to cancel their service? whats up?,2020-07-30 22:51:03+00:00,,,1288970390023225345,@hulu,https://twitter.com/CContrarus/status/1288970390023225345,0,0,,
absolutely-old hairdresser here. strippers are to take away build-up from certain shampoos (like balsam) & other waxy products. some strip colors too!,2020-07-30 21:50:27+00:00,,,1288955140947341312,,https://twitter.com/CContrarus/status/1288955140947341312,0,0,SpicyPurritos,
"it was to shame people into silence. yes, it was a hurtful article. pps who have never uttered a bad word about the rest of the pain com. pps who have treated parents who lost children to heroin w/ respect & simple ?s. none of them answered yet we were ""attacking"" the bereaved?",2020-07-30 21:45:36+00:00,,,1288953919809282048,,https://twitter.com/CContrarus/status/1288953919809282048,1,0,CIAAG_Lauren,
they are. people refusing to wear masks will keep our economy closed forever. put on a mask-stop going out w/o one. stop spreading your germs onto everyone you come in contact with. if you refuse just stay home.,2020-07-30 21:34:02+00:00,,,1288951009717317632,,https://twitter.com/CContrarus/status/1288951009717317632,1,0,NickCarlin6,
"this veteran was a pain patient. all the surgeries should speak to his levels of pain. his ""addiction"" was a ruse imo. the va has been torturing these vets in pain since 2014 how long will we allow these deaths? someone has to speak for these dead that suffered such cruelty.",2020-07-30 21:20:50+00:00,,,1288947687883042817,,https://twitter.com/CContrarus/status/1288947687883042817,1,1,JSG_54,
"wow. if you haven't watched ""cloud atlas"" watch it.",2020-07-30 21:13:39+00:00,,,1288945877856317440,,https://twitter.com/CContrarus/status/1288945877856317440,1,1,,
"relax anyone that has their guns out waiting for antifa to storm your neighborhood. but? you might keep an eye out for that confederate flag waving misogynist, immigrant hating, antisemite ""patriot"" down the block?",2020-07-30 16:34:08+00:00,,,1288875533594320899,,https://twitter.com/CContrarus/status/1288875533594320899,0,0,,https://www.theguardian.com/world/2020/jul/27/us-rightwing-extremists-attacks-deaths-database-leftwing-antifa?fbclid=IwAR1fqBwmuZ51ZyxdZWKL6yelshX18aF2IaIVp1sCdZprsh73jiZrwXipkdM
"attacking the press physically was a predictable next step from the verbal attacks that have gone on for 3 years. yet? every time he does what he says he wanted to do we are surprised. expect his threats to be realized by the ""federal force"". breaking the law & disorder.",2020-07-30 02:19:10+00:00,,,1288660374464544768,,https://twitter.com/CContrarus/status/1288660374464544768,1,0,NickCarlin6,
whip out a comb & go for the slicked-back plastered down pure bitch look!,2020-07-30 02:01:08+00:00,,,1288655838308007936,,https://twitter.com/CContrarus/status/1288655838308007936,0,0,LauraSavino747,
"it's apparent that anyone who disagrees w/ their ""multi-modal, new pain paradigm, limited opiates"" strategy is an enemy that must be shamed & silenced. i don't agree w/ their strategy either. i want access to the meds that gave me qol. that didn't make anyone rich, however.",2020-07-30 01:52:59+00:00,,,1288653787775655936,,https://twitter.com/CContrarus/status/1288653787775655936,1,0,CIAAG_Lauren,
it sounded like projection  lauren. on you w/ the rest of the pain community thrown in as a fair warning to us all. it was nasty. shaming &amp; it was intended to alarm sick disabled people already struggling w/ so many issues. no 1 needs that. they fight dirty.,2020-07-30 01:37:17+00:00,,,1288649837513121793,@CIAAG_Lauren,https://twitter.com/CContrarus/status/1288649837513121793,1,0,CIAAG_Lauren,
that's the spirit-they belong sleeping under that freeway underpass that you drive through weekly! make the suburbs great again right?,2020-07-30 01:25:50+00:00,,,1288646954105200640,,https://twitter.com/CContrarus/status/1288646954105200640,0,0,real_defender,
"yes- when your sick it is difficult to stage a good battle against dismissive attitudes. in the pain community, we 've gone 3 years of fighting for the restoration of our pain meds. from our beds! it's a terrible thing to do to people.",2020-07-30 00:23:25+00:00,,,1288631247510466561,,https://twitter.com/CContrarus/status/1288631247510466561,0,0,jenbrea,
"a friend & i were talking this morning. neither of us likes the idea of locking people up. however, we both recognize there are people who are dangerous to others. the only reason to imprison a person. pedophiles fit that definition!",2020-07-30 00:12:31+00:00,,,1288628504112689152,,https://twitter.com/CContrarus/status/1288628504112689152,1,0,woutgorge,
that's the 1 i used. i did it very early before w/ 1st light & coffee.,2020-07-30 00:09:35+00:00,,,1288627765181259776,,https://twitter.com/CContrarus/status/1288627765181259776,0,0,Angelsgal02,
"haven't seen you say anything the least bit offensive az. please don't buy into the shame of that article. never seen your argue or fight w/ anyone! the ""division"" is them projecting division from people who have left the pain community. it's not you! it's not us. you're polite",2020-07-30 00:06:56+00:00,,,1288627097926135810,,https://twitter.com/CContrarus/status/1288627097926135810,0,0,LilacZebra,
thank you pam  i like to think i can listen to everyone &amp; make up my own mind! i don't want my information censored. it's a bad road to start down.,2020-07-29 23:54:47+00:00,,,1288624042426023936,@djsjrb,https://twitter.com/CContrarus/status/1288624042426023936,0,0,djsjrb,
poor baby. i'm so sorry people are making her feel that way. i need to get back to that article on shaming pain patients. it's easy for anyone with more power to induce shame yet most people are too kind to inflict it! she should never have had to feel that for being in pain!,2020-07-29 23:52:09+00:00,,,1288623377079578624,,https://twitter.com/CContrarus/status/1288623377079578624,1,0,purplemamabear,
that was the intent of that headline. don't bow your head it's always best to have your opposition desperate. don't know anyone who has done any of the things he was writing about. this comm. seems supportive & people are nice to each other! that piece was intentional shaming.,2020-07-29 23:47:00+00:00,,,1288622080544534529,,https://twitter.com/CContrarus/status/1288622080544534529,0,0,LilacZebra,
i love blue hair! my daughter always dyed hers blue in the 90s for raves! it looks a little ratty sweetie. a comb would help-is it wet?,2020-07-29 23:41:07+00:00,,,1288620601830072321,,https://twitter.com/CContrarus/status/1288620601830072321,3,0,HeatherLinda11,
"""before it's too late"" in the title of the pnn art, is a nice touch of panic-inducing writing. before it's too late for what? losing my pain meds? that's already happened. how you view me while i suffer is not a concern. i'm blissfully unaware of the rancor that's so prevalent?",2020-07-29 20:46:26+00:00,,,1288576641170472960,,https://twitter.com/CContrarus/status/1288576641170472960,3,5,,
"wasn't going to say anything about the pnn article from 2 days ago. yet- i'm writing an article about ""shame & pain"". the pnn article is an excellent example of how people w/ pain are shamed into silence. i almost bought into it? ",2020-07-29 20:24:23+00:00,,,1288571091087048704,,https://twitter.com/CContrarus/status/1288571091087048704,0,2,,
"those are some of the worst headaches. yeah, waiting too long to take our meds happens too often these days.",2020-07-29 20:14:40+00:00,,,1288568648529874944,,https://twitter.com/CContrarus/status/1288568648529874944,1,0,Wanita1,
yep. darn it. i thought about suicide daily for years during & since that taper. refuse to have a weapon in my home bc of that being an option at some point. many people will get to that point!,2020-07-29 19:36:16+00:00,,,1288558982789914624,,https://twitter.com/CContrarus/status/1288558982789914624,0,0,NickCarlin6,
"me too! they seem to just look at me x after x & say- ""well, yeah, that's normal for someone in pain."" that is not a safe- not a livable bp. if rx for the pain & the bp follows! i don't understand how medical professionals can be that cavalier about hbp?",2020-07-29 19:34:11+00:00,,,1288558457533026305,,https://twitter.com/CContrarus/status/1288558457533026305,0,0,chattyknana,
"omgosh! she was like that & there was no pain relief involved either? i'm so sorry she has been through that. that has to be scary to watch, too! that's not pain management. there is something badly wrong w/ the entire pain industry right now- we all know it.",2020-07-29 19:25:58+00:00,,,1288556392530419712,,https://twitter.com/CContrarus/status/1288556392530419712,1,1,purplemamabear,
this is so upsetting! how many are wondering if he was an addict or a pp w/dawn for all of his meds?,2020-07-29 19:16:35+00:00,,,1288554028788412416,,https://twitter.com/CContrarus/status/1288554028788412416,1,0,TheDarkGift_,
i'm sorry michelle  . feel like i've been in 1 kind of w/dal or another for years. failed to tolerate the last step down of pregabalin. feel like a failure. i'll try again in a month or 2. good luck. w/dals are hard. what are you detoxing? dm if you need to talk!,2020-07-29 18:57:59+00:00,,,1288549348238753792,@1baldchick,https://twitter.com/CContrarus/status/1288549348238753792,2,0,1baldchick,
"would you please define ""out of it"". honestly, i am curious about the effects of suboxone. did your daughter ever adjust to it? was ""out of it"" then the state of consciousness she was expected to learn to tolerate?",2020-07-29 18:51:47+00:00,,,1288547788620353536,,https://twitter.com/CContrarus/status/1288547788620353536,1,1,purplemamabear,
we need the option to make some of our own decisions around the medicine we take. the set amount-always at 30 days-leaves no room for any personal evaluation. it leaves most of us in constant pain. there's no room for anything when that's the reality we face daily.,2020-07-29 18:35:22+00:00,,,1288543657490972672,,https://twitter.com/CContrarus/status/1288543657490972672,3,3,Wanita1,
"well written & well balanced for a change. wow, that was refreshing to read!",2020-07-29 18:05:28+00:00,,,1288536131806433281,,https://twitter.com/CContrarus/status/1288536131806433281,0,0,Irishbrat1966,
oh gg! anything to invalidate pps.,2020-07-29 17:36:10+00:00,,,1288528758681374720,,https://twitter.com/CContrarus/status/1288528758681374720,0,0,CIAAG_Lauren,
this might be 1 of the few decent articles i've read in phycology today!,2020-07-29 17:34:19+00:00,,,1288528295340814337,,https://twitter.com/CContrarus/status/1288528295340814337,1,1,Irishbrat1966,
wow- the author is adjunct faculty at stanford!,2020-07-29 14:07:29+00:00,,,1288476240286949378,,https://twitter.com/CContrarus/status/1288476240286949378,0,0,Irishbrat1966,
thank you!,2020-07-29 13:58:58+00:00,,,1288474099950338053,,https://twitter.com/CContrarus/status/1288474099950338053,0,0,Irishbrat1966,
"90 mme needs to be tossed-completely. it's equivalent to saying every diabetic can ""get along fine"" on a fixed dosage of insulin. standardization will never work in medical care. not in any specialty or circumstance. people have variable metabolisms.",2020-07-29 13:58:29+00:00,,,1288473977732489217,,https://twitter.com/CContrarus/status/1288473977732489217,1,7,Wanita1,
do you have a link to this article?,2020-07-29 13:49:26+00:00,,,1288471699038466049,,https://twitter.com/CContrarus/status/1288471699038466049,2,1,Angelsgal02,
that guy! that guy is a paid right-wing agitator.,2020-07-29 13:44:04+00:00,,,1288470347394629632,,https://twitter.com/CContrarus/status/1288470347394629632,0,0,JaneGI309,
"there's no end to what i don't know? stopped my beta-blockers bc my bp was too low. feel shaky 2 days w/o. looked it up! ""if you take beta-blockers regularly, you may have serious withdrawal symptoms if you suddenly stop."" am i the only person who didn't know this?",2020-07-29 13:39:12+00:00,,,1288469122905300992,,https://twitter.com/CContrarus/status/1288469122905300992,9,0,,
thanks that was a while ago! suspect the same thing! politic's have never created good medical care & the pharma industry is well aware of who owns what. they spend millions on lobbyists every year. ses? isn't that why we have a choice of meds? idiosyncrasies.,2020-07-29 13:31:25+00:00,,,1288467167327870976,,https://twitter.com/CContrarus/status/1288467167327870976,0,0,urbanfatbiker,
oh gosh wanita! is light bothering you? headaches are some of the worst pain. ice & meds are only relief w/ a bad one. hope it leaves soon. no temperature? that neck pain is so nasty.,2020-07-29 13:23:06+00:00,,,1288465071614509060,,https://twitter.com/CContrarus/status/1288465071614509060,2,1,Wanita1,
"agree deb. after reading bs articles-get discouraged. yet, we have to keep it going. not just for ourselves/ for every 1. really feel for the new pps that have never had good pain coverage. remember being that new pp. never was good at taking a break. need to do it more often.",2020-07-29 13:16:06+00:00,,,1288463309121806337,,https://twitter.com/CContrarus/status/1288463309121806337,1,0,debg_deb,
exactly. never watched the clock until there weren't enough pms. i hope you find what you need also! thank you!,2020-07-29 13:01:10+00:00,,,1288459552673824771,,https://twitter.com/CContrarus/status/1288459552673824771,2,1,Wanita1,
ya know what? i don't know which remark you're speaking to! i wish i could see the tweet you're replying to! might be able to respond re accurately!,2020-07-29 12:57:10+00:00,,,1288458544224714752,,https://twitter.com/CContrarus/status/1288458544224714752,2,0,urbanfatbiker,
it's okay to say how hard you worked urban!,2020-07-29 12:54:38+00:00,,,1288457906862473219,,https://twitter.com/CContrarus/status/1288457906862473219,1,0,urbanfatbiker,
