text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"as drive-throughs and curb-side food pickups have become the norm during this time of covid-19, it’s important to make sure these practices are conducted safely. here’s a short video from the  on safe pickup and drive-through practices https://twitter.com/osha_dol/status/1288164429146841088",2020-07-30 20:15:00+00:00,,,1288931117773586432,@OSHA_DOL,https://twitter.com/CTDCP/status/1288931117773586432,0,0,,https://twitter.com/OSHA_DOL/status/1288164429146841088
looking to assist your fellow community members in the state of connecticut in response to covid-19? visit https://portal.ct.gov/coronavirus/help-others to find out what you can do to help others.,2020-07-30 18:30:00+00:00,,,1288904694543327233,,https://twitter.com/CTDCP/status/1288904694543327233,0,0,,https://portal.ct.gov/Coronavirus/Help-Others
"when you see something say something. when you spot a scam, report it to the  at https://www.ftccomplaintassistant.gov/?hss_channel=tw-14074515crnt&amp;panel1-1",2020-07-30 16:15:00+00:00,,,1288870719972093952,@FTC,https://twitter.com/CTDCP/status/1288870719972093952,0,0,,https://www.ftccomplaintassistant.gov/?hss_channel=tw-14074515#crnt&panel1-1
"the cfa director of consumer protection and privacy says, “the public education that state and local consumer agencies provide is crucial for preventing fraud and abuse.” to learn more visit https://consumerfed.org/consumer-information/ and to report fraud and scams in ct visit dcp.complaints.gov",2020-07-30 14:45:00+00:00,,,1288848070399135745,,https://twitter.com/CTDCP/status/1288848070399135745,0,0,,https://consumerfed.org/consumer-information/
"in their recent report the consumer federation of america found that in 2019 the most frequent consumer complaints regarded vehicles, home improvement, and retail sales. to learn more and find out what else is frequently reported, visit https://consumerfed.org/press_release/nations-top-consumer-complaints-2019/",2020-07-30 13:30:00+00:00,,,1288829198128250881,,https://twitter.com/CTDCP/status/1288829198128250881,0,0,,https://consumerfed.org/press_release/nations-top-consumer-complaints-2019/
depression and anxiety are two of the most-searched mental health conditions online. as we all battle through this time of covid-19 it’s important to learn how to spot signs of struggle so you can tell when it's time to take action. visit https://www.cdc.gov/mentalhealth/learn/index.htm?utm_source=twitter&amp;utm_medium=twitter&amp;utm_content=100001413619008&amp;utm_campaign=evergreen/always+on&amp;linkid=100000013743583 to learn how,2020-07-29 20:30:00+00:00,,,1288572505326620672,,https://twitter.com/CTDCP/status/1288572505326620672,0,0,,https://www.cdc.gov/mentalhealth/learn/index.htm?utm_source=TWITTER&utm_medium=TWITTER&utm_content=100001413619008&utm_campaign=Evergreen/Always+on&linkId=100000013743583
"unfortunately, hurricane season is just beginning- visit the link below to learn about some important tips from the connecticut division of emergency management and homeland security (dems) on how to stay safe this hurricane season. https://portal.ct.gov/demhs/emergency-management/resources-for-individuals/hurricane-season-preparedness/hurricane-season-preparedness",2020-07-29 18:15:00+00:00,,,1288538530587774979,,https://twitter.com/CTDCP/status/1288538530587774979,0,0,,https://portal.ct.gov/DEMHS/Emergency-Management/Resources-For-Individuals/Hurricane-Season-Preparedness/Hurricane-Season-Preparedness
worried about falling victim to a covid-19 related scam? check out these videos from the  for tips on spotting the scams and keeping your money and personal information safe,2020-07-29 15:45:00+00:00,,,1288500782266900482,@FTC,https://twitter.com/CTDCP/status/1288500782266900482,0,0,,https://www.consumer.ftc.gov/blog/2020/07/keep-calm-and-avoid-coronavirus-scams
"if you’re still waiting for an economic impact payment, the  urges you to go through your mail carefully. prepaid debit cards are being sent in plain envelopes from money network cardholder services. visit https://www.eipcard.com/ to learn more.",2020-07-29 13:45:00+00:00,,,1288470582812606464,@IRSnews,https://twitter.com/CTDCP/status/1288470582812606464,0,0,,https://www.eipcard.com/
"during this difficult time, those who serve as financial caregivers for older adults or people with disabilities may have unique worries and challenges. here's some help from the ",2020-07-28 20:45:00+00:00,,,1288213892129263618,@CFPB,https://twitter.com/CTDCP/status/1288213892129263618,0,0,,https://www.consumerfinance.gov/about-us/blog/tips-for-financial-caregivers-during-coronavirus-pandemic/
"are you in an area affected by a flood? be aware that standing flood waters can also spread infectious diseases, bring chemical hazards, and cause injuries. visit https://www.cdc.gov/nceh/features/flood-safety/index.html?cdc_aa_refval=https%3a%2f%2fwww.cdc.gov%2ffeatures%2fflood-safety%2findex.html to learn steps from the  you can take to protect yourself, your family, and your home.",2020-07-28 19:15:00+00:00,,,1288191242145132544,@CDCgov,https://twitter.com/CTDCP/status/1288191242145132544,0,0,,https://www.cdc.gov/nceh/features/flood-safety/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Ffeatures%2Fflood-safety%2Findex.html
"most people only call a locksmith when they are desperate for help. that means it’s easy to overlook red flags and fall prey to a scammer. by getting to know the signs of a locksmith scam ahead of time, you can avoid any trouble. visit https://www.bbb.org/article/news-releases/22797-bbb-scam-alert-locked-out-dont-fall-for-a-locksmith-cons to learn more.",2020-07-28 17:45:00+00:00,,,1288168593272832000,,https://twitter.com/CTDCP/status/1288168593272832000,0,0,,https://www.bbb.org/article/news-releases/22797-bbb-scam-alert-locked-out-dont-fall-for-a-locksmith-cons
"watch out for scammers trying to steal your information and money using economic impact payments as cover. for more info from the  on how to protect your personal information and money from scammers, visit",2020-07-28 16:00:01+00:00,,,1288142174094123011,@IRSnews,https://twitter.com/CTDCP/status/1288142174094123011,0,0,,https://www.youtube.com/watch?v=pEAMB_sYezs&feature=youtu.be
looking to donate to a covid-19 relief charity? before donating visit the website of the organization to make sure your money is being used in the way you intend. visit https://www.consumerfinance.gov/about-us/blog/beware-coronavirus-related-scams/ to learn more.,2020-07-28 14:15:00+00:00,,,1288115745080188928,,https://twitter.com/CTDCP/status/1288115745080188928,0,1,,https://www.consumerfinance.gov/about-us/blog/beware-coronavirus-related-scams/
"looking to improve both your mental and physical health in this time of social distancing? hiking and walking outdoors is linked to health benefits for both the mind and body. make strides for your health today, visit https://www.cdc.gov/physicalactivity/walking/index.htm?utm_source=twitter&amp;utm_medium=twitter&amp;utm_content=100001411974405&amp;utm_campaign=short+to+mid-term&amp;linkid=100000013717695 to learn more",2020-07-27 20:30:00+00:00,,,1287847728567980037,,https://twitter.com/CTDCP/status/1287847728567980037,0,1,,https://www.cdc.gov/physicalactivity/walking/index.htm?utm_source=TWITTER&utm_medium=TWITTER&utm_content=100001411974405&utm_campaign=Short+to+Mid-Term&linkId=100000013717695
"keep up with the latest covid-19 scams, and learn how to avoid falling victim to scammers, by signing up for the 's consumer alerts. visit https://www.ftc.gov/stay-connected to learn more.",2020-07-27 18:00:00+00:00,,,1287809980163227648,@FTC,https://twitter.com/CTDCP/status/1287809980163227648,0,1,,https://www.ftc.gov/stay-connected
"with july being military consumer month, it’s important to raise awareness of scams targeted at military consumers. active military and veterans are often targeted by scammers. learn more in this infographic from the aba foundation and by visiting https://www.aba.com/news-research/research-analysis/financial-scams-targeting-military-consumers?utm_source=twitter&amp;utm_medium=org&amp;utm_campaign=foundation&amp;utm_content=tuesday_7.21.20",2020-07-27 15:45:00+00:00,,,1287776006607007744,,https://twitter.com/CTDCP/status/1287776006607007744,0,1,,https://www.aba.com/news-research/research-analysis/financial-scams-targeting-military-consumers?utm_source=twitter&utm_medium=org&utm_campaign=foundation&utm_content=tuesday_7.21.20
"if anyone calls, texts, or emails you about your economic impact payment (eip) card, don’t give them any personal or financial information. it’s a scam. if you have encountered such a scam report it to the  at http://ftc.gov/complaint.",2020-07-27 14:30:00+00:00,,,1287757133380030465,@FTC,https://twitter.com/CTDCP/status/1287757133380030465,0,0,,http://ftc.gov/complaint
the  recommends that people should move more and sit less by getting at least 150 minutes of aerobic physical activity every week. learn about physical activities you can do while social distancing by visiting https://www.cdc.gov/physicalactivity/how-to-be-physically-active-while-social-distancing.html,2020-07-26 20:45:00+00:00,,,1287489115873857539,@CDCgov,https://twitter.com/CTDCP/status/1287489115873857539,0,0,,https://www.cdc.gov/physicalactivity/how-to-be-physically-active-while-social-distancing.html
"as hurricane season begins, the  reminds us that it’s important for small business owners to be prepared and make a plan before a storm strikes. you can learn how by visiting https://www.sba.gov/business-guide/manage-your-business/prepare-emergencies",2020-07-26 18:15:00+00:00,,,1287451367058149379,@SBAgov,https://twitter.com/CTDCP/status/1287451367058149379,0,0,,https://www.sba.gov/business-guide/manage-your-business/prepare-emergencies
"according to the , online shopping remains the top covid-19-related complaint from consumers. check out these tips from the  on how to avoid being scammed https://www.consumer.ftc.gov/blog/2020/07/scams-online-sales-when-orders-dont-arrive",2020-07-26 16:30:00+00:00,,,1287424942842077185,@FTC @FTC,https://twitter.com/CTDCP/status/1287424942842077185,0,0,,https://www.consumer.ftc.gov/blog/2020/07/scams-online-sales-when-orders-dont-arrive
"if you’re at risk of missing a loan payment because of covid-19, you must proactively reach out to your lender to participate in a hardship program. learn more about hardship programs and how to deal with debt during covid-19 by visiting",2020-07-26 14:15:00+00:00,,,1287390969675964419,,https://twitter.com/CTDCP/status/1287390969675964419,0,0,,https://www.consumerfinance.gov/about-us/blog/coronavirus-and-dealing-debt-tips-help-ease-impact/
as childcare centers reopen; babies and toddlers require particular care and attention. read these recommendations from  to ensure that the developmental needs of babies and families are met during this time of covid-19.,2020-07-25 18:45:00+00:00,,,1287096528994263041,@ZEROTOTHREE,https://twitter.com/CTDCP/status/1287096528994263041,0,0,,
