text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
fave socially distant activity w fave peeps!,2020-07-30 18:57:16+00:00,,,1288911557921927168,,https://twitter.com/CandaceWinstea1/status/1288911557921927168,0,0,,
"it’s so transparently about $$over lives!! it’s like they took an (online, safe for them) course on how to disrespect faculty and staff with a special emphasis on magical thinking! ",2020-07-30 16:27:50+00:00,,,1288873950777192449,,https://twitter.com/CandaceWinstea1/status/1288873950777192449,1,0,Midd1998,
"we wear masks bc we care about our beautiful community and the people in it, and want to help however we can! my kids know that the more people wearing masks, the more it is normalized, the sooner we can return to school...",2020-07-30 15:19:06+00:00,,,1288856651311718400,,https://twitter.com/CandaceWinstea1/status/1288856651311718400,1,0,stanyoshinobu,
so important!! thank you!,2020-07-30 00:29:45+00:00,,,1288632841195069440,,https://twitter.com/CandaceWinstea1/status/1288632841195069440,0,0,DallasAugustine,https://twitter.com/DallasAugustine/status/1288627872190492672
"what can we (individuals) do?? i witness gaslighting re. ppe, lack of staff testing, lack of ability to isolate pts, & worry so much! we have  who proactively acquired more n95 but not getting to hospital staff bc hospital admin not made to care.",2020-07-29 20:24:57+00:00,,,1288571236751032320,@GavinNewsom,https://twitter.com/CandaceWinstea1/status/1288571236751032320,0,3,DrTomFrieden,
"holy shit, do you have a spy camera in our county?",2020-07-29 02:58:02+00:00,,,1288307770630893568,,https://twitter.com/CandaceWinstea1/status/1288307770630893568,0,0,AshleyShukait,
love it!! ,2020-07-29 02:55:22+00:00,,,1288307098351108096,,https://twitter.com/CandaceWinstea1/status/1288307098351108096,0,0,traceyh415,
hilarious and on point stan! scicomm at it's finest.,2020-07-28 16:45:50+00:00,,,1288153703594115072,,https://twitter.com/CandaceWinstea1/status/1288153703594115072,0,0,stanyoshinobu,https://twitter.com/stanyoshinobu/status/1288153455198998528
"also the power dynamic- telling the ever hopeful students: ""nope, not a basophil. nope. nope. nope. that's a lymphocyte."" and then finally wooooooooooot yep! i plant basophils for my favorite students to find, don't tell....",2020-07-28 16:44:40+00:00,,,1288153409351122944,,https://twitter.com/CandaceWinstea1/status/1288153409351122944,1,0,CandaceWinstea1,
"i love basophils. the mystery, the shock and awe when you finally find one in a blood smear. the confused look of students about your insane level of excitement..... ",2020-07-28 16:42:49+00:00,,,1288152944714510337,,https://twitter.com/CandaceWinstea1/status/1288152944714510337,1,0,Midd1998,
