text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
paul ryan is a traitor. he’s only *ambitous when it comes to treason,2020-07-30 13:49:35+00:00,,,1288834124212506625,,https://twitter.com/CynicalVision50/status/1288834124212506625,0,1,Susan_Hennessey,https://twitter.com/Susan_Hennessey/status/1288606551826202624
trump committed treason. there is no law he won’t break.,2020-07-30 13:16:10+00:00,,,1288825715274719232,,https://twitter.com/CynicalVision50/status/1288825715274719232,0,0,BeschlossDC,https://twitter.com/BeschlossDC/status/1288821568932642816
it’s called treason.,2020-07-30 04:26:36+00:00,,,1288692446768123904,,https://twitter.com/CynicalVision50/status/1288692446768123904,0,0,joshtpm,https://twitter.com/joshtpm/status/1288622798466953218
"ohhhyeah terrible. kamala harris is “too focused” and elizabeth warren is “too prepared, too organized” horrible attributes for a vp candidate. and these are *allies? “with friends like these...”",2020-07-29 21:11:14+00:00,,,1288582884245352448,,https://twitter.com/CynicalVision50/status/1288582884245352448,0,8,Politidope,https://twitter.com/Politidope/status/1288578544273108992
watta bunch of crap.,2020-07-29 21:03:43+00:00,,,1288580991280459781,,https://twitter.com/CynicalVision50/status/1288580991280459781,0,0,ravensspirit68,https://twitter.com/ravensspirit68/status/1288472200966582277
yummmm. tasty and functional.,2020-07-29 21:01:33+00:00,,,1288580447434354689,,https://twitter.com/CynicalVision50/status/1288580447434354689,0,0,_jena4n,https://twitter.com/_jena4n/status/1288579044230008833
"did you mean to say “scumbag traitor?-trump is an employee. his allegiance is to russia. he takes directions from putin only. so, committing treason is part of his *deal to sellout to russia which he was assured he was immune from prosecution for. impeachbarr trytrumpfortreason",2020-07-29 20:55:44+00:00,,#ImpeachBarr #TryTrumpForTreason,1288578982573678593,,https://twitter.com/CynicalVision50/status/1288578982573678593,0,0,mmpadellan,https://twitter.com/mmpadellan/status/1288495715409428480
you’re right. holding our military accountable to their oath of service is vital to remove the single biggest domestic threat america has ever know. they can remove trump. i swore an oath 35 years ago. it has no expiration date; never did. a treasonous cic has no allegiance to ,2020-07-29 20:49:16+00:00,,,1288577354160386049,,https://twitter.com/CynicalVision50/status/1288577354160386049,0,0,MalcolmNance,https://twitter.com/MalcolmNance/status/1288552225036472323
repwant americans dead. that’s what it’s about.,2020-07-29 20:42:00+00:00,,,1288575526551117825,,https://twitter.com/CynicalVision50/status/1288575526551117825,0,0,apawlh,https://twitter.com/apawlh/status/1288556761440563201
i seriously thought this was about kanye.,2020-07-29 20:40:32+00:00,,,1288575157175554048,,https://twitter.com/CynicalVision50/status/1288575157175554048,0,0,weldon_angelos,https://twitter.com/weldon_angelos/status/1288567469993365504
