text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
great book. make smart use of naltrexone and/or glutamine if you need them to calm cravings. add in good nutrition and exercise too.,2020-07-30 12:23:52+00:00,,,1288812552567259136,,https://twitter.com/EndlessSummer8/status/1288812552567259136,0,0,soberguyuk,
"in the case of alcohol, targeted naltrexone is very effective in slowly tapering. some see a 40% reduction the first week. wonderful tedx talk https://youtu.be/6eghiy_s2ts",2020-07-30 07:35:35+00:00,,,1288740006308335616,,https://twitter.com/EndlessSummer8/status/1288740006308335616,0,0,LeedsOsteopath,https://youtu.be/6EghiY_s2ts
"targeted naltrexone. if you take one little pill, one hour before drinking, you will be targeting the part of the brain that makes alcohol so important to you. in a few months, alcohol (and the med) becomes very unimportant to you. the sinclair method. https://www.amazon.com/gp/video/detail/b07nbwmh9d",2020-07-29 09:16:05+00:00,,#naltrexone #alcohol,1288402907709177856,,https://twitter.com/EndlessSummer8/status/1288402907709177856,1,1,,https://www.amazon.com/gp/video/detail/B07NBWMH9D
"it's not a surprise that every person reacts differently to a powerful drug, and alcohol is certainly a powerful drug. for many, the logical brain (the neocortex) is simply overcome by alcohol and the amygdala takes charge. this emotional 'lizard brain' isn't very responsible.",2020-07-28 15:16:18+00:00,,,1288131170601971712,,https://twitter.com/EndlessSummer8/status/1288131170601971712,0,0,RiaHealthSF,
tedx talk https://www.youtube.com/watch?v=6eghiy_s2ts&amp;t=41s documentary 'one little pill' the sinclair method https://www.amazon.com/gp/video/detail/b07nbwmh9d amazing book by dr. roy eskapa phd on the sinclair method https://tinyurl.com/tseqes3,2020-07-28 09:41:30+00:00,,,1288046917142937600,,https://twitter.com/EndlessSummer8/status/1288046917142937600,0,0,grniz2,"https://www.youtube.com/watch?v=6EghiY_s2ts&t=41s,https://www.amazon.com/gp/video/detail/B07NBWMH9D,https://tinyurl.com/tseqes3"
"for many people this science works quite well. bill w would certainly approve. i wish aa took a more clear, supportive role in m.a.t. to help people be more successful.",2020-07-28 09:37:01+00:00,,,1288045791114911744,,https://twitter.com/EndlessSummer8/status/1288045791114911744,0,0,BigBookMessage,
"there are so many advantages to using the sinclairmethod to treat alcoholism. plus, it can be ""really"" anonymous - just between you and a telemedicine doctor.",2020-07-28 09:13:58+00:00,,#SinclairMethod #alcoholism #telemedicine #doctor,1288039988022718464,,https://twitter.com/EndlessSummer8/status/1288039988022718464,0,0,OHAddictionTeam,
"so true. all brains learn things that bring pleasure (amygdala, dopamine) - and in the case of alcohol, at the expense of all normal joys in life. get the normal joys in life back ... by unlearning alcohol. by forgetting alcohol.",2020-07-26 10:28:54+00:00,,,1287334071224487936,,https://twitter.com/EndlessSummer8/status/1287334071224487936,0,0,whoisjarrett,https://www.eastindianarecovery.com/2019/11/what-if-you-could-forget-to-want-alcohol-because-modern-day-science-says-its-true-you-can-forget-about-alcohol/
"do you wish you only drank, say, once a week (or month) and always in control of the alcohol? would you take one pill once a week (or month) to stay in control? do you know it's very possible ...even if you are currently totally out of control. tedx talk https://www.youtube.com/watch?v=6eghiy_s2ts&amp;t=41s",2020-07-25 10:54:37+00:00,,#alcohol,1286978154419101697,,https://twitter.com/EndlessSummer8/status/1286978154419101697,0,0,,https://www.youtube.com/watch?v=6EghiY_s2ts&t=41s
"has he watched this documentary? imo, the sinclair method will become the goto treatment for alcohol use disorder ... because it gets to the root of physical addiction. and the vast majority will not need additional counseling. documentary: https://watch.amazon.com/detail?asin=b07nc3tvtr",2020-07-23 23:33:18+00:00,,,1286444309236133888,,https://twitter.com/EndlessSummer8/status/1286444309236133888,0,0,ImmoralishMe,https://watch.amazon.com/detail?asin=B07NC3TVTR
