text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"""want to see the scum of the earth, go to any prison at shift change."" paul harvey . . 100% true.",2020-07-30 22:40:24+00:00,,,1288967710622318599,,https://twitter.com/EricMoffitt6/status/1288967710622318599,0,0,sean_fogler,
"oh, crap.....5 tags.     ",2020-07-30 20:53:17+00:00,,,1288940752123420673,@billkinkle @PatrickDoyle_35 @thomasjwwalters @MelissaAReed @FretlessMonster,https://twitter.com/EricMoffitt6/status/1288940752123420673,1,1,EricMoffitt6,
"ok. 5 facts. 1: i was the 3rd member of my family to go to college. 2: i escaped from a cult. 3: i married the first girl i met in hs....30 years later. 4: i am a decendant of daniel boone. 5: people alway say that they thought i would be ""bigger"" when they meet me. (5' 8"", 175)",2020-07-30 20:42:21+00:00,,,1288938001322651649,,https://twitter.com/EricMoffitt6/status/1288938001322651649,1,0,vileloveit644,
,2020-07-30 15:36:05+00:00,,,1288860927190798342,,https://twitter.com/EricMoffitt6/status/1288860927190798342,0,0,sayfuturemed,
 ,2020-07-30 15:33:33+00:00,,,1288860288947822592,,https://twitter.com/EricMoffitt6/status/1288860288947822592,0,0,ElegantInAB,
 ,2020-07-30 15:33:18+00:00,,,1288860227748728833,,https://twitter.com/EricMoffitt6/status/1288860227748728833,0,0,ElegantInAB,
setting a boundry is one thing. being an asshole is another. i actually felt bad about how i went about all this until i attempted to apologize and you had to try to drag your tantrum out one more paragraph. a hammer really is the only tool you have.,2020-07-30 15:19:44+00:00,,,1288856810632417285,,https://twitter.com/EricMoffitt6/status/1288856810632417285,2,0,ElegantInAB,
"i dont know. now i guess i'm ""diet shaming"". love it. no one k knows what's going to set some shit on fire anymore. . ",2020-07-30 05:07:08+00:00,,,1288702645880922112,,https://twitter.com/EricMoffitt6/status/1288702645880922112,0,0,PatrickDoyle_35,
good bye you have a shit poor fucking attitude.,2020-07-30 04:23:50+00:00,,,1288691750928875521,,https://twitter.com/EricMoffitt6/status/1288691750928875521,1,0,ElegantInAB,
total respect. 100%. total. respect.,2020-07-30 04:22:18+00:00,,,1288691363840745474,,https://twitter.com/EricMoffitt6/status/1288691363840745474,0,1,,https://youtu.be/BXyfCGDnuWs
please implement a standard iq or competency test with a minimum performance score to run for or keep an elected office. . please???,2020-07-30 02:31:10+00:00,,,1288663396322246656,,https://twitter.com/EricMoffitt6/status/1288663396322246656,0,1,CharlieGileNBC,https://twitter.com/CharlieGileNBC/status/1288525505881350144
 ,2020-07-30 02:26:48+00:00,,,1288662296433172480,,https://twitter.com/EricMoffitt6/status/1288662296433172480,0,0,academicworker,
so much so that i've actually had to tell the police that were attempting to confiscate my iv/im naloxone that they said was illegal to have and distribute unless i was a doctor. now you can be comfortable. ,2020-07-30 02:25:27+00:00,,,1288661955704758274,,https://twitter.com/EricMoffitt6/status/1288661955704758274,0,0,coreysdavis,
"which of your basses is this one? better yet, which famous tracks have you used this puppy on?",2020-07-30 02:20:00+00:00,,,1288660586923012096,,https://twitter.com/EricMoffitt6/status/1288660586923012096,0,0,FretlessMonster,
missouri here. joplin area where the cdc just got deployed. people here are being obstinate about any of the measures of protection. i've even gone as far as to communicate with our director of health and senior services with the observation from someone seeing it point on.,2020-07-30 02:12:47+00:00,,,1288658769103257600,,https://twitter.com/EricMoffitt6/status/1288658769103257600,0,0,justinjm1,
