text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"beautiful words my friend and so so true your love has power always is a key message to offer all families without the love of my own parents i would have been lost for sure even when everyone told them to cut me off, they never gave up... i owe my life to them both ",2020-07-30 21:47:32+00:00,,#love,1288954403316289537,,https://twitter.com/GBMC73/status/1288954403316289537,0,0,r_mcluskie,
well you guys need to take lots of the credit for this louise as along with the likes of  you  &amp;others just get the importance of evidence based whole family recovery interventions ... for sure ya all craftdaft scotland smashing it with craft,2020-07-30 20:32:10+00:00,,#whole #family #recovery #CraftDaft #Scotland #Smashing #CRAFT,1288935438175162375,@ScotFamADrugs @r_mcluskie,https://twitter.com/GBMC73/status/1288935438175162375,2,0,louisestewart80,
hey mike best of luck in your future endevours .... although we never got to meet i want to say its been great getting to know you from afar and thanks for your support ..... also the yellafella wishes you well too and wants you to know  lovesya ,2020-07-30 20:27:00+00:00,,#YellaFella #LovesYa,1288934137433411591,@NaloxoneMan,https://twitter.com/GBMC73/status/1288934137433411591,0,0,MikeP_mpass,
this ..... just incase ya missing me gary ,2020-07-30 20:20:52+00:00,,,1288932593862242305,,https://twitter.com/GBMC73/status/1288932593862242305,0,0,BesterfieldJ,
great stuff laura & all  im looking forward to doing zoom meetings over the next few weeks with a number of services from  gonna be getting folk energised &amp; ready for awesome craft prac training when distancing allows  ,2020-07-30 20:18:05+00:00,,#Zoom #energised #awesome #CRAFT,1288931892788699137,@WeAreWithYou @WeAreWithYouSco @louisestewart80,https://twitter.com/GBMC73/status/1288931892788699137,1,0,laurabunt,
happy new home my lovely pal..... where you moved to like looks lush though issy hope ya happy hope you know ya awesome ,2020-07-30 19:49:43+00:00,,,1288924754670387207,,https://twitter.com/GBMC73/status/1288924754670387207,1,0,IssySorley,
imovation and will be an instant hit anne again all in ,2020-07-30 18:51:44+00:00,,#imovation,1288910161818669056,,https://twitter.com/GBMC73/status/1288910161818669056,0,0,AnneFoxThoughts,
im all in ,2020-07-30 18:51:10+00:00,,,1288910022286745606,,https://twitter.com/GBMC73/status/1288910022286745606,0,0,AnneFoxThoughts,
lovely pic rob.... happy borthda charlotte ,2020-07-30 18:47:46+00:00,,,1288909164153053184,,https://twitter.com/GBMC73/status/1288909164153053184,0,0,RobG1155,
twitter has afforded me much by way of kindness &amp; friendship there are loads of great folk on here and tonight wor maddison would like to say thankyou to  for the lovely thoughtful gift he sent to her thanks russ your a true gent and she loved the book ,2020-07-30 18:45:12+00:00,,#kindness #Friendship #Maddison #ThankYou #ThankYou,1288908521052999680,@russmassie,https://twitter.com/GBMC73/status/1288908521052999680,2,2,,
 ahhhh man he is the best ,2020-07-30 16:26:29+00:00,,,1288873609423982594,,https://twitter.com/GBMC73/status/1288873609423982594,1,0,nicnaccon,
super proud of  peers james &amp; ricci for their awesome work today i love seeing the autenticity &amp; pride which goes into their harmreduction &amp; naloxone training with their pals in the boro thanks for being the power of example lads respect,2020-07-30 14:36:36+00:00,,#proud #peers #James #Ricci #awesome #autenticity #pride #HarmReduction #Naloxone #Boro #Respect,1288845956075716614,@foundationstees,https://twitter.com/GBMC73/status/1288845956075716614,0,0,,
me and  are gonna do a duet next time im down your neck of the woods ,2020-07-30 11:04:33+00:00,,,1288792594785460226,@russmassie,https://twitter.com/GBMC73/status/1288792594785460226,1,0,Schools_educate,
ohhhhh you wanna see me dancing ,2020-07-30 11:04:02+00:00,,,1288792461955993600,,https://twitter.com/GBMC73/status/1288792461955993600,1,0,Schools_educate,
you too brother nowt like a bit of mathewwilder to start ya day ,2020-07-30 11:03:21+00:00,,#MathewWilder,1288792292191547392,,https://twitter.com/GBMC73/status/1288792292191547392,0,0,MikeyBensonesq,
yessssss andy ,2020-07-30 11:02:41+00:00,,,1288792121680564231,,https://twitter.com/GBMC73/status/1288792121680564231,1,0,Schools_educate,
 ,2020-07-30 11:02:21+00:00,,,1288792039153426432,,https://twitter.com/GBMC73/status/1288792039153426432,0,0,HeyIts_Ceri,
"ive lived a life that made me desperately unhappy in the past owing to addiction, dual diagnosis, the criminal justice system, trauma &amp; advserse childhood experiences, stigma, im better now whats not to be excessivly happy about bethechange lovelife keepmoving ",2020-07-30 08:35:42+00:00,,#addiction #dual #criminal #trauma #advserse #stigma #excessivly #happy #BeTheChange #LoveLife #KeepMoving,1288755134235803649,,https://twitter.com/GBMC73/status/1288755134235803649,2,0,John_A_Keen,
yassssss phil lad .... have a mint day ,2020-07-30 08:15:27+00:00,,#mint,1288750037024022529,,https://twitter.com/GBMC73/status/1288750037024022529,0,0,PhilDolphin3,
 ,2020-07-30 08:14:31+00:00,,,1288749803325788162,,https://twitter.com/GBMC73/status/1288749803325788162,1,0,HeyIts_Ceri,
morning simon .... sending love across the world to you my brother ,2020-07-30 08:14:16+00:00,,#love,1288749739111075846,,https://twitter.com/GBMC73/status/1288749739111075846,1,0,simbris,
ahhhhh thanks grahame right back atcha .... and love the mrmotavator reference you have planted a seed in my mind which will now be developed have a fab day my friend ,2020-07-30 07:59:01+00:00,,#MrMotavator,1288745901595529216,,https://twitter.com/GBMC73/status/1288745901595529216,0,0,grahamemorris,
have a lovely day anj keepmovin ,2020-07-30 07:56:07+00:00,,#KeepMovin,1288745172604510208,,https://twitter.com/GBMC73/status/1288745172604510208,1,0,Anjipowerr,
yes russ baby ..... you keep movin me marra ,2020-07-30 06:50:54+00:00,,,1288728758124449793,,https://twitter.com/GBMC73/status/1288728758124449793,1,0,russmassie,
 keepmovin,2020-07-30 06:50:26+00:00,,#KeepMovin,1288728641703014400,,https://twitter.com/GBMC73/status/1288728641703014400,0,0,AnneFoxThoughts,
