text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
http://www.basenotes.net/threads/466228-best-sleep-inducing-fragrances-for-bedtime,2020-07-30 21:24:45+00:00,,,1288948673032998917,,https://twitter.com/Gail_G_Scott/status/1288948673032998917,0,0,Gail_G_Scott,http://www.basenotes.net/threads/466228-Best-Sleep-Inducing-Fragrances-For-Bedtime
https://www.fragrantica.com/board/viewtopic.php?id=195800,2020-07-30 21:22:01+00:00,,,1288947982457503744,,https://twitter.com/Gail_G_Scott/status/1288947982457503744,1,0,Gail_G_Scott,https://www.fragrantica.com/board/viewtopic.php?id=195800
bedtime perfume is actually a thing among perfume collectors/perfumistas. you’ll see it discussed in blogs:,2020-07-30 21:19:57+00:00,,,1288947462401593344,,https://twitter.com/Gail_G_Scott/status/1288947462401593344,2,0,KaylaAncrum,https://perfumeposse.com/2013/06/30/sleepytime-monday-best-bedtime-scents/
no shortage of resources & evidence on the topic of language around addiction & health:,2020-07-29 13:10:31+00:00,,,1288461906659938306,,https://twitter.com/Gail_G_Scott/status/1288461906659938306,0,0,,https://www.drugabuse.gov/nidamed-medical-health-professionals/health-professions-education/words-matter-terms-to-use-avoid-when-talking-about-addiction
 laid it out for you here:,2020-07-29 13:09:35+00:00,,,1288461672710057984,@maiasz,https://twitter.com/Gail_G_Scott/status/1288461672710057984,1,0,,https://www.healthnewsreview.org/2016/09/write-addiction-without-promoting-stigma-bias-4-tips-journalists/
 happy to email you a pdf of  checklist for editors &amp; writers so you can do better! especially those on healthcare &amp; business beat reporting on the opioid crisis &amp; litigation.,2020-07-29 13:08:47+00:00,,,1288461469332516865,@WSJ @RDashford,https://twitter.com/Gail_G_Scott/status/1288461469332516865,1,0,,https://www.changingthenarrative.news/stigmatizing-language
hi . please learn why the  styleguide says to use person-first language for people w/a substance use disorder. you + used the stigmatized language: “addicts” or “substance abuse” in copy/captions in 7/27 story re: teva opioid settlement https://www.changingthenarrative.news/style-guide,2020-07-29 13:05:17+00:00,,,1288460587723370496,@CGrantWSJ @AP @WSJ,https://twitter.com/Gail_G_Scott/status/1288460587723370496,1,0,,https://www.changingthenarrative.news/style-guide
wow! congrat’s!! ,2020-07-27 16:57:11+00:00,,,1287794173891010562,,https://twitter.com/Gail_G_Scott/status/1287794173891010562,0,0,jeremykiddmd,
"it’s unprofessional for medical professionals to use stigmatizing terms like “drug addicts” vs person-first language: i.e. patient with a substance use disorder, person with an addiction, people who use drugs (illicit use is not always = addiction.) https://www.drugabuse.gov/nidamed-medical-health-professionals/health-professions-education/words-matter-terms-to-use-avoid-when-talking-about-addiction",2020-07-24 13:59:07+00:00,,,1286662198257946627,,https://twitter.com/Gail_G_Scott/status/1286662198257946627,1,1,c_staheli,https://www.drugabuse.gov/nidamed-medical-health-professionals/health-professions-education/words-matter-terms-to-use-avoid-when-talking-about-addiction
this study is unprofessional.,2020-07-24 04:49:13+00:00,,,1286523809609195520,,https://twitter.com/Gail_G_Scott/status/1286523809609195520,1,0,GongGasGirl,
 ,2020-07-23 19:02:15+00:00,,,1286376095965749248,,https://twitter.com/Gail_G_Scott/status/1286376095965749248,0,0,ProfLWiley,https://twitter.com/ProfLWiley/status/1284847612689092610
so sorry ,2020-07-22 14:32:26+00:00,,,1285945804591706112,,https://twitter.com/Gail_G_Scott/status/1285945804591706112,0,0,FaylitaHicks,
 ,2020-07-21 21:51:46+00:00,,,1285693981146390529,,https://twitter.com/Gail_G_Scott/status/1285693981146390529,0,0,scotthoying,https://twitter.com/scotthoying/status/1280590871449137152
"flowerreport peach daylily, &amp; red crocosmia lucifer (w/ blue balloon flower &amp; yellow coreopsis zagreb underneath)",2020-07-20 03:20:01+00:00,,#FlowerReport,1285051811838210050,,https://twitter.com/Gail_G_Scott/status/1285051811838210050,0,2,,
"flowerreport stargazer oriental lily, &amp; orange butterfly weed w/purple petunias",2020-07-20 03:12:08+00:00,,#FlowerReport,1285049826732802049,,https://twitter.com/Gail_G_Scott/status/1285049826732802049,1,2,,
flowerreport daylilies,2020-07-20 03:08:48+00:00,,#FlowerReport #daylilies,1285048989684043776,,https://twitter.com/Gail_G_Scott/status/1285048989684043776,1,2,,
"yes, i’m familiar! great work by dr hadland & colleagues using 1 data point as a proxy for pharma field sales efforts— dollars spent. but that misses most sales contacts w/prescribers. maybe 1 to 3 sales calls a day involve food ($). that’s less than 1/2 of daily pharma contacts.",2020-07-19 22:57:21+00:00,,,1284985709397499904,,https://twitter.com/Gail_G_Scott/status/1284985709397499904,1,0,StefanKertesz,
andre norton,2020-07-19 21:54:05+00:00,,,1284969785877504001,,https://twitter.com/Gail_G_Scott/status/1284969785877504001,0,0,Gail_G_Scott,
susan cooper,2020-07-19 21:50:47+00:00,,,1284968956122497029,,https://twitter.com/Gail_G_Scott/status/1284968956122497029,1,0,Gail_G_Scott,
anne mccaffrey,2020-07-19 21:50:31+00:00,,,1284968891110891520,,https://twitter.com/Gail_G_Scott/status/1284968891110891520,1,0,baddestmamajama,
