text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
netde covidde come join in the fun for a summer block party. the more the merrier!,2020-07-21 19:24:31+00:00,,#netDE #CovidDE,1285656921396203521,,https://twitter.com/Gregs_Dad/status/1285656921396203521,0,0,,
"if this current administration continues to be lawless, to continue to violate the us constitution all the while   stands by silently and enables potus (see portland, or), we will lose our right to vote.",2020-07-18 12:44:13+00:00,,,1284469021199540229,@SenateGOP @HouseGOP,https://twitter.com/Gregs_Dad/status/1284469021199540229,1,1,ChrisCoons,
"netde that's what we've been saying. covid has killed far too many, but opioid overdose deaths over the years has killed far more.",2020-07-07 14:52:06+00:00,,#netDE,1280514936297447426,,https://twitter.com/Gregs_Dad/status/1280514936297447426,0,0,david_sheff,https://twitter.com/david_sheff/status/1280509170521976833
"netde nalxonesaveslives icarrynarcan first save the life. where there's life, there' hope.",2020-07-04 16:05:46+00:00,,#netDE #NalxoneSavesLives #ICarryNarcan,1279446312094744577,,https://twitter.com/Gregs_Dad/status/1279446312094744577,0,0,ToledoLucasHD,https://twitter.com/ToledoLucasHD/status/1278822088351023105
,2020-07-04 13:17:20+00:00,,,1279403922923425792,,https://twitter.com/Gregs_Dad/status/1279403922923425792,0,0,,
agreed. that's what i've been saying. particularly 3.,2020-07-03 18:34:03+00:00,,,1279121241882886145,,https://twitter.com/Gregs_Dad/status/1279121241882886145,0,0,AllisonLCarter,
i support ! kathyjenningsde,2020-06-30 12:25:26+00:00,,#KathyJenningsDE,1277941314055741441,@DE_DOJ,https://twitter.com/Gregs_Dad/status/1277941314055741441,0,0,,
,2020-06-29 22:49:58+00:00,,,1277736094889582592,@docjoshua4u,https://twitter.com/Gregs_Dad/status/1277736094889582592,0,0,JohnCarneyDE,
netde help is always available. don't let stigma or perception prevent you from making a call for help. https://watch.wave.video/7fb9df5e59f2d1da31464b83,2020-06-29 14:11:05+00:00,,#netDE,1277605510422966282,,https://twitter.com/Gregs_Dad/status/1277605510422966282,0,0,,https://watch.wave.video/7fb9df5e59f2d1da31464b83
never have so few been so cruel to so many.,2020-06-26 00:57:46+00:00,,,1276318705081819137,,https://twitter.com/Gregs_Dad/status/1276318705081819137,0,0,ChrisCoons,https://twitter.com/ChrisCoons/status/1276317934084919297
"netde overdose deaths spiked in may, tied for the highest month on record. uniformed first responders report their usage of naloxone but community administrations are under reported. if you've administered please report back.  icarrynarcan",2020-06-26 00:44:21+00:00,,#netDE #naloxone #ICarryNarcan,1276315327815614465,@Delaware_DHSS,https://twitter.com/Gregs_Dad/status/1276315327815614465,1,5,,
thank you! ,2020-06-25 23:55:43+00:00,,,1276303087301537792,,https://twitter.com/Gregs_Dad/status/1276303087301537792,0,0,acherry13,
does it cover the sept de primary or only the nov general election?,2020-06-25 21:32:59+00:00,,,1276267167059673088,,https://twitter.com/Gregs_Dad/status/1276267167059673088,1,0,acherry13,
netde a cause that can stand even greater advocacy. brainhealth,2020-06-25 15:08:11+00:00,,#netDE #BrainHealth,1276170330558672897,,https://twitter.com/Gregs_Dad/status/1276170330558672897,0,1,NAMIDelaware,https://twitter.com/NAMIDelaware/status/1276157205444689920
milfordde sussexcountyde naloxonesaveslives,2020-06-25 12:47:26+00:00,,#MilfordDE #SussexCountyDE #NaloxoneSavesLives,1276134907442585605,,https://twitter.com/Gregs_Dad/status/1276134907442585605,0,0,embwromero,https://twitter.com/embwromero/status/1276006871753785347
"netde with  shut down due to covid, legislators had tue, wed, thur (normal dover days) to read legislative initiatives, including budget, and inform constituents. jfc has members of both parties to brief caucuses. ""there are no reasons for failure, only excuses.""",2020-06-24 12:19:04+00:00,,#netDE,1275765382922539010,@leghall,https://twitter.com/Gregs_Dad/status/1275765382922539010,0,2,,
this is one small step toward helping adolescents. netde  ,2020-06-22 01:14:39+00:00,,#netDE,1274873402986303488,@brittanyhorn @delawareonline,https://twitter.com/Gregs_Dad/status/1274873402986303488,0,2,,https://www.delawareonline.com/story/news/2020/06/16/delaware-summer-camp-kids-touched-addiction-goes-virtual/5322500002/
thank you  ! we can't have covid-19 completely distract us from thepublichealthcrisisofthe21stcentury. we need to do more for adolescents. moreurgency,2020-06-22 01:11:26+00:00,,#ThePublicHealthCrisisOfThe21stCentury #MoreUrgency,1274872592571215873,@brittanyhorn @delawareonline,https://twitter.com/Gregs_Dad/status/1274872592571215873,0,0,,https://www.delawareonline.com/story/news/crime/2019/06/05/delawares-youngest-overdose-victims/1300772001/
thank you jj francis! ,2020-06-22 01:07:00+00:00,,,1274871476747984896,@ChrisCoons,https://twitter.com/Gregs_Dad/status/1274871476747984896,0,0,,https://www.delawareonline.com/story/opinion/2020/06/17/floyd-protests-young-people-must-lead-way-fight-against-racism/3198028001/
,2020-06-19 13:40:32+00:00,,,1273973943645454336,@ericbolling,https://twitter.com/Gregs_Dad/status/1273973943645454336,0,0,reneerfisher,https://twitter.com/reneerfisher/status/1273954119666073607
"it was a friday. greg was leaving. i hugged him and said, “i love you, bud.” he replied, “love you, too, dad.” that was the last time i saw him. i’ve lived it. call me for naloxone training, may a record month of deaths. narcansaveslives netde ",2020-06-18 21:59:31+00:00,,#NarcanSavesLives #netDE,1273737129227702272,@Delaware_DHSS,https://twitter.com/Gregs_Dad/status/1273737129227702272,1,5,,
your turn to march for blacklivesmatter &amp; saveourdemocracy,2020-06-06 16:55:40+00:00,,#BlackLivesMatter #BlackLivesMatter #SaveOurDemocracy,1269312009599954945,,https://twitter.com/Gregs_Dad/status/1269312009599954945,0,0,MittRomney,
"   need to know if this is true or not. if so, they need to be identified. this is putinesque. secret stormtroopers, notmyamerica",2020-06-06 14:29:39+00:00,,#stormtroopers #NotMyAmerica,1269275264749617152,@SenatorCarper @ChrisCoons @RepLBR,https://twitter.com/Gregs_Dad/status/1269275264749617152,0,0,bdaviskc,https://twitter.com/bdaviskc/status/1268401251978563585
well worth the time to watch ... to think ... to educate ... everyone.,2020-06-06 14:26:39+00:00,,,1269274508327817219,,https://twitter.com/Gregs_Dad/status/1269274508327817219,0,0,96_beckton,https://twitter.com/96_beckton/status/1269230182977736710
i trust the  and just about all of the reporters. i won’t let one reporter violate my trust.,2020-06-04 00:03:45+00:00,,,1268332577569595393,@PhillyInquirer,https://twitter.com/Gregs_Dad/status/1268332577569595393,0,0,MikeNewall,
,2020-06-03 01:49:44+00:00,,,1267996861396398083,,https://twitter.com/Gregs_Dad/status/1267996861396398083,0,0,,
,2020-06-02 23:44:26+00:00,,,1267965326760841216,,https://twitter.com/Gregs_Dad/status/1267965326760841216,0,0,acherry13,
"calling up us military to disperse peaceful american demonstrators with weapons used in war is not a show of dominance and strength, but rather a show of fear and weakness.        ",2020-06-02 14:22:35+00:00,,,1267823933748768771,@USArmy @PressSec @SenatorTimScott @LindseyGrahamSC @MittRomney @SusanBrooksIN @RepJohnKatko @RepFredUpton,https://twitter.com/Gregs_Dad/status/1267823933748768771,0,0,,
this is the supreme law of the united states of america and no other law may supersede it. protest advocate vote noviolence 2/2,2020-06-02 12:09:58+00:00,,#Protest #Advocate #Vote #NoViolence,1267790558443036672,,https://twitter.com/Gregs_Dad/status/1267790558443036672,0,0,,
"""congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people to peaceably assemble; and to petition the government for a redress of grievances."" 1/2",2020-06-02 12:08:45+00:00,,,1267790251440902146,,https://twitter.com/Gregs_Dad/status/1267790251440902146,1,0,,
"tucker carlson, fox news: “when the mobs came, they abandoned us. the nation went up in flames this weekend. no one in charge stood up to save america … this is how nations collapse.” wow!",2020-06-02 12:05:26+00:00,,,1267789418003390464,,https://twitter.com/Gregs_Dad/status/1267789418003390464,0,0,,
"""...federal authorities used stun grenades, rubber bullets and tear gas to clear peaceful protesters..."" just so the potus could have photo op w/ book he hasn't read, whose message he doesn't understand. we know what phone call with the iron fisted ruler of russia was all about.",2020-06-02 12:04:36+00:00,,,1267789210909622272,,https://twitter.com/Gregs_Dad/status/1267789210909622272,0,0,,
"stand up for the constitution billofrights and ensuing 17 amendments, especially xxv, section 4.",2020-06-02 00:42:08+00:00,,#Constitution #BillOfRights,1267617459642806272,,https://twitter.com/Gregs_Dad/status/1267617459642806272,0,0,Dasher521,https://twitter.com/Dasher521/status/1267616535130050560
you will be missed! we were always tuned into to you on weekends. best of luck! we will look for at the jersey shore.,2020-06-01 22:17:04+00:00,,,1267580951737053184,,https://twitter.com/Gregs_Dad/status/1267580951737053184,1,0,DeniseNakanoTV,
noviolencede netde,2020-06-01 15:44:29+00:00,,#NoViolenceDE #netDE,1267482156772794369,,https://twitter.com/Gregs_Dad/status/1267482156772794369,0,0,Dasher521,https://twitter.com/Dasher521/status/1267481833165520896
excellent! thank you !,2020-05-31 13:42:19+00:00,,,1267089025896263680,@RepLBR,https://twitter.com/Gregs_Dad/status/1267089025896263680,0,0,DelawarePublic,https://twitter.com/DelawarePublic/status/1267085520749891588
"""hatred corrodes the container it's carried in."" stopthesenselesskilling",2020-05-31 13:39:42+00:00,,#StopTheSenselessKilling,1267088368174850049,,https://twitter.com/Gregs_Dad/status/1267088368174850049,0,0,,
"great legal advise from an aclu staff attorney. protest, but protest peacefully. destroying property only hurts other innocent citizens who could turn out to be your friends and neighbors. netde ",2020-05-31 00:50:59+00:00,,#netDE,1266894910516535296,@ACLUDelaware,https://twitter.com/Gregs_Dad/status/1266894910516535296,0,0,ACLU,https://twitter.com/ACLU/status/1266553313266368518
ouch!,2020-05-30 23:14:40+00:00,,,1266870674351669254,,https://twitter.com/Gregs_Dad/status/1266870674351669254,0,0,acherry13,
netde still time to donate! brainhealthde,2020-05-30 23:11:50+00:00,,#netDE #BrainHealthDE,1266869958685974534,,https://twitter.com/Gregs_Dad/status/1266869958685974534,0,0,docjoshua4u,https://twitter.com/docjoshua4u/status/1266823283921620995
and it gets worse . . . https://www.wkyt.com/content/news/officer-fires-pepper-balls-at-reporter-during-louisville-protest-570885881.html,2020-05-30 14:17:21+00:00,,,1266735452486275074,,https://twitter.com/Gregs_Dad/status/1266735452486275074,0,0,brittanyhorn,"https://www.wkyt.com/content/news/Officer-fires-pepper-balls-at-reporter-during-Louisville-protest-570885881.html,https://twitter.com/brittanyhorn/status/1266399142512820224"
"netde due to covid-19 you may vote by absentee ballot by checking option 3, if you don't wish to physically go to the polls.",2020-05-30 14:11:32+00:00,,#netDE,1266733989953404928,,https://twitter.com/Gregs_Dad/status/1266733989953404928,0,1,GovernorMarkell,https://twitter.com/GovernorMarkell/status/1266436733132029952
"netde  don't forget about nami's virtual walk today at 10:30 am. you can continue to register for the next 30 days. and, if you walk later in the day ... i'm sure they won't mind. brainhealthde",2020-05-30 14:08:20+00:00,,#netDE #BrainHealthDE,1266733183262961665,@NAMIDelaware,https://twitter.com/Gregs_Dad/status/1266733183262961665,0,0,,
addiction doesn't discriminate. it can affect anyone.,2020-05-28 12:03:29+00:00,,,1265976989246251008,,https://twitter.com/Gregs_Dad/status/1265976989246251008,0,1,,https://www.espn.com/mlb/story/_/id/29224260/inside-roy-halladay-struggle-pain-addiction
" please stop trying to be like facebook. stop notifying me about things you think i want, like comments i may have missed. i am very capable of choosing who i wish to follow.",2020-05-28 11:53:34+00:00,,,1265974491341086720,@Twitter,https://twitter.com/Gregs_Dad/status/1265974491341086720,0,0,,
"dear nra: didn't obama take all of our guns away? no? most of them? no? some of them? no? any of them? when me and some of my african american friends can walk into wayne lapiere's office with our legally purchase ak-47, we can talk.",2020-05-24 17:14:30+00:00,,,1264605705321033744,,https://twitter.com/Gregs_Dad/status/1264605705321033744,0,0,NRA,
netde stopabuse,2020-05-24 16:18:49+00:00,,#netDE #StopAbuse,1264591692935684097,,https://twitter.com/Gregs_Dad/status/1264591692935684097,0,1,DE_DOJ,https://twitter.com/DE_DOJ/status/1264243994537705472
i have answers. nah.,2020-05-18 17:43:31+00:00,,,1262438682080038924,,https://twitter.com/Gregs_Dad/status/1262438682080038924,0,0,BrandywineBuzz,
"if you are in need of service or resources, do not hesitate to reach out. call: (833) 746-7333 text: dehope to 55753 http://helpisherede.com decovid netde helpisherede",2020-05-15 19:54:19+00:00,,#deCOVID #netDE #HelpIsHereDE,1261384436849016832,,https://twitter.com/Gregs_Dad/status/1261384436849016832,0,3,,http://HelpIsHereDE.com
netde decovid19 helpisherede please join  for a facebook live discussion about substanceusedisorder during the pandemic.  attackaddiction,2020-05-13 19:14:26+00:00,,#netDE #deCOVID19 #HelpIsHereDE #SubstanceUseDisorder #atTAcKaddiction,1260649622109736960,@NAMIDelaware @pacetreatment,https://twitter.com/Gregs_Dad/status/1260649622109736960,0,1,,
i’d be in.,2020-05-09 23:13:49+00:00,,,1259260313855279104,,https://twitter.com/Gregs_Dad/status/1259260313855279104,0,0,tfurlong,
congratulations! this is a big flippin’ deal!,2020-05-09 23:12:16+00:00,,,1259259922497376258,,https://twitter.com/Gregs_Dad/status/1259259922497376258,0,0,TimCowlishaw,
will this be followed up with 20+ interviews of women who have accused trump? one allegation is a rumor. 20+ allegations is a pattern.,2020-05-09 13:26:12+00:00,,,1259112434939449344,,https://twitter.com/Gregs_Dad/status/1259112434939449344,0,0,megynkelly,
decovid helpisherede netde calendar for anyone that may need addictionsupportde http://helpisherede.com/connections,2020-05-09 12:50:03+00:00,,#deCOVID #HelpIsHereDE #netDE #AddictionSupportDE,1259103339377242113,,https://twitter.com/Gregs_Dad/status/1259103339377242113,0,1,embwromero,"http://helpisherede.com/connections,https://twitter.com/embwromero/status/1259082958343987200"
"urgency netde naloxonede if you are in need of naloxone, contact me for virtual training. icarrynarcan",2020-05-09 12:41:56+00:00,,#Urgency #netDE #naloxoneDE #ICarryNarcan,1259101296105345024,,https://twitter.com/Gregs_Dad/status/1259101296105345024,0,2,,https://www.usatoday.com/story/news/health/2020/05/08/coronavirus-pandemic-boosts-suicide-alcohol-drug-death-predictions/3081706001/
when does it stop? what is wrong with us?,2020-05-07 22:44:09+00:00,,,1258528074653523968,,https://twitter.com/Gregs_Dad/status/1258528074653523968,0,0,,
"well done, meghan! congratulations!",2020-05-07 21:33:13+00:00,,,1258510220080238592,,https://twitter.com/Gregs_Dad/status/1258510220080238592,1,0,DrMeghanWalls,
decovid netde helpisherede jfsofde there are many services available. you don't have to feel isolated.,2020-05-06 15:49:28+00:00,,#deCOVID #netDE #HelpIsHereDE #JFSofDE,1258061326888382465,,https://twitter.com/Gregs_Dad/status/1258061326888382465,0,2,,
"i believe o'donnell to be a ""wanna be star/celeb"". i've been to the gridiron dinner. i never saw an adolescent there, barely many young 20's. the ticket is $250/person. did she take her 14 yr old niece? if so, did $come from her campaign? i believe her rent did. stopthelies",2020-05-04 16:26:16+00:00,,#StopTheLies,1257345812385980416,,https://twitter.com/Gregs_Dad/status/1257345812385980416,1,0,medit8now,
“... four dead in ohio ...” kentstate 1970,2020-05-04 12:46:33+00:00,,#KentState,1257290519056715776,,https://twitter.com/Gregs_Dad/status/1257290519056715776,0,0,,
"thank you , dr. mona masood, of philadelphia for starting the anonymous physicians support line. (888) 409-0141. i imagine it is for nurses, too. please retweet.     netde decovid",2020-05-04 00:12:45+00:00,,#netDE #deCOVID,1257100818488135681,@ShrinkRapping @NAMIDelaware @DrMeghanWalls @Delaware_DHSS @christianacare,https://twitter.com/Gregs_Dad/status/1257100818488135681,1,5,,
we have to celebrate the good. congratulations.,2020-05-01 21:28:47+00:00,,,1256334778552344578,,https://twitter.com/Gregs_Dad/status/1256334778552344578,0,0,michelleinbklyn,
i’d like to see them attempt to enter into the hq of the nra.,2020-05-01 21:06:26+00:00,,,1256329153910943749,,https://twitter.com/Gregs_Dad/status/1256329153910943749,0,0,thekjohnston,
netde decovid please spread the word to any family that that needs to restock their pantry.,2020-04-29 14:10:41+00:00,,#netDE #deCOVID,1255499750071304192,,https://twitter.com/Gregs_Dad/status/1255499750071304192,0,3,,
addiction isn't a character flaw. it is a disease. it is treatable. people recover.,2020-04-29 13:45:27+00:00,,,1255493401522450445,,https://twitter.com/Gregs_Dad/status/1255493401522450445,0,0,coreysdavis,https://twitter.com/coreysdavis/status/1255351929040969729
decovid netde youarenotalone,2020-04-29 13:42:23+00:00,,#deCOVID #netDE #YouAreNotAlone,1255492629313261573,,https://twitter.com/Gregs_Dad/status/1255492629313261573,0,0,NAMIDelaware,https://twitter.com/NAMIDelaware/status/1255287941708070913
" has been trying to be a “big deal”, a media superstar for a long time. he’ll say just about anything to become one. it ain’t gonna happen.",2020-04-28 16:36:34+00:00,,,1255174075028254721,@TuckerCarlson,https://twitter.com/Gregs_Dad/status/1255174075028254721,0,0,thekjohnston,
it seems like not enough of federal grants/funds get into “the trenches”.,2020-04-28 13:51:48+00:00,,,1255132609539002368,,https://twitter.com/Gregs_Dad/status/1255132609539002368,0,0,GovernorMarkell,
"netde decovid helpisherede  web site and the dsamh page for more resources.  has collected a series of provider videos, check out their facebook page and web site.",2020-04-27 19:11:41+00:00,,#netDE #deCOVID #HelpIsHereDE,1254850723638108160,@Delaware_DHSS @NAMIDelaware,https://twitter.com/Gregs_Dad/status/1254850723638108160,0,1,NAMICommunicate,https://twitter.com/NAMICommunicate/status/1254823672164081676
that's just sour grapes!,2020-04-27 19:02:40+00:00,,,1254848453873729536,,https://twitter.com/Gregs_Dad/status/1254848453873729536,0,0,tfurlong,
can i send you my list?,2020-04-27 19:02:11+00:00,,,1254848332767379456,,https://twitter.com/Gregs_Dad/status/1254848332767379456,0,0,brittanyhorn,
than you  and  setting up mobile food bank.  was happy to help distribute naloxonesaveslives icarrynarcan,2020-04-27 16:51:41+00:00,,#NaloxoneSavesLives #ICarryNarcan,1254815493552209920,@FoodBankofDE @DelawareNG @Tylers_atTAcK,https://twitter.com/Gregs_Dad/status/1254815493552209920,2,1,,
 how about a for covid in de that the governor can use for tweets. other providers could all use the same one.,2020-04-23 22:24:25+00:00,,,1253449674960392193,@jwstarkey,https://twitter.com/Gregs_Dad/status/1253449674960392193,0,0,,
netde stopabuse de_covid,2020-04-23 21:58:57+00:00,,#netDE #StopAbuse #DE_COVID,1253443265992392704,,https://twitter.com/Gregs_Dad/status/1253443265992392704,0,0,DE_DOJ,https://twitter.com/DE_DOJ/status/1253413782698639360
"thank you  for your continued coverage of theepublichealthcrisisofthe21stcentury, 700,000 americans needlessly lost.",2020-04-23 15:37:19+00:00,,#TheePublicHealthCrisisOfThe21stCentury,1253347224433590272,@aubreyjwhelan,https://twitter.com/Gregs_Dad/status/1253347224433590272,0,0,,
"“if i was using in the states,” he said, “i probably would be dead already.” harmreduction netde  ",2020-04-23 15:32:38+00:00,,#HarmReduction #netDE,1253346049734909952,@Delaware_DHSS @DE_DOJ,https://twitter.com/Gregs_Dad/status/1253346049734909952,1,0,,https://www.inquirer.com/health/opioid-addiction/a/opioid-heroin-addiction-treatment-overdose-philadelphia-portugal-20200422.html
it's worth it because it is hard!,2020-04-22 17:40:29+00:00,,,1253015834001387521,,https://twitter.com/Gregs_Dad/status/1253015834001387521,0,0,Dr_Keister,
we have a long history. the support is well earned! thank you all!,2020-04-20 16:28:41+00:00,,,1252272988344463369,,https://twitter.com/Gregs_Dad/status/1252272988344463369,0,0,brittanyhorn,
"done! ""i can't begin to tell you how vital your reporters at the news journal / http://delawareonline.com are to getting information via print and digital to help with this pandemic."" (beginning of letter) ",2020-04-20 15:46:57+00:00,,,1252262485211713536,@brittanyhorn,https://twitter.com/Gregs_Dad/status/1252262485211713536,2,0,nataliaalamdari,http://delawareonline.com
netde supportthelocalpress,2020-04-20 15:45:41+00:00,,#netDE #SupportTheLocalPress,1252262167174418439,,https://twitter.com/Gregs_Dad/status/1252262167174418439,0,0,nataliaalamdari,https://twitter.com/nataliaalamdari/status/1252234526161465350
 - “... listen to the science and the experts ...”,2020-04-19 01:30:22+00:00,,,1251684532316749824,@realDonaldTrump,https://twitter.com/Gregs_Dad/status/1251684532316749824,0,0,GlblCtzn,https://twitter.com/GlblCtzn/status/1251653188257746944
evening of uplift. togetherathome,2020-04-19 01:27:28+00:00,,#TogetherAtHome,1251683801182482432,,https://twitter.com/Gregs_Dad/status/1251683801182482432,0,0,PaulMcCartney,https://twitter.com/PaulMcCartney/status/1251636679917613057
