text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
a huge thankyou to nj farmers against hunger 4 the tremendous donation 2day to the westside community fridge + unioncity fridge! your donation will help so many hudsoncounty families. thank you to carol lamparello in our office for spearheading this connection. hcpo teamwork,2020-07-30 21:35:36+00:00,,#thankyou #thankyou #UnionCity #HudsonCounty #HCPO #teamwork,1288951400135876609,,https://twitter.com/HCPOProsecutor/status/1288951400135876609,1,0,,
"hudson county drug court held its 1st ever outdoor sessions yesterday + 2day, w/60+ participants. probation officers greeted +drug tested clients. hcpo gave out personal care bags through operation helping hand - a program through the office of the attorney general + nj cares.",2020-07-29 23:03:51+00:00,,,1288611222380851205,,https://twitter.com/HCPOProsecutor/status/1288611222380851205,1,2,,
press release - charges upgraded for driver in crash that killed a 24-year-old jersey city woman. jerseycity hudsoncounty,2020-07-29 17:21:04+00:00,,#JerseyCity #HudsonCounty,1288524960449921026,,https://twitter.com/HCPOProsecutor/status/1288524960449921026,0,0,,
"jahquell carter, wanted in the fatal shooting of a 17-yo jersey city girl, was arrested 2day just after 7 am in plymouth borough, pa by the hcpo homicide task force, plymouth pd, pa state police, lycoming co sheriffs, pa state parole + ny/nj regional marshals fugitive task force.",2020-07-28 12:24:29+00:00,,,1288087931333345282,,https://twitter.com/HCPOProsecutor/status/1288087931333345282,0,4,,
it was an honor to join w/the secaucus police department 2nite in honoring the officers who saved a 4-yo boy + a 56-yo woman from a burning building last month by running into the fire unit + catching the child dropped from a 2nd floor unit. thank you for your bravery + service.,2020-07-28 00:15:49+00:00,,#Secaucus,1287904556563734528,,https://twitter.com/HCPOProsecutor/status/1287904556563734528,0,3,,
press release -- driver who struck and killed 24-year-old jersey city woman charged. jerseycity hudsoncounty,2020-07-26 22:11:16+00:00,,#JerseyCity #HudsonCounty,1287510827315212289,,https://twitter.com/HCPOProsecutor/status/1287510827315212289,0,0,,
the hcpo regional collision investigation unit is investigating an incident in which a female pedestrian was struck and sustained serious bodily injury just before 9am this morning in the area of garfield avenue and chapel avenue in jersey city. more info to follow.,2020-07-26 15:09:56+00:00,,,1287404793179381760,,https://twitter.com/HCPOProsecutor/status/1287404793179381760,1,1,,
"two 19yo women + a 24yo man charged in fatal shooting of 17-year-old jersey city girl. jahquell carter remains at large + if seen, do not approach + call police immediately. if you know of carter's whereabouts, call hcpo homicide unit -915-1345. all info kept confidential.",2020-07-25 15:20:10+00:00,,,1287044981031673857,,https://twitter.com/HCPOProsecutor/status/1287044981031673857,0,10,,
the hudson county prosecutor's office homicide unit has charged two 19-year-old women and a 24-year-old man in the july 6th fatal shooting of a 17-year-old jersey city girl. more info to follow.,2020-07-25 11:51:38+00:00,,,1286992503502143488,,https://twitter.com/HCPOProsecutor/status/1286992503502143488,0,3,,
press release – charges against driver in fatal collision in kearny upgraded to include aggravated manslaughter. kearny hudsoncounty,2020-07-23 20:33:45+00:00,,#Kearny #HudsonCounty,1286399122128371721,,https://twitter.com/HCPOProsecutor/status/1286399122128371721,0,0,,
"judge peter bariso swore in 2 new hcpo detectives yosselyn barrios-gonzalez (center right) + rashmika wesley (center left) today. joining the new detectives were chief of detectives keith stith, hudson county prosecutor esther suarez + executive assistant prosecutor gene rubino.",2020-07-21 22:19:50+00:00,,,1285701042152366081,,https://twitter.com/HCPOProsecutor/status/1285701042152366081,0,0,,
our thoughts and deepest sympathies are with judge esther salas & her family following last night’s horrific & senseless act that claimed the life of her son. we are praying for her husband's recovery & that the individual(s) who perpetrated this act are brought to justice.,2020-07-20 12:00:51+00:00,,,1285182884442234881,,https://twitter.com/HCPOProsecutor/status/1285182884442234881,1,4,FBINewark,https://twitter.com/FBINewark/status/1285180369722052614
press release - driver in west new york hit and run that seriously injured a 56-year-old man has been arrested. westnewyork hudsoncounty,2020-07-17 18:03:37+00:00,,#WestNewYork #HudsonCounty,1284187013768458240,,https://twitter.com/HCPOProsecutor/status/1284187013768458240,0,0,,
press release - driver in fatal secaucus hit and run that killed a 35-year-old unioncity woman has been arrested.,2020-07-16 20:38:19+00:00,,#Secaucus #UnionCity,1283863557021601793,,https://twitter.com/HCPOProsecutor/status/1283863557021601793,0,2,,
in custody -- driver wanted in fatal secaucus hit and run has been arrested and is in hcpo custody. more info to follow.,2020-07-16 17:33:46+00:00,,,1283817113250127872,,https://twitter.com/HCPOProsecutor/status/1283817113250127872,0,2,,
congrats to det. yosselyn barrios-gonzalez (ctr rt) + det. rashmika wesley (ctr left) who graduated today from the nj div. of criminal justice police academy in seagirt. det. barrios-gonzalez also received the merit award. welcome to the hcpo! jobwelldone,2020-07-15 20:08:46+00:00,,#Congrats #HCPO #jobwelldone,1283493733317705729,,https://twitter.com/HCPOProsecutor/status/1283493733317705729,0,0,,
 have you seen him? the driver in last week’s fatal hit + run in secaucus has been id’d + charged + the hcpo is seeking the public's help in locating him. david ceausu has known connections to baltimore miami seattle toronto canada,2020-07-15 17:49:53+00:00,,#Secaucus #Baltimore #Miami #Seattle #Toronto #Canada,1283458780760625155,,https://twitter.com/HCPOProsecutor/status/1283458780760625155,1,30,,
our deepest condolences to the jcpd &amp; family of retired police officer jeff vigna who died tragically yesterday. a reminder that resources are available such as the ntl suicide prevention lifeline -800-273-8255 or for law enforcement officers -866-cop2cop (267-2267).,2020-07-11 00:48:24+00:00,,#JCPD,1281752163803435008,,https://twitter.com/HCPOProsecutor/status/1281752163803435008,0,1,,
thank you for bringing this to our attention. we have informed our it personnel who are looking into the issue.,2020-07-10 23:51:27+00:00,,,1281737831912747014,,https://twitter.com/HCPOProsecutor/status/1281737831912747014,0,0,amywilson,
press release – 30-year-old man fatally shot on clerk street and forrest street in jersey city. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/30-year-old-man-fatally-shot-in-jersey-city/ jerseycity hudsoncounty,2020-07-10 20:20:48+00:00,,#JerseyCity #HudsonCounty,1281684821635411970,,https://twitter.com/HCPOProsecutor/status/1281684821635411970,1,4,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/30-year-old-man-fatally-shot-in-jersey-city/
the hudson county prosecutor's office homicide unit and jersey city police department are investigating a fatal shooting of a 30-year-old male on clerk and forrest street in jersey city. more info to follow.,2020-07-10 17:47:08+00:00,,,1281646148453666816,,https://twitter.com/HCPOProsecutor/status/1281646148453666816,0,2,,
press release – hcpo regional collision investigation unit searching for driver in secaucus hit and run that killed a 35-year-old union city woman. vehicle described as 2017-2019 chevy suburban or tahoe. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-investigating-hit-and-run-that-killed-35-year-old-woman/ secaucus hudsoncountytw,2020-07-07 14:59:45+00:00,,#Secaucus #HudsonCountytw,1280516862116278272,,https://twitter.com/HCPOProsecutor/status/1280516862116278272,0,1,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-investigating-hit-and-run-that-killed-35-year-old-woman/
press release – 17-year-old girl fatally shot in jersey city. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/17-year-old-girl-fatally-shot-in-jersey-city/ jerseycity hudsoncounty,2020-07-07 13:50:19+00:00,,#JerseyCity #HudsonCounty,1280499388805234696,,https://twitter.com/HCPOProsecutor/status/1280499388805234696,0,1,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/17-year-old-girl-fatally-shot-in-jersey-city/
the hudson county prosecutor's office regional collision investigation unit is investigating a fatal hit and run that occurred last night on the route 3 service road in secaucus that killed a 35-year-old union city woman. more info to follow.,2020-07-07 11:54:43+00:00,,,1280470298970783744,,https://twitter.com/HCPOProsecutor/status/1280470298970783744,0,0,,
the hudson county prosecutor's office homicide unit is investigating a fatal shooting of a 17-year-old girl that occurred just after 10:30pm last night in the area of rutgers avenue and sheffield avenue in jersey city. more info to follow.,2020-07-07 10:24:57+00:00,,,1280447706406834176,,https://twitter.com/HCPOProsecutor/status/1280447706406834176,0,7,,
press release – hcpo investigating the death of two people found in hudson river in jersey city. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-investigating-death-of-two-people-found-in-hudson-river/ jerseycity hudsoncounty,2020-07-05 01:02:27+00:00,,#JerseyCity #HudsonCounty,1279581373490253824,,https://twitter.com/HCPOProsecutor/status/1279581373490253824,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-investigating-death-of-two-people-found-in-hudson-river/
the hudson county prosecutor's office homicide unit is investigating a body that was found in the hudson river on the jersey city waterfront near the colgate clock shortly before 2pm. more info to follow.,2020-07-04 20:10:59+00:00,,,1279508022503628800,,https://twitter.com/HCPOProsecutor/status/1279508022503628800,1,3,,
press release – crash that killed 26-year-old jersey city pedestrian under investigation. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/crash-that-killed-jersey-city-pedestrian-under-investigation/ jerseycity hudsoncounty,2020-07-04 15:27:41+00:00,,#JerseyCity #HudsonCounty,1279436729179688960,,https://twitter.com/HCPOProsecutor/status/1279436729179688960,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/crash-that-killed-jersey-city-pedestrian-under-investigation/
the hudson county prosecutor's office regional collision investigation unit is investigating an incident in which a pedestrian was fatally struck on summit avenue near hopkins avenue in jersey city early this morning. more info to follow.,2020-07-04 13:42:22+00:00,,,1279410225234300929,,https://twitter.com/HCPOProsecutor/status/1279410225234300929,0,1,,
the hudson county prosecutor's office homicide unit is investigating a body that was found in the hudson river on the jersey city waterfront near harborside. more info to follow.,2020-07-04 13:32:32+00:00,,,1279407750754242563,,https://twitter.com/HCPOProsecutor/status/1279407750754242563,0,2,,
press release – hcpo homicide unit investigating union city death. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-homicide-unit-investigating-union-city-death/ unioncity hudsoncounty,2020-07-03 19:59:06+00:00,,#UnionCity #HudsonCounty,1279142644770197505,,https://twitter.com/HCPOProsecutor/status/1279142644770197505,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/hcpo-homicide-unit-investigating-union-city-death/
the hudson county prosecutor's office homicide unit and union city police are investigating the death of a male who was found unresponsive in an apartment on palisade avenue and 21st street in union city. more info to follow.,2020-07-03 13:44:25+00:00,,,1279048352152289281,,https://twitter.com/HCPOProsecutor/status/1279048352152289281,0,6,,
sending our deepest condolences to the north bergen police department and the family of special law enforcement officer steven bonilla who tragically passed today. please keep his co-workers and family in your thoughts. northbergen hudsoncounty,2020-07-02 23:00:39+00:00,,#northbergen #hudsoncounty,1278825945277902848,,https://twitter.com/HCPOProsecutor/status/1278825945277902848,0,0,,
"it was an honor to be a part of the law enforcement panel at the forum held today by blesc about racial disparities in policing, healthcare, education and other areas. thank you to the organizers and those who attended for being part of this important discussion.",2020-06-29 23:09:30+00:00,,,1277741009917657092,,https://twitter.com/HCPOProsecutor/status/1277741009917657092,0,0,,
press release – driver in west new york fatal crash pleads guilty to death by auto. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/driver-in-west-new-york-fatal-crash-pleads-guilty/ hudsoncounty westnewyork,2020-06-29 22:26:58+00:00,,#HudsonCounty #WestNewYork,1277730304694902790,,https://twitter.com/HCPOProsecutor/status/1277730304694902790,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/driver-in-west-new-york-fatal-crash-pleads-guilty/
press release – bloomfield man charged with aggravated sexual assault in jersey city. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/bloomfield-man-charged-with-sexual-assault/ hudsoncounty jerseycity,2020-06-27 22:11:36+00:00,,#HudsonCounty #JerseyCity,1277001662054510593,,https://twitter.com/HCPOProsecutor/status/1277001662054510593,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/bloomfield-man-charged-with-sexual-assault/
"hudson county prosecutor esther suarez is looking forward to joining blesc at this community discussion on issues about racial disparities, law enforcement, education and health. hudsoncounty",2020-06-25 18:10:09+00:00,,#hudsoncounty,1276216122212220928,,https://twitter.com/HCPOProsecutor/status/1276216122212220928,0,0,,
press release – union city man pleads guilty to aggravated manslaughter in 2018 stabbing death of queens woman. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/union-city-man-pleads-guilty-to-aggravated-manslaughter/ hudsoncounty unioncity,2020-06-24 17:31:59+00:00,,#HudsonCounty #UnionCity,1275844132469080064,,https://twitter.com/HCPOProsecutor/status/1275844132469080064,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/union-city-man-pleads-guilty-to-aggravated-manslaughter/
press release – woman who injured port authority police officer in april crash faces additional charge. https://www.hudsoncountyprosecutorsofficenj.org/press_releases/woman-who-injured-papd-officer-faces-additional-charge/ hudsoncounty jerseycity,2020-06-23 16:11:10+00:00,,#HudsonCounty #JerseyCity,1275461404053692416,,https://twitter.com/HCPOProsecutor/status/1275461404053692416,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/woman-who-injured-papd-officer-faces-additional-charge/
press release – former union officials charged with theft of pension funds https://www.hudsoncountyprosecutorsofficenj.org/press_releases/former-union-officials-charged-with-theft-of-pension-funds/ hudsoncounty bayonne jerseycity,2020-06-22 19:04:04+00:00,,#HudsonCounty #Bayonne #JerseyCity,1275142527629365248,,https://twitter.com/HCPOProsecutor/status/1275142527629365248,0,0,,https://www.hudsoncountyprosecutorsofficenj.org/press_releases/former-union-officials-charged-with-theft-of-pension-funds/
