text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
they tried to use tegretol for nerve pain. bp went from 102/64 to 104/165 w/in 3 days.,2020-07-26 18:22:13+00:00,,,1287453183367737344,,https://twitter.com/JGillespie67/status/1287453183367737344,0,0,ThomasKlineMD,
"benzos are a required part of my thwart cocktail for cyclic vomiting syndrome. i've barrett's and bad teeth the result of cvs since i was 4yo. also take them for severe spasm, hypermobile eds and seroneg ra, undx, untx. i've used them together for 20+ yrs, no trouble, ever. cpp",2020-07-26 18:19:36+00:00,,#CPP,1287452525373710336,,https://twitter.com/JGillespie67/status/1287452525373710336,0,0,ThomasKlineMD,
"yeah, call the dr's office, the one who cut you off. telling drs you are suicidal only results in one thing, the cops showing up at your house for a wellness check and 72 hours on a psych hold. you seem very out of touch with the plight of cpp.",2020-07-20 16:42:46+00:00,,#CPP,1285253827671683072,,https://twitter.com/JGillespie67/status/1285253827671683072,0,0,StefanKertesz,
"this hotline and others like it, understand almost nothing about cpp issues. the old saying, ""suicide is a permanent solution to a temporary problem"" does not apply to cpp in cpp, suicide is a permanent solution to a permanent problem in constant decline.",2020-07-20 16:38:25+00:00,,#CPP #CPP #CPP,1285252736171347969,,https://twitter.com/JGillespie67/status/1285252736171347969,0,0,StefanKertesz,
many of the covid-19 patients are joining cpp due to joint pain as a result of the disease. a whole new wave of cpp are being created.,2020-07-18 14:24:22+00:00,,#CPP #CPP,1284494223320870912,,https://twitter.com/JGillespie67/status/1284494223320870912,0,1,ThomasKlineMD,
"absurd , torture",2020-07-14 02:31:42+00:00,,,1282865323511672833,,https://twitter.com/JGillespie67/status/1282865323511672833,0,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1282706825448763392
"drs are in a very tough spot. doesn't excuse callous behavior, lies to patients. i think many patients don't fully appreciate what it means to be a prescriber these days. how many jobs come with threat of persecution for doing exactly what you were educated and hired to do?cpp",2020-07-13 21:05:04+00:00,,#CPP,1282783124162842627,,https://twitter.com/JGillespie67/status/1282783124162842627,0,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1279988620925992961
"no. they're having difficulty reconciling treating patients and being threatened by dea. dea comes in,shuts clinic down, bags evidence, tells the dr. if he doesn't comply, they will close his practice, charge him, fine him, seize his property & money so he can't defend himself. ",2020-07-13 20:58:20+00:00,,,1282781430368501760,,https://twitter.com/JGillespie67/status/1282781430368501760,0,0,ThomasKlineMD,
"now they are doing cheek swabs, like the ones the perform for dna tests ",2020-07-03 23:37:28+00:00,,,1279197597907816448,,https://twitter.com/JGillespie67/status/1279197597907816448,1,0,nonni28,
" are you listening? you should. compassion is free, lawsuits cost money.",2020-06-28 16:30:28+00:00,,,1277278201643859968,@MarshallMedical,https://twitter.com/JGillespie67/status/1277278201643859968,0,0,DanLairdMD,https://twitter.com/DanLairdMD/status/1251511740719742977
where is jeff epstein? ,2020-06-28 16:26:44+00:00,,,1277277260358094848,,https://twitter.com/JGillespie67/status/1277277260358094848,0,0,JJsNini,
"also, those in uk can buy small amounts of codeine otc. hence, their ""opiate crisis"" ""seems"" less. otc= zero rx",2020-06-27 08:21:10+00:00,,,1276792677132976129,,https://twitter.com/JGillespie67/status/1276792677132976129,1,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1276545973590917122
and insurance companies with their  who refuse cpp their prescribed pain medicines forcing us to either pay cash or go without?,2020-06-27 06:43:59+00:00,,#CPP,1276768220779704320,@ExpressScripts,https://twitter.com/JGillespie67/status/1276768220779704320,0,0,ThomasKlineMD,
