text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
" i had yellow and green flem this morning, while the pain level has reduced somewhat and a bit more motility, it is certain i need around the clock severe pain relief and methadone (physeptone) could be considered being very potent and has a long acting half life.",2020-07-30 08:27:33+00:00,,,1288753082071801856,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1288753082071801856,1,0,,
 i was at the qe2 hospital emergency this afternoon to make sure i didn't have a risk of sepsis from infection originating out of the injury to my jaw that tore ligament and saw the huge line for covid 19 testing. i am now on the stronger phenoxymethylpenicillan.,2020-07-30 08:18:01+00:00,,,1288750681692598275,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1288750681692598275,1,0,,
 just as i thought i was getting better after surgery i have ruptured my jaw ligament and has caused extreme pain and struggling to eat and having a lot of migraine type pain that has been difficult to control but did helpful emdr on it with a psychologist today.,2020-07-29 06:42:25+00:00,,,1288364238528905216,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1288364238528905216,0,0,,
 the stitches over the area where the bone had to be removed to extract the tooth constrict movement ability in the jaw leading to serious throbbing pain trying to get normal jaw movement again after the surgery taking a lot of pain relief to be able to control it.,2020-07-27 09:52:38+00:00,,,1287687329809723393,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287687329809723393,0,0,,
" i have had severe jaw pain as the stitches from wisdom tooth surgery have almost dissolved and getting complications from issues with the nerve injury. finally after 4 doses of immediate release palexia in a short time, a total of 200mg the pain is under control.",2020-07-27 09:42:10+00:00,,,1287684698966114305,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287684698966114305,1,0,,
 once i had the first tablet of palexia ir yesterday afternoon two days after surgery i knew that i was well enough to go the cinema today 3 days after the surgery and has substantially reduced the disabling impact of the pain that was previously left uncontrolled.,2020-07-26 11:57:23+00:00,,,1287356336070520832,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287356336070520832,0,0,,
" tapentadol is not a pro drug so does not require metabolism by the liver via the cyp2d6 enzyme to be active like codeine and tramadol do and start to feel it within only a few minutes, being active from when taken, ir cut in half of 50mg, 25mg is still very strong.",2020-07-26 11:44:58+00:00,,,1287353212039643138,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287353212039643138,1,0,,
" the noradrenaline component of the tapentadol is useful for situations with rapidly increasing severe pain levels, the palexia immediate release is able to treat hypotension quickly as well as relieving pain along with the strong opiate effect on pain receptors.",2020-07-26 11:15:35+00:00,,,1287345819176165376,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287345819176165376,1,0,,
" i passed out for 4 hours on friday night due to escalating extreme nerve pain in my jaw &amp; had gone into a neurogenic shock syndrome that can cause dangerous and life threatening hypotension, i woke up late in the 2nd half of broncos v storm then had seen the score.",2020-07-26 10:49:02+00:00,,,1287339137322770433,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287339137322770433,1,0,,
" the wisdom tooth caused damage to my inferior alveolar nerve well before the surgery to remove the tooth and instead of being numb for 3-4 weeks as the oral surgeon thought it would be, it is the complete opposite and has caused very severe and unexpected jaw pain.",2020-07-26 10:30:32+00:00,,,1287334482224193536,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1287334482224193536,1,0,,
" i am now on palexia 50mg in the immediate release version after my jaw and mouth opening had muscular paralysis due to excruciating pain and was a big struggle to be able to eat much, 2 tablets of panadeine forte was a lot less effective on it compared to palexia.",2020-07-25 09:37:58+00:00,,,1286958864257052673,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1286958864257052673,1,0,,
 wisdom tooth surgery had complications with the roots of the tooth entangled in my inferior alveolar nerve and had cut off blood supply from under the gum to my right cheek so was delicate to do. recovery will take weeks for the numbness and nerve pain to ease.,2020-07-25 09:26:48+00:00,,,1286956053041569792,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1286956053041569792,1,0,,
 it was back in 2009 when i was at  that i first had issues with sensitivity eating with top wisdom teeth partially breaking through with insufficient room. this was back when nurofen plus was only schedule 2 &amp; easily sold in pharmacy before may 2010.,2020-07-23 02:27:06+00:00,,,1286125659186556928,@7NewsBrisbane @brisbaneSHS,https://twitter.com/JoshuaWarrenDav/status/1286125659186556928,0,0,,
" view of melbourne and cordelia streets from south bank day hospital, south brisbane and west end feels like a cbd on its own. the apartments are placing a big demand on  with construction underway for more of these high rise residential towers.",2020-07-23 02:19:04+00:00,,,1286123636126957568,@7NewsBrisbane @brisbaneSHS,https://twitter.com/JoshuaWarrenDav/status/1286123636126957568,1,0,,
 it would be an immediately noticeable improvement to have capacity increased by a third in that the lines would clear quicker the more buses can stop at once.,2020-07-22 05:26:48+00:00,,,1285808493832757249,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1285808493832757249,0,0,,
" cultural centre has 4 spots for each platform, but is a choke point at the moment with too many buses and south bank having only 3 stops.",2020-07-22 05:21:06+00:00,,,1285807059460489216,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1285807059460489216,1,0,,
 the platform at south bank busway station needs to be extended to allow an extra bus 4th bus to pull up with the overcrowding getting worse with the number of students  and there's is enough space to extend it further above the road on tribune st.,2020-07-22 05:19:05+00:00,,,1285806549810573313,@7NewsBrisbane @brisbaneSHS,https://twitter.com/JoshuaWarrenDav/status/1285806549810573313,1,0,,
" being a decision of an administrative nature an application to supreme court could be made for a judicial review under the judicial review act 1991 of the self isolation direction made by health authorities, if the increased risk was disputed by the person.",2020-07-21 22:36:41+00:00,,,1285705281595478017,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1285705281595478017,0,0,,
 significantly if someone is ordered into self isolation there isn't a direct way to have that decision reviewed if there is disagreement between someone and health authorities as to a person's increased risk of covid-19. lawyers would need to be remotely engaged.,2020-07-21 22:33:31+00:00,,,1285704486086901765,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1285704486086901765,1,0,,
 there will always be those who believe covid-19 to be a conspiracy theory or put their liberty ahead of anything else and that might have been the attitude of some of the 185 people in queensland who are meant to be in self isolation but cannot be located.,2020-07-21 22:27:40+00:00,,,1285703015014555655,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1285703015014555655,1,0,,
" the cricket balls are much more dangerous to be hit by than a football as they are so hard and can cause serious injury or death in an unlucky freak accident as with phil hughes, a commentary box got smashed in with glass everywhere in an oversees test match.",2020-07-19 04:25:21+00:00,,,1284705866797600769,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1284705866797600769,0,0,,
" gosford's central coast stadium has a busy road behind one of the goal posts, unsuspecting motorists could potentially be hit by an  footy if the kick was well over the dead ball line. a cricket ball made it over the perimeter at the gabba once from memory.",2020-07-19 04:18:18+00:00,,,1284704088593035269,@7NewsBrisbane @NRL,https://twitter.com/JoshuaWarrenDav/status/1284704088593035269,1,0,,
 the 170 wasn't due until 12:43pm so would have still been waiting for it now.,2020-07-19 02:39:27+00:00,,,1284679212410912768,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1284679212410912768,0,0,,
 just heard over the bus radio the protests at kangaroo point are making the gabba gridlock worse it's no wonder it's so slow even in the busway causing issues for routes using the gabba busway station. the 170 that bypasses the gabba is only hourly on sundays.,2020-07-19 02:37:37+00:00,,,1284678754359361538,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1284678754359361538,1,0,,
 still a few years until cross river rail is complete for the gabba to ease traffic in the area on the chocked road arterials. it has taken a long time for the government to get the work going as was first looked at well over a decade ago now due to peak crowds.,2020-07-19 02:34:01+00:00,,,1284677846233829376,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1284677846233829376,1,0,,
 the  has caused some traffic gridlock and was tricky for the 174 bus to get out of the gabba area with traffic queuing accross the intersection and the bus only just made it through as the traffic light was on amber by the time the bus reached the intersection.,2020-07-19 02:28:08+00:00,,,1284676365862629381,@7NewsBrisbane @AFL,https://twitter.com/JoshuaWarrenDav/status/1284676365862629381,1,0,,
 pancreatitis pain eventually settled when enough of the tramadol slow release tablet was released after metabolism and anti-histamine polaramine and anti-reflux medication losec was also taken to manage stomach acidity that was a contributing to the inflammation.,2020-07-16 08:31:50+00:00,,,1283680730359328768,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1283680730359328768,0,0,,
" after stopping all the blood thinners a week out from surgery, i am now on the higher strength tramadol sr 100mg and panamax co, equivalent to the old panadeine 8mg and can still use lyrica for nerve pain. without nsaid's, i had pancreatitis pain this afternoon.",2020-07-16 08:19:38+00:00,,,1283677658946002944,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1283677658946002944,1,0,,
 if victoria goes into stage 4 people those with chronic health conditions and obesity should be exempted from tougher lock-down restrictions at home in regards to being essential exercise being a duty of care to balance covid-19 risk with other health conditions.,2020-07-16 02:16:57+00:00,,,1283586389787865089,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1283586389787865089,0,0,,
" if people refuse to cooperate and won't get on a return fight, become abusive, make threats and or turn violent then arrest with remand in custody under quarantine would be the only option as would present a security risk to force them on a return flight.",2020-07-14 08:29:21+00:00,,,1282955329873997824,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282955329873997824,0,0,,
 situations like this may cause people not to cooperate with authority and refuse to go back interstate. it would further create an increased risk of queensland and afp officers being assaulted inside the airport terminal if someone loses it over a sudden change.,2020-07-14 08:20:21+00:00,,,1282953066338082816,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282953066338082816,1,0,,
" that was too short notice and quite a blunder by the government with the declaration of the hotspots catching people out in the middle of the day changing it so quickly on incoming flights, it should have been midnight when there are fewer flights late at night.",2020-07-14 08:14:08+00:00,,,1282951500583432195,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282951500583432195,1,0,,
  the  a330's should be upgraded to include the new larger premium economy seats for longer domestic travel like east coast to perth once the wa border opens and for shorter to medium length international destinations once they open up again.,2020-07-14 07:39:26+00:00,,,1282942768864608256,@7NewsBrisbane @CharlieCaslick @Qantas,https://twitter.com/JoshuaWarrenDav/status/1282942768864608256,0,0,,
"  now the qantas 747's are retired it is not known yet whether qantas will use the super jumbo a380, smaller twin aisle a330 or more fuel efficient boeing 787 dreamliner for transporting athletes to and from the postponed tokyo 2021 olympics.",2020-07-14 07:00:52+00:00,,,1282933063295528962,@7NewsBrisbane @CharlieCaslick,https://twitter.com/JoshuaWarrenDav/status/1282933063295528962,1,0,,
" if victoria moves to stage 4 for melbourne, mornington peninsula shire should be removed from restricted status or downgraded to stage 1 or 2 as it cannot be considered a hotspot and that some ferry travel from sorrento and queenscliff should be allowed there.",2020-07-14 06:20:02+00:00,,,1282922786508300288,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282922786508300288,1,0,,
" with few cases of covid-19 in qld and qsac such as large stadium it will allow  to hold the athletics carnival at the end of july; it was in doubt around may when all year levels went back, library was closed, did not play any sports or hold assemblies.",2020-07-13 05:14:52+00:00,,,1282543997584457735,@7NewsBrisbane @brisbaneSHS,https://twitter.com/JoshuaWarrenDav/status/1282543997584457735,0,0,,
" the delayed 2021 olympics are set to begin in july and if done around the same time of year as the 90th anniversary celebrations that were done in july 2011 would be a clash in timing, but they should be able to move it earlier or later than the tokyo olympics.",2020-07-13 05:02:12+00:00,,,1282540811599536128,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282540811599536128,1,0,,
" today is 13 years to the day i began  on friday july 13 2007, which falls on a monday in 2020, 2021 will be my 10th year graduation anniversary and the school centenary anniversary whilst past or current students may be away then at the tokyo olympics.",2020-07-13 04:58:06+00:00,,,1282539777493921792,@7NewsBrisbane @brisbaneSHS,https://twitter.com/JoshuaWarrenDav/status/1282539777493921792,1,0,,
" with antibodies from covid-19 for those who have recovered, if numbers get totally out of control in victoria it is unclear why they could not try for a target of herd immunity in clusters of those who have recovered from the illness to protect without a vaccine.",2020-07-12 02:11:26+00:00,,,1282135449289408512,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282135449289408512,0,0,,
" another 273 covid 19 cases in victoria, it seems like its becoming a loosing battle to control the rise in numbers in victoria, hard to know if it will get to 500-1000 cases in a day. parents are going to have a hard time again with the home schooling most grades.",2020-07-12 01:59:18+00:00,,,1282132394804314118,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1282132394804314118,1,0,,
 at least the wait is shorter until season 2021 with the 2020 season finish later in october for those who miss the top 8 and hopefully more of a normal season in 2021.,2020-07-11 12:36:05+00:00,,,1281930257008750592,@7NewsBrisbane,https://twitter.com/JoshuaWarrenDav/status/1281930257008750592,0,0,,
