text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
no whey!,2020-07-30 22:47:32+00:00,,,1288969503221538817,,https://twitter.com/KeithNHumphreys/status/1288969503221538817,0,0,KoehlerJA,
"by far the most innovative cheese is edam, because it's made backwards.",2020-07-30 21:55:41+00:00,,,1288956457933651968,,https://twitter.com/KeithNHumphreys/status/1288956457933651968,8,11,,
"i found this an example of ""just because you can, doesn't mean you should""",2020-07-30 21:47:59+00:00,,,1288954516532912128,,https://twitter.com/KeithNHumphreys/status/1288954516532912128,2,0,hilzoy,
opioid manufacturers under indictment for conspiring to explode prescribing in italy following purdue pharma's us playbook.,2020-07-30 20:31:22+00:00,,,1288935238433832960,,https://twitter.com/KeithNHumphreys/status/1288935238433832960,0,4,,https://apnews.com/d384c975e039474e8b93e11b9ace18e0
"yes, it runs rings around the others. i can show myself out, thanks.",2020-07-30 15:19:50+00:00,,,1288856836402081792,,https://twitter.com/KeithNHumphreys/status/1288856836402081792,0,0,laurahelmuth,
"covid__19 deaths exceed 1,050/day, highest since may 24.",2020-07-30 14:28:14+00:00,,#COVID__19,1288843853269614599,,https://twitter.com/KeithNHumphreys/status/1288843853269614599,1,6,,
what do they call upside-down cake in australia? cake.,2020-07-30 11:20:00+00:00,,,1288796480199962625,,https://twitter.com/KeithNHumphreys/status/1288796480199962625,3,1,,
"some of my favorite photos at the white house. truman thought it would damage our prestige to tear down the outer walls, so they kept up the shell and fixed the rest.",2020-07-29 23:36:04+00:00,,,1288619331526385665,,https://twitter.com/KeithNHumphreys/status/1288619331526385665,1,0,NormOrnstein,
"well sure, but otherwise very reasonable. ",2020-07-29 20:07:04+00:00,,,1288566732878045185,,https://twitter.com/KeithNHumphreys/status/1288566732878045185,0,0,magi_jay,
,2020-07-29 17:02:46+00:00,,,1288520353216475136,,https://twitter.com/KeithNHumphreys/status/1288520353216475136,0,0,NormOrnstein,
"emotionally satisfying and simple solutions earn twitter like. but there is very little investment in developing therapies for addiction. seizing one of the few effective medications would discourage further developments of therapies, which would cost lives in the future.",2020-07-29 16:35:44+00:00,,,1288513549803782148,,https://twitter.com/KeithNHumphreys/status/1288513549803782148,0,0,carrderekh,
a lot of people are saying this.,2020-07-29 16:31:04+00:00,,,1288512375386120192,,https://twitter.com/KeithNHumphreys/status/1288512375386120192,0,0,DavidJuurlink,
i don't know. but there's no need to do that (which would have adverse effects on addicted people -- companies would not take the risks to develop more medications if seizure was a possibility). government could buy ezvio patent for less than a billion i would think.,2020-07-29 15:36:38+00:00,,,1288498679372869632,,https://twitter.com/KeithNHumphreys/status/1288498679372869632,2,0,ZachWritesStuff,
my own hack is not to focus on email until writing for the day is done.,2020-07-29 14:06:59+00:00,,,1288476115275718659,,https://twitter.com/KeithNHumphreys/status/1288476115275718659,0,0,Bill_Gardner,
this is good news for humanity. congratulations  !!,2020-07-29 13:37:36+00:00,,,1288468720675721221,@vvchambers,https://twitter.com/KeithNHumphreys/status/1288468720675721221,0,0,,https://www.nytco.com/press/promotion-for-veronica-chambers/
"my colleague  points out that the us government could buy the patent of a naloxone product (e.g., evzio) and then make it available to the public.",2020-07-29 13:36:00+00:00,,,1288468320996360193,@PatentScholar,https://twitter.com/KeithNHumphreys/status/1288468320996360193,2,0,coreysdavis,
"question is whether there would be any if it were otc -- insurance won't pay, price drops, may not be profitable and hence won't get made. alternative proposed by a colleague: the us buys the patent for, say, evzio, and gives it away for free.",2020-07-29 13:32:17+00:00,,,1288467384190136322,,https://twitter.com/KeithNHumphreys/status/1288467384190136322,1,0,ZachWritesStuff,
"i attended a jewish wedding which had been moved outside. i appreciated the couple's caution, but dancing in 90 degree weather was hora frying.",2020-07-29 11:04:00+00:00,,,1288430066309853189,,https://twitter.com/KeithNHumphreys/status/1288430066309853189,5,1,,
,2020-07-29 02:55:00+00:00,,,1288307006663585794,,https://twitter.com/KeithNHumphreys/status/1288307006663585794,0,0,ThatEricAlper,https://www.youtube.com/watch?v=t4Tu2IiZ3to
"would be interested to know if they grew other public sector union job as well, and if so whether they did so more or less than the police.",2020-07-29 02:31:29+00:00,,,1288301089549242368,,https://twitter.com/KeithNHumphreys/status/1288301089549242368,0,0,ChaseMadar,
public sector union jobs in the police and prisons are politically hard for liberals to cut.,2020-07-29 02:01:15+00:00,,,1288293479966101505,,https://twitter.com/KeithNHumphreys/status/1288293479966101505,1,0,ChaseMadar,
except sweden!,2020-07-28 23:00:14+00:00,,,1288247925445820416,,https://twitter.com/KeithNHumphreys/status/1288247925445820416,1,0,germanrlopez,
+10000,2020-07-28 22:56:06+00:00,,,1288246886151815168,,https://twitter.com/KeithNHumphreys/status/1288246886151815168,0,0,EminaMelonic,
"i agreee, or least mostly agree.",2020-07-28 22:54:03+00:00,,,1288246367551287297,,https://twitter.com/KeithNHumphreys/status/1288246367551287297,1,0,itaisher,
good point -- thanks.,2020-07-28 21:22:14+00:00,,,1288223262648934400,,https://twitter.com/KeithNHumphreys/status/1288223262648934400,0,0,BlueSteelStef,
"makes sense, and i am sure twitter will -- as ever -- do justice to that complexity.",2020-07-28 21:21:37+00:00,,,1288223106071289856,,https://twitter.com/KeithNHumphreys/status/1288223106071289856,2,1,dropgop86,
this is also just hard no matter what i think.,2020-07-28 20:57:25+00:00,,,1288217016608804864,,https://twitter.com/KeithNHumphreys/status/1288217016608804864,1,0,MikeShor,
"if you want to hear 5 definitions of ""the war on drugs"" talk to 3 people.",2020-07-28 20:55:59+00:00,,,1288216657672847361,,https://twitter.com/KeithNHumphreys/status/1288216657672847361,0,0,germanrlopez,
don't know -- one possibility is that sweden frontloaded infections and now a higher proportion of their population has antibodies.,2020-07-28 20:47:45+00:00,,,1288214584818462720,,https://twitter.com/KeithNHumphreys/status/1288214584818462720,4,1,dropgop86,
"reversal of european covid19 pattern in last month: sweden now improving, other countries doing worse.",2020-07-28 20:13:01+00:00,,#COVID19,1288205844799041536,,https://twitter.com/KeithNHumphreys/status/1288205844799041536,44,234,,
+1,2020-07-28 18:03:53+00:00,,,1288173347470102528,,https://twitter.com/KeithNHumphreys/status/1288173347470102528,0,0,SciMeditations,
i'm a whiz at this sort of thing.,2020-07-28 17:47:46+00:00,,,1288169291888463873,,https://twitter.com/KeithNHumphreys/status/1288169291888463873,0,0,JohnKRoman,
"murinal is a fine neologism, flowing out like a golden shaft of light when all is dark around us.",2020-07-28 17:44:56+00:00,,,1288168577967636480,,https://twitter.com/KeithNHumphreys/status/1288168577967636480,1,0,JohnKRoman,
"in fairness, i think the tree would have died from that much pee a long time ago.",2020-07-28 17:28:25+00:00,,,1288164419336192000,,https://twitter.com/KeithNHumphreys/status/1288164419336192000,1,0,JohnKRoman,
how much we love those websites that ask us to generate a password and only once it's been rejected explain the particular password rules for the particular site. bless your hearts.,2020-07-28 17:27:36+00:00,,,1288164216810029057,,https://twitter.com/KeithNHumphreys/status/1288164216810029057,4,2,,
"sounds like him, but don't know if he coined it.",2020-07-28 16:48:16+00:00,,,1288154317472460801,,https://twitter.com/KeithNHumphreys/status/1288154317472460801,0,0,FBoondoggle,
idk. smdh.,2020-07-28 14:24:07+00:00,,,1288118041801187338,,https://twitter.com/KeithNHumphreys/status/1288118041801187338,0,0,ZachWritesStuff,
dramatically increased acronym usage over time (diaut) is a well-documented phenomenon.,2020-07-28 14:19:01+00:00,,,1288116755647197184,,https://twitter.com/KeithNHumphreys/status/1288116755647197184,2,0,davelevitan,
"good to monitor this. one detail to add: gender diversity in science correlates strongly with national wealth, so there is tension between some of these dimensions.",2020-07-28 13:04:20+00:00,,,1288097962199941121,,https://twitter.com/KeithNHumphreys/status/1288097962199941121,1,0,GlobalHealthBMJ,https://twitter.com/GlobalHealthBMJ/status/1288022844627193857
"there is definitely error in a raw daily count, which is why a 7-day rolling average is useful, e.g., any monday effect is eliminated by being spread equally over all 7 days of the week.",2020-07-28 12:45:26+00:00,,,1288093204441522176,,https://twitter.com/KeithNHumphreys/status/1288093204441522176,0,0,i_am_mr_krabs,
ft uses a 7-day moving average so even if there was a dump of that size on a single day it wouldn't affect the shape and direction of the curve.,2020-07-28 12:33:02+00:00,,,1288090083036282881,,https://twitter.com/KeithNHumphreys/status/1288090083036282881,1,0,i_am_mr_krabs,
"i'm glad. it's an oldie, but a goodie.",2020-07-28 12:14:58+00:00,,,1288085539690655746,,https://twitter.com/KeithNHumphreys/status/1288085539690655746,1,0,davidthekick,
us covid19 deaths break over 1000 a day. the 50% drop in daily deaths in june has been completely reversed.,2020-07-28 12:14:20+00:00,,#Covid19,1288085378788814850,,https://twitter.com/KeithNHumphreys/status/1288085378788814850,7,18,,
"i want to die peacefully in my sleep, like my grandfather, not screaming in terror like his passengers.",2020-07-28 11:48:00+00:00,,,1288078750907736064,,https://twitter.com/KeithNHumphreys/status/1288078750907736064,1,4,,
"could be, but that isn't what this poll measures. it only asks about use, not production and sale.",2020-07-28 02:40:16+00:00,,,1287940909783425024,,https://twitter.com/KeithNHumphreys/status/1287940909783425024,0,0,ZachWritesStuff,
i want to read this when he's done with it.,2020-07-28 00:09:57+00:00,,,1287903081900826624,,https://twitter.com/KeithNHumphreys/status/1287903081900826624,1,7,,
"after his disastrous performance in the 1976 vice-presidential debate, bob dole told reporters the next day ""i slept like a baby; i woke up every 10 minutes and cried"".",2020-07-27 20:39:10+00:00,,,1287850038060695552,,https://twitter.com/KeithNHumphreys/status/1287850038060695552,0,0,madras_bertha,
nethersex has a future.,2020-07-27 16:37:08+00:00,,,1287789125509066753,,https://twitter.com/KeithNHumphreys/status/1287789125509066753,1,0,ChaseMadar,
"yes, this is naive. imagine a story saying ""we know that americans exercise and have a healthy diet because they said these were good ideas in a poll"".",2020-07-27 16:15:29+00:00,,,1287783677372403717,,https://twitter.com/KeithNHumphreys/status/1287783677372403717,0,0,germanrlopez,
"americans also highly endorse exercise, a healthy diet, safe sex, and a lot of other behaviors in which they don't necessarily engage, which is why behavior health researchers never equate expressed attitudes with behavior.",2020-07-27 16:13:56+00:00,,,1287783290389139470,,https://twitter.com/KeithNHumphreys/status/1287783290389139470,0,3,DKThomp,
er visit waiting to happen.,2020-07-27 15:28:49+00:00,,,1287771935103803398,,https://twitter.com/KeithNHumphreys/status/1287771935103803398,0,0,four4thefire,
also bizarre that if i want to study cannabis i have to fill out 100 pages of forms but if i want to smoke it i can just walk across the street and buy it.,2020-07-27 15:27:49+00:00,,,1287771683768524800,,https://twitter.com/KeithNHumphreys/status/1287771683768524800,0,0,profhrs,
"i recognize those opening lines, i wish i had saved it so that we could compare senders -- perhaps its the equivalent of a form letter that circulates on some sub-reddit.",2020-07-27 15:26:49+00:00,,,1287771433150509064,,https://twitter.com/KeithNHumphreys/status/1287771433150509064,0,0,donmoyn,
fwiw i have gotten this very same email.,2020-07-27 15:12:31+00:00,,,1287767834135683075,,https://twitter.com/KeithNHumphreys/status/1287767834135683075,1,0,donmoyn,
"gorgeous, thanks for sharing this with the mountaineer diaspora.",2020-07-27 14:36:23+00:00,,,1287758739223715841,,https://twitter.com/KeithNHumphreys/status/1287758739223715841,0,1,MegTheSavage,
thank god it's friday. what a week.,2020-07-27 13:40:24+00:00,,,1287744651361783808,,https://twitter.com/KeithNHumphreys/status/1287744651361783808,2,19,,
there's disproportionate attention on what the federal government can do about policing. mayors have far more influence. african american mayors have offered a plan:,2020-07-27 13:35:01+00:00,,,1287743297402765312,,https://twitter.com/KeithNHumphreys/status/1287743297402765312,0,2,,https://www.washingtonpost.com/crime-law/2020/07/27/african-american-mayors-lay-out-plan-police-reform-without-defunding/
