text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this is incredibly unprofessional.,2020-07-24 08:02:03+00:00,,,1286572340344758274,,https://twitter.com/Loura_Stories/status/1286572340344758274,0,0,GhanaboyPharmd,
"huh?? guess you never saw “minority report”? better watch it now. i don’t mind being screened, but i won’t be “pre-treated” for something that isn’t a problem. i also don’t take antidepressants because i’m not depressed, nor do i take breast cancer meds because i don’t have that.",2020-07-24 08:00:20+00:00,,,1286571907647709184,,https://twitter.com/Loura_Stories/status/1286571907647709184,0,0,D321Debbie,
the moon tonight and my sweet children.,2020-07-24 07:53:16+00:00,,,1286570128000405510,,https://twitter.com/Loura_Stories/status/1286570128000405510,0,0,tim_fall,
i don’t mind blunt. i was pretty disgusted too.,2020-07-19 14:40:31+00:00,,,1284860675001647107,,https://twitter.com/Loura_Stories/status/1284860675001647107,0,0,chaoticsx2,
“my way” would involve not being disabled!,2020-07-19 14:32:33+00:00,,,1284858673504964608,,https://twitter.com/Loura_Stories/status/1284858673504964608,0,0,Loura_Stories,
"i overheard a family member say to a friend about me, “i don’t want to sound ableist, and i’ll never say she isn’t disabled, but she definitely milks it to get her way.”",2020-07-19 14:31:55+00:00,,,1284858512066183168,,https://twitter.com/Loura_Stories/status/1284858512066183168,2,0,Loura_Stories,
"some kind of goal that people can stand behind would help, instead of just telling people what to do with very little information.",2020-07-19 14:25:12+00:00,,,1284856820696317955,,https://twitter.com/Loura_Stories/status/1284856820696317955,0,0,OHdeptofhealth,
wth?,2020-07-19 14:19:29+00:00,,,1284855382859558915,,https://twitter.com/Loura_Stories/status/1284855382859558915,2,0,chaoticsx2,
yes! these restrictions have literally crippled hurting people to the point they can no longer be independent!,2020-07-15 23:14:15+00:00,,,1283540410481115142,,https://twitter.com/Loura_Stories/status/1283540410481115142,0,0,cathy_kean,https://twitter.com/cathy_kean/status/1283500369197150208
it’s less an experiment and more corruption with good marketing. but it will definitely happen to more and more people.,2020-07-15 22:26:22+00:00,,,1283528359939657728,,https://twitter.com/Loura_Stories/status/1283528359939657728,0,0,CIAAG_Lauren,
"we need to make others uncomfortable: angry, sad, outraged, squeamish, etc. we need to get videos with our voices and stories of suffering made.",2020-07-15 05:44:31+00:00,,,1283276236798734336,,https://twitter.com/Loura_Stories/status/1283276236798734336,1,1,CIAAG_Lauren,
"this might help in the battle against antivaxxers. or, at least be cathartic to provaxxers, lol.",2020-07-15 05:39:11+00:00,,,1283274893468082176,,https://twitter.com/Loura_Stories/status/1283274893468082176,1,0,chaoticsx2,https://medium.com/@fuckthat/vaccines-when-private-choices-affect-public-health-32532e7869c3
"hi mr. sweigart, i’m an independent investigative journalist in kettering/dayton, with an eye for medical and political corruption. do you know if the ddn needs someone like me?",2020-07-15 05:34:22+00:00,,,1283273680127172611,,https://twitter.com/Loura_Stories/status/1283273680127172611,0,0,JoshSweigart,
 ,2020-07-15 05:30:05+00:00,,,1283272602887356421,,https://twitter.com/Loura_Stories/status/1283272602887356421,0,0,JoshSweigart,
 ,2020-07-15 05:29:24+00:00,,,1283272431445082113,,https://twitter.com/Loura_Stories/status/1283272431445082113,0,0,csloranger,
disabled is not the same as “broken.”,2020-07-15 05:26:39+00:00,,,1283271740542590976,,https://twitter.com/Loura_Stories/status/1283271740542590976,0,0,GHMansfield,
it would be nice if he would address the other 1000+ issues plaguing ohio right now.,2020-07-15 05:25:24+00:00,,,1283271425093177345,,https://twitter.com/Loura_Stories/status/1283271425093177345,0,0,WDTN,
this is exciting news!,2020-07-15 05:20:40+00:00,,,1283270232434528262,,https://twitter.com/Loura_Stories/status/1283270232434528262,0,0,CMerandi,https://twitter.com/CMerandi/status/1283009693129101312
"check out my handmade jewelry and get 10% off until my birthday on friday, july 17th! https://facebook.com/events/s/online-jewelry-party/610244123240166/?ti=icl",2020-07-14 07:26:57+00:00,,,1282939628274757632,,https://twitter.com/Loura_Stories/status/1282939628274757632,0,0,,https://facebook.com/events/s/online-jewelry-party/610244123240166/?ti=icl
"yes, it’s my writing. thank you! i don’t know much ed, but poe is my hero. he wrote something similar. i’m so tired of this bs.",2020-07-12 05:03:01+00:00,,,1282178629242429441,,https://twitter.com/Loura_Stories/status/1282178629242429441,0,0,JillPiggott,
they won’t be liable then.,2020-07-12 04:54:52+00:00,,,1282176578613641216,,https://twitter.com/Loura_Stories/status/1282176578613641216,0,0,SuzyLewisRock,
,2020-07-11 00:13:56+00:00,,,1281743489827516417,,https://twitter.com/Loura_Stories/status/1281743489827516417,1,0,JillPiggott,https://medium.com/@fuckthat/mansplaining-is-the-biggest-threat-to-womens-healthcare-28b9e56cad9f
"""in men, it is pain intensity that dictates whether or not they are prescribed opioids."" women take opioids at lower levels of pain &amp; are more likely to ""catastrophize"" &amp; magnify their pain than men. (!!!)  ",2020-07-11 00:13:40+00:00,,#opioids,1281743422588620803,@yazshaz @BethDarnall,https://twitter.com/Loura_Stories/status/1281743422588620803,0,0,JillPiggott,http://news.vcu.edu/health/Study_Women_who_fixate_on_chronic_pain_more_likely_to_be_prescribed
"oh. you’re still here, dewine?",2020-07-09 09:11:37+00:00,,,1281154028047601664,,https://twitter.com/Loura_Stories/status/1281154028047601664,0,0,GovMikeDeWine,
"this started back in 2014 with bipartisan support, but did get even worse under trump’s dea and doj. still, republicans and democrats came together on this to harm chronic pain patients.",2020-07-09 09:09:27+00:00,,,1281153480539979777,,https://twitter.com/Loura_Stories/status/1281153480539979777,0,0,antonioac08401,
i read about that a few months ago. sickening!,2020-07-06 14:20:33+00:00,,,1280144608744345601,,https://twitter.com/Loura_Stories/status/1280144608744345601,0,0,Chronic_FLKeys,
,2020-07-04 07:12:01+00:00,,,1279311988875767808,,https://twitter.com/Loura_Stories/status/1279311988875767808,0,0,,
"you do not protect the disabled, elderly, or children from a myriad of abuses! here’s just one:",2020-07-01 00:10:37+00:00,,,1278118777058713602,,https://twitter.com/Loura_Stories/status/1278118777058713602,0,0,GovMikeDeWine,https://medium.com/@fuckthat/an-open-letter-to-ohio-leaders-concerning-the-opioid-crisis-5ef8a1d27917
